次数,ターゲット,画面タイトル,画面タイプ,1次指標名,2次指標名,3次指標名,4次指標名,5次指標名,計算レイヤー,スコープ,用途・機能説明,概念式／演算ロジック,判断基準・閾値目安,依存先指標,データ基盤要件,V69No/戦略No
2次,本部管理者,ABC分析,分析画面,,売上（税抜）,,,,L1,同画面内,商品別売上のABC分析,SUM商品別,-,[外部]TITEM.sales_excluded,既存(V89/V69),45
2次,本部管理者,ABC分析,分析画面,,売上構成比率,,,,L1,同画面内,商品別売上のABC分析,商品÷総売上×100,-,"ABC分析.売上（税抜）, 当月実績.売上（税抜）",既存(V89/V69),46
2次,本部管理者,ABC分析,分析画面,,販売点数,,,,L1,同画面内,商品別売上のABC分析,SUM商品別,-,[外部]TITEM.quantity,既存(V89/V69),47
2次,本部管理者,ABC分析,分析画面,,販売点数構成比率,,,,L1,同画面内,商品別売上のABC分析,商品数÷総数×100,-,ABC分析.販売点数,既存(V89/V69),48
2次,本部管理者,ABC分析,分析画面,,価格,,,,L1,同画面内,商品別売上のABC分析,売上÷数量,-,"ABC分析.売上（税抜）, ABC分析.販売点数",既存(V89/V69),49
2次,本部管理者,PA人件費率分析,分析画面,,目標PA人件費率,,,,L1,同画面内,PA人件費率の分析,マスタ参照,-,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,既存(V89/V69),50
2次,本部管理者,予実対比,分析画面,,FD仕入　計,,,,L1,同画面内,予算と実績の対比分析,SUM,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),100
2次,本部管理者,予実対比,分析画面,,人件費　計,,,,L1,同画面内,予算と実績の対比分析,SUM,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),101
2次,本部管理者,予実対比,分析画面,,その他経費　計,,,,L1,同画面内,予算と実績の対比分析,SUM,-,-,既存(V89/V69),102
2次,本部管理者,予実対比,分析画面,,ラクミー利用料,,,,L1,同画面内,予算と実績の対比分析,費目フィルタ,-,-,既存(V89/V69),103
2次,本部管理者,予実対比,分析画面,,レジ利用料,,,,L1,同画面内,予算と実績の対比分析,費目フィルタ,-,-,既存(V89/V69),104
2次,本部管理者,予実対比,分析画面,,借入金返済,,,,L1,同画面内,予算と実績の対比分析,費目フィルタ,-,-,既存(V89/V69),105
2次,本部管理者,予実対比,分析画面,,フード売上ランチ,,,,L1,同画面内,予算と実績の対比分析,SUM(フードかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),106
2次,本部管理者,予実対比,分析画面,,フード売上ディナー,,,,L1,同画面内,予算と実績の対比分析,SUM(フードかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),107
2次,本部管理者,予実対比,分析画面,,ドリンク売上ランチ,,,,L1,同画面内,予算と実績の対比分析,SUM(ドリンクかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),108
2次,本部管理者,予実対比,分析画面,,ドリンク売上ディナー,,,,L1,同画面内,予算と実績の対比分析,SUM(ドリンクかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),109
2次,本部管理者,予実対比,分析画面,,フード仕入,,,,L1,同画面内,予算と実績の対比分析,SUMフード,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),110
2次,本部管理者,予実対比,分析画面,,ドリンク仕入,,,,L1,同画面内,予算と実績の対比分析,SUMドリンク,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),111
2次,本部管理者,予実対比,分析画面,,固定人件費,,,,L1,同画面内,予算と実績の対比分析,SUM月給者,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),112
2次,本部管理者,予実対比,分析画面,,PA人件費,,,,L1,同画面内,予算と実績の対比分析,SUM年間,-,[外部]head_office_employee_working_records.daily_cost,既存(V89/V69),113
2次,本部管理者,予実対比,分析画面,,ヘルプ人件費,,,,L1,同画面内,予算と実績の対比分析,help_costs-help_costs_minus,-,SUM(紐づく店舗.予実対比.ヘルプ人件費),既存(V89/V69),114
2次,本部管理者,予実対比,分析画面,,地代家賃,,,,L1,同画面内,予算と実績の対比分析,費目=家賃,-,-,既存(V89/V69),115
2次,本部管理者,予実対比,分析画面,,資材費,,,,L1,同画面内,予算と実績の対比分析,費目=資材費,-,-,既存(V89/V69),116
2次,本部管理者,予実対比,分析画面,,水道光熱費,,,,L1,同画面内,予算と実績の対比分析,費目=水道光熱費,-,-,既存(V89/V69),117
2次,本部管理者,予実対比,分析画面,,減価償却費,,,,L1,同画面内,予算と実績の対比分析,費目=減価償却費,-,-,既存(V89/V69),118
2次,本部管理者,予実対比,分析画面,,販促費,,,,L1,同画面内,予算と実績の対比分析,費目=販促費,-,-,既存(V89/V69),119
2次,本部管理者,予実対比,分析画面,,総売上,,,,L1,同画面内,予算と実績の対比分析,SUM,-,[外部]ZTOTAL.sales_excluded,既存(V89/V69),51
2次,本部管理者,予実対比,分析画面,,フード売上,,,,L1,同画面内,予算と実績の対比分析,SUMフード,-,[外部]TITEM.sales_excluded,既存(V89/V69),52
2次,本部管理者,予実対比,分析画面,,フード売上ランチ,,,,L1,同画面内,予算と実績の対比分析,SUM(フードかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),53
2次,本部管理者,予実対比,分析画面,,フード売上ディナー,,,,L1,同画面内,予算と実績の対比分析,SUM(フードかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),54
2次,本部管理者,予実対比,分析画面,,ドリンク売上,,,,L1,同画面内,予算と実績の対比分析,SUMドリンク,-,[外部]TITEM.sales_excluded,既存(V89/V69),55
2次,本部管理者,予実対比,分析画面,,ドリンク売上ランチ,,,,L1,同画面内,予算と実績の対比分析,SUM(ドリンクかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),56
2次,本部管理者,予実対比,分析画面,,ドリンク売上ディナー,,,,L1,同画面内,予算と実績の対比分析,SUM(ドリンクかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),57
2次,本部管理者,予実対比,分析画面,,割引・値引きなど,,,,L1,同画面内,予算と実績の対比分析,SUM,-,[外部]ZTOTAL.discount,既存(V89/V69),58
2次,本部管理者,予実対比,分析画面,,FD仕入,,,,L1,同画面内,予算と実績の対比分析,SUMFD,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),59
2次,本部管理者,予実対比,分析画面,,フード仕入,,,,L1,同画面内,予算と実績の対比分析,SUMフード,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),60
2次,本部管理者,予実対比,分析画面,,ドリンク仕入,,,,L1,同画面内,予算と実績の対比分析,SUMドリンク,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),61
2次,本部管理者,予実対比,分析画面,,人件費,,,,L1,同画面内,予算と実績の対比分析,SUM,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),62
2次,本部管理者,予実対比,分析画面,,固定人件費,,,,L1,同画面内,予算と実績の対比分析,SUM月給者,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),63
2次,本部管理者,予実対比,分析画面,,PA人件費,,,,L1,同画面内,予算と実績の対比分析,SUM時給者,-,[外部]head_office_employee_working_records.daily_cost,既存(V89/V69),64
2次,本部管理者,予実対比,分析画面,,その他売上（サービス料等）,,,,L1,同画面内,予算と実績の対比分析,SUM,-,[外部]ZTOTAL.service_charge_1,既存(V89/V69),65
2次,本部管理者,予実対比,分析画面,,その他売上ランチ,,,,L1,同画面内,予算と実績の対比分析,SUM(その他かつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),66
2次,本部管理者,予実対比,分析画面,,その他売上ディナー,,,,L1,同画面内,予算と実績の対比分析,SUM(その他かつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),67
2次,本部管理者,予実対比,分析画面,,FD仕入額,,,,L1,同画面内,予算と実績の対比分析,SUM年間,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),88
2次,本部管理者,予実対比,分析画面,,人件費額,,,,L1,同画面内,予算と実績の対比分析,SUM年間,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),89
2次,本部管理者,予実対比,分析画面,,客単価,,,,L1,同画面内,予算と実績の対比分析,売上÷客数,-,"当月実績.売上（税抜）, 客数.当月客数",既存(V89/V69),90
2次,本部管理者,予実対比,分析画面,,客単価（ランチ）,,,,L1,同画面内,予算と実績の対比分析,売上÷客数(11-15時フィルタ),-,"時間帯別売上分析.ランチ売上（税抜）, 時間帯別売上分析.客数",既存(V89/V69),91
2次,本部管理者,予実対比,分析画面,,客単価（ディナー）,,,,L1,同画面内,予算と実績の対比分析,売上÷客数(17-23時フィルタ),-,"時間帯別売上分析.ディナー売上（税抜）, 時間帯別売上分析.客数",既存(V89/V69),92
2次,本部管理者,予実対比,分析画面,,総売上　計,,,,L1,同画面内,予算と実績の対比分析,SUM,-,[外部]ZTOTAL.sales_excluded,既存(V89/V69),93
2次,本部管理者,予実対比,分析画面,,フード売上 計,,,,L1,同画面内,予算と実績の対比分析,SUMフード,-,[外部]TITEM.sales_excluded,既存(V89/V69),94
2次,本部管理者,予実対比,分析画面,,ドリンク売上　計,,,,L1,同画面内,予算と実績の対比分析,SUMドリンク,-,[外部]TITEM.sales_excluded,既存(V89/V69),95
2次,本部管理者,予実対比,分析画面,,その他売上 計 （サービス料等）,,,,L1,同画面内,予算と実績の対比分析,SUM,-,[外部]ZTOTAL.service_charge_1,既存(V89/V69),96
2次,本部管理者,予実対比,分析画面,,その他売上ランチ,,,,L1,同画面内,予算と実績の対比分析,SUM(その他かつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),97
2次,本部管理者,予実対比,分析画面,,その他売上ディナー,,,,L1,同画面内,予算と実績の対比分析,SUM(その他かつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),98
2次,本部管理者,予実対比,分析画面,,FLコスト　計,,,,L1,同画面内,予算と実績の対比分析,SUM,-,-,既存(V89/V69),99
2次,本部管理者,仕入先分析,分析画面,,仕入れ先,,,,L1,同画面内,仕入先別の分析,マスタ参照,-,[外部]member_name_partner.client_name,既存(V89/V69),68
2次,本部管理者,仕入先分析,分析画面,,金額（税抜）,,,,L1,同画面内,仕入先別の分析,SUM仕入先別,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),69
2次,本部管理者,仕入先分析,分析画面,,比率,,,,L1,同画面内,仕入先別の分析,仕入先÷総仕入×100,-,-,既存(V89/V69),70
2次,本部管理者,仕入費率分析,分析画面,,目標仕入費率,,,,L1,同画面内,仕入費率の分析,マスタ参照,-,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,既存(V89/V69),71
2次,本部管理者,利益率分析,分析画面,,目標利益率,,,,L1,同画面内,利益率の分析,マスタ参照,-,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,既存(V89/V69),72
2次,本部管理者,商品別仕入分析,分析画面,,商品,,,,L1,同画面内,商品別の仕入分析,マスタ参照,-,[外部]detail_list.item_name,既存(V89/V69),73
2次,本部管理者,商品別仕入分析,分析画面,,仕入れ先,,,,L1,同画面内,商品別の仕入分析,マスタ参照,-,[外部]member_name_partner.client_name,既存(V89/V69),74
2次,本部管理者,商品別仕入分析,分析画面,,金額（税抜）,,,,L1,同画面内,商品別の仕入分析,SUM商品別,-,[外部]detail_list.price,既存(V89/V69),75
2次,本部管理者,商品別仕入分析,分析画面,,比率,,,,L1,同画面内,商品別の仕入分析,商品÷総仕入×100,-,-,既存(V89/V69),76
2次,本部管理者,商品別売上分析,分析画面,,商品単価（税抜）,,,,L1,同画面内,商品別の売上分析,売上÷数量,-,商品別売上分析.販売数量,既存(V89/V69),77
2次,本部管理者,商品別売上分析,分析画面,,商品単価（税込）,,,,L1,同画面内,商品別の売上分析,売上÷数量,-,商品別売上分析.販売数量,既存(V89/V69),78
2次,本部管理者,商品別売上分析,分析画面,,販売数量,,,,L1,同画面内,商品別の売上分析,SUM商品別,-,[外部]TITEM.quantity,既存(V89/V69),79
2次,本部管理者,客単価分析,分析画面,,当月客単価（税抜）,,,,L1,同画面内,客単価の分析,売上÷客数,-,"当月実績.売上（税抜）, 客数.当月客数",既存(V89/V69),80
2次,本部管理者,客数分析,分析画面,,当月客数,,,,L1,同画面内,客数の分析,SUM月別,-,[外部]ZTOTAL.customers,既存(V89/V69),81
2次,本部管理者,平均単価推移,分析画面,,仕入商品ラベル,,,,L1,同画面内,平均単価の推移分析,ラベルマスタ,-,[外部]detail_list.item_name,既存(V89/V69),82
2次,本部管理者,平均単価推移,分析画面,,仕入金額（税抜）,,,,L1,同画面内,平均単価の推移分析,SUM月別,-,[外部]detail_list.price,既存(V89/V69),83
2次,本部管理者,平均単価推移,分析画面,,数量,,,,L1,同画面内,平均単価の推移分析,SUM月別,-,[外部]detail_list.num,既存(V89/V69),84
2次,本部管理者,平均単価推移,分析画面,,平均単価,,,,L1,同画面内,平均単価の推移分析,金額÷数量,-,平均単価推移.数量,既存(V89/V69),85
2次,本部管理者,年間予実対比,分析画面,,月次実績_総売上 計,,,,L1,同画面内,-,SUM月次,-,[外部]ZTOTAL.sales_excluded,既存(V89/V69),253
2次,本部管理者,年間予実対比,分析画面,,月次実績_フード売上 計,,,,L1,同画面内,-,SUMフード月次,-,[外部]TITEM.sales_excluded,既存(V89/V69),254
2次,本部管理者,年間予実対比,分析画面,,月次実績_ドリンク売上 計,,,,L1,同画面内,-,SUMドリンク月次,-,[外部]TITEM.sales_excluded,既存(V89/V69),255
2次,本部管理者,年間予実対比,分析画面,,月次実績_その他売上 計,,,,L1,同画面内,-,SUMその他月次,-,[外部]ZTOTAL.service_charge_1,既存(V89/V69),256
2次,本部管理者,年間予実対比,分析画面,,月次実績_FD仕入 計,,,,L1,同画面内,-,SUMFD月次,-,インフォマート（仕入）,既存(V89/V69),258
2次,本部管理者,年間予実対比,分析画面,,月次実績_人件費 計,,,,L1,同画面内,-,SUM月次,-,[外部]head_office_employee_working_records.daily_cost,既存(V89/V69),259
2次,本部管理者,年間予実対比,分析画面,,月次実績_その他経費 計,,,,L1,同画面内,-,SUM経費月次,-,[入力]monthly_costs.value,既存(V89/V69),260
2次,本部管理者,年間予実対比,分析画面,,月次予算_総売上 計,,,,L1,同画面内,-,月次予算,-,月次予算設定.売上（税抜）,既存(V89/V69),262
2次,本部管理者,年間予実対比,分析画面,,月次予算_フード売上 計,,,,L1,同画面内,-,月次予算_総売上 計 × 売上構成比設定.フード構成比,-,月次予算設定.月次フード売上,既存(V89/V69),263
2次,本部管理者,年間予実対比,分析画面,,月次予算_ドリンク売上 計,,,,L1,同画面内,-,月次予算_総売上 計 × 売上構成比設定.ドリンク構成比,-,月次予算設定.月次ドリンク売上,既存(V89/V69),264
2次,本部管理者,年間予実対比,分析画面,,月次予算_その他売上 計,,,,L1,同画面内,-,月次予算_総売上 計 × 売上構成比設定.その他構成比,-,月次予算設定.月次その他売上,既存(V89/V69),265
2次,本部管理者,年間予実対比,分析画面,,月次予算_FD仕入 計,,,,L1,同画面内,-,月次予算設定.売上（税抜） × 月次予算設定.FD仕入比率,-,月次予算設定.月次FD仕入,既存(V89/V69),267
2次,本部管理者,年間予実対比,分析画面,,月次予算_人件費 計,,,,L1,同画面内,-,月次予算設定.売上 × PA人件費率 + 固定人件費予算,-,月次予算設定.月次人件費,既存(V89/V69),268
2次,本部管理者,年間予実対比,分析画面,,月次予算_その他経費 計,,,,L1,同画面内,-,費用設定.その他経費予算合計,-,月次予算設定.月次その他経費,既存(V89/V69),269
2次,本部管理者,年間予実対比（サマリー）,ダッシュボード表示画面,,FD仕入額,,,,L1,同画面内,-,参照表示,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),250
2次,本部管理者,年間予実対比（サマリー）,ダッシュボード表示画面,,人件費額,,,,L1,同画面内,-,参照表示,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),251
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_総売上 計,,,,L1,同画面内,-,SUM,-,[外部]ZTOTAL.sales_excluded,既存(V89/V69),211
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_フード売上 計,,,,L1,同画面内,-,SUMフード,-,[外部]TITEM.sales_excluded,既存(V89/V69),212
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_ドリンク売上 計,,,,L1,同画面内,-,SUMドリンク,-,[外部]TITEM.sales_excluded,既存(V89/V69),213
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_その他売上 計,,,,L1,同画面内,-,SUM,-,[外部]ZTOTAL.service_charge_1,既存(V89/V69),214
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_その他売上ランチ,,,,L1,同画面内,-,SUM(その他かつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),215
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_その他売上ディナー,,,,L1,同画面内,-,SUM(その他かつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),216
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_FD仕入 計,,,,L1,同画面内,-,SUMFD,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),218
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_人件費 計,,,,L1,同画面内,-,SUM,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),219
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_その他経費 計,,,,L1,同画面内,-,SUM,-,-,既存(V89/V69),220
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_ラクミー利用料,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),221
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_IT費用,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),222
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_お花代,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),223
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_ガス代,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),224
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_クレジットカード手数料,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),225
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_レジ利用料,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),226
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_借入金返済,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),227
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_家賃（変動分）,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),228
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_水道代,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),229
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_社員人件費,,,,L1,同画面内,-,SUM月給者,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),230
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_電気代,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),231
