10,設定入力画面,ラベル設定（店舗リスト）,店舗ID,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.id,-,shops.id,-,マスタ参照,-,-,shops.id → ラベル設定（店舗リスト）.店舗ID,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
11,設定入力画面,ラベル設定（店舗リスト）,店舗名,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.name,-,shops.name,-,マスタ参照,-,-,shops.name → ラベル設定（店舗リスト）.店舗名,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
12,設定入力画面,ラベル設定（店舗リスト）,ラベル名,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shop_labels.label_name,-,shop_labels.label_name,-,ユーザー入力（ラベル設定）,-,-,shop_labels.label_name → ラベル設定（店舗リスト）.ラベル名,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
13,設定入力画面,ラベル設定（店舗リスト）,ステータスフラグ,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,フラグ,shop_labels.status,-,shop_labels.status,-,ユーザー入力（ラベル設定）,-,-,shop_labels.status → ラベル設定（店舗リスト）.ステータスフラグ,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
14,設定入力画面,店舗管理,店舗名,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.name,-,shops.name,-,ユーザー入力（店舗設定）,-,-,shops.name → 店舗管理.店舗名,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
15,設定入力画面,店舗管理,電話番号,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.phone_number,-,shops.phone_number,-,ユーザー入力（店舗設定）,-,-,shops.phone_number → 店舗管理.電話番号,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
16,設定入力画面,店舗管理,郵便番号,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.postal_code,-,shops.postal_code,-,ユーザー入力（店舗設定）,-,-,shops.postal_code → 店舗管理.郵便番号,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
17,設定入力画面,店舗管理,都道府県,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.prefecture,-,shops.prefecture,-,ユーザー入力（店舗設定）,-,-,shops.prefecture → 店舗管理.都道府県,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
18,設定入力画面,店舗管理,住所,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.address,-,shops.address,-,ユーザー入力（店舗設定）,-,-,shops.address → 店舗管理.住所,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
19,設定入力画面,店舗管理,建物,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.building,-,shops.building,-,ユーザー入力（店舗設定）,-,-,shops.building → 店舗管理.建物,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
20,設定入力画面,店舗管理,業種,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.industry_type,-,shops.industry_type,-,ユーザー入力（店舗設定）,-,-,shops.industry_type → 店舗管理.業種,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
21,設定入力画面,店舗管理,業態,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.business_type,-,shops.business_type,-,ユーザー入力（店舗設定）,-,-,shops.business_type → 店舗管理.業態,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
22,設定入力画面,店舗管理,総卓数,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.total_table_num,-,shops.total_table_num,-,ユーザー入力（店舗設定）,-,-,shops.total_table_num → 店舗管理.総卓数,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
23,設定入力画面,店舗管理,総席数,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.total_seat_num,-,shops.total_seat_num,-,ユーザー入力（店舗設定）,-,-,shops.total_seat_num → 店舗管理.総席数,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
24,設定入力画面,店舗管理,坪数,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.total_area_num,-,shops.total_area_num,-,ユーザー入力（店舗設定）,-,主要KPI指標.坪月商,shops.total_area_num → 店舗管理.坪数,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
25,設定入力画面,店舗管理,家賃種別,L2,C,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.rent_type,-,shops.rent_type,-,ユーザー入力（店舗設定）,-,-,shops.rent_type → 店舗管理.家賃種別,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
26,設定入力画面,店舗管理,家賃（金額）,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.rent,-,shops.rent,-,ユーザー入力（店舗設定）,-,主要KPI指標.家賃比率,shops.rent → 店舗管理.家賃（金額）,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
27,設定入力画面,店舗管理,初期投資額,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.initial_investment,-,shops.initial_investment,-,ユーザー入力（店舗設定）,-,主要KPI指標.ROI,shops.initial_investment → 店舗管理.初期投資額,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
28,設定入力画面,従業員管理,従業員コード,L2,D,-,従業員マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.code,-,employees.code,-,ユーザー入力（従業員設定）,-,-,employees.code → 従業員管理.従業員コード,設定/入力検証済,データソース: 従業員マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する従業員設定値
29,設定入力画面,従業員管理,所属コード,L2,D,-,従業員マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.department_code,-,employees.department_code,-,ユーザー入力（従業員設定）,-,-,employees.department_code → 従業員管理.所属コード,設定/入力検証済,データソース: 従業員マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する従業員設定値
30,設定入力画面,従業員管理,店舗ID,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.shop_id,-,employees.shop_id,-,マスタ参照,-,-,employees.shop_id → 従業員管理.店舗ID,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する従業員設定値
31,設定入力画面,従業員管理,店舗名,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.name,-,shops.name,-,マスタ参照,-,-,shops.name → 従業員管理.店舗名,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する従業員設定値
32,設定入力画面,従業員管理,区分（月給時給）,L2,C,-,従業員マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.salary_type,-,employees.salary_type,-,ユーザー入力（従業員設定）,-,-,employees.salary_type → 従業員管理.区分（月給時給）,設定/入力検証済,データソース: 従業員マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する従業員設定値
33,設定入力画面,従業員管理,総支給額,L2,C,-,従業員マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.total_payment,-,employees.total_payment,-,ユーザー入力（従業員設定）,-,-,employees.total_payment → 従業員管理.総支給額,設定/入力検証済,データソース: 従業員マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する従業員設定値
34,設定入力画面,従業員管理,所定労働時間,L2,C,-,従業員マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.standard_working_hours,-,employees.standard_working_hours,-,ユーザー入力（従業員設定）,-,-,employees.standard_working_hours → 従業員管理.所定労働時間,設定/入力検証済,データソース: 従業員マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する従業員設定値
35,設定入力画面,従業員管理,みなし残業時間,L2,C,-,従業員マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.deemed_overtime_hours,-,employees.deemed_overtime_hours,-,ユーザー入力（従業員設定）,-,-,employees.deemed_overtime_hours → 従業員管理.みなし残業時間,設定/入力検証済,データソース: 従業員マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する従業員設定値

■ 実績入力画面 (9指標 / 2画面)
No,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,演算範囲,データソース区分,指標タイプ,指標タイプ詳細,演算ロジック,演算式詳細,中間画面名.画面指標名,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,判断,AI推測の理由,不明点,改善,画面カテゴリ,指標区分,指標区分の説明
36,実績入力画面,小口現金,経費項目,L3,D,-,費用・棚卸（入力）,ユーザー入力単独,小口現金画面での直接入力,入力値,petty_cashes.description,-,petty_cashes.description,-,ユーザー入力（小口現金）,-,-,petty_cashes.description → 小口現金.経費項目,設定/入力検証済,データソース: 費用・棚卸（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する小口現金データ
37,実績入力画面,小口現金,経費コード,L3,D,-,費用・棚卸（入力）,ユーザー入力単独,小口現金画面での直接入力,入力値,petty_cashes.chart_of_account_id,-,petty_cashes.chart_of_account_id,-,ユーザー入力（小口現金）,-,-,petty_cashes.chart_of_account_id → 小口現金.経費コード,設定/入力検証済,データソース: 費用・棚卸（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する小口現金データ
38,実績入力画面,小口現金,費目,L3,D,-,費目マスタ（設定）,ラクミー設定マスタ単独,費目マスタから取得,マスタ参照,monthly_cost_items.name,-,monthly_cost_items.name,-,マスタ参照,-,-,monthly_cost_items.name → 小口現金.費目,設定/入力検証済,データソース: 費目マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する小口現金データ
39,実績入力画面,小口現金,税区分,L3,D,-,費用・棚卸（入力）,ユーザー入力単独,小口現金画面での直接入力,入力値,petty_cashes.tax_type,-,petty_cashes.tax_type,-,ユーザー入力（小口現金）,-,-,petty_cashes.tax_type → 小口現金.税区分,設定/入力検証済,データソース: 費用・棚卸（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する小口現金データ
40,実績入力画面,店舗間商品移動,日付,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,店舗間商品移動画面での直接入力,日付,stocking_transfers.date,-,stocking_transfers.date,-,ユーザー入力（店舗間移動）,-,-,stocking_transfers.date → 店舗間商品移動.日付,設定/入力検証済,データソース: 費用・棚卸（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗間商品移動データ
41,実績入力画面,店舗間商品移動,移動元店舗,L3,C,-,店舗マスタ（設定）,ラクミー設定マスタ単独,店舗マスタから取得,マスタ参照,shops.name,-,shops.name,-,マスタ参照,-,-,shops.name → 店舗間商品移動.移動元店舗,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗間商品移動データ
42,実績入力画面,店舗間商品移動,金額,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,店舗間商品移動画面での直接入力,入力値,stocking_transfers.price_excluded_tax,-,stocking_transfers.price_excluded_tax,-,ユーザー入力（店舗間移動）,-,-,stocking_transfers.price_excluded_tax → 店舗間商品移動.金額,設定/入力検証済,データソース: 費用・棚卸（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗間商品移動データ
43,実績入力画面,店舗間商品移動,移動先店舗,L3,C,-,店舗マスタ（設定）,ラクミー設定マスタ単独,店舗マスタから取得,マスタ参照,shops.name,-,shops.name,-,マスタ参照,-,-,shops.name → 店舗間商品移動.移動先店舗,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗間商品移動データ

■ 分析画面 (143指標 / 20画面)
No,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,演算範囲,データソース区分,指標タイプ,指標タイプ詳細,演算ロジック,演算式詳細,中間画面名.画面指標名,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,判断,AI推測の理由,不明点,改善,画面カテゴリ,指標区分,指標区分の説明
44,分析画面,ABC分析,商品,L0,D,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,商品マスタ,TITEM.item_name,-,head_office_item_sales_logs.item_name,TITEM.item_name,POS売上（商品別）,[外部]TITEM.item_name,商品別仕入分析.商品,TITEM.item_name → head_office_item_sales_logs.item_name → ABC分析.商品,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
45,分析画面,ABC分析,売上（税抜）,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.sales_excluded) GROUP BY item_name,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,"ABC分析.価格, ABC分析.売上構成比率, 店舗別サマリー.売上（税抜）, 当月実績.売上（税抜）, 日次レポート.売上（税抜）, 日次推移.売上（税抜）",TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → ABC分析.売上(税抜),スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
46,分析画面,ABC分析,売上構成比率,L1,A,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,商品÷総売上×100,ABC分析.売上（税抜） ÷ 当月実績.売上（税抜） × 100,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","TITEM.sales_excluded, ZTOTAL.sales_excluded","POS売上（商品別）, POS売上（日別集計）","ABC分析.売上（税抜）, 当月実績.売上（税抜）",-,TITEM.sales_excluded / ZTOTAL.sales_excluded → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.sales_excluded → ABC分析.売上構成比率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
47,分析画面,ABC分析,販売点数,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.quantity) GROUP BY item_name,-,head_office_item_sales_logs.quantity,TITEM.quantity,POS売上（商品別）,[外部]TITEM.quantity,"ABC分析.価格, ABC分析.販売点数構成比率, 商品別売上分析.販売数量",TITEM.quantity → head_office_item_sales_logs.quantity → ABC分析.販売点数,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
48,分析画面,ABC分析,販売点数構成比率,L1,C,画面内,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,商品数÷総数×100,ABC分析.販売点数 ÷ SUM(ABC分析.販売点数) × 100,-,head_office_item_sales_logs.quantity,TITEM.quantity,POS売上（商品別）,ABC分析.販売点数,-,TITEM.quantity → head_office_item_sales_logs.quantity → ABC分析.販売点数構成比率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
49,分析画面,ABC分析,価格,L1,C,画面内,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,ABC分析.売上（税抜） ÷ ABC分析.販売点数,-,"head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity","TITEM.sales_excluded, TITEM.quantity",POS売上（商品別）,"ABC分析.売上（税抜）, ABC分析.販売点数",商品別売上分析.商品単価（税抜）,TITEM.sales_excluded / TITEM.quantity → head_office_item_sales_logs.sales_excluded / head_office_item_sales_logs.quantity → ABC分析.価格,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
50,分析画面,PA人件費率,目標PA人件費率,L3,B,-,予算設定（入力）,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.ratio,-,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",-,ユーザー入力（予算設定）,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,monthly_budgets.food_cost_rate（またはlabor_cost_rate） / monthly_budgets.profit → PA人件費率.目標PA人件費率,設定/入力検証済,データソース: 予算設定（入力）,-,-,表示画面,既存指標,実画面に表示されている指標（表示画面）。
51,分析画面,予実対比,総売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 予実対比.総売上,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
52,分析画面,予実対比,フード売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.フード売上,スキーマ検証済,-,フードカテゴリの定義(商品マスタのカラム名)が不明,カテゴリ判定ロジックを確認必要,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
53,分析画面,予実対比,フード売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.フード売上ランチ,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
54,分析画面,予実対比,フード売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.フード売上ディナー,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
55,分析画面,予実対比,ドリンク売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.ドリンク売上,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
56,分析画面,予実対比,ドリンク売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.ドリンク売上ランチ,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
57,分析画面,予実対比,ドリンク売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.ドリンク売上ディナー,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
58,分析画面,予実対比,割引・値引きなど,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.discount),-,z_totals.discount,ZTOTAL.discount,POS売上（日別集計）,[外部]ZTOTAL.discount,-,ZTOTAL.discount → z_totals.discount → 予実対比.割引値引き,外部連携検証済,データソース: POS（売上・客数）,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
