次数,画面タイトル,画面タイプ,指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,依存先指標,被参照指標,V89No
1次,ラベル設定（ラベル）,設定入力画面,ラベルID,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,labels.id,D,ラベルマスタ（設定）,仕入商品・売上商品・発注先にグルーピング用ラベル（タグ）を作成。仕入先分析・商品別分析のグルーピングおよび棚卸時のカテゴリ分けに使用,labels.id,-,-,1
1次,ラベル設定（ラベル）,設定入力画面,ラベル名,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,labels.name,D,ラベルマスタ（設定）,仕入商品・売上商品・発注先にグルーピング用ラベルを作成。棚卸時のカテゴリ分けに使用,labels.name,-,-,2
1次,ラベル設定（ラベル）,設定入力画面,棚卸,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,labels.is_inventory,D,ラベルマスタ（設定）,仕入商品・売上商品・発注先にグルーピング用ラベルを作成。棚卸時のカテゴリ分けに使用,labels.is_inventory,-,-,3
1次,ラベル設定（ラベル）,設定入力画面,ステータスフラグ,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,labels.status,D,ラベルマスタ（設定）,仕入商品・売上商品・発注先にグルーピング用ラベルを作成。棚卸時のカテゴリ分けに使用,labels.status,-,-,4
1次,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名1,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,D,ラベルマスタ（設定）,納品書詳細の仕入商品にラベルを紐付け。ラクミーアプリ棚卸でのカテゴリ選択・仕入先分析でのラベル別集計に活用,labels.name,納品書詳細.仕入商品,ラクミーアプリ.棚卸（ラベル選択）; 仕入先分析（ラベル別集計）,10
1次,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名2,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,D,ラベルマスタ（設定）,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,labels.name,-,-,11
1次,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名3,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,D,ラベルマスタ（設定）,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,labels.name,-,-,12
1次,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名4,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,D,ラベルマスタ（設定）,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,labels.name,-,-,13
1次,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名5,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,D,ラベルマスタ（設定）,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,labels.name,-,-,14
1次,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名6,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,D,ラベルマスタ（設定）,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,labels.name,-,-,15
1次,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名7,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,D,ラベルマスタ（設定）,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,labels.name,-,-,16
1次,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名8,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,D,ラベルマスタ（設定）,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,labels.name,-,-,17
1次,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名9,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,D,ラベルマスタ（設定）,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,labels.name,-,-,18
1次,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名10,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,D,ラベルマスタ（設定）,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,labels.name,-,-,19
1次,ラベル設定（仕入商品リスト）,設定入力画面,商品ID,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.id,D,商品マスタ（設定）,仕入商品に仕入商品ラベル（グルーピングタグ）を紐付け。仕入先分析での仕入先ラベル別集計・棚卸時の在庫分類に活用,infomart_items.id,-,-,5
1次,ラベル設定（仕入商品リスト）,設定入力画面,発注先,L0,-,マスタ参照表示,発注先マスタから発注先名を参照表示,マスタ参照,infomart_transactions.client_name,D,発注先マスタ（参照）,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,infomart_transactions.client_name,[マスタ]infomart_clients.name,-,6
1次,ラベル設定（仕入商品リスト）,設定入力画面,商品名,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.name,D,商品マスタ（設定）,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,infomart_items.name,-,-,7
1次,ラベル設定（仕入商品リスト）,設定入力画面,費目,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,monthly_cost_items.name,D,費目マスタ（設定）,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,monthly_cost_items.name,-,-,8
1次,ラベル設定（売上商品リスト）,設定入力画面,商品ID,L0,-,マスタ参照表示,POS商品マスタから商品IDを参照表示,マスタ参照,head_office_item_sales_logs.item_id,D,商品マスタ（参照）,POS連携の売上商品に売上商品ラベル（グルーピングタグ）を設定。商品別分析のグルーピングおよび売上計上先の変更に使用（例：席料をフードからその他に変更して計上）,head_office_item_sales_logs.item_id,[マスタ]head_office_item_sales_logs.item_id,-,20
1次,ラベル設定（売上商品リスト）,設定入力画面,商品名,L0,-,マスタ参照表示,POS商品マスタから商品名を参照表示,マスタ参照,head_office_item_sales_logs.item_name,D,商品マスタ（参照）,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,head_office_item_sales_logs.item_name,[マスタ]head_office_item_sales_logs.item_name,-,21
1次,ラベル設定（売上商品リスト）,設定入力画面,商品ID（連携サービス）,L0,-,マスタ参照表示,POS商品マスタから連携サービス商品IDを参照表示,マスタ参照,head_office_item_sales_logs.external_item_id,D,商品マスタ（参照）,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,head_office_item_sales_logs.external_item_id,[マスタ]head_office_item_sales_logs.external_item_id,-,22
1次,ラベル設定（売上商品リスト）,設定入力画面,商品コード（連携サービス）,L0,-,マスタ参照表示,POS商品マスタから連携サービス商品コードを参照表示,マスタ参照,head_office_item_sales_logs.external_item_code,D,商品マスタ（参照）,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,head_office_item_sales_logs.external_item_code,[マスタ]head_office_item_sales_logs.external_item_code,-,23
1次,ラベル設定（売上商品リスト）,設定入力画面,ラベル名,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,sales_item_labels.label_name,D,ラベルマスタ（設定）,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,sales_item_labels.label_name,-,-,24
1次,ラベル設定（売上商品リスト）,設定入力画面,ステータスフラグ,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,sales_item_labels.status,D,ラベルマスタ（設定）,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,sales_item_labels.status,-,-,25
1次,ラベル設定（発注先リスト）,設定入力画面,発注先ID,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_clients.id,D,発注先マスタ（設定）,発注先に発注先ラベル（グルーピングタグ）を設定。仕入先分析での仕入先ラベル別集計に活用,infomart_clients.id,-,-,27
1次,ラベル設定（発注先リスト）,設定入力画面,発注先名,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_clients.name,D,発注先マスタ（設定）,発注先にラベルを設定。仕入先分析のグルーピングに活用,infomart_clients.name,-,-,28
1次,ラベル設定（発注先リスト）,設定入力画面,ラベル名,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,client_labels.label_name,D,ラベルマスタ（設定）,発注先にラベルを設定。仕入先分析のグルーピングに活用,client_labels.label_name,-,-,29
1次,ラベル設定（発注先リスト）,設定入力画面,ステータスフラグ,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_clients.status,D,発注先マスタ（設定）,発注先にラベルを設定。仕入先分析のグルーピングに活用,infomart_clients.status,-,-,30
1次,休業日設定,設定入力画面,定休日（曜日）,L0,-,ユーザー入力単独,休業日設定画面で定休日の曜日を選択入力,選択入力（曜日）,shop_holidays.day_of_week,B,予算設定（入力）,定休日・臨時休業日を設定。売上進捗率計算に使用,shop_holidays.day_of_week,ユーザー入力（休業日設定）,-,77
1次,休業日設定,設定入力画面,日付指定,L0,-,ユーザー入力単独,休業日設定画面で個別の休業日を日付で指定入力,入力値（日付）,shop_holidays.holiday_date,B,予算設定（入力）,定休日・臨時休業日を設定。売上進捗率計算に使用,shop_holidays.holiday_date,ユーザー入力（休業日設定）,-,78
1次,単月費用設定,設定入力画面,単月地代家賃,L0,-,ユーザー入力単独,親設定(地代家賃設定)の値を単月で上書き入力,親設定参照＋上書き,親設定の地代家賃額（固定賃料 or 変動賃料算出額）を単月実値で上書き,A,単月費用マスタ（設定）,親設定(地代家賃設定)の年間デフォルト値を、特定の単月で実値に上書きする。単月ごとの地代変動や特殊契約月に対応,monthly_rent_settings.rent_value,地代家賃設定.固定賃料; 地代家賃設定.地代家賃シミュレーション金額,月次予算設定.固定費用予算; 月次予算設定.変動費用予算,79a
1次,単月費用設定,設定入力画面,対売上比（変動費用デフォルト値）,L0,-,ユーザー入力単独,単月費用設定画面で変動費用の対売上比率デフォルト値を入力,入力値（％）,monthly_cost_item_defaults.variable_cost_ratio,B,予算設定（入力）,単月の費用予算を設定,monthly_cost_item_defaults.variable_cost_ratio,ユーザー入力（単月費用設定）,予算設定.変動費用予算,80
1次,単月費用設定,設定入力画面,金額（固定費用デフォルト値）,L0,-,ユーザー入力単独,単月費用設定画面で固定費用の金額デフォルト値を入力,入力値（金額）,monthly_cost_item_defaults.fixed_cost_amount,B,予算設定（入力）,単月の費用予算を設定,monthly_cost_item_defaults.fixed_cost_amount,ユーザー入力（単月費用設定）,予算設定.固定費用予算,81
1次,地代家賃設定,設定入力画面,賃料体系,L0,-,ユーザー入力単独,ユーザーが選択（固定賃料/変動賃料/段階別歩合）,マスタ参照,入力値,S,賃料設定マスタ（設定）,店舗契約の賃料パターンを選択。固定賃料=固定費用予算、それ以外=変動費予算へ振分,rent_settings.rental_type,-,月次予算設定.固定費用予算; 月次予算設定.変動費用予算,P1
1次,地代家賃設定,設定入力画面,売上上限（2段目）,L0,-,ユーザー入力単独,ユーザーが金額入力,入力値,入力値,B,賃料設定マスタ（設定）,段階別歩合の売上上限（2段目）,rent_settings.sales_upper_2,地代家賃設定.段階数,月次予算設定.変動費用予算,P10
1次,地代家賃設定,設定入力画面,売上歩合率（2段目）,L0,-,ユーザー入力単独,ユーザーが%入力,入力値,入力値,B,賃料設定マスタ（設定）,段階別歩合の売上歩合率（2段目）,rent_settings.tier_rate_2,地代家賃設定.段階数,月次予算設定.変動費用予算,P11
1次,地代家賃設定,設定入力画面,売上下限（3段目）,L0,-,ユーザー入力単独,自動,入力値,入力値,B,賃料設定マスタ（設定）,段階別歩合の売上下限（3段目）,rent_settings.sales_lower_3,地代家賃設定.売上上限（2段目）,月次予算設定.変動費用予算,P12
1次,地代家賃設定,設定入力画面,売上上限（3段目）,L0,-,ユーザー入力単独,ユーザーが金額入力,入力値,入力値,B,賃料設定マスタ（設定）,段階別歩合の売上上限（3段目）,rent_settings.sales_upper_3,地代家賃設定.上限なし,月次予算設定.変動費用予算,P13
1次,地代家賃設定,設定入力画面,売上歩合率（3段目）,L0,-,ユーザー入力単独,ユーザーが%入力,入力値,入力値,B,賃料設定マスタ（設定）,段階別歩合の売上歩合率（3段目）,rent_settings.tier_rate_3,地代家賃設定.段階数,月次予算設定.変動費用予算,P14
1次,地代家賃設定,設定入力画面,上限なし（フラグ）,L0,-,ユーザー入力単独,最終段階の上限なしフラグ,フラグ,入力値,C,賃料設定マスタ（設定）,段階別歩合の最終段階で上限を設けない場合の制御フラグ,rent_settings.no_upper_limit,-,地代家賃設定.売上上限（3段目）,P15
1次,地代家賃設定,設定入力画面,最低保証額,L0,-,ユーザー入力単独,ユーザーが金額入力（任意）,入力値,入力値,A,賃料設定マスタ（設定）,変動賃料・段階別歩合時の最低保証額。POS売上がない/少ない場合に適用,rent_settings.min_guarantee,地代家賃設定.賃料体系,月次予算設定.変動費用予算,P16
1次,地代家賃設定,設定入力画面,売上閾値,L0,-,ユーザー入力単独,ユーザーが金額入力（任意）,入力値,入力値,C,賃料設定マスタ（設定）,変動賃料時の歩合計算適用閾値,rent_settings.sales_threshold,地代家賃設定.賃料体系,月次予算設定.変動費用予算,P17
1次,地代家賃設定,設定入力画面,売上歩合対象率,L0,-,ユーザー入力単独,ユーザーが%入力（デフォ100%）,入力値,入力値,C,賃料設定マスタ（設定）,総売上のうち歩合計算対象となる割合（消費税抜き比率など用途想定）,rent_settings.sales_target_ratio,地代家賃設定.賃料体系,月次予算設定.変動費用予算,P18
1次,地代家賃設定,設定入力画面,適用開始日,L0,-,ユーザー入力単独,ユーザーが日付入力（同日重複不可）,入力値,入力値,S,賃料設定マスタ（設定）,この賃料設定が適用される開始日。同じ適用開始日の設定は登録不可（履歴分割保存対応済/FIX-4）,rent_settings.applied_from,-,賃料設定履歴,P19
1次,地代家賃設定,設定入力画面,条件選択,L0,-,ユーザー入力単独,合算（固定賃料+歩合額） or 最大値選択（固定賃料or歩合額）,マスタ参照,入力値,A,賃料設定マスタ（設定）,変動賃料・段階別歩合時のみ表示。合算or最大値選択で計算式が変わる,rent_settings.condition_type,地代家賃設定.賃料体系,地代家賃設定.地代家賃シミュレーション金額,P2
1次,地代家賃設定,設定入力画面,月額売上予算（シミュレーション入力）,L0,-,ユーザー入力単独,ユーザーが金額入力（シミュ専用・保存されない）,入力値,入力値,C,シミュレーション入力,賃料体系に応じた地代家賃の試算用入力（永続化されない）,-,-,地代家賃設定.地代家賃シミュレーション金額,P20
1次,地代家賃設定,設定入力画面,段階数,L0,-,ユーザー入力単独,ユーザー選択（デフォ3段階）,マスタ参照,入力値,B,賃料設定マスタ（設定）,賃料体系=段階別歩合時のみ表示。段階数に応じて入力欄を動的に生成,rent_settings.tier_count,地代家賃設定.賃料体系,地代家賃設定.売上下限; 地代家賃設定.売上上限; 地代家賃設定.売上歩合率,P3
1次,地代家賃設定,設定入力画面,固定賃料,L0,-,ユーザー入力単独,ユーザーが金額入力,入力値,入力値,S,賃料設定マスタ（設定）,毎月固定の賃料額。賃料体系により加算先が変わる,rent_settings.fixed_rent,地代家賃設定.賃料体系,月次予算設定.固定費用予算; 月次予算設定.変動費用予算,P4
1次,地代家賃設定,設定入力画面,歩合率,L0,-,ユーザー入力単独,ユーザーが%入力（0～100%）,入力値,入力値,A,賃料設定マスタ（設定）,売上に対する歩合率。変動賃料時に使用,rent_settings.commission_rate,地代家賃設定.賃料体系,月次予算設定.変動費用予算,P5
1次,地代家賃設定,設定入力画面,売上下限（1段目）,L0,-,ユーザー入力単独,ユーザーが金額入力,入力値,入力値,B,賃料設定マスタ（設定）,段階別歩合の売上下限（1段目）,rent_settings.sales_lower_1,地代家賃設定.段階数,月次予算設定.変動費用予算,P6
1次,地代家賃設定,設定入力画面,売上上限（1段目）,L0,-,ユーザー入力単独,ユーザーが金額入力,入力値,入力値,B,賃料設定マスタ（設定）,段階別歩合の売上上限（1段目）,rent_settings.sales_upper_1,地代家賃設定.段階数,月次予算設定.変動費用予算,P7
1次,地代家賃設定,設定入力画面,売上歩合率（1段目）,L0,-,ユーザー入力単独,ユーザーが%入力,入力値,入力値,B,賃料設定マスタ（設定）,段階別歩合の売上歩合率（1段目）,rent_settings.tier_rate_1,地代家賃設定.段階数,月次予算設定.変動費用予算,P8
1次,地代家賃設定,設定入力画面,売上下限（2段目）,L0,-,ユーザー入力単独,自動,入力値,入力値,B,賃料設定マスタ（設定）,段階別歩合の売上下限（2段目）,rent_settings.sales_lower_2,地代家賃設定.売上上限（1段目）,月次予算設定.変動費用予算,P9
1次,売上構成比設定,設定入力画面,ランチ比率,L0,-,ユーザー入力単独,売上構成比設定画面でランチ売上比率を入力,入力値（％）,budget_sales_compositions.lunch_ratio,B,予算設定（入力）,ランチ/ディナー・フード/ドリンク/その他の売上構成比を設定,budget_sales_compositions.lunch_ratio,ユーザー入力（売上構成比設定）,予算設定.ランチ売上比,72
1次,売上構成比設定,設定入力画面,ディナー比率,L0,-,ユーザー入力単独,売上構成比設定画面でディナー売上比率を入力,入力値（％）,budget_sales_compositions.dinner_ratio,B,予算設定（入力）,ランチ/ディナー・フード/ドリンク/その他の売上構成比を設定,budget_sales_compositions.dinner_ratio,ユーザー入力（売上構成比設定）,-,73
1次,売上構成比設定,設定入力画面,フード構成比,L0,-,ユーザー入力単独,売上構成比設定画面でフード売上比率を入力,入力値（％）,budget_sales_compositions.food_ratio,B,予算設定（入力）,ランチ/ディナー・フード/ドリンク/その他の売上構成比を設定,budget_sales_compositions.food_ratio,ユーザー入力（売上構成比設定）,予算設定.フード売上比,74
1次,売上構成比設定,設定入力画面,ドリンク構成比,L0,-,ユーザー入力単独,売上構成比設定画面でドリンク売上比率を入力,入力値（％）,budget_sales_compositions.drink_ratio,B,予算設定（入力）,ランチ/ディナー・フード/ドリンク/その他の売上構成比を設定,budget_sales_compositions.drink_ratio,ユーザー入力（売上構成比設定）,予算設定.ドリンク売上比,75
1次,売上構成比設定,設定入力画面,その他構成比,L0,-,ユーザー入力単独,売上構成比設定画面でその他売上比率を入力,入力値（％）,budget_sales_compositions.other_ratio,B,予算設定（入力）,ランチ/ディナー・フード/ドリンク/その他の売上構成比を設定,budget_sales_compositions.other_ratio,ユーザー入力（売上構成比設定）,予算設定.その他売上比,76
1次,売上経費入力（売上）,実績入力画面,店内売上（標準税率）税抜,L0,-,ユーザー入力単独,POS未連携店舗の店内売上を入力,-,-,A,head_office_connected_service_sales_logs（手入力・edited=1）,【ラクミーアプリ】POS未連携店舗向け。売上を手入力しラクミー経営管理に計上,head_office_connected_service_sales_logs.sales_excluded (edited=1),ユーザー入力,"集計（売上）, ラクミーウェブ.予実対比.総売上",776
1次,売上経費入力（売上）,実績入力画面,店外売上（軽減税率）税抜,L0,-,ユーザー入力単独,テイクアウト売上を入力,-,-,B,head_office_connected_service_sales_logs（手入力・edited=1）,【ラクミーアプリ】POS未連携店舗向け。売上を手入力しラクミー経営管理に計上,head_office_connected_service_sales_logs.sales_tax_reduced (edited=1),ユーザー入力,"集計（売上）, ラクミーウェブ.予実対比.総売上",778
1次,売上経費入力（売上）,実績入力画面,客数,L0,-,ユーザー入力単独,POS未連携店舗の客数を入力,-,-,B,head_office_connected_service_sales_logs（手入力・edited=1）,【ラクミーアプリ】POS未連携店舗向け。売上を手入力しラクミー経営管理に計上,head_office_connected_service_sales_logs.customers (edited=1),ユーザー入力,"集計（売上）, ラクミーウェブ.流入分析.客数",780
1次,売上経費入力（経費）,実績入力画面,人件費（概算人件費集計）,L0,-,ユーザー入力単独,勤怠未連携店舗のPA人件費概算を入力,-,-,A,daily_costs（手入力・type=PA人件費）,【ラクミーアプリ】勤怠システム未連携店舗向け。概算人件費を入力しPA人件費に計上,daily_costs.value (type=PA人件費),ユーザー入力,"集計（費用）, ラクミーウェブ.予実対比.PA人件費",781
1次,小口現金管理,実績入力画面,支払先,L0,-,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,petty_cashes.payment_destination,C,費用・棚卸（入力）,-,petty_cashes.payment_destination（小口現金入力）,-,-,82
1次,小口現金管理,実績入力画面,経費項目,L0,-,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,petty_cashes.description,C,費用・棚卸（入力）,-,petty_cashes.description（小口現金入力）,-,-,83
1次,小口現金管理,実績入力画面,出勤額,L0,-,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,petty_cashes.withdraw_tax_excluded_amount,C,費用・棚卸（入力）,-,petty_cashes.withdraw_tax_excluded_amount（小口現金入力）,-,小口現金管理.残高,84
1次,小口現金管理,実績入力画面,入金額,L0,-,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,petty_cashes.deposit_amount,C,費用・棚卸（入力）,-,petty_cashes.deposit_amount（小口現金入力）,-,小口現金管理.残高,85
1次,小口現金管理,実績入力画面,内容,L0,-,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,データ,petty_cashes.description,C,費用・棚卸（入力）,-,petty_cashes.description（小口現金入力）,-,-,87
1次,小口現金管理,実績入力画面,経費コード,L0,-,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,費目参照,monthly_costs.cost_item_id,C,費用・棚卸（入力）,-,monthly_costs.cost_item_id（月次費用入力）,-,-,88
1次,小口現金管理,実績入力画面,税区分,L0,-,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,データ,petty_cashes.chart_of_account_id,C,費用・棚卸（入力）,-,petty_cashes.chart_of_account_id（小口現金入力）,-,-,89
1次,店舗管理,設定入力画面,店舗名,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,shops.name,B,店舗マスタ（設定）,店舗の基本情報設定。坪数・席数等はKPI計算に使用,shops.name,-,-,31
1次,店舗管理,設定入力画面,電話番号,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,shops.phone_number,D,店舗マスタ（設定）,店舗の基本情報設定。坪数・席数等はKPI計算に使用,shops.phone_number,-,-,32
1次,店舗管理,設定入力画面,郵便番号,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,shops.postal_code,D,店舗マスタ（設定）,店舗の基本情報設定。坪数・席数等はKPI計算に使用,shops.postal_code,-,-,33
1次,店舗管理,設定入力画面,都道府県,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,shops.prefecture,D,店舗マスタ（設定）,店舗の基本情報設定。坪数・席数等はKPI計算に使用,shops.prefecture,-,-,34
1次,店舗管理,設定入力画面,住所,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,shops.address,D,店舗マスタ（設定）,店舗の基本情報設定。坪数・席数等はKPI計算に使用,shops.address,-,-,35
1次,店舗管理,設定入力画面,建物,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,shops.building,D,店舗マスタ（設定）,店舗の基本情報設定。坪数・席数等はKPI計算に使用,shops.building,-,-,36
1次,店舗管理,設定入力画面,業種,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,shops.industry_type,D,店舗マスタ（設定）,店舗の基本情報設定。坪数・席数等はKPI計算に使用,shops.industry_type,-,-,37
1次,店舗管理,設定入力画面,業態,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,shops.business_type,D,店舗マスタ（設定）,店舗の基本情報設定。坪数・席数等はKPI計算に使用,shops.business_type,-,-,38
1次,店舗管理,設定入力画面,総卓数,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,shops.total_table_num,B,店舗マスタ（設定）,店舗の基本情報設定。坪数・席数等はKPI計算に使用,shops.total_table_num,-,流入分析.総卓数,39
1次,店舗管理,設定入力画面,総席数,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,shops.total_seat_num,B,店舗マスタ（設定）,店舗の基本情報設定。坪数・席数等はKPI計算に使用,shops.total_seat_num,-,流入分析.総席数,40
1次,店舗管理,設定入力画面,坪数,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,shops.total_area_num,B,店舗マスタ（設定）,店舗の基本情報設定。坪数・席数等はKPI計算に使用,shops.total_area_num,-,主要KPI指標.坪月商,41
1次,店舗管理,設定入力画面,初期投資額,L0,-,ユーザー入力単独,ユーザーが設定入力,入力値,shops.initial_investment,B,店舗マスタ（設定）,店舗の基本情報設定。坪数・席数等はKPI計算に使用,shops.initial_investment,-,主要KPI指標.ROI,42
1次,店舗間商品移動,実績入力画面,相手店舗,L0,-,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,店舗マスタ,stocking_transfers.counter_party_shop_id,C,費用・棚卸（入力）,店舗間の商品移動を管理。FD仕入の調整に反映,stocking_transfers.counter_party_shop_id（店舗間移動入力）,-,-,91
1次,店舗間商品移動,実績入力画面,仕入金額（税抜）,L0,-,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,stocking_transfers.price_excluded_tax,C,費用・棚卸（入力）,店舗間の商品移動を管理。FD仕入の調整に反映,stocking_transfers.price_excluded_tax（店舗間移動入力）,-,平均単価推移.仕入金額（税抜）,92
1次,店舗間商品移動,実績入力画面,提供金額（税抜）,L0,-,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,stocking_transfers.price_excluded_tax,C,費用・棚卸（入力）,店舗間の商品移動を管理。FD仕入の調整に反映,stocking_transfers.price_excluded_tax（店舗間移動入力）,-,-,93
