次数,ターゲット,画面タイトル,画面タイプ,1次指標名,2次指標名,3次指標名,4次指標名,5次指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,データ負荷レベル,スナップショット対象,依存先指標,被参照指標,判断基準・閾値目安,データ基盤要件,V69No/戦略No
1次,本部管理者,費用実績入力,実績入力画面,金額,,,,,L0,-,ユーザー入力単独,店舗間商品移動画面での直接入力,入力値,stocking_transfers.price_excluded_tax,C,費用・棚卸（入力）,費用実績の入力・管理,stocking_transfers.price_excluded_tax,低,×,-,-,-,既存(V89/V69),42
1次,本部管理者,費目別仕入分析,分析画面,費目,,,,,L0,-,マスタ参照表示,マスタから取得して表示,費目マスタ,monthly_cost_items.name,D,店舗マスタ（設定）,費目別の仕入分析,monthly_cost_items.name,低,×,[マスタ]monthly_cost_items.name,-,-,既存(V89/V69),151
2次,本部管理者,ABC分析,分析画面,,商品,,,,L1,同画面内,外部連携単独,POSデータから単独取得,商品マスタ,TITEM.item_name,D,POS（売上・客数）,商品別売上のABC分析,head_office_item_sales_logs.item_name,高,◎,[外部]TITEM.item_name,商品別仕入分析.商品,-,既存(V89/V69),44
2次,本部管理者,ABC分析,分析画面,,売上（税抜）,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.sales_excluded) GROUP BY item_name,A,POS（売上・客数）,商品別売上のABC分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,"ABC分析.価格, ABC分析.売上構成比率, 店舗別サマリー.売上（税抜）, 当月実績.売上（税抜）, 日次レポート.売上（税抜）, 日次推移.売上（税抜）",-,既存(V89/V69),45
2次,本部管理者,ABC分析,分析画面,,売上構成比率,,,,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,商品÷総売上×100,ABC分析.売上（税抜） ÷ 当月実績.売上（税抜） × 100,A,計算項目,商品別売上のABC分析,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded",最高,◎,"ABC分析.売上（税抜）, 当月実績.売上（税抜）",-,-,既存(V89/V69),46
2次,本部管理者,ABC分析,分析画面,,販売点数,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.quantity) GROUP BY item_name,C,POS（売上・客数）,商品別売上のABC分析,head_office_item_sales_logs.quantity,高,◎,[外部]TITEM.quantity,"ABC分析.価格, ABC分析.販売点数構成比率, 商品別売上分析.販売数量",-,既存(V89/V69),47
2次,本部管理者,ABC分析,分析画面,,販売点数構成比率,,,,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,商品数÷総数×100,ABC分析.販売点数 ÷ SUM(ABC分析.販売点数) × 100,C,計算項目,商品別売上のABC分析,head_office_item_sales_logs.quantity,高,◎,ABC分析.販売点数,-,-,既存(V89/V69),48
2次,本部管理者,ABC分析,分析画面,,価格,,,,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,ABC分析.売上（税抜） ÷ ABC分析.販売点数,C,計算項目,商品別売上のABC分析,"head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity",高,◎,"ABC分析.売上（税抜）, ABC分析.販売点数",商品別売上分析.商品単価（税抜）,-,既存(V89/V69),49
2次,本部管理者,PA人件費率分析,分析画面,,目標PA人件費率,,,,L1,同画面内,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.ratio,B,予算設定（入力）,PA人件費率の分析,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",低,×,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,-,既存(V89/V69),50
2次,本部管理者,予実対比,分析画面,,FD仕入　計,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM,"SUM(tax_excluded_total) WHERE category IN ('フード', 'ドリンク') GROUP BY year",C,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,高,◎,[外部]infomart_transactions.total_tax_excluded,-,-,既存(V89/V69),100
2次,本部管理者,予実対比,分析画面,,人件費　計,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,C,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_connected_service_labor_costs_logs.labor_costs,高,◎,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,-,既存(V89/V69),101
2次,本部管理者,予実対比,分析画面,,その他経費　計,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,SUM,SUM(monthly_costs.value) WHERE cost_type = '経費' GROUP BY year,C,計算項目,予算と実績の対比分析,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),102
2次,本部管理者,予実対比,分析画面,,ラクミー利用料,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'ラクミー利用料',C,計算項目,予算と実績の対比分析,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),103
2次,本部管理者,予実対比,分析画面,,レジ利用料,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'レジ利用料',C,計算項目,予算と実績の対比分析,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),104
2次,本部管理者,予実対比,分析画面,,借入金返済,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '借入金返済',C,計算項目,予算と実績の対比分析,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),105
2次,本部管理者,予実対比,分析画面,,フード売上ランチ,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),106
2次,本部管理者,予実対比,分析画面,,フード売上ディナー,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),107
2次,本部管理者,予実対比,分析画面,,ドリンク売上ランチ,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),108
2次,本部管理者,予実対比,分析画面,,ドリンク売上ディナー,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),109
2次,本部管理者,予実対比,分析画面,,フード仕入,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード' GROUP BY year,C,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,高,◎,[外部]infomart_transactions.total_tax_excluded,-,-,既存(V89/V69),110
2次,本部管理者,予実対比,分析画面,,ドリンク仕入,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク' GROUP BY year,C,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,高,◎,[外部]infomart_transactions.total_tax_excluded,-,-,既存(V89/V69),111
2次,本部管理者,予実対比,分析画面,,固定人件費,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者' GROUP BY year,C,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_connected_service_labor_costs_logs.labor_costs,高,◎,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,-,既存(V89/V69),112
2次,本部管理者,予実対比,分析画面,,PA人件費,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM年間,SUM(head_office_employee_working_records.daily_cost) GROUP BY year,C,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_employee_working_records.daily_cost,高,◎,[外部]head_office_employee_working_records.daily_cost,-,-,既存(V89/V69),113
2次,本部管理者,予実対比,分析画面,,ヘルプ人件費,,,,L1,同画面内,外部連携×外部連携,KOT内の複数データ組合せ,help_costs-help_costs_minus,店舗別人件費.ヘルプ人件費 - 店舗別人件費.ヘルプ人件費マイナス,C,計算項目,予算と実績の対比分析,"head_office_connected_service_labor_costs_logs.help_costs, head_office_connected_service_labor_costs_logs.help_costs_minus",最高,◎,SUM(紐づく店舗.予実対比.ヘルプ人件費),-,-,既存(V89/V69),114
2次,本部管理者,予実対比,分析画面,,地代家賃,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=家賃,monthly_costs.value WHERE cost_item = '家賃' GROUP BY year,C,計算項目,予算と実績の対比分析,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),115
2次,本部管理者,予実対比,分析画面,,資材費,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=資材費,monthly_costs.value WHERE cost_item = '資材費' GROUP BY year,C,計算項目,予算と実績の対比分析,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),116
2次,本部管理者,予実対比,分析画面,,水道光熱費,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=水道光熱費,monthly_costs.value WHERE cost_item = '水道光熱費' GROUP BY year,C,計算項目,予算と実績の対比分析,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),117
2次,本部管理者,予実対比,分析画面,,減価償却費,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=減価償却費,monthly_costs.value WHERE cost_item = '減価償却費' GROUP BY year,C,計算項目,予算と実績の対比分析,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),118
2次,本部管理者,予実対比,分析画面,,販促費,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=販促費,monthly_costs.value WHERE cost_item = '販促費' GROUP BY year,C,計算項目,予算と実績の対比分析,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),119
2次,本部管理者,予実対比,分析画面,,総売上,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),C,POS（売上・客数）,予算と実績の対比分析,head_office_connected_service_sales_logs.sales_excluded,高,◎,[外部]ZTOTAL.sales_excluded,-,-,既存(V89/V69),51
2次,本部管理者,予実対比,分析画面,,フード売上,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード',C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),52
2次,本部管理者,予実対比,分析画面,,フード売上ランチ,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),53
2次,本部管理者,予実対比,分析画面,,フード売上ディナー,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),54
2次,本部管理者,予実対比,分析画面,,ドリンク売上,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),55
2次,本部管理者,予実対比,分析画面,,ドリンク売上ランチ,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),56
2次,本部管理者,予実対比,分析画面,,ドリンク売上ディナー,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),57
2次,本部管理者,予実対比,分析画面,,割引・値引きなど,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.discount),C,POS（売上・客数）,予算と実績の対比分析,z_totals.discount,高,◎,[外部]ZTOTAL.discount,-,-,既存(V89/V69),58
