ダッシュボードカスタマイズ可能指標一覧（店舗画面）V81版
作成日: 2025-12-12（システム負荷情報追加）
目的: ダッシュボード表示画面に追加・削除可能な指標のリスト

【現在のダッシュボード表示画面の構成】
- 主要KPI指標: 坪月商、営業利益率、家賃比率、ROI
- 当月実績: 営業利益、売上（税抜）、FD仕入率、人件費率、FL率

No,区分,追加元画面タイトル,追加元画面カテゴリ,指標名,指標説明,演算式,演算式詳細,追加先ダッシュボード候補,表示形式提案,優先度,参照頻度,演算コスト,システム負荷,推奨対応,負荷コメント
49,既存指標,年間予実対比（サマリー）,集計,年間営業利益推移,12ヶ月の営業利益推移,月別GROUP BY,当月実績.営業利益 GROUP BY MONTH(date) LIMIT 12,主要KPI指標,ミニ折れ線グラフ,S,中,中,中,監視継続,-
50,既存指標,年間予実対比（サマリー）,集計,年間FD仕入額推移,12ヶ月のFD仕入額推移,月別SUM,SUM(infomart_transactions.total_tax_excluded) GROUP BY MONTH(date) LIMIT 12,当月実績,ミニ折れ線グラフ,B,中,中,中,監視継続,-
51,既存指標,年間予実対比（サマリー）,集計,年間人件費額推移,12ヶ月の人件費額推移,月別SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY MONTH(date) LIMIT 12,当月実績,ミニ折れ線グラフ,B,中,中,中,監視継続,-
52,既存指標,年間予実対比（サマリー）,集計,年間客単価推移,12ヶ月の客単価推移,月別AVG,AVG(head_office_connected_service_sales_logs.sales_excluded ÷ customers) GROUP BY MONTH(date) LIMIT 12,当月実績,ミニ折れ線グラフ,A,中,中,中,監視継続,-
53,既存指標,月次集計,集計,仕入費率,当月の仕入費率,仕入÷売上×100,SUM(infomart_transactions.total_tax_excluded) ÷ 当月実績.売上（税抜） × 100,当月実績,数値表示,A,中,中,中,監視継続,-
54,既存指標,月次集計,集計,PA人件費率,当月のPA人件費率,PA人件費÷売上×100,SUM(head_office_employee_working_records.daily_cost) ÷ 当月実績.売上（税抜） × 100,当月実績,数値表示,A,中,高,高,事前計算・非同期処理,スナップショット必須（0から計算で負荷大）
55,既存指標,月次レポート,集計,原価率,当月の原価率,原価÷売上×100,(月次レポート.対象前月在庫 + 月次レポート.仕入総額 - 月次レポート.対象月在庫) ÷ 当月実績.売上（税抜） × 100,主要KPI指標,数値表示,A,低,中,中,監視継続,-
56,既存指標,日次レポート,集計,本日売上（税抜）,本日の売上,日付フィルタ,head_office_connected_service_sales_logs.sales_excluded WHERE date = TODAY(),当月実績,数値表示（リアルタイム）,S,中,中,中,監視継続,-
57,既存指標,日次レポート,集計,本日仕入（税抜）,本日の仕入,日付フィルタ,infomart_transactions.total_tax_excluded WHERE date = TODAY(),当月実績,数値表示,A,中,中,中,監視継続,-
58,既存指標,日次レポート,集計,本日PA人件費,本日のPA人件費,日付フィルタ,head_office_employee_working_records.daily_cost WHERE date = TODAY(),当月実績,数値表示,A,中,中,中,監視継続,-

【登録管理画面からの追加候補】

59,既存指標,店舗管理,登録管理,総席数,店舗の総席数,設定値参照,shops.total_seat_num,主要KPI指標,数値表示,B,中,中,中,監視継続,-
60,既存指標,店舗管理,登録管理,総卓数,店舗の総卓数,設定値参照,shops.total_table_num,主要KPI指標,数値表示,B,中,中,中,監視継続,-
61,既存指標,店舗管理,登録管理,坪数,店舗の坪数,設定値参照,shops.total_area_num,主要KPI指標,数値表示,B,中,中,中,監視継続,-
62,既存指標,店舗管理,登録管理,初期投資額,店舗の初期投資額,設定値参照,shops.initial_investment,主要KPI指標,数値表示,B,中,中,中,監視継続,-

【新指標（UIカスタマイズ提案）からの追加候補】

63,新指標,期間比較拡張,売上分析,売上前年比（日次）,当日売上÷前年同日売上×100,前年比計算,head_office_connected_service_sales_logs.sales_excluded[当日] ÷ head_office_connected_service_sales_logs.sales_excluded[前年同日] × 100,主要KPI指標/当月実績,数値表示（%）+ アイコン,S,中,中,中,監視継続,-
64,新指標,期間比較拡張,売上分析,売上前年比（月次）,当月売上÷前年同月売上×100,前年比計算,head_office_connected_service_sales_logs.sales_excluded[当月] ÷ head_office_connected_service_sales_logs.sales_excluded[前年同月] × 100,主要KPI指標/当月実績,数値表示（%）+ アイコン,S,中,中,中,監視継続,-
65,新指標,期間比較拡張,売上分析,売上前月比,当月売上÷前月売上×100,前月比計算,head_office_connected_service_sales_logs.sales_excluded[当月] ÷ head_office_connected_service_sales_logs.sales_excluded[前月] × 100,当月実績,数値表示（%）+ アイコン,A,中,中,中,監視継続,-
66,新指標,期間比較拡張,売上分析,売上前週比,当週売上÷前週売上×100,前週比計算,SUM(head_office_connected_service_sales_logs.sales_excluded[当週]) ÷ SUM(head_office_connected_service_sales_logs.sales_excluded[前週]) × 100,当月実績,数値表示（%）+ アイコン,A,中,中,中,監視継続,-
67,新指標,期間比較拡張,利益分析,営業利益前年比,当月営業利益÷前年同月営業利益×100,前年比計算,当月実績.営業利益[当月] ÷ 当月実績.営業利益[前年同月] × 100,主要KPI指標/当月実績,数値表示（%）+ アイコン,S,中,中,中,監視継続,-
68,新指標,期間比較拡張,利益分析,営業利益率改善幅,当月営業利益率-前年同月営業利益率,差分計算,主要KPI指標.営業利益率[当月] - 主要KPI指標.営業利益率[前年同月],主要KPI指標,数値表示（pp）,A,中,中,中,監視継続,-
69,新指標,期間比較拡張,客数分析,客数前年比（日次）,当日客数÷前年同日客数×100,前年比計算,head_office_connected_service_sales_logs.customers[当日] ÷ head_office_connected_service_sales_logs.customers[前年同日] × 100,当月実績,数値表示（%）+ アイコン,A,中,中,中,監視継続,-
70,新指標,期間比較拡張,客単価分析,客単価前年比,当月客単価÷前年同月客単価×100,前年比計算,(当月実績.売上（税抜） ÷ 当月実績.客数)[当月] ÷ (当月実績.売上（税抜） ÷ 当月実績.客数)[前年同月] × 100,主要KPI指標,数値表示（%）+ アイコン,A,中,中,中,監視継続,-
71,新指標,期間比較拡張,コスト分析,FD仕入率改善幅,当月FD仕入率-前年同月FD仕入率,差分計算,当月実績.FD仕入率[当月] - 当月実績.FD仕入率[前年同月],当月実績,数値表示（pp）+ 色分け,S,中,中,中,監視継続,-
72,新指標,期間比較拡張,コスト分析,PA人件費率改善幅,当月PA人件費率-前年同月PA人件費率,差分計算,当月実績.人件費率[当月] - 当月実績.人件費率[前年同月],当月実績,数値表示（pp）+ 色分け,S,中,中,中,監視継続,-
73,新指標,合成指標,効率性分析,人時売上高,売上÷総労働時間,売上÷労働時間,SUM(head_office_connected_service_sales_logs.sales_excluded) ÷ SUM(head_office_employee_working_records.working_hours),主要KPI指標,数値表示（円/時間）,A,中,中,中,監視継続,-
74,新指標,合成指標,効率性分析,人時生産性,(売上-FD仕入)÷総労働時間,粗利÷労働時間,(SUM(head_office_connected_service_sales_logs.sales_excluded) - SUM(infomart_transactions.total_tax_excluded)) ÷ SUM(head_office_employee_working_records.working_hours),主要KPI指標,数値表示（円/時間）,A,中,中,中,監視継続,-
75,新指標,合成指標,予実分析,営業利益予実差額,営業利益実績-営業利益予算,実績-予算,当月実績.営業利益 - monthly_budgets.profit,当月実績,数値表示（+/-色分け）,S,中,中,中,監視継続,-
76,新指標,合成指標,予実分析,日次目標残,月次目標-累計売上,目標-累計,monthly_budgets.sales - SUM(head_office_connected_service_sales_logs.sales_excluded[月初〜当日]),当月実績,数値表示 + 達成率バー,S,中,中,中,監視継続,-
77,新指標,合成指標,予実分析,日次必要売上,(月次目標-累計売上)÷残営業日数,目標残÷残日数,(monthly_budgets.sales - SUM(head_office_connected_service_sales_logs.sales_excluded[月初〜当日])) ÷ (月末日 - 当日),当月実績,数値表示（円/日）,S,中,中,中,監視継続,-
78,新指標,ディメンション,時系列分析,週別売上推移,週別の売上推移グラフ,週別GROUP BY,SUM(head_office_connected_service_sales_logs.sales_excluded) GROUP BY WEEK(date),当月実績,折れ線グラフ,A,中,中,中,監視継続,-
79,新指標,ディメンション,ラベル別分析,仕入商品ラベル別仕入額,ラベル別の仕入額構成,ラベル別GROUP BY,SUM(infomart_transactions.total_tax_excluded) GROUP BY item_labels.label_name,当月実績,棒グラフ + 構成比,B,中,中,中,監視継続,-
80,新指標,多次元分析,曜日×時間帯,曜日×時間帯別売上,曜日と時間帯のクロス集計,2軸GROUP BY,AVG(head_office_connected_service_sales_logs.sales_excluded) GROUP BY DAYOFWEEK(date) × HOUR(order_time),当月実績,ヒートマップ,A,中,中,中,監視継続,-
81,新指標,多次元分析,曜日×時間帯,曜日×時間帯別客数,曜日と時間帯の客数クロス集計,2軸GROUP BY,AVG(head_office_connected_service_sales_logs.customers) GROUP BY DAYOFWEEK(date) × HOUR(order_time),当月実績,ヒートマップ,A,中,中,中,監視継続,-
82,新指標,期間比較,前年同期比較,全KPI前年同日比較,全KPIの前年同日との比較,全KPI前年比,各KPI[当日] ÷ 各KPI[前年同日] × 100,当月実績,比較表,S,中,中,中,監視継続,-
83,新指標,期間比較,前年同期比較,全KPI前年同月比較,全KPIの前年同月との比較,全KPI前年比,各KPI[当月] ÷ 各KPI[前年同月] × 100,当月実績,比較表,S,中,中,中,監視継続,-
84,新指標,期間比較,累計比較,月次累計売上,月初から当日までの累計売上,累計SUM,SUM(head_office_connected_service_sales_logs.sales_excluded) WHERE date BETWEEN 月初 AND TODAY(),当月実績,累計推移グラフ,S,中,中,中,監視継続,-
85,新指標,期間比較,移動平均,7日移動平均売上,売上の7日移動平均,移動平均,AVG(head_office_connected_service_sales_logs.sales_excluded) OVER (ROWS 6 PRECEDING),当月実績,折れ線グラフ,A,中,中,中,監視継続,-
86,新指標,新指標（実現性高）,予測分析,本日売上予測,過去同曜日売上からの予測値,加重平均,WEIGHTED_AVG(head_office_connected_service_sales_logs.sales_excluded[過去4週同曜日]),当月実績,予測値表示,A,中,中,中,監視継続,-
87,新指標,新指標（実現性高）,予測分析,月末着地予測,累計売上+日平均×残日数,線形予測,SUM(head_office_connected_service_sales_logs.sales_excluded[月初〜当日]) + AVG(日次売上[当月]) × (月末日 - 当日),当月実績,予測値 + 目標差異,S,中,中,中,監視継続,-
88,新指標,新指標（実現性高）,アラート,FL率超過アラート,FL率が目標超過時のアラート,条件判定,IF((当月実績.FD仕入率 + 当月実績.人件費率) > monthly_budgets.target_fl_rate) THEN アラート,主要KPI指標,アラートカード,S,中,中,中,監視継続,-
89,新指標,新指標（実現性高）,アラート,売上進捗遅れアラート,売上進捗が日数進捗を下回る時のアラート,条件判定,IF(売上進捗分析.売上進捗率 < (経過日数 ÷ 月間日数 × 100)) THEN アラート,主要KPI指標,アラートカード,S,中,中,中,監視継続,-
90,新指標,新指標（実現性高）,アラート,仕入異常アラート,仕入が過去平均×1.5超時のアラート,条件判定,IF(日次レポート.仕入（税抜） > AVG(過去30日仕入) × 1.5) THEN アラート,当月実績,アラートカード,A,中,中,中,監視継続,-
91,新指標,新指標（実現性高）,スコアリング,日次総合スコア,KPIの加重平均スコア,加重平均,売上達成率×0.3 + (100-FD仕入率)×0.3 + (100-人件費率)×0.2 + 客数達成率×0.2,主要KPI指標,スコア表示 + ランク,B,中,中,中,監視継続,-
92,新指標,新指標（実現性中）,高度分析,損益分岐点売上,固定費÷(1-変動費率),BEP計算,monthly_budgets.fixed_cost ÷ (1 - 感度分析.変動費率 ÷ 100),主要KPI指標,数値表示 + 比較ゲージ,B,中,中,中,監視継続,-
93,新指標,新指標（実現性中）,高度分析,損益分岐点客数,BEP÷平均客単価,BEP÷客単価,損益分岐点売上 ÷ 感度分析.客単価（税抜）,主要KPI指標,数値表示（人）,B,中,中,中,監視継続,-
94,新指標,新指標（実現性中）,シフト最適化,時間帯別必要人数,時間帯別売上予測÷人時売上目標,売上予測÷目標,時間帯別売上予測 ÷ monthly_budgets.target_sales_per_hour,当月実績,時間帯別棒グラフ,A,中,中,中,監視継続,-

凡例:
区分: 既存指標=現在の画面に存在する指標 / 新指標=UIカスタマイズ提案の新規指標
優先度: S=最重要（日次確認必須）/ A=重要（週次確認推奨）/ B=標準（月次確認）/ C=参考
追加先ダッシュボード候補: 主要KPI指標 / 当月実績

演算式詳細の凡例:
- 外部連携テーブル: head_office_connected_service_sales_logs（ZTOTAL）、head_office_item_sales_logs（TITEM）、infomart_transactions、head_office_connected_service_labor_costs_logs、head_office_employee_working_records
- ラクミー内部テーブル: shops、employees、monthly_budgets、monthly_costs、labels、item_labels、sales_item_labels
- 画面間参照: 画面名.指標名 形式（例: 当月実績.売上（税抜））
- 設定値参照: monthly_budgets.*、shops.* 形式

カスタマイズ機能の想定仕様:
1. ユーザーがダッシュボードの各セクション（主要KPI指標、当月実績）に表示する指標を選択可能,中,中,中,監視継続,-
2. 上記リストから指標を追加・削除できる,中,中,中,監視継続,-
3. 表示順序をドラッグ&ドロップで変更可能,中,中,中,監視継続,-
4. デフォルト設定に戻すボタンあり,中,中,中,監視継続,-
5. 設定はユーザー単位で保存,中,中,中,監視継続,-

