UIカスタマイズ指標一覧（会社画面）V58
作成日: 2025-12-12
基準: 会社画面_データソース定義表_V58

カスタマイズレベル,カテゴリ,指標名,算出ロジック/説明,必要データソース,ディメンション,実現性,優先度,備考
L2: 既存指標の組み合わせ（合成指標）,効率性分析,労働生産性,売上（税抜）÷ 総労働時間,当月実績.売上 + 勤怠データ集計,-,中,A,人時効率
L2: 既存指標の組み合わせ（合成指標）,効率性分析,人時売上高,売上（税抜）÷ 総勤務時間,日次レポート.売上 + working_records,-,中,A,時間当たり売上
L2: 既存指標の組み合わせ（合成指標）,効率性分析,席回転率,客数 ÷ 総席数,客数.当月客数 + 店舗管理.総席数,-,高,A,席効率
L2: 既存指標の組み合わせ（合成指標）,効率性分析,テーブル回転率,組数 ÷ 総卓数,TTOTAL集計 + 店舗管理.総卓数,-,高,A,テーブル効率
L2: 既存指標の組み合わせ（合成指標）,効率性分析,坪効率,売上（税抜）÷ 坪数,当月実績.売上 + 店舗管理.坪数,-,高,A,面積効率
L2: 既存指標の組み合わせ（合成指標）,投資回収分析,投資回収月数,初期投資額 ÷ 月次営業利益,店舗管理.初期投資額 + 当月実績.営業利益,-,高,S,ROI計算の基礎
L2: 既存指標の組み合わせ（合成指標）,投資回収分析,投資回収進捗率,累計営業利益 ÷ 初期投資額 × 100,累計営業利益 + 店舗管理.初期投資額,期間（累計）,高,S,投資回収状況
L2: 既存指標の組み合わせ（合成指標）,予実分析,売上予実差額,売上実績 - 売上予算,当月実績.売上（税抜）+ 店舗ラベル別サマリー.売上目標,-,高,A,金額ベースの乖離
L2: 既存指標の組み合わせ（合成指標）,予実分析,営業利益予実差額,営業利益実績 - 営業利益予算,当月実績.営業利益 + 当月実績.営業利益予算,-,高,S,利益の乖離額
L2: 既存指標の組み合わせ（合成指標）,予実分析,客数予実差,客数実績 - 客数目標,客数.当月客数 + 予算設定,-,高,A,集客の乖離

L3: ディメンション追加（1次元）,店舗別分析,店舗別売上ランキング,店舗ごとの売上（税抜）を降順ソート,店舗別サマリー.売上（税抜）,店舗,高,A,店舗比較
L3: ディメンション追加（1次元）,店舗別分析,店舗別営業利益ランキング,店舗ごとの営業利益を降順ソート,店舗別サマリー.営業利益,店舗,高,S,利益貢献度
L3: ディメンション追加（1次元）,店舗別分析,店舗別FL率ランキング,店舗ごとのFL率を昇順ソート,店舗別FL率計算,店舗,高,S,コスト効率比較
L3: ディメンション追加（1次元）,ラベル別分析,ラベル別売上構成,ラベルごとの売上（税抜）の構成比,店舗ラベル別サマリー.売上（税抜）,ラベル,高,A,業態/エリア別分析
L3: ディメンション追加（1次元）,ラベル別分析,ラベル別営業利益構成,ラベルごとの営業利益の構成比,店舗ラベル別サマリー.営業利益,ラベル,高,S,業態別収益性
L3: ディメンション追加（1次元）,時系列分析,月別売上推移,月ごとの売上（税抜）の推移,年間予実対比データ,月,高,A,季節性把握
L3: ディメンション追加（1次元）,時系列分析,月別営業利益推移,月ごとの営業利益の推移,年間予実対比データ,月,高,S,利益の季節性
L3: ディメンション追加（1次元）,曜日別分析,曜日別平均売上,曜日ごとの平均売上（税抜）,曜日別売上分析データ,曜日,高,A,曜日パターン
L3: ディメンション追加（1次元）,時間帯別分析,時間帯別売上構成,時間帯ごとの売上（税抜）の構成比,時間帯別売上分析データ,時間帯,高,A,ピーク時間帯把握
L3: ディメンション追加（1次元）,商品別分析,商品カテゴリ別売上構成,カテゴリごとの売上（税抜）の構成比,ABC分析データ,商品カテゴリ,高,A,メニュー戦略

L4: 多次元分析（2次元以上）,店舗×時系列,店舗×月別売上マトリクス,店舗と月の2軸で売上を表示,店舗別サマリー + 年間データ,店舗×月,中,A,店舗別の季節性比較
L4: 多次元分析（2次元以上）,店舗×時系列,店舗×月別営業利益マトリクス,店舗と月の2軸で営業利益を表示,店舗別サマリー + 年間データ,店舗×月,中,S,店舗別の収益推移
L4: 多次元分析（2次元以上）,ラベル×時系列,ラベル×月別売上マトリクス,ラベルと月の2軸で売上を表示,店舗ラベル別サマリー + 年間データ,ラベル×月,中,A,業態別の季節性
L4: 多次元分析（2次元以上）,店舗×曜日,店舗×曜日別売上マトリクス,店舗と曜日の2軸で平均売上を表示,店舗別 + 曜日別データ,店舗×曜日,中,B,店舗別の曜日特性
L4: 多次元分析（2次元以上）,店舗×時間帯,店舗×時間帯別売上マトリクス,店舗と時間帯の2軸で売上を表示,店舗別 + 時間帯別データ,店舗×時間帯,中,B,店舗別のピーク時間
L4: 多次元分析（2次元以上）,商品×店舗,商品カテゴリ×店舗別売上マトリクス,商品と店舗の2軸で売上を表示,ABC分析 + 店舗別データ,商品×店舗,中,B,店舗別の売れ筋

L4: 多次元分析（3次元以上）,店舗×月×KPI,店舗×月×KPIキューブ,店舗/月/KPI種別の3軸分析,全KPIデータ,店舗×月×KPI,低,A,多角的分析（BIツール向け）
L4: 多次元分析（3次元以上）,ラベル×月×KPI,ラベル×月×KPIキューブ,ラベル/月/KPI種別の3軸分析,全KPIデータ,ラベル×月×KPI,低,B,業態別多角的分析
L4: 多次元分析（3次元以上）,店舗×曜日×時間帯,店舗×曜日×時間帯キューブ,3軸で売上パターン分析,詳細売上データ,店舗×曜日×時間帯,低,C,詳細パターン分析

L5: 期間比較分析,前年同期比較,全KPI前年同期比較,全KPIの前年同期比を一覧表示,全KPIデータ + 前年データ,期間（前年）,高,S,YoY分析
L5: 期間比較分析,前月比較,全KPI前月比較,全KPIの前月比を一覧表示,全KPIデータ + 前月データ,期間（前月）,高,A,MoM分析
L5: 期間比較分析,四半期比較,四半期別KPI比較,四半期ごとのKPI推移,全KPIデータ,期間（四半期）,中,B,QoQ分析
L5: 期間比較分析,累計比較,年度累計KPI,年度開始からの累計値,全KPIデータ,期間（累計）,高,A,YTD分析
L5: 期間比較分析,移動平均,3ヶ月移動平均売上,直近3ヶ月の平均売上,月次売上データ,期間（移動平均）,中,B,トレンド平滑化
L5: 期間比較分析,移動平均,12ヶ月移動平均売上,直近12ヶ月の平均売上,月次売上データ,期間（移動平均）,中,B,年間トレンド

L6: 新指標（実現性高）,予測分析,売上予測（線形）,過去データからの線形回帰予測,過去12ヶ月売上データ,-,中,A,簡易予測
L6: 新指標（実現性高）,予測分析,売上予測（季節調整）,季節性を考慮した予測,過去24ヶ月売上データ,-,中,A,季節性考慮予測
L6: 新指標（実現性高）,ベンチマーク,業界平均比較（FL率）,自社FL率と業界平均の比較,自社データ + 業界データ（外部）,-,低,B,外部データ必要
L6: 新指標（実現性高）,アラート,目標未達店舗数,売上達成率100%未満の店舗数,店舗別サマリー.売上達成率,店舗,高,A,アラート指標
L6: 新指標（実現性高）,アラート,FL率超過店舗数,FL率が目標を超過している店舗数,店舗別FL率 + 目標FL率,店舗,高,S,コストアラート
L6: 新指標（実現性高）,スコアリング,店舗総合スコア,複数KPIを重み付けした総合評価スコア,主要KPI全体,-,中,A,総合評価

L6: 新指標（実現性中）,高度分析,損益分岐点売上,固定費 ÷（1 - 変動費率）,費用設定 + 売上データ,-,中,B,BEP分析
L6: 新指標（実現性中）,高度分析,安全余裕率,（売上 - 損益分岐点売上）÷ 売上 × 100,損益分岐点 + 売上データ,-,中,B,リスク指標
L6: 新指標（実現性中）,高度分析,限界利益,売上 - 変動費,売上 + 変動費データ,-,中,B,変動費分析
L6: 新指標（実現性中）,高度分析,限界利益率,限界利益 ÷ 売上 × 100,限界利益 + 売上データ,-,中,B,変動費率分析
L6: 新指標（実現性中）,顧客分析,リピート率（推定）,再来店客数 ÷ 総客数（予約データベース）,予約データ分析,-,低,B,予約データ必要
L6: 新指標（実現性中）,顧客分析,新規客比率（推定）,新規客数 ÷ 総客数（予約データベース）,予約データ分析,-,低,B,予約データ必要

L6: 新指標（実現性低）,AI分析,売上異常検知,機械学習による異常値検出,過去売上データ + ML,-,低,C,ML実装必要
L6: 新指標（実現性低）,AI分析,需要予測AI,機械学習による需要予測,過去データ + 外部要因 + ML,-,低,B,ML実装必要
L6: 新指標（実現性低）,AI分析,最適価格提案,価格弾力性分析に基づく提案,販売データ + 価格データ + ML,-,低,C,ML実装必要
L6: 新指標（実現性低）,外部連携,天候影響分析,天候データとの相関分析,売上データ + 天候API,-,低,C,外部API必要
L6: 新指標（実現性低）,外部連携,イベント影響分析,地域イベントとの相関分析,売上データ + イベントAPI,-,低,C,外部API必要
L6: 新指標（実現性低）,外部連携,競合店影響分析,近隣競合の影響分析,売上データ + 競合情報,-,低,C,外部データ必要

凡例:
実現性: 高=既存データで即実装可能 / 中=追加開発・設定で実装可能 / 低=外部データや高度な技術が必要
優先度: S=最重要（経営判断直結）/ A=重要（業績管理必須）/ B=標準（分析精度向上）/ C=参考（将来対応）
