16,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名7,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名7,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定
17,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名8,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名8,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定
18,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名9,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名9,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定
19,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名10,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名10,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定
20,設定入力画面,ラベル設定（売上商品リスト）,商品ID,L2,D,-,商品マスタ（参照）,マスタ参照表示,POS商品マスタから商品IDを参照表示,マスタ参照,head_office_item_sales_logs.item_id,-,head_office_item_sales_logs.item_id,-,-,[マスタ]head_office_item_sales_logs.item_id,-,head_office_item_sales_logs.item_id → ラベル設定（売上商品リスト）.商品ID,設定/入力検証済,データソース: POS（商品別）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
21,設定入力画面,ラベル設定（売上商品リスト）,商品名,L2,D,-,商品マスタ（参照）,マスタ参照表示,POS商品マスタから商品名を参照表示,マスタ参照,head_office_item_sales_logs.item_name,-,head_office_item_sales_logs.item_name,-,-,[マスタ]head_office_item_sales_logs.item_name,-,head_office_item_sales_logs.item_name → ラベル設定（売上商品リスト）.商品名,設定/入力検証済,データソース: POS（商品別）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
22,設定入力画面,ラベル設定（売上商品リスト）,商品ID（連携サービス）,L2,D,-,商品マスタ（参照）,マスタ参照表示,POS商品マスタから連携サービス商品IDを参照表示,マスタ参照,head_office_item_sales_logs.external_item_id,-,head_office_item_sales_logs.external_item_id,-,-,[マスタ]head_office_item_sales_logs.external_item_id,-,head_office_item_sales_logs.external_item_id → ラベル設定（売上商品リスト）.商品ID（連携サービス）,設定/入力検証済,データソース: POS（商品別）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
23,設定入力画面,ラベル設定（売上商品リスト）,商品コード（連携サービス）,L2,D,-,商品マスタ（参照）,マスタ参照表示,POS商品マスタから連携サービス商品コードを参照表示,マスタ参照,head_office_item_sales_logs.external_item_code,-,head_office_item_sales_logs.external_item_code,-,-,[マスタ]head_office_item_sales_logs.external_item_code,-,head_office_item_sales_logs.external_item_code → ラベル設定（売上商品リスト）.商品コード（連携サービス）,設定/入力検証済,データソース: POS（商品別）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
24,設定入力画面,ラベル設定（売上商品リスト）,ラベル名,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,sales_item_labels.label_name,-,sales_item_labels.label_name,-,ユーザー入力（ラベル設定）,-,-,sales_item_labels.label_name → ラベル設定（売上商品リスト）.ラベル名,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
25,設定入力画面,ラベル設定（売上商品リスト）,ステータスフラグ,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,sales_item_labels.status,-,sales_item_labels.status,-,ユーザー入力（ラベル設定）,-,-,sales_item_labels.status → ラベル設定（売上商品リスト）.ステータスフラグ,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
26,設定入力画面,ラベル設定（売上商品リスト）,AIによるラベル生成,L2,D,-,AI生成,AI生成,AIによる自動生成,AI生成,-,-,-,-,AI生成,-,-,AI生成 → ラベル設定（売上商品リスト）.AIによるラベル生成,AI生成,AIによるラベル自動生成機能,-,-,設定入力画面,設定入力,AIが自動生成するラベル設定
27,設定入力画面,ラベル設定（発注先リスト）,発注先ID,L2,D,-,発注先マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_clients.id,-,infomart_clients.id,-,マスタ参照,-,-,infomart_clients.id → ラベル設定（発注先リスト）.発注先ID,設定/入力検証済,データソース: 発注先マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
28,設定入力画面,ラベル設定（発注先リスト）,発注先名,L2,D,-,発注先マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_clients.name,-,infomart_clients.name,-,マスタ参照,-,-,infomart_clients.name → ラベル設定（発注先リスト）.発注先名,設定/入力検証済,データソース: 発注先マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
29,設定入力画面,ラベル設定（発注先リスト）,ラベル名,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,client_labels.label_name,-,client_labels.label_name,-,ユーザー入力（ラベル設定）,-,-,client_labels.label_name → ラベル設定（発注先リスト）.ラベル名,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
30,設定入力画面,ラベル設定（発注先リスト）,ステータスフラグ,L2,D,-,発注先マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_clients.status,-,infomart_clients.status,-,ユーザー入力（ラベル設定）,-,-,infomart_clients.status → ラベル設定（発注先リスト）.ステータスフラグ,設定/入力検証済,データソース: 発注先マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
31,設定入力画面,予算設定,FD仕入費率,L1,D,-,予算設定（入力）,ユーザー入力単独,Step2: FD仕入費率を％で入力,入力値（％）,monthly_budgets.food_cost_rate,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 当月実績.売上（税抜）",-,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → 予算設定.FD仕入費率,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
32,設定入力画面,予算設定,変動費用予算,L4b,D,画面間,費用設定（集計）,設定値集計,月次費用入力で設定タイプ=変動費用予算の金額を集計,SUM(設定タイプ=変動費用予算),予算設定.予算金額 - 画面内計算,画面内計算値,-,-,-,画面内計算,-,画面内計算 → 予算設定.変動費用予算,演算検証済,インプット元: 画面内計算,変動費用予算の定義が不明,予算設定の構成要素を確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
33,設定入力画面,予算設定,ランチ売上比,L1,D,画面間,予算設定（参照）,設定値参照,売上構成比設定画面で入力したランチ比率を参照,参照表示（％）,予実対比.フード売上ランチ ÷ 予実対比.総売上 × 100,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","TITEM.sales_excluded,売上構成比設定.ランチ比率,POS売上（商品別）",POS売上（日別集計）,"予実対比.フード売上ランチ, 予実対比.総売上",-,TITEM.sales_excluded / ZTOTAL.sales_excluded → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.sales_excluded → 予算設定.ランチ売上比,スキーマ検証済,-,ランチ売上=フード売上ランチ？全カテゴリ？,ランチ売上の定義を確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
34,設定入力画面,予算設定,フード売上比,L1,D,画面間,予算設定（参照）,設定値参照,売上構成比設定画面で入力したフード構成比を参照,参照表示（％）,予実対比.フード売上 ÷ 予実対比.総売上 × 100,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","TITEM.sales_excluded,売上構成比設定.フード構成比,POS売上（商品別）",POS売上（日別集計）,"予実対比.フード売上, 予実対比.総売上",-,TITEM.sales_excluded / ZTOTAL.sales_excluded → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.sales_excluded → 予算設定.フード売上比,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
35,設定入力画面,予算設定,ドリンク売上比,L1,D,画面間,予算設定（参照）,設定値参照,売上構成比設定画面で入力したドリンク構成比を参照,参照表示（％）,予実対比.ドリンク売上 ÷ 予実対比.総売上 × 100,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","TITEM.sales_excluded,売上構成比設定.ドリンク構成比,POS売上（商品別）",POS売上（日別集計）,"予実対比.ドリンク売上, 予実対比.総売上",-,TITEM.sales_excluded / ZTOTAL.sales_excluded → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.sales_excluded → 予算設定.ドリンク売上比,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
36,設定入力画面,予算設定,その他売上比,L1,D,画面間,予算設定（参照）,設定値参照,売上構成比設定画面で入力したその他構成比を参照,参照表示（％）,予実対比.その他売上 ÷ 予実対比.総売上 × 100,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","TITEM.sales_excluded,売上構成比設定.その他構成比,POS売上（商品別）",POS売上（日別集計）,予実対比.総売上,-,TITEM.sales_excluded / ZTOTAL.sales_excluded → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.sales_excluded → 予算設定.その他売上比,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
37,設定入力画面,予算設定,変動費,L4b,D,画面間,計算項目,画面内演算,ユーザー入力値から自動計算,売上-粗利,予算設定.予算金額 - 画面内計算,画面内計算値,-,-,-,画面内計算,-,画面内計算 → 予算設定.変動費,演算検証済,インプット元: 画面内計算,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
38,設定入力画面,予算設定,粗利,L4b,D,画面間,計算項目,画面内演算,ユーザー入力値から自動計算,売上-変動費,予算設定.予算金額 - 画面内計算,画面内計算値,-,-,-,画面内計算,-,画面内計算 → 予算設定.粗利,演算検証済,インプット元: 画面内計算,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
39,設定入力画面,予算設定,固定費用予算,L4b,D,画面間,費用設定（集計）,設定値集計,月次費用入力で設定タイプ=固定費用予算の金額を集計,SUM(設定タイプ=固定費用予算),予算設定.予算金額 - 画面内計算,画面内計算値,-,-,-,画面内計算,-,画面内計算 → 予算設定.固定費用予算,演算検証済,インプット元: 画面内計算,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
40,設定入力画面,予算設定,日次目標値（税抜）,L4a,D,画面内,計算項目,予算設定参照×演算,月次予算設定の値を営業日数で日割り計算,月次予算設定.営業利益 ÷ (当月日数 - 休業日設定.休業日数),予算設定.予算金額 ÷ 営業日数,-,monthly_budgets.profit,-,-,月次予算設定.営業利益,-,monthly_budgets.profit → 予算設定.日次目標値(税抜),スキーマ検証済,-,営業日数の取得方法が不明,営業日カレンダーの有無を確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
41,設定入力画面,予算設定,日次目標客数,L4a,D,画面内,計算項目,予算設定参照×演算,月次予算設定の値を営業日数で日割り計算,月次予算設定.目標客数 ÷ (当月日数 - 休業日設定.休業日数),SUM(ZTOTAL.customers) ÷ 営業日数,-,head_office_connected_service_sales_logs.customers,-,-,月次予算設定.目標客数,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 予算設定.日次目標客数,スキーマ検証済,-,目標客数がSUM÷日数なのは誤り？,予算マスタから取得すべきか確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
42,設定入力画面,予算設定,日次目標売上（税抜）,L4a,D,画面内,計算項目,予算設定参照×演算,月次予算設定の値を営業日数で日割り計算,月次予算設定.売上（税抜） ÷ (当月日数 - 休業日設定.休業日数),SUM(ZTOTAL.sales_excluded) ÷ 営業日数,-,head_office_connected_service_sales_logs.sales_excluded,-,-,月次予算設定.売上（税抜）,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 予算設定.日次目標売上(税抜),スキーマ検証済,-,目標売上がSUM÷日数なのは誤り？,予算マスタから取得すべきか確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
43,設定入力画面,予算設定,客単価,L1,D,-,予算設定（入力）,ユーザー入力単独,Step3: 目標客単価を金額で入力,入力値（金額）,monthly_budgets.sales_per_customer,-,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","ZTOTAL.sales_excluded, ZTOTAL.customers",POS売上（日別集計）,"当月実績.売上（税抜）, 画面内計算",-,ZTOTAL.sales_excluded / ZTOTAL.customers → head_office_connected_service_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 予算設定.客単価,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
44,設定入力画面,予算設定,変動費単価,L1,D,画面内,計算項目,予算設定参照×演算,予算設定値と月次予算設定値から算出,予算設定.変動費 ÷ 月次予算設定.目標客数,画面内計算 ÷ 画面内計算,画面内計算値,z_totals.customers,-,-,予算設定.変動費,"月次予算設定.目標客数, 画面内計算"", -",z_totals.customers → 画面内計算 → 予算設定.変動費単価,演算検証済,インプット元: 画面内計算,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
45,設定入力画面,予算設定,変動費率,L1,D,画面内,計算項目,予算設定参照×演算,予算設定値と月次予算設定値から算出,予算設定.変動費 ÷ 月次予算設定.目標売上 × 100,画面内計算 ÷ 当月実績.売上（税抜） × 100,画面内計算値,z_totals.sales_excluded,-,-,予算設定.変動費,"当月実績.売上（税抜）, -",z_totals.sales_excluded → 画面内計算 → 予算設定.変動費率,演算検証済,インプット元: 画面内計算,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
46,設定入力画面,予算設定,粗利単価,L1,D,画面内,計算項目,予算設定参照×演算,予算設定値と月次予算設定値から算出,予算設定.粗利 ÷ 月次予算設定.目標客数,画面内計算 ÷ 画面内計算,画面内計算値,z_totals.customers,-,-,予算設定.粗利,"月次予算設定.目標客数, 画面内計算"", -",z_totals.customers → 画面内計算 → 予算設定.粗利単価,演算検証済,インプット元: 画面内計算,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
47,設定入力画面,予算設定,粗利率,L1,D,画面内,計算項目,予算設定参照×演算,予算設定値と月次予算設定値から算出,予算設定.粗利 ÷ 月次予算設定.目標売上 × 100,画面内計算 ÷ 当月実績.売上（税抜） × 100,画面内計算値,z_totals.sales_excluded,-,-,予算設定.粗利,"当月実績.売上（税抜）, -",z_totals.sales_excluded → 画面内計算 → 予算設定.粗利率,演算検証済,インプット元: 画面内計算,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
48,設定入力画面,予算設定,客数,L0,D,画面間,予算設定（参照）,設定値参照,月次予算設定で入力した目標客数を参照表示,参照表示（人数）,SUM(ZTOTAL.customers),-,head_office_connected_service_sales_logs.customers,-,-,月次予算設定.目標客数,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 予算設定.客数,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
49,設定入力画面,予算設定,売上（税抜）,L0,D,画面間,予算設定（参照）,設定値参照,月次予算設定から目標売上を参照表示,参照表示（金額）,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,-,-,-,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 予算設定.売上(税抜),スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
50,設定入力画面,予算設定,PA人件費率,L1,D,-,予算設定（入力）,ユーザー入力単独,Step2: PA人件費率を％で入力,入力値（％）,monthly_budgets.labor_cost_rate,-,"head_office_employee_working_records.daily_cost, head_office_connected_service_sales_logs.sales_excluded","head_office_employee_working_records.daily_cost,ユーザー入力（予算設定Step2）,POS売上（日別集計）,予実対比.PA人件費",当月実績.売上税抜,-,-,設定/入力検証済,ユーザー入力（予算設定Step2）,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。,
51,設定入力画面,店舗管理,店舗名,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.name,-,shops.name,-,ユーザー入力（店舗設定）,-,-,shops.name → 店舗管理.店舗名,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
52,設定入力画面,店舗管理,電話番号,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.phone_number,-,shops.phone_number,-,ユーザー入力（店舗設定）,-,-,shops.phone_number → 店舗管理.電話番号,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
53,設定入力画面,店舗管理,郵便番号,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.postal_code,-,shops.postal_code,-,ユーザー入力（店舗設定）,-,-,shops.postal_code → 店舗管理.郵便番号,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
54,設定入力画面,店舗管理,都道府県,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.prefecture,-,shops.prefecture,-,ユーザー入力（店舗設定）,-,-,shops.prefecture → 店舗管理.都道府県,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
55,設定入力画面,店舗管理,住所,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.address,-,shops.address,-,ユーザー入力（店舗設定）,-,-,shops.address → 店舗管理.住所,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
56,設定入力画面,店舗管理,建物,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.building,-,shops.building,-,ユーザー入力（店舗設定）,-,-,shops.building → 店舗管理.建物,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
57,設定入力画面,店舗管理,業種,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.industry_type,-,shops.industry_type,-,ユーザー入力（店舗設定）,-,-,shops.industry_type → 店舗管理.業種,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
58,設定入力画面,店舗管理,業態,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.business_type,-,shops.business_type,-,ユーザー入力（店舗設定）,-,-,shops.business_type → 店舗管理.業態,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
59,設定入力画面,店舗管理,総卓数,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.total_table_num,-,shops.total_table_num,-,ユーザー入力（店舗設定）,-,流入分析.総卓数,shops.total_table_num → 店舗管理.総卓数,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
