ダッシュボードカスタマイズ可能指標一覧（会社画面）
作成日: 2025-12-12
目的: ダッシュボード表示画面に追加・削除可能な指標のリスト

【現在のダッシュボード表示画面の構成】
- 主要KPI指標: 坪月商、営業利益率、家賃比率、ROI
- 当月実績: 営業利益、売上（税抜）、FD仕入率、人件費率、FL率
- 店舗別サマリー: 営業利益、売上（税抜）、売上目標、売上達成率、売上進捗率、FD仕入率、人件費率
- 店舗ラベル別サマリー: 営業利益、売上（税抜）、売上目標、売上達成率、売上進捗率、FD仕入率、人件費率

No,区分,追加元画面タイトル,追加元画面カテゴリ,指標名,指標説明,演算式,演算式詳細,追加先ダッシュボード候補,表示形式提案,優先度
57,新指標,期間比較拡張,コスト分析,人件費率改善幅,当月人件費率-前年同月人件費率,差分計算,当月実績.人件費率[当月] - 当月実績.人件費率[前年同月],当月実績,数値表示（pp）+ 色分け,S
58,新指標,合成指標,効率性分析,労働生産性（人時売上高）,売上÷総労働時間,売上÷労働時間,SUM(head_office_connected_service_sales_logs.sales_excluded) ÷ SUM(head_office_employee_working_records.working_hours),主要KPI指標,数値表示（円/時間）,A
59,新指標,合成指標,投資回収分析,投資回収月数,初期投資額÷月次営業利益,投資額÷利益,SUM(shops.initial_investment) ÷ 当月実績.営業利益,主要KPI指標,数値表示（ヶ月）,S
60,新指標,合成指標,投資回収分析,投資回収進捗率,累計営業利益÷初期投資額×100,累計利益÷投資額×100,SUM(当月実績.営業利益[開業〜当月]) ÷ SUM(shops.initial_investment) × 100,主要KPI指標,進捗バー + 数値,S
61,新指標,合成指標,予実分析,営業利益予実差額,営業利益実績-営業利益予算,実績-予算,当月実績.営業利益 - monthly_budgets.profit,当月実績,数値表示（+/-色分け）,S
62,新指標,合成指標,予実分析,客数予実差,客数実績-客数目標,実績-目標,SUM(head_office_connected_service_sales_logs.customers) - monthly_budgets.target_customers,当月実績,数値表示（+/-色分け）,A
63,新指標,ディメンション,店舗別分析,店舗別営業利益ランキング,営業利益順の店舗ランキング,店舗別ORDER BY,店舗別サマリー.営業利益 GROUP BY shop_id ORDER BY DESC,店舗別サマリー,ランキング表示,S
64,新指標,ディメンション,店舗別分析,店舗別FL率ランキング,FL率順の店舗ランキング（昇順）,店舗別ORDER BY,店舗別サマリー.FL率 GROUP BY shop_id ORDER BY ASC,店舗別サマリー,ランキング表示,S
65,新指標,ディメンション,ラベル別分析,ラベル別営業利益構成,ラベル別の営業利益構成比,ラベル別GROUP BY,店舗ラベル別サマリー.営業利益 ÷ SUM(店舗ラベル別サマリー.営業利益) × 100 GROUP BY label_name,店舗ラベル別サマリー,円グラフ,S
66,新指標,ディメンション,時系列分析,月別営業利益推移,12ヶ月の営業利益推移グラフ,月別GROUP BY,当月実績.営業利益 GROUP BY MONTH(date) LIMIT 12,主要KPI指標,折れ線グラフ,S
67,新指標,期間比較,前年同期比較,全KPI前年同期比較,全KPIの前年同月比較一覧,全KPI前年比,各KPI[当月] ÷ 各KPI[前年同月] × 100,当月実績,比較表,S
68,新指標,期間比較,移動平均,3ヶ月移動平均売上,売上の3ヶ月移動平均,移動平均,AVG(当月実績.売上（税抜）) OVER (ROWS 2 PRECEDING),当月実績,折れ線グラフ,B
69,新指標,新指標（実現性高）,予測分析,売上予測（線形回帰）,過去12ヶ月データからの売上予測,線形回帰,LINEAR_REGRESSION(head_office_connected_service_sales_logs.sales_excluded[過去12ヶ月]) → 予測値,当月実績,予測値表示,A
70,新指標,新指標（実現性高）,アラート,目標未達店舗数,売上達成率100%未満の店舗数,条件カウント,COUNT(shops.id) WHERE 店舗別サマリー.売上達成率 < 100,主要KPI指標/店舗別サマリー,アラートカード,A
71,新指標,新指標（実現性高）,アラート,FL率超過店舗数,FL率が目標超過の店舗数,条件カウント,COUNT(shops.id) WHERE (予実対比.FD仕入 + 予実対比.人件費) ÷ 店舗別サマリー.売上（税抜） > monthly_budgets.target_fl_rate,主要KPI指標,アラートカード,S
72,新指標,新指標（実現性高）,スコアリング,店舗総合スコア,KPIの加重平均スコア,加重平均,店舗別サマリー.売上達成率×0.3 + (100-店舗別サマリー.FD仕入率)×0.3 + (100-店舗別サマリー.人件費率)×0.2 + 店舗別サマリー.営業利益率×0.2,店舗別サマリー,スコア表示 + ランク,A

凡例:
区分: 既存指標=現在の画面に存在する指標 / 新指標=UIカスタマイズ提案の新規指標
優先度: S=最重要（経営判断直結）/ A=重要（業績管理必須）/ B=標準 / C=参考
追加先ダッシュボード候補: 主要KPI指標 / 当月実績 / 店舗別サマリー / 店舗ラベル別サマリー

演算式詳細の凡例:
- 外部連携テーブル: head_office_connected_service_sales_logs（ZTOTAL）、head_office_item_sales_logs（TITEM）、infomart_transactions、head_office_connected_service_labor_costs_logs、head_office_employee_working_records
- ラクミー内部テーブル: shops、employees、monthly_budgets、monthly_costs、labels、shop_labels
- 画面間参照: 画面名.指標名 形式（例: 当月実績.売上（税抜））
- 設定値参照: monthly_budgets.* 形式

カスタマイズ機能の想定仕様:
1. ユーザーがダッシュボードの各セクション（主要KPI指標、当月実績等）に表示する指標を選択可能
2. 上記リストから指標を追加・削除できる
3. 表示順序をドラッグ&ドロップで変更可能
4. デフォルト設定に戻すボタンあり
5. 設定はユーザー単位で保存

