ラクミー経営管理 店舗画面 データソース定義表 V89（V88+地代家賃設定・費用実績入力・予算一覧9費目・単月地代家賃・月次予算設定修正 統合版）
作成日: 2026-04-20
総指標数,859
基準: V88 + 以下4パッチ統合
"  - V88_追加差分_地代家賃設定_費用実績入力.csv (50行: P1-P21, R1-R29)"
  - V88_追加差分_予算一覧_9費目追加.csv (9行: 446a-446i)
  - V88_追加差分_単月費用設定_単月地代家賃追加.csv (1行: 79a)
  - V88_修正差分_月次予算設定_固定変動費用予算_地代家賃反映.csv (No.54/73c REPLACE)
備考: V88ソースにあったテンプレート残骸4行(No='No')を除外済み
経営重要度: 店長視点

No,プロダクト区分,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,計算レイヤー,データスコープ,データ負荷レベル,データソース区分,指標タイプ,指標タイプ詳細,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,演算範囲,演算ロジック,演算式詳細,中間画面名.画面指標名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,依存先指標（画面名.指標名）,依存先指標（テーブル名.列名）,被参照指標（画面名.指標名）,依存先指標数,被参照指標数,参照頻度,演算コスト,システム負荷,負荷要因,推奨対応,キャッシュ戦略,スナップショット対象,更新トリガー,画面カテゴリ,指標区分,指標区分の説明,機能説明,判断,AI推測の理由,不明点,改善
12,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名3,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.name,-,マスタ参照,-,入力値,item_labels.label_id,-,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名3,-,-; labels.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,仕入商品ラベル設定,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,設定/入力検証済,データソース: ラベルマスタ,-,-
13,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名4,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.name,-,マスタ参照,-,入力値,item_labels.label_id,-,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名4,-,-; labels.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,仕入商品ラベル設定,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,設定/入力検証済,データソース: ラベルマスタ,-,-
14,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名5,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.name,-,マスタ参照,-,入力値,item_labels.label_id,-,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名5,-,-; labels.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,仕入商品ラベル設定,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,設定/入力検証済,データソース: ラベルマスタ,-,-
15,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名6,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.name,-,マスタ参照,-,入力値,item_labels.label_id,-,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名6,-,-; labels.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,仕入商品ラベル設定,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,設定/入力検証済,データソース: ラベルマスタ,-,-
16,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名7,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.name,-,マスタ参照,-,入力値,item_labels.label_id,-,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名7,-,-; labels.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,仕入商品ラベル設定,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,設定/入力検証済,データソース: ラベルマスタ,-,-
17,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名8,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.name,-,マスタ参照,-,入力値,item_labels.label_id,-,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名8,-,-; labels.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,仕入商品ラベル設定,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,設定/入力検証済,データソース: ラベルマスタ,-,-
18,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名9,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.name,-,マスタ参照,-,入力値,item_labels.label_id,-,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名9,-,-; labels.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,仕入商品ラベル設定,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,設定/入力検証済,データソース: ラベルマスタ,-,-
19,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名10,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.name,-,マスタ参照,-,入力値,item_labels.label_id,-,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名10,-,-; labels.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,仕入商品ラベル設定,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,設定/入力検証済,データソース: ラベルマスタ,-,-
20,ラクミーウェブ,設定入力画面,ラベル設定（売上商品リスト）,商品ID,L3,D,L0,単一レコード,低,商品マスタ（参照）,マスタ参照表示,POS商品マスタから商品IDを参照表示,head_office_item_sales_logs.item_id,-,-,-,マスタ参照,head_office_item_sales_logs.item_id,-,[マスタ]head_office_item_sales_logs.item_id,-,head_office_item_sales_logs.item_id → ラベル設定（売上商品リスト）.商品ID,[マスタ]head_office_item_sales_logs.item_id,-; head_office_item_sales_logs.item_id,-,1,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,POS連携の売上商品に売上商品ラベル（グルーピングタグ）を設定。商品別分析のグルーピングおよび売上計上先の変更に使用（例：席料をフードからその他に変更して計上）,設定/入力検証済,データソース: POS（商品別）,-,-
21,ラクミーウェブ,設定入力画面,ラベル設定（売上商品リスト）,商品名,L3,D,L0,単一レコード,低,商品マスタ（参照）,マスタ参照表示,POS商品マスタから商品名を参照表示,head_office_item_sales_logs.item_name,-,-,-,マスタ参照,head_office_item_sales_logs.item_name,-,[マスタ]head_office_item_sales_logs.item_name,-,head_office_item_sales_logs.item_name → ラベル設定（売上商品リスト）.商品名,[マスタ]head_office_item_sales_logs.item_name,-; head_office_item_sales_logs.item_name,-,1,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,設定/入力検証済,データソース: POS（商品別）,-,-
22,ラクミーウェブ,設定入力画面,ラベル設定（売上商品リスト）,商品ID（連携サービス）,L3,D,L0,単一レコード,低,商品マスタ（参照）,マスタ参照表示,POS商品マスタから連携サービス商品IDを参照表示,head_office_item_sales_logs.external_item_id,-,-,-,マスタ参照,head_office_item_sales_logs.external_item_id,-,[マスタ]head_office_item_sales_logs.external_item_id,-,head_office_item_sales_logs.external_item_id → ラベル設定（売上商品リスト）.商品ID（連携サービス）,[マスタ]head_office_item_sales_logs.external_item_id,-; head_office_item_sales_logs.external_item_id,-,1,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,設定/入力検証済,データソース: POS（商品別）,-,-
23,ラクミーウェブ,設定入力画面,ラベル設定（売上商品リスト）,商品コード（連携サービス）,L3,D,L0,単一レコード,低,商品マスタ（参照）,マスタ参照表示,POS商品マスタから連携サービス商品コードを参照表示,head_office_item_sales_logs.external_item_code,-,-,-,マスタ参照,head_office_item_sales_logs.external_item_code,-,[マスタ]head_office_item_sales_logs.external_item_code,-,head_office_item_sales_logs.external_item_code → ラベル設定（売上商品リスト）.商品コード（連携サービス）,[マスタ]head_office_item_sales_logs.external_item_code,-; head_office_item_sales_logs.external_item_code,-,1,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,設定/入力検証済,データソース: POS（商品別）,-,-
24,ラクミーウェブ,設定入力画面,ラベル設定（売上商品リスト）,ラベル名,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,sales_item_labels.label_name,-,ユーザー入力（ラベル設定）,-,入力値,sales_item_labels.label_name,-,-,-,sales_item_labels.label_name → ラベル設定（売上商品リスト）.ラベル名,-,-; sales_item_labels.label_name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-
25,ラクミーウェブ,設定入力画面,ラベル設定（売上商品リスト）,ステータスフラグ,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,sales_item_labels.status,-,ユーザー入力（ラベル設定）,-,入力値,sales_item_labels.status,-,-,-,sales_item_labels.status → ラベル設定（売上商品リスト）.ステータスフラグ,-,-; sales_item_labels.status,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-
26,ラクミーウェブ,設定入力画面,ラベル設定（売上商品リスト）,AIによるラベル生成,L3,D,L2-S,店舗月次,低,AI生成,AI生成,AIによる自動生成,-,-,AI生成,-,AI生成,-,-,-,-,AI生成 → ラベル設定（売上商品リスト）.AIによるラベル生成,-,-; -,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,画面表示時,設定入力画面,設定入力,AIが自動生成するラベル設定,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,AI生成,AIによるラベル自動生成機能,-,-
27,ラクミーウェブ,設定入力画面,ラベル設定（発注先リスト）,発注先ID,L2,D,L0,単一レコード,低,発注先マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,infomart_clients.id,-,マスタ参照,-,入力値,infomart_clients.id,-,-,-,infomart_clients.id → ラベル設定（発注先リスト）.発注先ID,-,-; infomart_clients.id,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,発注先に発注先ラベル（グルーピングタグ）を設定。仕入先分析での仕入先ラベル別集計に活用,設定/入力検証済,データソース: 発注先マスタ（設定）,-,-
28,ラクミーウェブ,設定入力画面,ラベル設定（発注先リスト）,発注先名,L2,D,L0,単一レコード,低,発注先マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,infomart_clients.name,-,マスタ参照,-,入力値,infomart_clients.name,-,-,-,infomart_clients.name → ラベル設定（発注先リスト）.発注先名,-,-; infomart_clients.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,発注先にラベルを設定。仕入先分析のグルーピングに活用,設定/入力検証済,データソース: 発注先マスタ（設定）,-,-
29,ラクミーウェブ,設定入力画面,ラベル設定（発注先リスト）,ラベル名,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,client_labels.label_name,-,ユーザー入力（ラベル設定）,-,入力値,client_labels.label_name,-,-,-,client_labels.label_name → ラベル設定（発注先リスト）.ラベル名,-,-; client_labels.label_name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,発注先にラベルを設定。仕入先分析のグルーピングに活用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-
30,ラクミーウェブ,設定入力画面,ラベル設定（発注先リスト）,ステータスフラグ,L2,D,L0,単一レコード,低,発注先マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,infomart_clients.status,-,ユーザー入力（ラベル設定）,-,入力値,infomart_clients.status,-,-,-,infomart_clients.status → ラベル設定（発注先リスト）.ステータスフラグ,-,-; infomart_clients.status,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,発注先にラベルを設定。仕入先分析のグルーピングに活用,設定/入力検証済,データソース: 発注先マスタ（設定）,-,-
77,ラクミーウェブ,設定入力画面,休業日設定,定休日（曜日）,L0,B,L0,単一レコード,低,予算設定（入力）,ユーザー入力単独,休業日設定画面で定休日の曜日を選択入力,shop_holidays.day_of_week,-,-,-,選択入力（曜日）,shop_holidays.day_of_week,-,ユーザー入力（休業日設定）,-,ユーザー入力 → 休業日設定.定休日（曜日） → 営業日数計算,ユーザー入力（休業日設定）,-; shop_holidays.day_of_week,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。月次予算設定のサブ設定。,定休日・臨時休業日を設定。売上進捗率計算に使用,新規追加,月次予算設定のサブ設定画面,-,-
78,ラクミーウェブ,設定入力画面,休業日設定,日付指定,L0,B,L0,単一レコード,低,予算設定（入力）,ユーザー入力単独,休業日設定画面で個別の休業日を日付で指定入力,shop_holidays.holiday_date,-,-,-,入力値（日付）,shop_holidays.holiday_date,-,ユーザー入力（休業日設定）,-,ユーザー入力 → 休業日設定.日付指定 → 営業日数計算,ユーザー入力（休業日設定）,-; shop_holidays.holiday_date,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。月次予算設定のサブ設定。,定休日・臨時休業日を設定。売上進捗率計算に使用,新規追加,月次予算設定のサブ設定画面,-,-
79,ラクミーウェブ,設定入力画面,単月費用設定,費目,L2,C,L2-S,店舗月次,低,費用設定（参照）,費目マスタ参照,費目マスタから費目を参照表示,monthly_cost_items.name,-,-,-,マスタ参照,monthly_cost_items.name,-,[マスタ]monthly_cost_items.name,-,monthly_cost_items.name → 単月費用設定.費目,[マスタ]monthly_cost_items.name,-; monthly_cost_items.name,-,1,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,画面表示時,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。月次予算設定のサブ設定。,単月の費用予算を設定,新規追加,月次予算設定のサブ設定画面,-,-
79a,ラクミーウェブ,設定入力画面,単月費用設定,単月地代家賃,L1,A,L0,単一レコード,低,単月費用マスタ（設定）,ユーザー入力単独,親設定(地代家賃設定)の値を単月で上書き入力,monthly_rent_settings.rent_value,-,ユーザー入力（単月費用設定）,-,親設定参照＋上書き,親設定の地代家賃額（固定賃料 or 変動賃料算出額）を単月実値で上書き,-,"地代家賃設定.固定賃料, 地代家賃設定.地代家賃シミュレーション金額",月次予算設定.固定費用予算（親設定の賃料体系=固定賃料時） / 月次予算設定.変動費予算（それ以外）,地代家賃設定(親) → 単月費用設定.単月地代家賃(上書き) → 月次予算設定.固定費用予算 or 変動費予算,地代家賃設定.固定賃料; 地代家賃設定.地代家賃シミュレーション金額,-; monthly_rent_settings.rent_value,月次予算設定.固定費用予算; 月次予算設定.変動費予算,2,2,中,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する単月費用設定値,親設定(地代家賃設定)の年間デフォルト値を、特定の単月で実値に上書きする。単月ごとの地代変動や特殊契約月に対応,新規追加,予算設定CSV v3行60・地代家賃検証プロジェクトIMP-6（親設定→単月適用時上書き）,IMP-6未検証のため単月上書き時の履歴保存仕様要確認,-
80,ラクミーウェブ,設定入力画面,単月費用設定,対売上比（変動費用デフォルト値）,L0,B,L0,単一レコード,低,予算設定（入力）,ユーザー入力単独,単月費用設定画面で変動費用の対売上比率デフォルト値を入力,monthly_cost_item_defaults.variable_cost_ratio,-,-,-,入力値（％）,monthly_cost_item_defaults.variable_cost_ratio,-,ユーザー入力（単月費用設定）,予算設定.変動費用予算,ユーザー入力 → 単月費用設定.対売上比 → 変動費用予算計算,ユーザー入力（単月費用設定）,-; monthly_cost_item_defaults.variable_cost_ratio,予算設定.変動費用予算,0,1,中,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。月次予算設定のサブ設定。,単月の費用予算を設定,新規追加,月次予算設定のサブ設定画面。変動費＝費用設定で設定した変動費用項目の合計,-,-
81,ラクミーウェブ,設定入力画面,単月費用設定,金額（固定費用デフォルト値）,L0,B,L0,単一レコード,低,予算設定（入力）,ユーザー入力単独,単月費用設定画面で固定費用の金額デフォルト値を入力,monthly_cost_item_defaults.fixed_cost_amount,-,-,-,入力値（金額）,monthly_cost_item_defaults.fixed_cost_amount,-,ユーザー入力（単月費用設定）,予算設定.固定費用予算,ユーザー入力 → 単月費用設定.金額 → 固定費用予算計算,ユーザー入力（単月費用設定）,-; monthly_cost_item_defaults.fixed_cost_amount,予算設定.固定費用予算,0,1,中,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。月次予算設定のサブ設定。,単月の費用予算を設定,新規追加,月次予算設定のサブ設定画面。固定費＝費用設定で設定した固定費用項目の合計,-,-
