,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指標グループ名,期間フィルター,期間フィルター,他フィルター,,,指標カテゴリ期間,指標列名１,指標列名2,指標列名3,指標列名4,指標列名5,指標列名6,指標列名7,指標列名8,指標列名9,指標列名10,指標列名11,指標列名12,指標列名13,指標列名14,指標列名15,指標列名16,指標列名17,指標列名18,指標列名19,指標列名20,指標列名21,指標列名22,指標列名23,指標列名24,指標列名25,指標列名26,指標列名27,指標列名28,指標列名29,指標列名30,指標列名31,指標列名32,指標列名33,指標列名34,指標列名35,指標列名36,指標列名37,指標列名38,指標列名39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,営業利益,"-¥18,400,000","-¥24,570,926",133.50%,"-¥6,170,926","-¥15,920,000","-¥24,420,728",153.40%,"-¥8,500,728","-¥17,900,000","-¥24,380,230",136.20%,"-¥6,480,230","-¥18,400,000","-¥24,580,926",133.60%,"-¥6,180,926","-¥14,800,000","-¥24,880,000",168.10%,"-¥10,080,000","¥440,344","-¥24,947,323",-5665.40%,"-¥25,387,667","¥7,856,687","-¥24,333,712",-309.70%,"-¥32,190,399","¥6,570,000","-¥25,803,713",-392.80%,"-¥32,373,713","-¥70,552,969","-¥197,917,558",280.50%,"-¥127,364,589",,,
,,,,,,FD仕入額,"¥3,386,667","-¥9,074",-0.30%,"-¥3,395,741","¥4,175,273","¥46,128",1.10%,"-¥4,129,145","¥3,720,000","¥4,630",0.10%,"-¥3,715,370","¥2,540,000",¥926,0.00%,"-¥2,539,074","¥6,405,143",¥0,0%,"-¥6,405,143","¥14,942,037","¥7,323",0.00%,"-¥14,934,714","¥19,004,585","¥3,704",0.00%,"-¥19,000,881","¥17,644,284","¥3,704",0.00%,"-¥17,640,580","¥71,817,989","¥57,341",0.10%,"-¥71,760,648",,,
,,,,,,人件費額,"¥3,922,222","¥2,200,000",56.10%,"-¥1,722,222","¥4,033,818","¥2,200,000",54.50%,"-¥1,833,818","¥4,200,000","¥2,200,000",52.40%,"-¥2,000,000","¥1,946,667","¥2,200,000",113.00%,"¥253,333","¥6,729,619","¥2,200,000",32.70%,"-¥4,529,619","¥12,274,992","¥2,200,000",17.90%,"-¥10,074,992","¥16,498,620","¥2,200,000",13.30%,"-¥14,298,620","¥11,446,953","¥2,800,000",24.50%,"-¥8,646,953","¥61,052,891","¥18,200,000",29.80%,"-¥42,852,891",,,
,,,,,,客単価,"¥2,999",-,-,-,"¥2,303","¥4,108",178.40%,"¥1,805","¥5,000","¥204,400",4088.00%,"¥199,400","¥5,000",-,-,-,"¥4,724",-,-,-,"¥3,651",-,-,-,"¥4,579",-,-,-,"¥4,241",-,-,-,"¥4,062","¥26,063",641.60%,"¥22,001",,,
,,,,,,客単価(ランチ),¥0,-,-,-,¥0,"¥4,108",#N/A,"¥4,108",¥0,"¥204,400",#N/A,"¥204,400",¥0,-,-,-,¥0,-,-,-,"¥1,500",-,-,-,¥0,-,-,-,¥0,-,-,-,¥187,"¥26,063",13937.40%,"¥25,876",,,
,,,,,,客単価(ディナー),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,総売上　計,"¥11,288,889",¥0,0%,"-¥11,288,889","¥14,669,091","¥205,400",1.40%,"-¥14,463,691","¥12,400,000","¥204,400",1.60%,"-¥12,195,600","¥8,466,667",¥0,0%,"-¥8,466,667","¥21,350,476",¥0,0%,"-¥21,350,476","¥51,773,087",¥0,0%,"-¥51,773,087","¥65,754,186",¥0,0%,"-¥65,754,186","¥59,303,168",¥0,0%,"-¥59,303,168","¥245,005,564","¥409,800",0.20%,"-¥244,595,764",,,
,,,,,,フード売上 計,¥0,¥0,0%,¥0,¥0,"¥165,000",#N/A,"¥165,000",¥0,¥0,0%,¥0,"¥8,466,667",¥0,0%,"-¥8,466,667","¥10,160,000",¥0,0%,"-¥10,160,000","¥4,069,091",¥0,0%,"-¥4,069,091","¥17,691,511",¥0,0%,"-¥17,691,511","¥50,264,706",¥0,0%,"-¥50,264,706","¥90,651,975","¥165,000",0.20%,"-¥90,486,975",,,
,,,,,,フード売上ランチ,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,"¥1,220,727",¥0,0%,"-¥1,220,727",¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,"¥1,220,727",¥0,0%,"-¥1,220,727",,,
,,,,,,フード売上ディナー,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,"¥8,466,667",¥0,0%,"-¥8,466,667","¥10,160,000",¥0,0%,"-¥10,160,000","¥2,848,364",¥0,0%,"-¥2,848,364","¥17,691,511",¥0,0%,"-¥17,691,511","¥50,264,706",¥0,0%,"-¥50,264,706","¥89,431,248",¥0,0%,"-¥89,431,248",,,
,,,,,,ドリンク売上　計,¥0,¥0,0%,¥0,¥0,"¥40,400",#N/A,"¥40,400",¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,"¥2,712,727",¥0,0%,"-¥2,712,727",¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,"¥2,712,727","¥40,400",1.50%,"-¥2,672,327",,,
,,,,,,ドリンク売上ランチ,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,"¥813,818",¥0,0%,"-¥813,818",¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,"¥813,818",¥0,0%,"-¥813,818",,,
,,,,,,ドリンク売上ディナー,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,"¥1,898,909",¥0,0%,"-¥1,898,909",¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,"¥1,898,909",¥0,0%,"-¥1,898,909",,,
,,,,,,その他売上 計 （サービス料等）,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,,,
,,,,,,その他売上ランチ,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,,,
,,,,,,その他売上ディナー,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,,,
,,,,,,FLコスト　計,"¥7,308,889","¥2,190,926",30.00%,"-¥5,117,963","¥8,209,091","¥2,246,128",27.40%,"-¥5,962,963","¥7,920,000","¥2,204,630",27.80%,"-¥5,715,370","¥4,486,667","¥2,200,926",49.10%,"-¥2,285,741","¥13,134,762","¥2,200,000",16.70%,"-¥10,934,762","¥27,217,029","¥2,207,323",8.10%,"-¥25,009,706","¥35,503,205","¥2,203,704",6.20%,"-¥33,299,501","¥29,091,237","¥2,803,704",9.60%,"-¥26,287,533","¥132,870,880","¥18,257,341",13.70%,"-¥114,613,539",,,
,,,,,,FD仕入　計,"¥3,386,667","-¥9,074",-0.30%,"-¥3,395,741","¥4,175,273","¥46,128",1.10%,"-¥4,129,145","¥3,720,000","¥4,630",0.10%,"-¥3,715,370","¥2,540,000",¥926,0.00%,"-¥2,539,074","¥6,405,143",¥0,0%,"-¥6,405,143","¥14,942,037","¥7,323",0.00%,"-¥14,934,714","¥19,004,585","¥3,704",0.00%,"-¥19,000,881","¥17,644,284","¥3,704",0.00%,"-¥17,640,580","¥71,817,989","¥57,341",0.10%,"-¥71,760,648",,,
,,,,,,フード仕入,-,"-¥14,074",-,-,-,"¥37,037",-,-,-,"¥4,630",-,-,-,¥926,-,-,-,¥0,-,-,-,"¥2,778",-,-,-,"¥3,704",-,-,-,"¥3,704",-,-,¥0,"¥38,705",#N/A,"¥38,705",,,
,,,,,,ドリンク仕入,-,"¥5,000",-,-,-,"¥9,091",-,-,-,¥0,-,-,-,¥0,-,-,-,¥0,-,-,-,"¥4,545",-,-,-,¥0,-,-,-,¥0,-,-,¥0,"¥18,636",#N/A,"¥18,636",,,
,,,,,,人件費　計,"¥3,922,222","¥2,200,000",56.10%,"-¥1,722,222","¥4,033,818","¥2,200,000",54.50%,"-¥1,833,818","¥4,200,000","¥2,200,000",52.40%,"-¥2,000,000","¥1,946,667","¥2,200,000",113.00%,"¥253,333","¥6,729,619","¥2,200,000",32.70%,"-¥4,529,619","¥12,274,992","¥2,200,000",17.90%,"-¥10,074,992","¥16,498,620","¥2,200,000",13.30%,"-¥14,298,620","¥11,446,953","¥2,800,000",24.50%,"-¥8,646,953","¥61,052,891","¥18,200,000",29.80%,"-¥42,852,891",,,
,,,,,,固定人件費,"¥1,100,000","¥2,200,000",200.00%,"¥1,100,000","¥1,100,000","¥2,200,000",200.00%,"¥1,100,000","¥1,100,000","¥2,200,000",200.00%,"¥1,100,000","¥1,100,000","¥2,200,000",200.00%,"¥1,100,000","¥1,900,000","¥2,200,000",115.80%,"¥300,000","¥2,200,000","¥2,200,000",100.00%,¥0,"¥1,900,000","¥2,200,000",115.80%,"¥300,000","¥2,800,000","¥2,800,000",100.00%,¥0,"¥13,200,000","¥18,200,000",137.90%,"¥5,000,000",,,
