No,ターゲット,カテゴリ,指標名,次数,確認頻度,用途・利用シーン,概念式,詳細計算ロジック,参照ラクミー1-3次データ,判断基準・閾値目安,関連画面,備考
HB-38,本部管理者,予算管理,ラベル別予算達成率,4次,月次,業態別予算管理,ラベル別実績 ÷ ラベル別予算,業態ポートフォリオ評価,"ラベル別実績(4次), ラベル別予算(4次)",業態間で比較,店舗ラベル別サマリー,業態戦略見直し
HB-39,本部管理者,予算管理,費目別全社予算消化率,4次,月次,費目別の予算管理,費目別実績 ÷ 費目別予算,29費目別に全社集計,"費目別実績(2次), 費目別予算(3次)",100%前後:順調 / 110%超:超過,予算一覧（予算構成）,費目別管理
HB-40,本部管理者,予算管理,年間KGI達成ペース(全社),4次,月次,年間目標への全社ペース,累計実績 ÷ (年間目標 × 経過月/12) × 100,全社の年間KGI,"累計実績(4次), 年間目標(1次)",100±5%:順調,年間予実対比（サマリー）,経営会議資料
HB-11,本部管理者,店舗比較,売上成長率ランキング,5次,月次,成長店舗の特定,店舗別(当月売上-前年同月)÷前年同月 の順位,既存店のみ,"店舗別売上(2次), 前年同月売上(4次)",上位10%:横展開対象,店舗別サマリー,成功要因分析
HB-12,本部管理者,店舗比較,利益成長率ランキング,5次,月次,利益成長店舗の特定,店舗別営業利益成長率の順位,売上成長と併用,"店舗別営業利益(4次), 前年同月(4次)",上位10%:優良モデル,店舗別サマリー,表彰対象
HB-13,本部管理者,店舗比較,客単価ランキング,5次,月次,店舗ブランディング力の比較,店舗別客単価の順位,業態ラベル内比較推奨,店舗別客単価(2次),ラベル内偏差で評価,客単価分析,値付け戦略の差
HB-14,本部管理者,店舗比較,客数成長率ランキング,5次,月次,集客力トップ・ボトム,店舗別客数成長率の順位,既存店のみ,"店舗別客数(1次), 前年同月(4次)",上位:販促施策成功例,流入分析,横展開の参考
HB-15,本部管理者,店舗比較,FL率効率ランキング,5次,月次,コスト効率トップ・ボトム,店舗別FL率の逆順,低いほど上位,店舗別FL率(4次),下位:仕入見直し / 上位:モデル店舗,FD分析（仕入率/原価率）,教育材料
HB-16,本部管理者,店舗比較,労働生産性ランキング,5次,月次,人時売上高トップ・ボトム,店舗別人時売上高の順位,業態ラベル内比較,"店舗別売上(2次), 人件費(2次)",上位:シフト最適化事例,PA人件費率分析,ノウハウ共有
HB-17,本部管理者,格差分析,店舗間売上格差(Zスコア),5次,月次,売上の店舗間ばらつき,(店舗売上 - 全店平均) ÷ 全店標準偏差,統計的偏差、正規分布前提,店舗別売上(2次),|Z|>2:異常値,店舗別サマリー,異常値検出
HB-18,本部管理者,格差分析,店舗間客単価格差,5次,月次,業態内の客単価ばらつき,ラベル内 (max - min) ÷ ラベル内平均 × 100,同業態で格差大:標準化の余地,"店舗別客単価(2次), ラベル(1次)",20%以下:均質 / 50%超:要標準化,店舗ラベル別サマリー,価格戦略統一
HB-19,本部管理者,格差分析,店舗間FL率分散,5次,月次,コスト管理水準の店舗間差,STDEV(店舗別FL率),ラベル別に算出推奨,店舗別FL率(4次),2%以下:均質 / 5%超:要教育,FD分析（仕入率/原価率）,マニュアル見直し
HB-20,本部管理者,格差分析,店舗間人件費率分散,5次,月次,人員配置効率の店舗間差,STDEV(店舗別人件費率),シフト標準化の必要性,店舗別人件費率(4次),3%以下:均質 / 5%超:要標準化,店舗別人件費,シフト最適化
HB-21,本部管理者,格差分析,ラベル内偏差(総合),5次,月次,業態内の店舗ばらつき,ラベル内 売上/利益/FL率の偏差,複数指標での総合評価,"店舗別業績(4次), ラベル(1次)",偏差小:均質運営,店舗ラベル別サマリー,業態標準化指標
HB-22,本部管理者,格差分析,パレート集中度,5次,月次,売上の上位店舗集中度,上位20%店舗の売上 ÷ 全店舗売上 × 100,80/20ルールの検証,店舗別売上(2次),70-85%:正常 / 90%超:集中過剰,店舗別サマリー,ポートフォリオ評価
HB-23,本部管理者,格差分析,上位-下位スプレッド,5次,月次,店舗格差の大きさ,上位10%平均 - 下位10%平均 (売上や利益率),格差の絶対値,店舗別業績(4次),大きいほど格差大 要標準化,店舗別サマリー,格差是正計画
HB-24,本部管理者,格差分析,ラベル別最高最低差,5次,月次,ラベル内の個店差,ラベル内 最大店舗 - 最小店舗 の売上/利益率,ラベル別に算出,"店舗別業績(4次), ラベル(1次)",ラベル内差50%超:格差大,店舗ラベル別サマリー,ラベル再定義検討
HB-34,本部管理者,仕入先管理,仕入先集中度,5次,月次,BCP観点の仕入先リスク,HHI(ハーフィンダール指数)=Σ(仕入先シェア²),集中度が高いほどリスク大,仕入先別仕入(2次),2000未満:分散 / 2500超:集中リスク,仕入先分析,BCP戦略
HB-37,本部管理者,予算管理,店舗別予算超過リスク,5次,月次,赤字リスクの早期検知,店舗別で予算対比率<90%の店舗リスト,連続3ヶ月赤:要対策,店舗別予算対比率(4次),連続3ヶ月:要注意 / 連続6ヶ月:赤信号,"店舗別サマリー, 予実対比",継続監視
HB-41,本部管理者,予算管理,予算対比率の変動係数(全社),5次,月次,店舗別予算管理の安定性,STDEV(店舗別予算対比率) ÷ AVG,全社の予算管理均質性,店舗別予算対比率(4次),0.1以下:非常に安定,予算一覧（予算構成）,予算制度設計
HB-42,本部管理者,リスク検知,要改善店舗数,5次,月次,全社の改善対象店舗数,FL率>60% or 予算達成率<90% or 赤字 のいずれか,赤信号店舗の把握,"店舗別FL率(4次), 店舗別予算対比率(4次), 店舗別営業利益(4次)",全店の10%以下:健全 / 30%超:要対策,店舗別サマリー,改善計画立案
HB-43,本部管理者,リスク検知,連続未達店舗検出,5次,月次,問題店舗の早期特定,3ヶ月以上連続で予算達成率<95%の店舗,慢性的な不振店舗,店舗別予算対比率(4次:時系列),3ヶ月連続:要注意 / 6ヶ月連続:閉店検討,店舗別サマリー,重点支援対象
HB-44,本部管理者,リスク検知,売上急落店舗アラート,5次,日次,異常売上の早期検知,日次売上が過去30日平均の70%未満の店舗,急激な売上減の検出,店舗別日次売上(1次),50%未満:緊急対応 / 70%未満:原因調査,"店舗別サマリー, 当月実績",即時対応必要
HB-45,本部管理者,リスク検知,人件費異常店舗アラート,5次,週次,人件費の異常変動,人件費率が全店平均+2σ超の店舗,シフトミスや過剰人員,"店舗別人件費率(4次), 全店平均(4次), 標準偏差",2σ超:要調査 / 3σ超:緊急,"PA人件費率分析, 店舗別人件費",週次レビュー
HB-46,本部管理者,リスク検知,在庫過剰店舗アラート,5次,週次,在庫過多の検知、仕入先見直し,在庫残日数>10日の店舗,資金効率悪化,"店舗別在庫(3次), 店舗別使用量(2次)",10日超:要圧縮 / 15日超:緊急,棚卸,資金繰り管理
HB-47,本部管理者,リスク検知,費用超過店舗アラート,5次,月次,予算超過の早期検知,費目別実績が予算の110%超の店舗リスト,費目別に抽出,"店舗別費目実績(2次), 費目予算(3次)",110%超:要説明 / 130%超:緊急,予実対比（一覧）,即時是正指導
