10,設定入力画面,小口現金管理,内容,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,データ,petty_cashes.description,-,petty_cashes.description（小口現金入力）,-,-,-,-,petty_cashes.description（小口現金入力） → 小口現金管理.内容,AI推測,小口現金テーブルから内容を取得と推測,shop_petty_cashのデータ構造が不明,テーブル構造を確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
11,設定入力画面,小口現金管理,経費コード,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,費目参照,monthly_costs.cost_item_id,-,monthly_costs.cost_item_id（月次費用入力）,-,-,-,-,monthly_costs.cost_item_id（月次費用入力） → 小口現金管理.経費コード,AI推測,費目IDを参照と推測,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
12,設定入力画面,小口現金管理,税区分,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,データ,petty_cashes.chart_of_account_id,-,petty_cashes.chart_of_account_id（小口現金入力）,-,-,-,-,petty_cashes.chart_of_account_id（小口現金入力） → 小口現金管理.税区分,AI推測,小口現金テーブルから税区分を取得と推測,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
13,設定入力画面,小口現金管理,アクション,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,データ,petty_cashes.transaction_type_code,-,petty_cashes.transaction_type_code（小口現金入力）,-,-,-,-,petty_cashes.transaction_type_code（小口現金入力） → 小口現金管理.アクション,AI推測,小口現金テーブルからアクションを取得と推測,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
14,設定入力画面,小口現金管理,費目,L2,D,-,店舗マスタ（設定）,ラクミー設定マスタ単独,ラクミー設定マスタから取得,費目マスタ参照,monthly_cost_items.name,-,monthly_cost_items.name,-,-,[マスタ]monthly_cost_items.name,-,monthly_cost_items.name → 小口現金管理.費目,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
15,設定入力画面,店舗間商品移動,相手店舗,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,店舗マスタ,stocking_transfers.counter_party_shop_id,-,stocking_transfers.counter_party_shop_id（店舗間移動入力）,-,-,-,-,stocking_transfers.counter_party_shop_id（店舗間移動入力） → 店舗間商品移動.相手店舗,AI推測,店舗間移動テーブルから相手店舗を取得と推測,shop_item_transfersテーブルの存在が未確認,テーブル構造を確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
16,設定入力画面,店舗間商品移動,仕入金額税抜,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,stocking_transfers.price_excluded_tax,-,stocking_transfers.price_excluded_tax（店舗間移動入力）,-,-,-,平均単価推移.仕入金額(税抜),stocking_transfers.price_excluded_tax（店舗間移動入力） → 店舗間商品移動.仕入金額(税抜),AI推測,店舗間移動テーブルから仕入金額を取得と推測,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
17,設定入力画面,店舗間商品移動,提供金額税抜,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,stocking_transfers.price_excluded_tax,-,stocking_transfers.price_excluded_tax（店舗間移動入力）,-,-,-,-,stocking_transfers.price_excluded_tax（店舗間移動入力） → 店舗間商品移動.提供金額税抜,AI推測,店舗間移動テーブルから提供金額を取得と推測,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
18,設定入力画面,店舗間商品移動,商品タイプ,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,データ,stocking_transfers.transfer_type,-,stocking_transfers.transfer_type（店舗間移動入力）,-,-,-,-,stocking_transfers.transfer_type（店舗間移動入力） → 店舗間商品移動.商品タイプ,AI推測,店舗間移動テーブルから商品タイプを取得と推測,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
19,設定入力画面,予算設定,対象年月,L3,D,-,費用・棚卸（入力）,ユーザー入力単独,予算設定画面での直接入力,年月,monthly_cost_entries.year_month,-,monthly_cost_entries.year_month（予算入力）,-,-,-,-,monthly_cost_entries.year_month（予算入力） → 予算設定.対象年月,要確認,テーブル'monthly_cost_entries'が存在しない,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
20,設定入力画面,予算設定,予算金額,L3,D,-,費用・棚卸（入力）,ユーザー入力単独,予算設定画面での直接入力,入力値,monthly_budgets.value,-,monthly_budgets.profit,-,-,-,"主要KPI指標.ROI, 予算一覧.予算金額, 予算設定.予算金額, 利益進捗分析.予算金額, 売上進捗分析.予算金額, 店舗別サマリー.予算金額",monthly_budgets.profit → 予算設定.予算金額,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
21,設定入力画面,予算設定,予算比率,L3,D,-,費用・棚卸（入力）,ユーザー入力単独,予算設定画面での直接入力,入力値,monthly_budgets.ratio,-,monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,-,-,予算一覧.予算比率,monthly_budgets.food_cost_rate（またはlabor_cost_rate） → 予算設定.予算比率,要確認,カラム'ratio'がテーブル'monthly_budgets'に存在しない,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
22,設定入力画面,予算設定,FD仕入費率,L1,D,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,仕入÷売上×100,予実対比.FD仕入 ÷ 当月実績.売上税抜 × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 当月実績.売上税抜",-,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → 予算設定.FD仕入費率,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
23,設定入力画面,予算設定,変動費用予算,L4b,D,画面間,計算項目,ユーザー入力×演算,ユーザー入力と演算結果の組合せ,売上-変動費=粗利,予算設定.予算金額 - 感度分析.変動費,感度分析.変動費,-,-,-,"感度分析.変動費, 予算設定.予算金額",-,感度分析.変動費 → 予算設定.変動費用予算,演算検証済,インプット元: 感度分析.変動費,変動費用予算の定義が不明,予算設定の構成要素を確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
24,設定入力画面,予算設定,ランチ売上比,L1,D,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,ランチ売上÷総売上×100,予実対比.フード売上ランチ ÷ 予実対比.総売上 × 100,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","TITEM.sales_excluded, ZTOTAL.sales_excluded","POS売上（商品別）, POS売上（日別集計）","予実対比.フード売上ランチ, 予実対比.総売上",-,TITEM.sales_excluded / ZTOTAL.sales_excluded → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.sales_excluded → 予算設定.ランチ売上比,スキーマ検証済,-,ランチ売上=フード売上ランチ？全カテゴリ？,ランチ売上の定義を確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
25,設定入力画面,予算設定,フード売上比,L1,D,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,フード売上÷総売上×100,予実対比.フード売上 ÷ 予実対比.総売上 × 100,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","TITEM.sales_excluded, ZTOTAL.sales_excluded","POS売上（商品別）, POS売上（日別集計）","予実対比.フード売上, 予実対比.総売上",-,TITEM.sales_excluded / ZTOTAL.sales_excluded → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.sales_excluded → 予算設定.フード売上比,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
26,設定入力画面,予算設定,ドリンク売上比,L1,D,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,ドリンク売上÷総売上×100,予実対比.ドリンク売上 ÷ 予実対比.総売上 × 100,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","TITEM.sales_excluded, ZTOTAL.sales_excluded","POS売上（商品別）, POS売上（日別集計）","予実対比.ドリンク売上, 予実対比.総売上",-,TITEM.sales_excluded / ZTOTAL.sales_excluded → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.sales_excluded → 予算設定.ドリンク売上比,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
27,設定入力画面,予算設定,その他売上比,L1,D,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,その他売上÷総売上×100,予実対比.その他売上 ÷ 予実対比.総売上 × 100,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","TITEM.sales_excluded, ZTOTAL.sales_excluded","POS売上（商品別）, POS売上（日別集計）","予実対比.その他売上, 予実対比.総売上",-,TITEM.sales_excluded / ZTOTAL.sales_excluded → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.sales_excluded → 予算設定.その他売上比,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
28,設定入力画面,予算設定,変動費,L4b,D,画面間,計算項目,ユーザー入力×演算,ユーザー入力と演算結果の組合せ,売上-粗利,予算設定.予算金額 - 感度分析.粗利,感度分析.粗利,-,-,-,"感度分析.粗利, 予算設定.予算金額",-,感度分析.粗利 → 予算設定.変動費,演算検証済,インプット元: 感度分析.粗利,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
29,設定入力画面,予算設定,粗利,L4b,D,画面間,計算項目,ユーザー入力×演算,ユーザー入力と演算結果の組合せ,売上-変動費,予算設定.予算金額 - 感度分析.変動費,感度分析.変動費,-,-,-,"感度分析.変動費, 予算設定.予算金額",-,感度分析.変動費 → 予算設定.粗利,演算検証済,インプット元: 感度分析.変動費,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
30,設定入力画面,予算設定,固定費用予算,L4b,D,画面間,計算項目,ユーザー入力×演算,ユーザー入力と演算結果の組合せ,売上-変動費=粗利,予算設定.予算金額 - 感度分析.変動費,感度分析.変動費,-,-,-,"感度分析.変動費, 予算設定.予算金額",-,感度分析.変動費 → 予算設定.固定費用予算,演算検証済,インプット元: 感度分析.変動費,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
31,設定入力画面,予算設定,日次目標値(税抜),L4a,D,画面内,計算項目,ユーザー入力×ユーザー入力,複数のユーザー入力の組合せ,月次目標÷日数,予算設定.予算金額 ÷ 営業日数,-,monthly_budgets.profit,-,-,予算設定.予算金額,-,monthly_budgets.profit → 予算設定.日次目標値(税抜),スキーマ検証済,-,営業日数の取得方法が不明,営業日カレンダーの有無を確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
32,設定入力画面,予算設定,日次目標客数,L4a,D,画面内,計算項目,外部連携×ユーザー入力,POSデータとユーザー入力の組合せ,SUM,SUM(ZTOTAL.customers) ÷ 営業日数,-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,-,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 予算設定.日次目標客数,スキーマ検証済,-,目標客数がSUM÷日数なのは誤り？,予算マスタから取得すべきか確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
33,設定入力画面,予算設定,日次目標売上(税抜),L4a,D,画面内,計算項目,外部連携×ユーザー入力,POSデータとユーザー入力の組合せ,SUM,SUM(ZTOTAL.sales_excluded) ÷ 営業日数,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,-,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 予算設定.日次目標売上(税抜),スキーマ検証済,-,目標売上がSUM÷日数なのは誤り？,予算マスタから取得すべきか確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
34,設定入力画面,予算設定,客単価,L1,D,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数,当月実績.売上税抜 ÷ 感度分析.客数,-,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","ZTOTAL.sales_excluded, ZTOTAL.customers",POS売上（日別集計）,"当月実績.売上税抜, 感度分析.客数",-,ZTOTAL.sales_excluded / ZTOTAL.customers → head_office_connected_service_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 予算設定.客単価,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
35,設定入力画面,予算設定,変動費単価,L1,D,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,変動費÷客数,感度分析.変動費 ÷ 感度分析.客数,感度分析.変動費,z_totals.customers,-,-,"感度分析.変動費, 感度分析.客数",-,z_totals.customers → 感度分析.変動費 → 予算設定.変動費単価,演算検証済,インプット元: 感度分析.変動費,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
36,設定入力画面,予算設定,変動費率,L1,D,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,変動費÷売上×100,感度分析.変動費 ÷ 当月実績.売上税抜 × 100,感度分析.変動費,z_totals.sales_excluded,-,-,"感度分析.変動費, 当月実績.売上税抜",-,z_totals.sales_excluded → 感度分析.変動費 → 予算設定.変動費率,演算検証済,インプット元: 感度分析.変動費,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
37,設定入力画面,予算設定,粗利単価,L1,D,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,粗利÷客数,感度分析.粗利 ÷ 感度分析.客数,感度分析.粗利,z_totals.customers,-,-,"感度分析.粗利, 感度分析.客数",-,z_totals.customers → 感度分析.粗利 → 予算設定.粗利単価,演算検証済,インプット元: 感度分析.粗利,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
38,設定入力画面,予算設定,粗利率,L1,D,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,粗利÷売上×100,感度分析.粗利 ÷ 当月実績.売上税抜 × 100,感度分析.粗利,z_totals.sales_excluded,-,-,"感度分析.粗利, 当月実績.売上税抜",-,z_totals.sales_excluded → 感度分析.粗利 → 予算設定.粗利率,演算検証済,インプット元: 感度分析.粗利,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
39,設定入力画面,予算設定,客数,L0,D,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.customers),-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,[外部]ZTOTAL.customers,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 予算設定.客数,スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
40,設定入力画面,予算設定,売上税抜,L0,D,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 予算設定.売上(税抜),スキーマ検証済,-,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
41,設定入力画面,予算設定,PA人件費率,L1,D,画面間,計算項目,外部連携×外部連携,KOT人件費とPOS売上の組合せ,PA人件費÷売上×100,予実対比.PA人件費 ÷ 当月実績.売上税抜 × 100,-,"head_office_employee_working_records.daily_cost, head_office_connected_service_sales_logs.sales_excluded","head_office_employee_working_records.daily_cost, ZTOTAL.sales_excluded",POS売上（日別集計）,"予実対比.PA人件費, 当月実績.売上税抜",-,head_office_employee_working_records.daily_cost / ZTOTAL.sales_excluded → head_office_employee_working_records.daily_cost / head_office_connected_service_sales_logs.sales_excluded → 予算設定.PA人件費率,外部連携検証済,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
42,設定入力画面,予算設定,その他売上,L0,D,画面間,計算項目,演算,画面間演算,予実対比.その他売上から参照,-,予実対比.その他売上,head_office_item_sales_logs.sales_excluded,-,POS売上（商品別）,予実対比.その他売上,-,予実対比.その他売上 → 予算設定.その他売上,スキーマ検証済,-,画面'予算設定'に'その他売上'が実際に存在するか要確認,実画面で目視確認が必要,設定入力画面,ダッシュボード表示,「予実対比」（実績算出・分析画面）で算出された指標をモニタリング表示。
43,設定入力画面,予算設定,フード売上,L0,D,画面間,計算項目,演算,画面間演算,予実対比.フード売上から参照,-,予実対比.フード売上,head_office_item_sales_logs.sales_excluded,-,POS売上（商品別）,予実対比.フード売上,-,予実対比.フード売上 → 予算設定.フード売上,スキーマ検証済,-,画面'予算設定'に'フード売上'が実際に存在するか要確認,実画面で目視確認が必要,設定入力画面,ダッシュボード表示,「予実対比」（実績算出・分析画面）で算出された指標をモニタリング表示。
44,設定入力画面,予算設定,FD仕入,L0,D,画面間,計算項目,演算,画面間演算,予実対比.FD仕入から参照,-,予実対比.FD仕入,infomart_transactions.total_tax_excluded,-,インフォマート（仕入）,予実対比.FD仕入,-,予実対比.FD仕入 → 予算設定.FD仕入,演算検証済,インプット元: 予実対比.FD仕入,画面'予算設定'に'FD仕入'が実際に存在するか要確認,実画面で目視確認が必要,設定入力画面,ダッシュボード表示,「予実対比」（実績算出・分析画面）で算出された指標をモニタリング表示。
45,設定入力画面,予算設定,ドリンク売上,L0,D,画面間,計算項目,演算,画面間演算,予実対比.ドリンク売上から参照,-,予実対比.ドリンク売上,head_office_item_sales_logs.sales_excluded,-,POS売上（商品別）,予実対比.ドリンク売上,-,予実対比.ドリンク売上 → 予算設定.ドリンク売上,スキーマ検証済,-,画面'予算設定'に'ドリンク売上'が実際に存在するか要確認,実画面で目視確認が必要,設定入力画面,ダッシュボード表示,「予実対比」（実績算出・分析画面）で算出された指標をモニタリング表示。
46,設定入力画面,予算設定,目標客単価,L3,D,画面間,計算項目,演算,画面間演算,予算一覧.目標客単価から参照,-,予算一覧.目標客単価,monthly_budgets.profit,-,ユーザー入力（予算設定）,予算一覧.目標客単価,-,予算一覧.目標客単価 → 予算設定.目標客単価,スキーマ検証済,-,画面'予算設定'に'目標客単価'が実際に存在するか要確認,実画面で目視確認が必要,設定入力画面,ダッシュボード表示,「予算一覧」（ダッシュボード表示画面）で算出された指標をモニタリング表示。
47,設定入力画面,予算設定,目標PA人件費率,L3,D,画面間,計算項目,演算,画面間演算,予算一覧.目標PA人件費率から参照,-,予算一覧.目標PA人件費率,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",-,ユーザー入力（予算設定）,予算一覧.目標PA人件費率,-,予算一覧.目標PA人件費率 → 予算設定.目標PA人件費率,演算検証済,インプット元: 予算一覧.目標PA人件費率,画面'予算設定'に'目標PA人件費率'が実際に存在するか要確認,実画面で目視確認が必要,設定入力画面,ダッシュボード表示,「予算一覧」（ダッシュボード表示画面）で算出された指標をモニタリング表示。
48,設定入力画面,予算設定,月次目標利益,L3,D,画面間,計算項目,演算,画面間演算,予算一覧.月次目標利益から参照,-,予算一覧.月次目標利益,monthly_budgets.profit,-,ユーザー入力（予算設定）,予算一覧.月次目標利益,-,予算一覧.月次目標利益 → 予算設定.月次目標利益,スキーマ検証済,-,画面'予算設定'に'月次目標利益'が実際に存在するか要確認,実画面で目視確認が必要,設定入力画面,ダッシュボード表示,「予算一覧」（ダッシュボード表示画面）で算出された指標をモニタリング表示。
49,設定入力画面,予算設定,目標FD仕入費率,L3,D,画面間,計算項目,演算,画面間演算,予算一覧.目標FD仕入費率から参照,-,予算一覧.目標FD仕入費率,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",-,ユーザー入力（予算設定）,予算一覧.目標FD仕入費率,-,予算一覧.目標FD仕入費率 → 予算設定.目標FD仕入費率,演算検証済,インプット元: 予算一覧.目標FD仕入費率,画面'予算設定'に'目標FD仕入費率'が実際に存在するか要確認,実画面で目視確認が必要,設定入力画面,ダッシュボード表示,「予算一覧」（ダッシュボード表示画面）で算出された指標をモニタリング表示。
