画面タイトル,画面タイプ,ターゲット,総指標数,1次指標数,1次指標名(;区切り),2次指標数,2次指標名(;区切り),3次指標数,3次指標名(;区切り),4次指標数,4次指標名(;区切り),5次指標数,5次指標名(;区切り)
仕入費率分析,分析画面,本部管理者,1,0,,1,目標仕入費率,0,,0,,0,
利益率分析,分析画面,本部管理者,1,0,,1,目標利益率,0,,0,,0,
商品別仕入分析,分析画面,本部管理者,4,0,,4,商品; 仕入れ先; 金額（税抜）; 比率,0,,0,,0,
商品別売上分析,分析画面,本部管理者,3,0,,3,商品単価（税抜）; 商品単価（税込）; 販売数量,0,,0,,0,
客単価分析,分析画面,本部管理者,2,0,,1,当月客単価（税抜）,0,,0,,1,客単価ランキング
客数分析,分析画面,本部管理者,1,0,,1,当月客数,0,,0,,0,
平均単価推移,分析画面,本部管理者,5,0,,4,仕入商品ラベル; 仕入金額（税抜）; 数量; 平均単価,1,平均単価推移,0,,0,
年間予実対比,分析画面,本部管理者,54,0,,14,月次実績_総売上 計; 月次実績_フード売上 計; 月次実績_ドリンク売上 計; 月次実績_その他売上 計; 月次実績_FD仕入 計; 月次実績_人件費 計; 月次実績_その他経費 計; 月次予算_総売上 計; 月次予算_フード売上 計; 月次予算_ドリンク売上 計; 月次予算_その他売上 計; 月次予算_FD仕入 計; 月次予算_人件費 計; 月次予算_その他経費 計,40,月次実績_FLコスト 計; 月次実績_営業利益; 月次予算_FLコスト 計; 月次予算_営業利益; 予算構成比_総売上 計; 予算構成比_フード売上 計; 予算構成比_ドリンク売上 計; 予算構成比_その他売上 計; 予算構成比_FLコスト 計; 予算構成比_FD仕入 計; 予算構成比_人件費 計; 予算構成比_その他経費 計; 予算構成比_営業利益; 予実差額_総売上 計; 予実差額_フード売上 計; 予実差額_ドリンク売上 計; 予実差額_その他売上 計; 予実差額_FLコスト 計; 予実差額_FD仕入 計; 予実差額_人件費 計; 予実差額_その他経費 計; 予実差額_営業利益; 予算対比率_総売上 計; 予算対比率_フード売上 計; 予算対比率_ドリンク売上 計; 予算対比率_その他売上 計; 予算対比率_FLコスト 計; 予算対比率_FD仕入 計; 予算対比率_人件費 計; 予算対比率_その他経費 計; 予算対比率_営業利益; 構成比_総売上 計; 構成比_フード売上 計; 構成比_ドリンク売上 計; 構成比_その他売上 計; 構成比_FLコスト 計; 構成比_FD仕入 計; 構成比_人件費 計; 構成比_その他経費 計; 構成比_営業利益,0,,0,
年間予実対比（予実対比）,分析画面,本部管理者,216,0,,48,年間実績_総売上 計; 年間実績_フード売上 計; 年間実績_ドリンク売上 計; 年間実績_その他売上 計; 年間実績_その他売上ランチ; 年間実績_その他売上ディナー; 年間実績_FD仕入 計; 年間実績_人件費 計; 年間実績_その他経費 計; 年間実績_ラクミー利用料; 年間実績_IT費用; 年間実績_お花代; 年間実績_ガス代; 年間実績_クレジットカード手数料; 年間実績_レジ利用料; 年間実績_借入金返済; 年間実績_家賃（変動分）; 年間実績_水道代; 年間実績_社員人件費; 年間実績_電気代; 年間実績_フード売上ランチ; 年間実績_フード売上ディナー; 年間実績_ドリンク売上ランチ; 年間実績_ドリンク売上ディナー; 年間実績_フード仕入; 年間実績_ドリンク仕入; 年間実績_固定人件費; 年間実績_PA人件費; 年間実績_地代家賃; 年間実績_資材費; 年間実績_水道光熱費; 年間実績_減価償却費; 年間実績_販促費; 年間予算_総売上 計; 年間予算_フード売上 計; 年間予算_フード売上ランチ; 年間予算_フード売上ディナー; 年間予算_ドリンク売上 計; 年間予算_ドリンク売上ランチ; 年間予算_ドリンク売上ディナー; 年間予算_その他売上 計（サービス料等）; 年間予算_その他売上ランチ; 年間予算_その他売上ディナー; 年間予算_FD仕入 計; 年間予算_フード仕入; 年間予算_ドリンク仕入; 年間予算_人件費 計; 年間予算_PA人件費,148,年間実績_FLコスト 計; 年間実績_営業利益; 年間予算_FLコスト 計; 年間予算_営業利益; 年間予実差額_総売上 計; 年間予実差額_フード売上 計; 年間予実差額_フード売上ランチ; 年間予実差額_フード売上ディナー; 年間予実差額_ドリンク売上 計; 年間予実差額_ドリンク売上ランチ; 年間予実差額_ドリンク売上ディナー; 年間予実差額_その他売上 計; 年間予実差額_その他売上ランチ; 年間予実差額_その他売上ディナー; 年間予実差額_FLコスト 計; 年間予実差額_FD仕入 計; 年間予実差額_フード仕入; 年間予実差額_ドリンク仕入; 年間予実差額_人件費 計; 年間予実差額_固定人件費; 年間予実差額_PA人件費; 年間予実差額_社員人件費; 年間予実差額_ヘルプ人件費; 年間予実差額_その他経費 計; 年間予実差額_地代家賃; 年間予実差額_家賃（変動分）; 年間予実差額_水道光熱費; 年間予実差額_電気代; 年間予実差額_ガス代; 年間予実差額_水道代; 年間予実差額_減価償却費; 年間予実差額_販促費; 年間予実差額_資材費; 年間予実差額_借入金返済; 年間予実差額_IT費用; 年間予実差額_ラクミー利用料; 年間予実差額_レジ利用料; 年間予実差額_クレジットカード手数料; 年間予実差額_お花代; 年間予実差額_営業利益; 年間予算対比率_総売上 計; 年間予算対比率_フード売上 計; 年間予算対比率_フード売上ランチ; 年間予算対比率_フード売上ディナー; 年間予算対比率_ドリンク売上 計; 年間予算対比率_ドリンク売上ランチ; 年間予算対比率_ドリンク売上ディナー; 年間予算対比率_その他売上 計; 年間予算対比率_その他売上ランチ; 年間予算対比率_その他売上ディナー; 年間予算対比率_FLコスト 計; 年間予算対比率_FD仕入 計; 年間予算対比率_フード仕入; 年間予算対比率_ドリンク仕入; 年間予算対比率_人件費 計; 年間予算対比率_固定人件費; 年間予算対比率_PA人件費; 年間予算対比率_社員人件費; 年間予算対比率_ヘルプ人件費; 年間予算対比率_その他経費 計; 年間予算対比率_地代家賃; 年間予算対比率_家賃（変動分）; 年間予算対比率_水道光熱費; 年間予算対比率_電気代; 年間予算対比率_ガス代; 年間予算対比率_水道代; 年間予算対比率_減価償却費; 年間予算対比率_販促費; 年間予算対比率_資材費; 年間予算対比率_借入金返済; 年間予算対比率_IT費用; 年間予算対比率_ラクミー利用料; 年間予算対比率_レジ利用料; 年間予算対比率_クレジットカード手数料; 年間予算対比率_お花代; 年間予算対比率_営業利益; 年間予算構成比_総売上 計; 年間予算構成比_フード売上 計; 年間予算構成比_フード売上ランチ; 年間予算構成比_フード売上ディナー; 年間予算構成比_ドリンク売上 計; 年間予算構成比_ドリンク売上ランチ; 年間予算構成比_ドリンク売上ディナー; 年間予算構成比_その他売上 計; 年間予算構成比_その他売上ランチ; 年間予算構成比_その他売上ディナー; 年間予算構成比_FLコスト 計; 年間予算構成比_FD仕入 計; 年間予算構成比_フード仕入; 年間予算構成比_ドリンク仕入; 年間予算構成比_人件費 計; 年間予算構成比_固定人件費; 年間予算構成比_PA人件費; 年間予算構成比_社員人件費; 年間予算構成比_ヘルプ人件費; 年間予算構成比_その他経費 計; 年間予算構成比_地代家賃; 年間予算構成比_家賃（変動分）; 年間予算構成比_水道光熱費; 年間予算構成比_電気代; 年間予算構成比_ガス代; 年間予算構成比_水道代; 年間予算構成比_減価償却費; 年間予算構成比_販促費; 年間予算構成比_資材費; 年間予算構成比_借入金返済; 年間予算構成比_IT費用; 年間予算構成比_ラクミー利用料; 年間予算構成比_レジ利用料; 年間予算構成比_クレジットカード手数料; 年間予算構成比_お花代; 年間予算構成比_営業利益; 年間構成比_総売上 計; 年間構成比_フード売上 計; 年間構成比_フード売上ランチ; 年間構成比_フード売上ディナー; 年間構成比_ドリンク売上 計; 年間構成比_ドリンク売上ランチ; 年間構成比_ドリンク売上ディナー; 年間構成比_その他売上 計; 年間構成比_その他売上ランチ; 年間構成比_その他売上ディナー; 年間構成比_FLコスト 計; 年間構成比_FD仕入 計; 年間構成比_フード仕入; 年間構成比_ドリンク仕入; 年間構成比_人件費 計; 年間構成比_固定人件費; 年間構成比_PA人件費; 年間構成比_社員人件費; 年間構成比_ヘルプ人件費; 年間構成比_その他経費 計; 年間構成比_地代家賃; 年間構成比_家賃（変動分）; 年間構成比_水道光熱費; 年間構成比_電気代; 年間構成比_ガス代; 年間構成比_水道代; 年間構成比_減価償却費; 年間構成比_販促費; 年間構成比_資材費; 年間構成比_借入金返済; 年間構成比_IT費用; 年間構成比_ラクミー利用料; 年間構成比_レジ利用料; 年間構成比_クレジットカード手数料; 年間構成比_お花代; 年間構成比_営業利益,20,年間実績_ヘルプ人件費; 年間予算_固定人件費; 年間予算_社員人件費; 年間予算_ヘルプ人件費; 年間予算_その他経費 計; 年間予算_地代家賃; 年間予算_家賃（変動分）; 年間予算_水道光熱費; 年間予算_電気代; 年間予算_ガス代; 年間予算_水道代; 年間予算_減価償却費; 年間予算_販促費; 年間予算_資材費; 年間予算_借入金返済; 年間予算_IT費用; 年間予算_ラクミー利用料; 年間予算_レジ利用料; 年間予算_クレジットカード手数料; 年間予算_お花代,0,
店舗別人件費,分析画面,本部管理者,15,0,,14,売上（税込）; 売上比率; 売上（税込）; 売上（税抜）; 仕入（税込）; 仕入（税抜）; PA人件費; 売上（税抜）; 仕入費; PA人件費; ランチ売上（税抜）; ディナー売上（税抜）; 客数; 客単価（税抜）,0,,0,,1,店舗間人件費率分散
支払方法別分析,分析画面,本部管理者,6,0,,6,支払方法; クレジットカード合計売上; QR決済合計売上; MUGENファミリーカード合計売上; 売掛合計売上; 交通系IC合計売上,0,,0,,0,
曜日別分析,分析画面,本部管理者,4,0,,4,曜日; 平均売上（税抜）; 平均客数; 平均客数（税抜）,0,,0,,0,
月次レポート,分析画面,本部管理者,7,1,店舗名,3,原価率; 仕入総額; 売上合計（税抜）,3,原価（金額）; 対象前月在庫（金額）; 対象月在庫（金額）,0,,0,
費目別仕入分析,分析画面,本部管理者,3,1,費目,1,金額（税抜）,1,比率,0,,0,
進捗分析,分析画面,本部管理者,5,0,,0,,5,利益進捗率; 売上進捗率; 達成率; 進捗率比較（前月）; 進捗率比較（前々月）,0,,0,
ラベル一覧,一覧表示画面,本部管理者,3,3,店舗ID; 店舗名; ラベル名,0,,0,,0,,0,
商品仕入単価,一覧表示画面,本部管理者,4,0,,0,,4,アイテム; 金額（税抜）; 数量; 単価,0,,0,
棚卸詳細,一覧表示画面,本部管理者,7,5,実施日; カテゴリ; ラベル; 在庫数量; 商品単価,0,,2,仕入れ先; 小計,0,,0,
納品書管理,一覧表示画面,本部管理者,6,1,店舗名,0,,5,納品書ID; 受付日付; 納品日; 処理ステータス; 発注先,0,,0,
納品書詳細,一覧表示画面,本部管理者,5,0,,0,,5,納品書ID; 発注者; 受注者; 処理ステータス; 納品日,0,,0,
主要KPI指標,ダッシュボード表示画面,本部管理者,4,0,,0,,0,,4,坪月商; 営業利益率; 家賃比率; ROI,0,
年間予実対比（サマリー）,ダッシュボード表示画面,本部管理者,7,0,,2,FD仕入額; 人件費額,0,,4,客単価（ランチ）; 客単価（ディナー）; 営業利益; 客単価,1,全社売上成長率
店舗ラベル別サマリー,ダッシュボード表示画面,本部管理者,10,0,,1,売上目標,1,売上（税抜）,5,営業利益; 売上達成率; 売上進捗率; FD仕入率; 人件費率,3,店舗間客単価格差; ラベル内偏差(総合); ラベル別最高最低差
店舗別サマリー,ダッシュボード表示画面,本部管理者,15,0,,1,売上目標,1,売上（税抜）,5,営業利益; 売上達成率; 売上進捗率; FD仕入率; 人件費率,8,ベストプラクティス共有スコア; 売上成長率ランキング; 利益成長率ランキング; 店舗間売上格差(Zスコア); パレート集中度; 上位-下位スプレッド; 要改善店舗数; 連続未達店舗検出
当月実績,ダッシュボード表示画面,本部管理者,9,0,,2,営業利益予算; 売上予算,1,売上（税抜）,6,営業利益; FD仕入率; 人件費率; FL率; 営業利益達成率; 売上達成率,0,
"店舗別サマリー, 当月実績",-,本部管理者,2,0,,0,,0,,0,,2,全店舗日次売上達成率; 売上急落店舗アラート
"棚卸, 棚卸詳細, 商品別仕入分析",-,本部管理者,1,0,,0,,0,,0,,1,店舗別在庫残日数
"店舗別人件費, PA人件費率分析",-,本部管理者,2,0,,0,,0,,0,,2,人件費日次予実乖離; 店舗別労働分配率
"費用実績入力, 売上経費入力（売上）, 棚卸",-,本部管理者,1,0,,0,,0,,0,,1,実績入力遅延店舗リスト
"発注書一覧, 納品書管理",-,本部管理者,1,0,,0,,0,,0,,1,発注遅延店舗数
"納品書管理, 納品書詳細",-,本部管理者,1,0,,0,,0,,0,,1,納品差異サマリー（全店）
-（新規画面）,-,本部管理者,10,0,,0,,0,,0,,10,店舗監査未実施リスト; 本部間接コスト配賦率; チーム教育効果指標; 顧客満足度店舗比較; 店舗監査スコア; 店舗投資回収期間; ROA（総資産利益率）; ROE（自己資本利益率）; キャッシュフロー予測; DSCR（借入金返済能力）
"店舗別サマリー, 店舗ラベル別サマリー",-,本部管理者,2,0,,0,,0,,0,,2,閉店リスクスコア; 店舗別営業利益率ランキング
"予算一覧（予算構成）, 予実対比（一覧）",-,本部管理者,1,0,,0,,0,,0,,1,達成率変動係数
"店舗別サマリー, 年間予実対比",-,本部管理者,1,0,,0,,0,,0,,1,新店vs既存店パフォーマンス
"PA人件費率分析, 店舗別人件費",-,本部管理者,3,0,,0,,0,,0,,3,ヘルプ人件費率; 店舗別労働生産性比較; 人件費異常店舗アラート
"ダッシュボード.主要KPI指標, 異常検知フラグ",-,本部管理者,1,0,,0,,0,,0,,1,全店舗異常検知アラート
"店舗別サマリー, 予実対比（一覧）",-,本部管理者,1,0,,0,,0,,0,,1,店舗間FL率偏差（Zスコア）
"店舗別サマリー, 年間予実対比（予実対比）",-,本部管理者,1,0,,0,,0,,0,,1,前年同月比客数変動
"年間予実対比（サマリー）, 店舗別サマリー",-,本部管理者,1,0,,0,,0,,0,,1,店舗別成長率ランキング
"FD分析（仕入率/原価率）, 店舗ラベル別サマリー",-,本部管理者,1,0,,0,,0,,0,,1,店舗別FD原価率ばらつき
"店舗ラベル別サマリー, ABC分析",-,本部管理者,2,0,,0,,0,,0,,2,ラベル別業績格差スコア; 業態別収益性ランキング
"流入分析, 支払種別売上分析",-,本部管理者,1,0,,0,,0,,0,,1,販促効果ランキング
"ダッシュボード.主要KPI指標, 年間予実対比（サマリー）",-,本部管理者,1,0,,0,,0,,0,,1,全社営業利益率
"ダッシュボード.主要KPI指標, 年間予実対比（予実対比）",-,本部管理者,1,0,,0,,0,,0,,1,全社EBITDA
"月次集計, 感度分析",-,本部管理者,1,0,,0,,0,,0,,1,固定費カバー率
感度分析,-,本部管理者,1,0,,0,,0,,0,,1,感度分析スコア
"感度分析, 年間予実対比（サマリー）",-,本部管理者,1,0,,0,,0,,0,,1,シナリオ別予測利益
"年間予実対比（サマリー）, 年間予実対比（予実対比）",-,本部管理者,1,0,,0,,0,,0,,1,年間KGI達成ペース
流入分析,-,本部管理者,1,0,,0,,0,,0,,1,客数成長率ランキング
FD分析（仕入率/原価率）,-,本部管理者,2,0,,0,,0,,0,,2,FL率効率ランキング; 店舗間FL率分散
"店舗別サマリー, 予実対比",-,本部管理者,1,0,,0,,0,,0,,1,店舗別予算超過リスク
予算一覧（予算構成）,-,本部管理者,1,0,,0,,0,,0,,1,予算対比率の変動係数(全社)
棚卸,-,本部管理者,1,0,,0,,0,,0,,1,在庫過剰店舗アラート
予実対比（一覧）,-,本部管理者,1,0,,0,,0,,0,,1,費用超過店舗アラート
