10,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名1,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名1,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定,低,中,中,監視継続
11,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名2,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名2,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定,低,中,中,監視継続
12,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名3,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名3,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定,低,中,中,監視継続
13,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名4,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名4,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定,低,中,中,監視継続
14,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名5,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名5,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定,低,中,中,監視継続
15,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名6,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名6,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定,低,中,中,監視継続
16,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名7,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名7,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定,低,中,中,監視継続
17,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名8,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名8,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定,低,中,中,監視継続
18,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名9,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名9,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定,低,中,中,監視継続
19,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名10,L3,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,item_labels.label_id,-,labels.name,-,マスタ参照,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名10,設定/入力検証済,データソース: ラベルマスタ,-,-,設定入力画面,設定入力,仕入商品ラベル設定,低,中,中,監視継続
20,設定入力画面,ラベル設定（売上商品リスト）,商品ID,L2,D,-,商品マスタ（参照）,マスタ参照表示,POS商品マスタから商品IDを参照表示,マスタ参照,head_office_item_sales_logs.item_id,-,head_office_item_sales_logs.item_id,-,-,[マスタ]head_office_item_sales_logs.item_id,-,head_office_item_sales_logs.item_id → ラベル設定（売上商品リスト）.商品ID,設定/入力検証済,データソース: POS（商品別）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
21,設定入力画面,ラベル設定（売上商品リスト）,商品名,L2,D,-,商品マスタ（参照）,マスタ参照表示,POS商品マスタから商品名を参照表示,マスタ参照,head_office_item_sales_logs.item_name,-,head_office_item_sales_logs.item_name,-,-,[マスタ]head_office_item_sales_logs.item_name,-,head_office_item_sales_logs.item_name → ラベル設定（売上商品リスト）.商品名,設定/入力検証済,データソース: POS（商品別）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
22,設定入力画面,ラベル設定（売上商品リスト）,商品ID（連携サービス）,L2,D,-,商品マスタ（参照）,マスタ参照表示,POS商品マスタから連携サービス商品IDを参照表示,マスタ参照,head_office_item_sales_logs.external_item_id,-,head_office_item_sales_logs.external_item_id,-,-,[マスタ]head_office_item_sales_logs.external_item_id,-,head_office_item_sales_logs.external_item_id → ラベル設定（売上商品リスト）.商品ID（連携サービス）,設定/入力検証済,データソース: POS（商品別）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
23,設定入力画面,ラベル設定（売上商品リスト）,商品コード（連携サービス）,L2,D,-,商品マスタ（参照）,マスタ参照表示,POS商品マスタから連携サービス商品コードを参照表示,マスタ参照,head_office_item_sales_logs.external_item_code,-,head_office_item_sales_logs.external_item_code,-,-,[マスタ]head_office_item_sales_logs.external_item_code,-,head_office_item_sales_logs.external_item_code → ラベル設定（売上商品リスト）.商品コード（連携サービス）,設定/入力検証済,データソース: POS（商品別）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
24,設定入力画面,ラベル設定（売上商品リスト）,ラベル名,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,sales_item_labels.label_name,-,sales_item_labels.label_name,-,ユーザー入力（ラベル設定）,-,-,sales_item_labels.label_name → ラベル設定（売上商品リスト）.ラベル名,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
25,設定入力画面,ラベル設定（売上商品リスト）,ステータスフラグ,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,sales_item_labels.status,-,sales_item_labels.status,-,ユーザー入力（ラベル設定）,-,-,sales_item_labels.status → ラベル設定（売上商品リスト）.ステータスフラグ,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
26,設定入力画面,ラベル設定（売上商品リスト）,AIによるラベル生成,L2,D,-,AI生成,AI生成,AIによる自動生成,AI生成,-,-,-,-,AI生成,-,-,AI生成 → ラベル設定（売上商品リスト）.AIによるラベル生成,AI生成,AIによるラベル自動生成機能,-,-,設定入力画面,設定入力,AIが自動生成するラベル設定,低,中,中,監視継続
27,設定入力画面,ラベル設定（発注先リスト）,発注先ID,L2,D,-,発注先マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_clients.id,-,infomart_clients.id,-,マスタ参照,-,-,infomart_clients.id → ラベル設定（発注先リスト）.発注先ID,設定/入力検証済,データソース: 発注先マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
28,設定入力画面,ラベル設定（発注先リスト）,発注先名,L2,D,-,発注先マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_clients.name,-,infomart_clients.name,-,マスタ参照,-,-,infomart_clients.name → ラベル設定（発注先リスト）.発注先名,設定/入力検証済,データソース: 発注先マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
29,設定入力画面,ラベル設定（発注先リスト）,ラベル名,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,client_labels.label_name,-,client_labels.label_name,-,ユーザー入力（ラベル設定）,-,-,client_labels.label_name → ラベル設定（発注先リスト）.ラベル名,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
30,設定入力画面,ラベル設定（発注先リスト）,ステータスフラグ,L2,D,-,発注先マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_clients.status,-,infomart_clients.status,-,ユーザー入力（ラベル設定）,-,-,infomart_clients.status → ラベル設定（発注先リスト）.ステータスフラグ,設定/入力検証済,データソース: 発注先マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
51,設定入力画面,店舗管理,店舗名,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.name,-,shops.name,-,ユーザー入力（店舗設定）,-,-,shops.name → 店舗管理.店舗名,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,低,中,中,監視継続
52,設定入力画面,店舗管理,電話番号,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.phone_number,-,shops.phone_number,-,ユーザー入力（店舗設定）,-,-,shops.phone_number → 店舗管理.電話番号,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,低,中,中,監視継続
53,設定入力画面,店舗管理,郵便番号,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.postal_code,-,shops.postal_code,-,ユーザー入力（店舗設定）,-,-,shops.postal_code → 店舗管理.郵便番号,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,低,中,中,監視継続
54,設定入力画面,店舗管理,都道府県,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.prefecture,-,shops.prefecture,-,ユーザー入力（店舗設定）,-,-,shops.prefecture → 店舗管理.都道府県,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,低,中,中,監視継続
55,設定入力画面,店舗管理,住所,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.address,-,shops.address,-,ユーザー入力（店舗設定）,-,-,shops.address → 店舗管理.住所,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,低,中,中,監視継続
56,設定入力画面,店舗管理,建物,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.building,-,shops.building,-,ユーザー入力（店舗設定）,-,-,shops.building → 店舗管理.建物,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,低,中,中,監視継続
57,設定入力画面,店舗管理,業種,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.industry_type,-,shops.industry_type,-,ユーザー入力（店舗設定）,-,-,shops.industry_type → 店舗管理.業種,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,低,中,中,監視継続
58,設定入力画面,店舗管理,業態,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.business_type,-,shops.business_type,-,ユーザー入力（店舗設定）,-,-,shops.business_type → 店舗管理.業態,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,低,中,中,監視継続
59,設定入力画面,店舗管理,総卓数,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.total_table_num,-,shops.total_table_num,-,ユーザー入力（店舗設定）,-,流入分析.総卓数,shops.total_table_num → 店舗管理.総卓数,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,中,中,中,監視継続
60,設定入力画面,店舗管理,総席数,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.total_seat_num,-,shops.total_seat_num,-,ユーザー入力（店舗設定）,-,流入分析.総席数,shops.total_seat_num → 店舗管理.総席数,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,中,中,中,監視継続
61,設定入力画面,店舗管理,坪数,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.total_area_num,-,shops.total_area_num,-,ユーザー入力（店舗設定）,-,主要KPI指標.坪月商,shops.total_area_num → 店舗管理.坪数,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,中,中,中,監視継続
62,設定入力画面,店舗管理,初期投資額,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.initial_investment,-,shops.initial_investment,-,ユーザー入力（店舗設定）,-,主要KPI指標.ROI,shops.initial_investment → 店舗管理.初期投資額,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,中,中,中,監視継続
63,設定入力画面,月次予算設定,目標月次利益,L3,A,-,予算設定（入力）,ユーザー入力単独,Step1: 目標月次利益を金額で入力,入力値（金額）,monthly_budgets.profit,-,monthly_budgets.profit,-,ユーザー入力（予算設定）,-,-,monthly_budgets.profit → 月次予算設定.目標月次利益,設定/入力検証済,データソース: 予算設定（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する予算設定値,低,中,中,監視継続
64,設定入力画面,月次予算設定,FD仕入比率,L3,B,-,予算設定（入力）,ユーザー入力単独,Step2: FD仕入費率を％で入力,入力値（％）,monthly_budgets.food_cost_rate,-,monthly_budgets.food_cost_rate,-,ユーザー入力（予算設定）,-,-,monthly_budgets.food_cost_rate → 月次予算設定.FD仕入比率,設定/入力検証済,データソース: 予算設定（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する予算設定値,低,中,中,監視継続
65,設定入力画面,月次予算設定,PA人件費率,L3,B,-,予算設定（入力）,ユーザー入力単独,Step2: PA人件費率を％で入力,入力値（％）,monthly_budgets.labor_cost_rate,-,monthly_budgets.labor_cost_rate,-,ユーザー入力（予算設定）,-,-,monthly_budgets.labor_cost_rate → 月次予算設定.PA人件費率,設定/入力検証済,データソース: 予算設定（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する予算設定値,低,中,中,監視継続
66,設定入力画面,月次予算設定,目標客単価（税抜）,L3,B,-,予算設定（入力）,ユーザー入力単独,Step3: 目標客単価を金額で入力,入力値（金額）,monthly_budgets.sales_per_customer,-,monthly_budgets.sales_per_customer,-,ユーザー入力（予算設定）,-,-,monthly_budgets.sales_per_customer → 月次予算設定.目標客単価（税抜）,設定/入力検証済,データソース: 予算設定（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する予算設定値,低,中,中,監視継続
67,設定入力画面,月次予算設定,目標客数,L3,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出,売上（税抜） ÷ 目標客単価,売上（税抜） / sales_per_customer,-,monthly_budgets.target_customers,-,ユーザー入力（予算設定）,-,-,monthly_budgets.target_customers → 月次予算設定.目標客数,設定/入力検証済,データソース: 予算設定（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する予算設定値,低,中,中,監視継続
68,設定入力画面,月次予算設定,変動費率,L4b,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出（FD仕入比率+PA人件費率+変動費用予算率）,FD仕入比率 + PA人件費率 + 変動費用予算率,monthly_budgets.food_cost_rate + monthly_budgets.labor_cost_rate + 変動費用予算率,画面内計算値,-,-,画面内演算,"月次予算設定.FD仕入比率, 月次予算設定.PA人件費率, 月次予算設定.変動費用予算",-,画面内計算 → 月次予算設定.変動費率,演算検証済,MQ会計シミュレーション自動計算,-,-,設定入力画面,設定入力,予算設定における変動費率（自動算出）,中,高,高,事前計算・非同期処理
69,設定入力画面,月次予算設定,変動費単価,L1,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出,目標客単価 × 変動費率,sales_per_customer × 変動費率,-,-,-,画面内演算,"画面内計算, 画面内計算",-,変動費 ÷ 客数 → 月次予算設定.変動費単価,演算検証済,-,-,-,設定入力画面,設定入力,予算設定における変動費単価,中,中,中,監視継続
70,設定入力画面,月次予算設定,粗利単価,L1,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出,目標客単価 - 変動費単価,sales_per_customer - 変動費単価,-,-,-,画面内演算,"画面内計算, 画面内計算",-,粗利 ÷ 客数 → 月次予算設定.粗利単価,演算検証済,-,-,-,設定入力画面,設定入力,予算設定における粗利単価,中,中,中,監視継続
71,設定入力画面,月次予算設定,売上（税抜）,L0,A,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出,月次予算設定.目標客単価 × 月次予算設定.目標客数,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,-,-,-,"月次予算設定.目標客数, -",ZTOTAL.sales_excluded → 月次予算設定.売上（税抜）,スキーマ検証済,-,-,-,設定入力画面,設定入力,予算設定における売上,中,低,中,監視継続
72,設定入力画面,月次予算設定,変動費,L4b,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出,売上（税抜） × 変動費率,売上（税抜） × 変動費率,画面内計算値,-,-,画面内演算,"月次予算設定.売上（税抜）, 画面内計算",-,売上 - 粗利 → 月次予算設定.変動費,演算検証済,-,-,-,設定入力画面,設定入力,予算設定における変動費,中,高,高,事前計算・非同期処理
73,設定入力画面,月次予算設定,粗利率,L1,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出（100% - 変動費率）,100 - 変動費率,100 - (food_cost_rate + labor_cost_rate + 変動費用予算率),画面内計算値,-,-,画面内演算,月次予算設定.変動費率,-,画面内計算 → 月次予算設定.粗利率,演算検証済,MQ会計シミュレーション自動計算,-,-,設定入力画面,設定入力,予算設定における粗利率（自動算出）,低,中,中,監視継続
73b,設定入力画面,月次予算設定,粗利,L4b,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出（売上 - 変動費）,売上（税抜） - 変動費,月次予算設定.売上（税抜） - 月次予算設定.変動費,画面内計算値,-,-,画面内演算,"月次予算設定.売上（税抜）, 月次予算設定.変動費",-,売上 - 変動費 → 月次予算設定.粗利,演算検証済,MQ会計シミュレーション自動計算,-,-,設定入力画面,設定入力,予算設定における粗利（自動算出）,中,高,高,最適化検討
73c,設定入力画面,月次予算設定,変動費用予算,L3,B,画面間,費用設定（参照）,設定値集計,費用設定の変動費用予算合計を参照表示（自動計上）,SUM(設定タイプ=変動費用予算),費用設定.変動費用予算,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,月次予算設定.変動費率,月次費用入力.金額 → 月次予算設定.変動費用予算,設定/入力検証済,費用設定からの設定値集計,-,-,設定入力画面,設定入力,予算設定における変動費用予算（設定値集計・自動計上）,中,中,中,監視継続
74,設定入力画面,月次予算設定,固定費用予算,L3,B,画面間,費用設定（参照）,設定値集計,Step0: 費用設定の固定費用予算合計を参照表示（自動計上）,SUM(設定タイプ=固定費用予算),費用設定.固定費用予算,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,月次予算設定.営業利益,月次費用入力.金額 → 月次予算設定.固定費用予算,設定/入力検証済,費用設定からの設定値集計,-,-,設定入力画面,設定入力,予算設定における固定費用予算（設定値集計・自動計上）,中,中,中,監視継続
75,設定入力画面,月次予算設定,営業利益,L4b,A,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出（粗利 - 固定費用予算）,粗利 - 固定費用予算,月次予算設定.粗利 - 月次予算設定.固定費用予算,画面内計算値,-,-,画面内演算,"月次予算設定.粗利, 月次予算設定.固定費用予算",-,粗利 - 固定費 → 月次予算設定.営業利益,演算検証済,MQ会計シミュレーション自動計算,-,-,設定入力画面,設定入力,予算設定における営業利益（自動算出）,中,高,高,事前計算・非同期処理
76,設定入力画面,発注先商品管理,商品名,L2,D,-,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.name,-,infomart_items.name,-,ユーザー入力（商品設定）,-,-,infomart_items.name → 発注先商品管理.商品名,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する商品設定値,低,中,中,監視継続
77,設定入力画面,発注先商品管理,商品コード,L2,D,-,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.code,-,infomart_items.code,-,ユーザー入力（商品設定）,-,-,infomart_items.code → 発注先商品管理.商品コード,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する商品設定値,低,中,中,監視継続
78,設定入力画面,発注先商品管理,ステータス,L2,D,-,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.status,-,infomart_items.status,-,ユーザー入力（商品設定）,-,-,infomart_items.status → 発注先商品管理.ステータス,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する商品設定値,低,中,中,監視継続
79,設定入力画面,発注先商品管理,単位,L2,D,-,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.unit,-,infomart_items.unit,-,ユーザー入力（商品設定）,-,-,infomart_items.unit → 発注先商品管理.単位,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する商品設定値,低,中,中,監視継続
80,設定入力画面,発注先商品管理,税区分,L2,D,-,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.tax_type,-,infomart_items.tax_type,-,ユーザー入力（商品設定）,-,-,infomart_items.tax_type → 発注先商品管理.税区分,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する商品設定値,低,中,中,監視継続
