UIカスタマイズ指標一覧（会社画面）V58 詳細版
作成日: 2025-12-12
基準: 会社画面_データソース定義表_V58

No,カスタマイズレベル,カテゴリ,指標名,演算式詳細,データソース種別,インプット元,アウトプット先,データリネージュ（詳細）,表現提案,必要機能,実現性,優先度,実現に必要なこと・不明点・コスト
10,L1: 既存指標の活用,コスト分析,人件費率改善幅,予実対比.人件費率[当月] - 予実対比.人件費率[前年同月],画面間参照,予実対比.人件費,コスト改善レポート,labor_costs_logs.labor_costs → 人件費集計 → ZTOTAL.sales_excluded → 除算 → 人件費率[当月] → 前年同月人件費率 → 差分 → 人件費率改善幅,数値表示（pp）+ 改善幅バー（マイナスが良い）,人件費率の前年同月データ,高,S,【必要】人件費率の前年データ保持【コスト】低

11,L2: 合成指標,収益性分析,FL率,（infomart_transactions.total_tax_excluded + labor_costs_logs.labor_costs）÷ ZTOTAL.sales_excluded × 100,外部連携（インフォマート+KOT+POS）,予実対比.FD仕入 + 予実対比.人件費 + 当月実績.売上（税抜）,ダッシュボード表示/店舗別サマリー/主要KPI,infomart_transactions.total_tax_excluded → FD仕入集計 + head_office_connected_service_labor_costs_logs.labor_costs → 人件費集計 → 合算 → FLコスト + head_office_connected_service_sales_logs.sales_excluded → 売上集計 → 除算 → FL率,ゲージチャート（目標ライン付き）+ 数値表示 + アラート色,FL率計算ロジック（FD+人件費÷売上）,高,S,【必要】FD仕入+人件費の合算ロジック【コスト】低（既存データ組合せ）
12,L2: 合成指標,収益性分析,FLコスト合計,infomart_transactions.total_tax_excluded + labor_costs_logs.labor_costs,外部連携（インフォマート+KOT）,予実対比.FD仕入 + 予実対比.人件費,コスト分析/予実対比,infomart_transactions.total_tax_excluded → FD仕入集計 + head_office_connected_service_labor_costs_logs.labor_costs → 人件費集計 → 合算 → FLコスト合計,積み上げ棒グラフ（FD/人件費内訳）+ 合計数値,単純加算,高,A,【必要】なし（既存データ加算）【コスト】低
13,L2: 合成指標,収益性分析,粗利益,ZTOTAL.sales_excluded - infomart_transactions.total_tax_excluded,外部連携（POS+インフォマート）,当月実績.売上（税抜）+ 予実対比.FD仕入,損益分析/店舗別比較,head_office_connected_service_sales_logs.sales_excluded → 売上集計 - infomart_transactions.total_tax_excluded → FD仕入集計 → 粗利益,棒グラフ + 数値表示,売上-FD仕入の計算,高,A,【必要】なし【コスト】低
14,L2: 合成指標,収益性分析,粗利率,（ZTOTAL.sales_excluded - infomart_transactions.total_tax_excluded）÷ ZTOTAL.sales_excluded × 100,外部連携（POS+インフォマート）,当月実績.売上（税抜）+ 予実対比.FD仕入,損益分析/店舗別比較,head_office_connected_service_sales_logs.sales_excluded → 売上集計 - infomart_transactions.total_tax_excluded → FD仕入集計 → 粗利益 → 売上集計 → 除算 → 粗利率,数値表示（%）+ 目標ライン,粗利益÷売上,高,A,【必要】なし【コスト】低
15,L2: 合成指標,効率性分析,労働生産性,ZTOTAL.sales_excluded ÷ SUM(working_records.working_hours),外部連携（POS+勤怠）,日次レポート.売上（税抜）+ 勤怠データ,人件費分析/効率分析,head_office_connected_service_sales_logs.sales_excluded → 売上集計 ÷ head_office_employee_working_records.working_hours → 総労働時間集計 → 労働生産性,数値表示（円/時間）+ トレンドライン,総労働時間の集計が必要,中,A,【必要】working_recordsから総労働時間集計【不明】労働時間データの粒度【コスト】中
16,L2: 合成指標,効率性分析,人時売上高,ZTOTAL.sales_excluded ÷ SUM(working_records.working_hours),外部連携（POS+勤怠）,日次レポート.売上（税抜）+ 勤怠データ,人件費効率分析,head_office_connected_service_sales_logs.sales_excluded → 売上集計 ÷ head_office_employee_working_records.working_hours → 総労働時間集計 → 人時売上高,数値表示（円/時間）+ 目標比較,労働生産性と同等,中,A,【必要】労働時間集計【コスト】中
17,L2: 合成指標,効率性分析,席回転率,ZTOTAL.customers ÷ shops.total_seats,外部連携（POS）+設定マスタ,客数.当月客数 + 店舗管理.総席数,効率分析/店舗比較,head_office_connected_service_sales_logs.customers → 客数集計 ÷ shops.total_seats → 席回転率,数値表示（回）+ 店舗別ランキング,客数÷総席数（日数で割る場合あり）,高,A,【必要】shops.total_seatsの参照【コスト】低
18,L2: 合成指標,効率性分析,テーブル回転率,COUNT(TTOTAL.table_id) ÷ shops.total_tables ÷ 営業日数,外部連携（POS）+設定マスタ,TTOTAL集計 + 店舗管理.総卓数,効率分析/店舗比較,head_office_table_sales_logs.table_id → 組数カウント ÷ shops.total_tables → 卓数 ÷ 営業日数 → テーブル回転率,数値表示（回/日）+ 店舗別比較,組数÷卓数÷日数,高,A,【必要】TTOTALからの組数集計【コスト】低
19,L2: 合成指標,効率性分析,坪効率,ZTOTAL.sales_excluded ÷ shops.floor_space,外部連携（POS）+設定マスタ,当月実績.売上（税抜）+ 店舗管理.坪数,効率分析/店舗比較,head_office_connected_service_sales_logs.sales_excluded → 売上集計 ÷ shops.floor_space → 坪効率,数値表示（円/坪）+ 店舗別ランキング,売上÷坪数,高,A,【必要】shops.floor_spaceの参照【コスト】低
20,L2: 合成指標,投資回収分析,投資回収月数,shops.initial_investment ÷ 当月実績.営業利益,設定マスタ+画面間参照,店舗管理.初期投資額 + 当月実績.営業利益,投資分析/経営判断,shops.initial_investment → 初期投資額 ÷ 当月実績.営業利益 → 月次営業利益 → 投資回収月数,数値表示（ヶ月）+ 進捗バー,初期投資額÷月次営業利益,高,S,【必要】初期投資額が設定済みであること【不明】減価償却の扱い【コスト】低
21,L2: 合成指標,投資回収分析,投資回収進捗率,SUM(当月実績.営業利益[累計]) ÷ shops.initial_investment × 100,設定マスタ+画面間参照,累計営業利益 + 店舗管理.初期投資額,投資分析/経営判断,当月実績.営業利益 → 累計集計 → 累計営業利益 ÷ shops.initial_investment → 初期投資額 → 投資回収進捗率,進捗バー + 数値表示（%）,累計営業利益÷初期投資額,高,S,【必要】営業利益の累計集計【コスト】低
22,L2: 合成指標,予実分析,売上予実差額,ZTOTAL.sales_excluded - monthly_budgets.sales,外部連携（POS）+ユーザー入力,当月実績.売上（税抜）+ 店舗ラベル別サマリー.売上目標,予実対比/経営レポート,head_office_connected_service_sales_logs.sales_excluded → 売上実績 - monthly_budgets.sales → 売上予算 → 売上予実差額,数値表示（円）+ 差額バー（+/-色分け）,売上実績-予算,高,A,【必要】予算設定済みであること【コスト】低
23,L2: 合成指標,予実分析,営業利益予実差額,当月実績.営業利益 - monthly_budgets.profit,画面間参照+ユーザー入力,当月実績.営業利益 + 当月実績.営業利益予算,予実対比/経営レポート,当月実績.営業利益 → 営業利益実績 - monthly_budgets.profit → 営業利益予算 → 営業利益予実差額,数値表示（円）+ 差額バー（+/-色分け）,営業利益実績-予算,高,S,【必要】営業利益予算設定済み【コスト】低
24,L2: 合成指標,予実分析,客数予実差,ZTOTAL.customers - monthly_budgets.customers,外部連携（POS）+ユーザー入力,客数.当月客数 + 予算設定.客数,予実対比/集客分析,head_office_connected_service_sales_logs.customers → 客数実績 - monthly_budgets.customers → 客数目標 → 客数予実差,数値表示（人）+ 差額バー,客数実績-目標,高,A,【必要】客数目標設定【不明】客数目標の入力画面有無【コスト】低

25,L3: 1次元ディメンション,店舗別分析,店舗別売上ランキング,ZTOTAL.sales_excluded GROUP BY shops.id ORDER BY DESC,外部連携（POS）+設定マスタ,店舗別サマリー.売上（税抜）,ダッシュボード表示/店舗比較,head_office_connected_service_sales_logs.sales_excluded → shops.id別集計 → 降順ソート → 店舗別売上ランキング,横棒グラフ（ランキング形式）+ 順位表示,店舗別GROUP BY + ソート,高,A,【必要】店舗別集計ビュー【コスト】低
26,L3: 1次元ディメンション,店舗別分析,店舗別営業利益ランキング,当月実績.営業利益 GROUP BY shops.id ORDER BY DESC,画面間参照+設定マスタ,店舗別サマリー.営業利益,ダッシュボード表示/店舗比較,当月実績.営業利益 → shops.id別集計 → 降順ソート → 店舗別営業利益ランキング,横棒グラフ（ランキング形式）+ 順位表示,店舗別営業利益集計,高,S,【必要】店舗別営業利益計算【コスト】低
27,L3: 1次元ディメンション,店舗別分析,店舗別FL率ランキング,FL率 GROUP BY shops.id ORDER BY ASC,画面内演算+設定マスタ,店舗別FL率計算,コスト分析/店舗比較,FLコスト → 売上 → 店舗別FL率計算 → shops.id別集計 → 昇順ソート → 店舗別FL率ランキング,横棒グラフ（昇順ランキング）+ 目標ライン,店舗別FL率計算,高,S,【必要】店舗別FD仕入+人件費集計【コスト】低
28,L3: 1次元ディメンション,ラベル別分析,ラベル別売上構成,ZTOTAL.sales_excluded GROUP BY labels.name,外部連携（POS）+設定マスタ,店舗ラベル別サマリー.売上（税抜）,業態分析/エリア分析,head_office_connected_service_sales_logs.sales_excluded → shop_labels.label_id → labels.name別集計 → ラベル別売上構成,円グラフ + 構成比表,ラベル別GROUP BY,高,A,【必要】店舗-ラベル紐付け【コスト】低
29,L3: 1次元ディメンション,ラベル別分析,ラベル別営業利益構成,当月実績.営業利益 GROUP BY labels.name,画面間参照+設定マスタ,店舗ラベル別サマリー.営業利益,業態分析/収益性分析,当月実績.営業利益 → shop_labels.label_id → labels.name別集計 → ラベル別営業利益構成,円グラフ + 構成比表,ラベル別営業利益集計,高,S,【必要】ラベル別営業利益計算【コスト】低
30,L3: 1次元ディメンション,時系列分析,月別売上推移,ZTOTAL.sales_excluded GROUP BY MONTH(date),外部連携（POS）,年間予実対比データ,トレンド分析/季節性把握,head_office_connected_service_sales_logs.sales_excluded → MONTH(date)別集計 → 月別売上推移,折れ線グラフ + 前年同月比較オプション,月別GROUP BY,高,A,【必要】12ヶ月分のデータ保持【コスト】低
31,L3: 1次元ディメンション,時系列分析,月別営業利益推移,当月実績.営業利益 GROUP BY MONTH(date),画面間参照,年間予実対比データ,トレンド分析/季節性把握,当月実績.営業利益 → MONTH(date)別集計 → 月別営業利益推移,折れ線グラフ + 前年比較,月別営業利益集計,高,S,【必要】月別営業利益履歴【コスト】低
32,L3: 1次元ディメンション,曜日別分析,曜日別平均売上,AVG(ZTOTAL.sales_excluded) GROUP BY DAYOFWEEK(date),外部連携（POS）,曜日別売上分析データ,パターン分析/シフト計画参考,head_office_connected_service_sales_logs.sales_excluded → DAYOFWEEK(date)別集計 → 平均 → 曜日別平均売上,棒グラフ（曜日別）+ 平均ライン,曜日別GROUP BY + 平均,高,A,【必要】日別データの曜日集計【コスト】低
33,L3: 1次元ディメンション,時間帯別分析,時間帯別売上構成,ZTOTAL.sales_excluded GROUP BY HOUR(time),外部連携（POS）,時間帯別売上分析データ,ピーク分析/シフト計画,head_office_connected_service_sales_logs.sales_excluded → HOUR(time)別集計 → 時間帯別売上構成,積み上げ棒グラフ（時間帯別）+ 構成比,時間帯別GROUP BY,高,A,【必要】時間帯別売上データ【不明】時間帯の粒度（1時間/30分）【コスト】低
34,L3: 1次元ディメンション,商品別分析,商品カテゴリ別売上構成,TITEM.sales_excluded GROUP BY item_labels.label_name,外部連携（POS）+設定マスタ,ABC分析データ,メニュー分析/商品戦略,head_office_item_sales_logs.sales_excluded → item_labels.label_name別集計 → 商品カテゴリ別売上構成,円グラフ + ABC分析表,商品ラベル別GROUP BY,高,A,【必要】商品-ラベル紐付け【コスト】低

35,L4: 2次元分析,店舗×時系列,店舗×月別売上マトリクス,ZTOTAL.sales_excluded GROUP BY shops.id THEN MONTH(date),外部連携（POS）+設定マスタ,店舗別サマリー + 年間データ,店舗比較/季節性分析,head_office_connected_service_sales_logs.sales_excluded → shops.id × MONTH(date)クロス集計 → 店舗×月別売上マトリクス,ヒートマップ（店舗×月）+ 数値表示,2軸GROUP BY + ピボット表示,中,A,【必要】ピボットテーブル機能【コスト】中（UI開発必要）
36,L4: 2次元分析,店舗×時系列,店舗×月別営業利益マトリクス,当月実績.営業利益 GROUP BY shops.id THEN MONTH(date),画面間参照+設定マスタ,店舗別サマリー + 年間データ,収益性比較/季節性分析,当月実績.営業利益 → shops.id × MONTH(date)クロス集計 → 店舗×月別営業利益マトリクス,ヒートマップ（店舗×月）+ 条件付き書式,2軸営業利益集計,中,S,【必要】店舗×月の営業利益マトリクス【コスト】中
37,L4: 2次元分析,ラベル×時系列,ラベル×月別売上マトリクス,ZTOTAL.sales_excluded GROUP BY labels.name THEN MONTH(date),外部連携（POS）+設定マスタ,店舗ラベル別サマリー + 年間データ,業態分析/季節性分析,head_office_connected_service_sales_logs.sales_excluded → labels.name × MONTH(date)クロス集計 → ラベル×月別売上マトリクス,ヒートマップ（ラベル×月）,2軸GROUP BY,中,A,【必要】ラベル×月のピボット【コスト】中
38,L4: 2次元分析,店舗×曜日,店舗×曜日別売上マトリクス,AVG(ZTOTAL.sales_excluded) GROUP BY shops.id THEN DAYOFWEEK(date),外部連携（POS）+設定マスタ,店舗別 + 曜日別データ,店舗別パターン分析,head_office_connected_service_sales_logs.sales_excluded → shops.id × DAYOFWEEK(date)クロス集計 → 平均 → 店舗×曜日別売上マトリクス,ヒートマップ（店舗×曜日）,2軸平均集計,中,B,【必要】店舗×曜日のピボット【コスト】中
39,L4: 2次元分析,店舗×時間帯,店舗×時間帯別売上マトリクス,ZTOTAL.sales_excluded GROUP BY shops.id THEN HOUR(time),外部連携（POS）+設定マスタ,店舗別 + 時間帯別データ,店舗別ピーク分析,head_office_connected_service_sales_logs.sales_excluded → shops.id × HOUR(time)クロス集計 → 店舗×時間帯別売上マトリクス,ヒートマップ（店舗×時間帯）,2軸集計,中,B,【必要】店舗×時間帯ピボット【コスト】中
40,L4: 2次元分析,商品×店舗,商品カテゴリ×店舗別売上マトリクス,TITEM.sales_excluded GROUP BY item_labels.label_name THEN shops.id,外部連携（POS）+設定マスタ,ABC分析 + 店舗別データ,店舗別売れ筋分析,head_office_item_sales_logs.sales_excluded → item_labels.label_name × shops.idクロス集計 → 商品カテゴリ×店舗別売上マトリクス,ヒートマップ（商品×店舗）,2軸商品売上集計,中,B,【必要】商品×店舗ピボット【コスト】中

41,L4: 3次元分析,店舗×月×KPI,店舗×月×KPIキューブ,全KPI GROUP BY shops.id THEN MONTH(date) THEN kpi_type,全種類,全KPIデータ,多角的分析/BIツール連携,全KPIデータ → shops.id × MONTH(date) × kpi_type → 3次元キューブ → 店舗×月×KPIキューブ,3次元キューブ（BIツール形式）/ ドリルダウン可能なダッシュボード,OLAP機能 / BIツール連携,低,A,【必要】OLAPキューブ構築 or BIツール導入【コスト】高（BIツールライセンス/開発工数大）
42,L4: 3次元分析,ラベル×月×KPI,ラベル×月×KPIキューブ,全KPI GROUP BY labels.name THEN MONTH(date) THEN kpi_type,全種類,全KPIデータ,業態別多角的分析,全KPIデータ → labels.name × MONTH(date) × kpi_type → 3次元キューブ → ラベル×月×KPIキューブ,3次元キューブ / ドリルダウンダッシュボード,OLAP機能,低,B,【必要】OLAPキューブ【コスト】高
43,L4: 3次元分析,店舗×曜日×時間帯,店舗×曜日×時間帯キューブ,ZTOTAL.sales_excluded GROUP BY shops.id THEN DAYOFWEEK THEN HOUR,外部連携（POS）+設定マスタ,詳細売上データ,詳細パターン分析,head_office_connected_service_sales_logs.sales_excluded → shops.id × DAYOFWEEK × HOUR → 3次元キューブ → 店舗×曜日×時間帯キューブ,3次元ヒートマップ / スライサー付きダッシュボード,3軸集計 + 可視化,低,C,【必要】大量データの3軸集計【コスト】高（処理負荷大）

44,L5: 期間比較,前年同期比較,全KPI前年同期比較,全KPI[当月] ÷ 全KPI[前年同月] × 100,全種類,全KPIデータ + 前年データ,経営レポート/YoY分析,全KPIソース → 当月集計 + 前年同月集計 → 除算 → 全KPI前年同期比較,比較表（当月/前年/前年比の3列）+ 色分け,期間切替機能 + 前年データ保持,高,S,【必要】全KPIの前年同月データ保持【コスト】低〜中（データ保持期間による）
45,L5: 期間比較,前月比較,全KPI前月比較,全KPI[当月] ÷ 全KPI[前月] × 100,全種類,全KPIデータ + 前月データ,月次レポート/MoM分析,全KPIソース → 当月集計 + 前月集計 → 除算 → 全KPI前月比較,比較表（当月/前月/前月比の3列）+ 色分け,前月データ取得,高,A,【必要】前月データ保持【コスト】低
46,L5: 期間比較,四半期比較,四半期別KPI比較,全KPI GROUP BY QUARTER(date),全種類,全KPIデータ,四半期レポート/QoQ分析,全KPIソース → QUARTER(date)別集計 → 四半期別KPI比較,四半期別棒グラフ + 前年同期比較オプション,四半期GROUP BY,中,B,【必要】四半期集計ロジック【コスト】低
47,L5: 期間比較,累計比較,年度累計KPI,SUM(全KPI) WHERE date >= 年度開始日,全種類,全KPIデータ,年度進捗管理/YTD分析,全KPIソース → 年度開始日以降フィルタ → 累計集計 → 年度累計KPI,累計推移グラフ + 目標ライン + 達成率,年度累計集計,高,A,【必要】年度開始日の設定【コスト】低
48,L5: 期間比較,移動平均,3ヶ月移動平均売上,AVG(ZTOTAL.sales_excluded) OVER (ORDER BY month ROWS 2 PRECEDING),外部連携（POS）,月次売上データ,トレンド分析/平滑化,head_office_connected_service_sales_logs.sales_excluded → 月別集計 → 3ヶ月ウィンドウ平均 → 3ヶ月移動平均売上,折れ線グラフ（実績+移動平均の2本線）,ウィンドウ関数 / 移動平均計算,中,B,【必要】移動平均計算ロジック【コスト】低
49,L5: 期間比較,移動平均,12ヶ月移動平均売上,AVG(ZTOTAL.sales_excluded) OVER (ORDER BY month ROWS 11 PRECEDING),外部連携（POS）,月次売上データ,長期トレンド分析,head_office_connected_service_sales_logs.sales_excluded → 月別集計 → 12ヶ月ウィンドウ平均 → 12ヶ月移動平均売上,折れ線グラフ（実績+12ヶ月MA）,12ヶ月ウィンドウ関数,中,B,【必要】12ヶ月以上のデータ保持【コスト】低

50,L6: 新指標（実現性高）,予測分析,売上予測（線形）,線形回帰(ZTOTAL.sales_excluded[過去12ヶ月]),外部連携（POS）,過去12ヶ月売上データ,経営計画/予測ダッシュボード,head_office_connected_service_sales_logs.sales_excluded → 過去12ヶ月集計 → 線形回帰モデル適用 → 売上予測（線形）,折れ線グラフ（実績+予測の点線）+ 信頼区間,線形回帰計算ロジック,中,A,【必要】統計ライブラリ導入【不明】予測精度の許容範囲【コスト】中
51,L6: 新指標（実現性高）,予測分析,売上予測（季節調整）,季節調整モデル(ZTOTAL.sales_excluded[過去24ヶ月]),外部連携（POS）,過去24ヶ月売上データ,経営計画/予測ダッシュボード,head_office_connected_service_sales_logs.sales_excluded → 過去24ヶ月集計 → 季節調整モデル（STL）適用 → 売上予測（季節調整）,折れ線グラフ（季節性パターン表示）,季節調整モデル（STL等）,中,A,【必要】24ヶ月以上のデータ + 統計モデル【コスト】中
52,L6: 新指標（実現性高）,アラート,目標未達店舗数,COUNT(shops) WHERE 売上達成率 < 100%,画面間参照+設定マスタ,店舗別サマリー.売上達成率,ダッシュボード表示/アラート,店舗別サマリー.売上達成率 → 100%未満フィルタ → カウント → 目標未達店舗数,アラートカード（赤色）+ 未達店舗リスト,条件カウント,高,A,【必要】売上達成率の店舗別集計【コスト】低
53,L6: 新指標（実現性高）,アラート,FL率超過店舗数,COUNT(shops) WHERE FL率 > 目標FL率,画面内演算+設定マスタ,店舗別FL率 + 目標FL率,ダッシュボード表示/コストアラート,店舗別FL率 → 目標FL率 → 超過フィルタ → カウント → FL率超過店舗数,アラートカード（赤色）+ 超過店舗リスト + 超過幅,条件カウント + 目標設定,高,S,【必要】目標FL率の設定機能【コスト】低
54,L6: 新指標（実現性高）,スコアリング,店舗総合スコア,加重平均(売上達成率×0.3 + FL率目標達成×0.3 + 営業利益率×0.4),画面内演算,主要KPI全体,店舗評価/ランキング,売上達成率×0.3 + FL率目標達成度×0.3 + 営業利益率×0.4 → 加重平均 → 店舗総合スコア,レーダーチャート + 総合スコア表示 + ランキング,重み付けスコア計算,中,A,【必要】重み付けの設定機能【不明】適切な重み配分【コスト】低

55,L6: 新指標（実現性中）,高度分析,損益分岐点売上,monthly_costs.fixed_costs ÷ (1 - 変動費率),ユーザー入力+画面内演算,費用設定 + 売上データ,損益分析/経営判断,monthly_costs → 固定費抽出 + 変動費抽出 → 変動費率計算 → 固定費÷(1-変動費率) → 損益分岐点売上,数値表示 + 現在売上との比較バー,固定費・変動費の分類,中,B,【必要】固定費/変動費の分類設定【不明】費用の固変分解方法【コスト】中
56,L6: 新指標（実現性中）,高度分析,安全余裕率,(ZTOTAL.sales_excluded - 損益分岐点売上) ÷ ZTOTAL.sales_excluded × 100,画面内演算,損益分岐点売上 + 売上データ,リスク分析/経営判断,売上実績 - 損益分岐点売上 → 差額 ÷ 売上実績 → 安全余裕率,ゲージチャート（危険/注意/安全ゾーン）,BEP計算済みデータ,中,B,【必要】損益分岐点の計算済み【コスト】低
57,L6: 新指標（実現性中）,高度分析,限界利益,ZTOTAL.sales_excluded - 変動費合計,画面内演算,売上 + 変動費データ,損益分析,売上実績 - 変動費合計 → 限界利益,数値表示 + 売上との比較,変動費の集計,中,B,【必要】変動費の特定【コスト】中
58,L6: 新指標（実現性中）,顧客分析,リピート率（推定）,再来店客数 ÷ 総客数 × 100,外部連携（予約）,予約データ分析,顧客分析/マーケティング,予約システム → 顧客ID別来店回数集計 → 2回以上客数÷総客数 → リピート率（推定）,数値表示 + トレンドライン,予約データとの顧客照合,低,B,【必要】予約システム連携【不明】顧客識別方法【コスト】高（予約連携開発）

59,L6: 新指標（実現性低）,AI分析,売上異常検知,異常検知モデル(ZTOTAL.sales_excluded),外部連携（POS）+ ML,過去売上データ + MLモデル,アラート/異常検知ダッシュボード,head_office_connected_service_sales_logs.sales_excluded → 時系列データ → 異常検知モデル（Isolation Forest等）→ 異常スコア → 売上異常検知,異常フラグ表示 + 異常スコア + 詳細説明,機械学習モデル構築・運用,低,C,【必要】MLモデル開発・学習・運用基盤【コスト】高（ML専門人材/インフラ）
60,L6: 新指標（実現性低）,AI分析,需要予測AI,需要予測モデル(売上+外部要因),外部連携（POS）+ 外部API + ML,過去データ + 外部要因 + MLモデル,経営計画/発注計画,head_office_connected_service_sales_logs.sales_excluded + 天候API + イベントAPI → 特徴量作成 → 需要予測モデル → 需要予測AI,予測値 + 信頼区間 + 影響要因表示,高度なMLモデル + 外部データ連携,低,B,【必要】外部データAPI + MLモデル【コスト】非常に高
61,L6: 新指標（実現性低）,AI分析,最適価格提案,価格弾力性モデル(TITEM.price × TITEM.quantity),外部連携（POS）+ ML,販売データ + 価格データ + MLモデル,価格戦略/メニュー改定,head_office_item_sales_logs.price × quantity → 価格弾力性分析 → 最適化モデル → 最適価格提案,推奨価格 + 期待売上変化 + シミュレーション,価格弾力性分析モデル,低,C,【必要】価格変更履歴 + 需要モデル【コスト】非常に高
62,L6: 新指標（実現性低）,外部連携,天候影響分析,相関分析(ZTOTAL.sales_excluded × 天候API.weather),外部連携（POS）+ 外部API,売上データ + 天候API,分析レポート/予測精度向上,head_office_connected_service_sales_logs.sales_excluded + 天候API.weather → 相関分析 → 天候影響係数 → 天候影響分析,天候×売上の散布図 + 相関係数,天候API連携,低,C,【必要】天候API契約・連携開発【コスト】高（API費用+開発）
63,L6: 新指標（実現性低）,外部連携,イベント影響分析,相関分析(ZTOTAL.sales_excluded × イベントAPI.events),外部連携（POS）+ 外部API,売上データ + イベントAPI,分析レポート/マーケティング,head_office_connected_service_sales_logs.sales_excluded + イベントAPI.events → 相関分析 → イベント影響係数 → イベント影響分析,イベント有無×売上の比較,イベントAPI連携,低,C,【必要】イベント情報API【コスト】高

凡例:
