UIカスタマイズ指標一覧（店舗画面）V70
作成日: 2025-12-12
基準: 店舗画面_データソース定義表_V70

カスタマイズレベル,カテゴリ,指標名,算出ロジック/説明,必要データソース,ディメンション,実現性,優先度,備考
L3: ディメンション追加（1次元）,仕入先別分析,仕入先別仕入額ランキング,仕入先ごとの仕入額を降順ソート,費目別仕入分析データ,発注先,高,A,仕入先管理
L3: ディメンション追加（1次元）,仕入先別分析,仕入先別仕入構成比,仕入先ごとの仕入額の構成比,費目別仕入分析データ,発注先,高,B,仕入先構成
L3: ディメンション追加（1次元）,費目別分析,費目別仕入額,費目ごとの仕入額,費目別仕入分析.費目,費目,高,A,費目管理
L3: ディメンション追加（1次元）,ラベル別分析,仕入商品ラベル別仕入額,ラベルごとの仕入額,ラベル一覧（仕入商品）データ,ラベル,高,B,ラベル管理

L4: 多次元分析（2次元以上）,曜日×時間帯,曜日×時間帯別売上マトリクス,曜日と時間帯の2軸で売上を表示,曜日別 + 時間帯別データ,曜日×時間帯,中,A,ピークパターン詳細
L4: 多次元分析（2次元以上）,曜日×時間帯,曜日×時間帯別客数マトリクス,曜日と時間帯の2軸で客数を表示,曜日別 + 時間帯別データ,曜日×時間帯,中,A,集客パターン詳細
L4: 多次元分析（2次元以上）,月×曜日,月×曜日別売上マトリクス,月と曜日の2軸で平均売上を表示,月次 + 曜日別データ,月×曜日,中,B,季節×曜日パターン
L4: 多次元分析（2次元以上）,商品×時間帯,商品カテゴリ×時間帯別売上マトリクス,商品と時間帯の2軸で売上を表示,ABC分析 + 時間帯別データ,商品×時間帯,中,B,時間帯別売れ筋
L4: 多次元分析（2次元以上）,商品×曜日,商品カテゴリ×曜日別売上マトリクス,商品と曜日の2軸で売上を表示,ABC分析 + 曜日別データ,商品×曜日,中,B,曜日別売れ筋
L4: 多次元分析（2次元以上）,費目×月,費目×月別仕入マトリクス,費目と月の2軸で仕入を表示,費目別仕入分析 + 月次データ,費目×月,中,B,仕入の季節性
L4: 多次元分析（2次元以上）,発注先×月,発注先×月別仕入マトリクス,発注先と月の2軸で仕入を表示,費目別仕入 + 月次データ,発注先×月,中,B,発注先の季節性

L4: 多次元分析（3次元以上）,曜日×時間帯×KPI,曜日×時間帯×KPIキューブ,曜日/時間帯/KPI種別の3軸分析,全KPIデータ,曜日×時間帯×KPI,低,A,多角的分析
L4: 多次元分析（3次元以上）,商品×曜日×時間帯,商品×曜日×時間帯キューブ,3軸で売れ筋パターン分析,詳細売上データ,商品×曜日×時間帯,低,B,詳細売れ筋分析
L4: 多次元分析（3次元以上）,月×曜日×時間帯,月×曜日×時間帯キューブ,季節×曜日×時間帯の3軸分析,詳細売上データ,月×曜日×時間帯,低,C,超詳細パターン

L5: 期間比較分析,前年同期比較,全KPI前年同日比較,全KPIの前年同日比を一覧表示,全KPIデータ + 前年データ,期間（前年同日）,高,S,日次YoY分析
L5: 期間比較分析,前年同期比較,全KPI前年同月比較,全KPIの前年同月比を一覧表示,全KPIデータ + 前年データ,期間（前年同月）,高,S,月次YoY分析
L5: 期間比較分析,前週比較,全KPI前週比較,全KPIの前週同曜日比を一覧表示,全KPIデータ + 前週データ,期間（前週同曜日）,高,A,WoW分析
L5: 期間比較分析,前月比較,全KPI前月比較,全KPIの前月比を一覧表示,全KPIデータ + 前月データ,期間（前月）,高,A,MoM分析
L5: 期間比較分析,累計比較,月次累計売上,月初からの累計売上,日次レポートデータ,期間（月次累計）,高,S,MTD分析
L5: 期間比較分析,累計比較,年度累計KPI,年度開始からの累計値,全KPIデータ,期間（年度累計）,高,A,YTD分析
L5: 期間比較分析,移動平均,7日移動平均売上,直近7日の平均売上,日次売上データ,期間（7日移動平均）,高,A,週間トレンド平滑化
L5: 期間比較分析,移動平均,4週移動平均売上,直近4週の平均売上,週次売上データ,期間（4週移動平均）,中,B,月間トレンド平滑化
L5: 期間比較分析,移動平均,12ヶ月移動平均売上,直近12ヶ月の平均売上,月次売上データ,期間（12ヶ月移動平均）,中,B,年間トレンド

L6: 新指標（実現性高）,予測分析,本日売上予測,過去同曜日データからの予測,過去同曜日売上データ,-,中,A,日次予測
L6: 新指標（実現性高）,予測分析,今週売上予測,過去週データからの線形予測,過去週売上データ,-,中,A,週次予測
L6: 新指標（実現性高）,予測分析,月末着地予測,当月実績 + 残日数予測,当月累計 + 過去パターン,-,中,S,着地見込
L6: 新指標（実現性高）,アラート,FL率超過アラート,FL率が目標を超過しているか判定,FL率 + 目標FL率,-,高,S,日次アラート
L6: 新指標（実現性高）,アラート,売上進捗遅れアラート,売上進捗率が目標を下回っているか,売上進捗分析.売上達成率,-,高,S,進捗アラート
L6: 新指標（実現性高）,アラート,仕入異常アラート,仕入が通常より大幅に増加しているか,日次仕入 + 過去平均,-,中,A,仕入管理
L6: 新指標（実現性高）,スコアリング,日次総合スコア,複数KPIを重み付けした日次評価スコア,主要KPI全体,-,中,B,日次評価

L6: 新指標（実現性中）,高度分析,損益分岐点売上,固定費 ÷（1 - 変動費率）,費用設定 + 売上データ,-,中,B,BEP分析
L6: 新指標（実現性中）,高度分析,損益分岐点客数,損益分岐点売上 ÷ 客単価,BEP + 客単価,-,中,B,必要客数
L6: 新指標（実現性中）,高度分析,安全余裕率,（売上 - 損益分岐点売上）÷ 売上 × 100,BEP + 売上データ,-,中,B,リスク指標
L6: 新指標（実現性中）,シフト最適化,時間帯別必要人数,時間帯別売上 ÷ 人時売上目標,時間帯別売上 + 目標生産性,-,中,A,シフト参考値
L6: 新指標（実現性中）,シフト最適化,曜日別必要人数,曜日別平均売上 ÷ 人時売上目標,曜日別売上 + 目標生産性,-,中,A,週間シフト参考
L6: 新指標（実現性中）,在庫管理,理論在庫,前日在庫 + 仕入 - 理論使用量,棚卸 + 仕入 + 売上データ,-,中,B,在庫管理
L6: 新指標（実現性中）,在庫管理,ロス率推定,（理論在庫 - 実在庫）÷ 仕入 × 100,理論在庫 + 棚卸データ,-,中,B,ロス管理

L6: 新指標（実現性低）,AI分析,売上異常検知,機械学習による異常値検出,過去売上データ + ML,-,低,B,ML実装必要
L6: 新指標（実現性低）,AI分析,需要予測AI,機械学習による需要予測,過去データ + 外部要因 + ML,-,低,A,ML実装必要
L6: 新指標（実現性低）,AI分析,最適シフト提案,ML/AIによるシフト最適化,勤怠 + 売上 + ML,-,低,B,ML実装必要
L6: 新指標（実現性低）,AI分析,メニュー価格最適化,価格弾力性分析に基づく提案,販売データ + ML,-,低,C,ML実装必要
L6: 新指標（実現性低）,外部連携,天候影響予測,天候予報との相関で売上予測,売上データ + 天候API,-,低,B,外部API必要
L6: 新指標（実現性低）,外部連携,近隣イベント影響,地域イベント情報との相関分析,売上データ + イベントAPI,-,低,C,外部API必要
L6: 新指標（実現性低）,顧客分析,顧客セグメント分析,予約データからの顧客分類,予約データ + 分析エンジン,-,低,B,予約データ必要

凡例:
実現性: 高=既存データで即実装可能 / 中=追加開発・設定で実装可能 / 低=外部データや高度な技術が必要
優先度: S=最重要（日次確認必須）/ A=重要（週次確認推奨）/ B=標準（月次確認）/ C=参考（必要時確認）
