次数,ターゲット,画面タイトル,画面タイプ,1次指標名,2次指標名,3次指標名,4次指標名,5次指標名,計算レイヤー,スコープ,用途・機能説明,概念式／演算ロジック,判断基準・閾値目安,依存先指標,データ基盤要件,V89No/戦略No
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名2,,,,,L0,-,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,入力値,-,-,既存(V89/V69),11
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名3,,,,,L0,-,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,入力値,-,-,既存(V89/V69),12
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名4,,,,,L0,-,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,入力値,-,-,既存(V89/V69),13
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名5,,,,,L0,-,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,入力値,-,-,既存(V89/V69),14
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名6,,,,,L0,-,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,入力値,-,-,既存(V89/V69),15
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名7,,,,,L0,-,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,入力値,-,-,既存(V89/V69),16
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名8,,,,,L0,-,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,入力値,-,-,既存(V89/V69),17
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名9,,,,,L0,-,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,入力値,-,-,既存(V89/V69),18
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名10,,,,,L0,-,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,入力値,-,-,既存(V89/V69),19
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,商品ID,,,,,L0,-,仕入商品に仕入商品ラベル（グルーピングタグ）を紐付け。仕入先分析での仕入先ラベル別集計・棚卸時の在庫分類に活用,入力値,-,-,既存(V89/V69),5
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,発注先,,,,,L0,-,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,マスタ参照,-,[マスタ]infomart_clients.name,既存(V89/V69),6
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,商品名,,,,,L0,-,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,入力値,-,-,既存(V89/V69),7
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,費目,,,,,L0,-,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,入力値,-,-,既存(V89/V69),8
1次,店長,ラベル設定（売上商品リスト）,設定入力画面,商品ID,,,,,L0,-,POS連携の売上商品に売上商品ラベル（グルーピングタグ）を設定。商品別分析のグルーピングおよび売上計上先の変更に使用（例：席料をフードからその他に変更して計上）,マスタ参照,-,[マスタ]head_office_item_sales_logs.item_id,既存(V89/V69),20
1次,店長,ラベル設定（売上商品リスト）,設定入力画面,商品名,,,,,L0,-,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,マスタ参照,-,[マスタ]head_office_item_sales_logs.item_name,既存(V89/V69),21
1次,店長,ラベル設定（売上商品リスト）,設定入力画面,商品ID（連携サービス）,,,,,L0,-,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,マスタ参照,-,[マスタ]head_office_item_sales_logs.external_item_id,既存(V89/V69),22
1次,店長,ラベル設定（売上商品リスト）,設定入力画面,商品コード（連携サービス）,,,,,L0,-,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,マスタ参照,-,[マスタ]head_office_item_sales_logs.external_item_code,既存(V89/V69),23
1次,店長,ラベル設定（売上商品リスト）,設定入力画面,ラベル名,,,,,L0,-,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,入力値,-,-,既存(V89/V69),24
1次,店長,ラベル設定（売上商品リスト）,設定入力画面,ステータスフラグ,,,,,L0,-,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,入力値,-,-,既存(V89/V69),25
1次,店長,ラベル設定（発注先リスト）,設定入力画面,発注先ID,,,,,L0,-,発注先に発注先ラベル（グルーピングタグ）を設定。仕入先分析での仕入先ラベル別集計に活用,入力値,-,-,既存(V89/V69),27
1次,店長,ラベル設定（発注先リスト）,設定入力画面,発注先名,,,,,L0,-,発注先にラベルを設定。仕入先分析のグルーピングに活用,入力値,-,-,既存(V89/V69),28
1次,店長,ラベル設定（発注先リスト）,設定入力画面,ラベル名,,,,,L0,-,発注先にラベルを設定。仕入先分析のグルーピングに活用,入力値,-,-,既存(V89/V69),29
1次,店長,ラベル設定（発注先リスト）,設定入力画面,ステータスフラグ,,,,,L0,-,発注先にラベルを設定。仕入先分析のグルーピングに活用,入力値,-,-,既存(V89/V69),30
1次,店長,休業日設定,設定入力画面,定休日（曜日）,,,,,L0,-,定休日・臨時休業日を設定。売上進捗率計算に使用,選択入力（曜日）,-,ユーザー入力（休業日設定）,既存(V89/V69),77
1次,店長,休業日設定,設定入力画面,日付指定,,,,,L0,-,定休日・臨時休業日を設定。売上進捗率計算に使用,入力値（日付）,-,ユーザー入力（休業日設定）,既存(V89/V69),78
1次,店長,単月費用設定,設定入力画面,単月地代家賃,,,,,L0,-,親設定(地代家賃設定)の年間デフォルト値を、特定の単月で実値に上書きする。単月ごとの地代変動や特殊契約月に対応,親設定参照＋上書き,-,地代家賃設定.固定賃料; 地代家賃設定.地代家賃シミュレーション金額,既存(V89/V69),79a
1次,店長,単月費用設定,設定入力画面,対売上比（変動費用デフォルト値）,,,,,L0,-,単月の費用予算を設定,入力値（％）,-,ユーザー入力（単月費用設定）,既存(V89/V69),80
1次,店長,単月費用設定,設定入力画面,金額（固定費用デフォルト値）,,,,,L0,-,単月の費用予算を設定,入力値（金額）,-,ユーザー入力（単月費用設定）,既存(V89/V69),81
1次,店長,地代家賃設定,設定入力画面,賃料体系,,,,,L0,-,店舗契約の賃料パターンを選択。固定賃料=固定費用予算、それ以外=変動費予算へ振分,マスタ参照,-,-,既存(V89/V69),P1
1次,店長,地代家賃設定,設定入力画面,売上上限（2段目）,,,,,L0,-,段階別歩合の売上上限（2段目）,入力値,-,地代家賃設定.段階数,既存(V89/V69),P10
1次,店長,地代家賃設定,設定入力画面,売上歩合率（2段目）,,,,,L0,-,段階別歩合の売上歩合率（2段目）,入力値,-,地代家賃設定.段階数,既存(V89/V69),P11
1次,店長,地代家賃設定,設定入力画面,売上下限（3段目）,,,,,L0,-,段階別歩合の売上下限（3段目）,入力値,-,地代家賃設定.売上上限（2段目）,既存(V89/V69),P12
1次,店長,地代家賃設定,設定入力画面,売上上限（3段目）,,,,,L0,-,段階別歩合の売上上限（3段目）,入力値,-,地代家賃設定.上限なし,既存(V89/V69),P13
1次,店長,地代家賃設定,設定入力画面,売上歩合率（3段目）,,,,,L0,-,段階別歩合の売上歩合率（3段目）,入力値,-,地代家賃設定.段階数,既存(V89/V69),P14
1次,店長,地代家賃設定,設定入力画面,上限なし（フラグ）,,,,,L0,-,段階別歩合の最終段階で上限を設けない場合の制御フラグ,フラグ,-,-,既存(V89/V69),P15
1次,店長,地代家賃設定,設定入力画面,最低保証額,,,,,L0,-,変動賃料・段階別歩合時の最低保証額。POS売上がない/少ない場合に適用,入力値,-,地代家賃設定.賃料体系,既存(V89/V69),P16
1次,店長,地代家賃設定,設定入力画面,売上閾値,,,,,L0,-,変動賃料時の歩合計算適用閾値,入力値,-,地代家賃設定.賃料体系,既存(V89/V69),P17
1次,店長,地代家賃設定,設定入力画面,売上歩合対象率,,,,,L0,-,総売上のうち歩合計算対象となる割合（消費税抜き比率など用途想定）,入力値,-,地代家賃設定.賃料体系,既存(V89/V69),P18
1次,店長,地代家賃設定,設定入力画面,適用開始日,,,,,L0,-,この賃料設定が適用される開始日。同じ適用開始日の設定は登録不可（履歴分割保存対応済/FIX-4）,入力値,-,-,既存(V89/V69),P19
1次,店長,地代家賃設定,設定入力画面,条件選択,,,,,L0,-,変動賃料・段階別歩合時のみ表示。合算or最大値選択で計算式が変わる,マスタ参照,-,地代家賃設定.賃料体系,既存(V89/V69),P2
1次,店長,地代家賃設定,設定入力画面,月額売上予算（シミュレーション入力）,,,,,L0,-,賃料体系に応じた地代家賃の試算用入力（永続化されない）,入力値,-,-,既存(V89/V69),P20
1次,店長,地代家賃設定,設定入力画面,段階数,,,,,L0,-,賃料体系=段階別歩合時のみ表示。段階数に応じて入力欄を動的に生成,マスタ参照,-,地代家賃設定.賃料体系,既存(V89/V69),P3
1次,店長,地代家賃設定,設定入力画面,固定賃料,,,,,L0,-,毎月固定の賃料額。賃料体系により加算先が変わる,入力値,-,地代家賃設定.賃料体系,既存(V89/V69),P4
1次,店長,地代家賃設定,設定入力画面,歩合率,,,,,L0,-,売上に対する歩合率。変動賃料時に使用,入力値,-,地代家賃設定.賃料体系,既存(V89/V69),P5
1次,店長,地代家賃設定,設定入力画面,売上下限（1段目）,,,,,L0,-,段階別歩合の売上下限（1段目）,入力値,-,地代家賃設定.段階数,既存(V89/V69),P6
1次,店長,地代家賃設定,設定入力画面,売上上限（1段目）,,,,,L0,-,段階別歩合の売上上限（1段目）,入力値,-,地代家賃設定.段階数,既存(V89/V69),P7
1次,店長,地代家賃設定,設定入力画面,売上歩合率（1段目）,,,,,L0,-,段階別歩合の売上歩合率（1段目）,入力値,-,地代家賃設定.段階数,既存(V89/V69),P8
1次,店長,地代家賃設定,設定入力画面,売上下限（2段目）,,,,,L0,-,段階別歩合の売上下限（2段目）,入力値,-,地代家賃設定.売上上限（1段目）,既存(V89/V69),P9
1次,店長,売上構成比設定,設定入力画面,ランチ比率,,,,,L0,-,ランチ/ディナー・フード/ドリンク/その他の売上構成比を設定,入力値（％）,-,ユーザー入力（売上構成比設定）,既存(V89/V69),72
1次,店長,売上構成比設定,設定入力画面,ディナー比率,,,,,L0,-,ランチ/ディナー・フード/ドリンク/その他の売上構成比を設定,入力値（％）,-,ユーザー入力（売上構成比設定）,既存(V89/V69),73
1次,店長,売上構成比設定,設定入力画面,フード構成比,,,,,L0,-,ランチ/ディナー・フード/ドリンク/その他の売上構成比を設定,入力値（％）,-,ユーザー入力（売上構成比設定）,既存(V89/V69),74
1次,店長,売上構成比設定,設定入力画面,ドリンク構成比,,,,,L0,-,ランチ/ディナー・フード/ドリンク/その他の売上構成比を設定,入力値（％）,-,ユーザー入力（売上構成比設定）,既存(V89/V69),75
1次,店長,売上構成比設定,設定入力画面,その他構成比,,,,,L0,-,ランチ/ディナー・フード/ドリンク/その他の売上構成比を設定,入力値（％）,-,ユーザー入力（売上構成比設定）,既存(V89/V69),76
1次,店長,売上経費入力（売上）,実績入力画面,店内売上（標準税率）税抜,,,,,L0,-,【ラクミーアプリ】POS未連携店舗向け。売上を手入力しラクミー経営管理に計上,-,-,ユーザー入力,既存(V89/V69),776
1次,店長,売上経費入力（売上）,実績入力画面,店外売上（軽減税率）税抜,,,,,L0,-,【ラクミーアプリ】POS未連携店舗向け。売上を手入力しラクミー経営管理に計上,-,-,ユーザー入力,既存(V89/V69),778
1次,店長,売上経費入力（売上）,実績入力画面,客数,,,,,L0,-,【ラクミーアプリ】POS未連携店舗向け。売上を手入力しラクミー経営管理に計上,-,-,ユーザー入力,既存(V89/V69),780
1次,店長,売上経費入力（経費）,実績入力画面,人件費（概算人件費集計）,,,,,L0,-,【ラクミーアプリ】勤怠システム未連携店舗向け。概算人件費を入力しPA人件費に計上,-,-,ユーザー入力,既存(V89/V69),781
1次,店長,小口現金管理,実績入力画面,支払先,,,,,L0,-,-,入力値,-,-,既存(V89/V69),82
1次,店長,小口現金管理,実績入力画面,経費項目,,,,,L0,-,-,入力値,-,-,既存(V89/V69),83
1次,店長,小口現金管理,実績入力画面,出勤額,,,,,L0,-,-,入力値,-,-,既存(V89/V69),84
1次,店長,小口現金管理,実績入力画面,入金額,,,,,L0,-,-,入力値,-,-,既存(V89/V69),85
1次,店長,小口現金管理,実績入力画面,内容,,,,,L0,-,-,データ,-,-,既存(V89/V69),87
1次,店長,小口現金管理,実績入力画面,経費コード,,,,,L0,-,-,費目参照,-,-,既存(V89/V69),88
1次,店長,小口現金管理,実績入力画面,税区分,,,,,L0,-,-,データ,-,-,既存(V89/V69),89
1次,店長,店舗管理,設定入力画面,店舗名,,,,,L0,-,店舗の基本情報設定。坪数・席数等はKPI計算に使用,入力値,-,-,既存(V89/V69),31
1次,店長,店舗管理,設定入力画面,電話番号,,,,,L0,-,店舗の基本情報設定。坪数・席数等はKPI計算に使用,入力値,-,-,既存(V89/V69),32
1次,店長,店舗管理,設定入力画面,郵便番号,,,,,L0,-,店舗の基本情報設定。坪数・席数等はKPI計算に使用,入力値,-,-,既存(V89/V69),33
1次,店長,店舗管理,設定入力画面,都道府県,,,,,L0,-,店舗の基本情報設定。坪数・席数等はKPI計算に使用,入力値,-,-,既存(V89/V69),34
1次,店長,店舗管理,設定入力画面,住所,,,,,L0,-,店舗の基本情報設定。坪数・席数等はKPI計算に使用,入力値,-,-,既存(V89/V69),35
1次,店長,店舗管理,設定入力画面,建物,,,,,L0,-,店舗の基本情報設定。坪数・席数等はKPI計算に使用,入力値,-,-,既存(V89/V69),36
1次,店長,店舗管理,設定入力画面,業種,,,,,L0,-,店舗の基本情報設定。坪数・席数等はKPI計算に使用,入力値,-,-,既存(V89/V69),37
1次,店長,店舗管理,設定入力画面,業態,,,,,L0,-,店舗の基本情報設定。坪数・席数等はKPI計算に使用,入力値,-,-,既存(V89/V69),38
1次,店長,店舗管理,設定入力画面,総卓数,,,,,L0,-,店舗の基本情報設定。坪数・席数等はKPI計算に使用,入力値,-,-,既存(V89/V69),39
1次,店長,店舗管理,設定入力画面,総席数,,,,,L0,-,店舗の基本情報設定。坪数・席数等はKPI計算に使用,入力値,-,-,既存(V89/V69),40
1次,店長,店舗管理,設定入力画面,坪数,,,,,L0,-,店舗の基本情報設定。坪数・席数等はKPI計算に使用,入力値,-,-,既存(V89/V69),41
1次,店長,店舗管理,設定入力画面,初期投資額,,,,,L0,-,店舗の基本情報設定。坪数・席数等はKPI計算に使用,入力値,-,-,既存(V89/V69),42
1次,店長,店舗間商品移動,実績入力画面,相手店舗,,,,,L0,-,店舗間の商品移動を管理。FD仕入の調整に反映,店舗マスタ,-,-,既存(V89/V69),91
1次,店長,店舗間商品移動,実績入力画面,仕入金額（税抜）,,,,,L0,-,店舗間の商品移動を管理。FD仕入の調整に反映,入力値,-,-,既存(V89/V69),92
1次,店長,店舗間商品移動,実績入力画面,提供金額（税抜）,,,,,L0,-,店舗間の商品移動を管理。FD仕入の調整に反映,入力値,-,-,既存(V89/V69),93
1次,店長,店舗間商品移動,実績入力画面,商品タイプ,,,,,L0,-,店舗間の商品移動を管理。FD仕入の調整に反映,データ,-,-,既存(V89/V69),94
1次,店長,月次予算設定,設定入力画面,目標月次利益,,,,,L0,-,月次の予算詳細設定,入力値（金額）,-,-,既存(V89/V69),43
1次,店長,月次予算設定,設定入力画面,FD仕入比率,,,,,L0,-,月次の予算詳細設定,入力値（％）,-,-,既存(V89/V69),44
1次,店長,月次予算設定,設定入力画面,PA人件費率,,,,,L0,-,月次の予算詳細設定,入力値（％）,-,-,既存(V89/V69),45
1次,店長,月次予算設定,設定入力画面,目標客単価（税抜）,,,,,L0,-,月次の予算詳細設定,入力値（金額）,-,-,既存(V89/V69),46
1次,店長,棚卸,実績入力画面,棚卸商品,,,,,L0,-,-,入力値,-,-,既存(V89/V69),95
1次,店長,棚卸,実績入力画面,在庫数量,,,,,L0,-,-,入力値,-,-,既存(V89/V69),96
1次,店長,棚卸,実績入力画面,商品単価,,,,,L0,-,-,入力値,-,-,既存(V89/V69),97
1次,店長,棚卸詳細,一覧表示画面,カテゴリ,,,,,L0,-,棚卸結果の詳細。在庫数量・単価・小計の確認,マスタ参照,-,-,既存(V89/V69),456
1次,店長,棚卸（カテゴリ、タブ選択）,実績入力画面,肉類（カテゴリ１）,,,,,L0,-,【ラクミーアプリ】肉類・魚介類等のカテゴリタブで棚卸対象を選択,-,-,[マスタ]カテゴリマスタ,既存(V89/V69),756
1次,店長,棚卸（カテゴリ、タブ選択）,実績入力画面,魚介類（カテゴリ２）,,,,,L0,-,【ラクミーアプリ】肉類・魚介類等のカテゴリタブで棚卸対象を選択,-,-,[マスタ]カテゴリマスタ,既存(V89/V69),757
1次,店長,棚卸（カテゴリ、タブ選択）,実績入力画面,野菜・果物（カテゴリ３）,,,,,L0,-,【ラクミーアプリ】肉類・魚介類等のカテゴリタブで棚卸対象を選択,-,-,[マスタ]カテゴリマスタ,既存(V89/V69),758
1次,店長,棚卸（カテゴリ、タブ選択）,実績入力画面,加工品（カテゴリ４）,,,,,L0,-,【ラクミーアプリ】肉類・魚介類等のカテゴリタブで棚卸対象を選択,-,-,[マスタ]カテゴリマスタ,既存(V89/V69),759
1次,店長,棚卸（カテゴリ、タブ選択）,実績入力画面,米・穀物（カテゴリ５）,,,,,L0,-,【ラクミーアプリ】肉類・魚介類等のカテゴリタブで棚卸対象を選択,-,-,[マスタ]カテゴリマスタ,既存(V89/V69),760
1次,店長,棚卸（カテゴリ、タブ選択）,実績入力画面,麺・パン（カテゴリ６）,,,,,L0,-,【ラクミーアプリ】肉類・魚介類等のカテゴリタブで棚卸対象を選択,-,-,[マスタ]カテゴリマスタ,既存(V89/V69),761
1次,店長,棚卸（カテゴリ、タブ選択）,実績入力画面,乾物・缶詰（カテゴリ７）,,,,,L0,-,【ラクミーアプリ】肉類・魚介類等のカテゴリタブで棚卸対象を選択,-,-,[マスタ]カテゴリマスタ,既存(V89/V69),762
1次,店長,棚卸（カテゴリ、タブ選択）,実績入力画面,調味料（カテゴリ８）,,,,,L0,-,【ラクミーアプリ】肉類・魚介類等のカテゴリタブで棚卸対象を選択,-,-,[マスタ]カテゴリマスタ,既存(V89/V69),763
1次,店長,棚卸（カテゴリ、タブ選択）,実績入力画面,酒・ドリンク（カテゴリ９）,,,,,L0,-,【ラクミーアプリ】肉類・魚介類等のカテゴリタブで棚卸対象を選択,-,-,[マスタ]カテゴリマスタ,既存(V89/V69),764
1次,店長,棚卸（カテゴリ、タブ選択）,実績入力画面,資材（カテゴリ１０）,,,,,L0,-,【ラクミーアプリ】肉類・魚介類等のカテゴリタブで棚卸対象を選択,-,-,[マスタ]カテゴリマスタ,既存(V89/V69),765
1次,店長,棚卸（カテゴリ、タブ選択）,実績入力画面,その他（カテゴリ１１）,,,,,L0,-,【ラクミーアプリ】肉類・魚介類等のカテゴリタブで棚卸対象を選択,-,-,[マスタ]カテゴリマスタ,既存(V89/V69),766
1次,店長,棚卸（ラベル、タブ選択）,実績入力画面,ラベル名１,,,,,L0,-,【ラクミーアプリ】ラクミーウェブで設定したラベルで棚卸対象を選択,-,-,[マスタ]ラベル設定.ラベル名,既存(V89/V69),767
1次,店長,棚卸（ラベル、タブ選択）,実績入力画面,ラベル名２,,,,,L0,-,【ラクミーアプリ】ラクミーウェブで設定したラベルで棚卸対象を選択,-,-,[マスタ]ラベル設定.ラベル名,既存(V89/V69),768
1次,店長,棚卸（ラベル、タブ選択）,実績入力画面,ラベル名３〜１０,,,,,L0,-,【ラクミーアプリ】ラクミーウェブで設定したラベルで棚卸対象を選択,-,-,[マスタ]ラベル設定.ラベル名,既存(V89/V69),769
1次,店長,棚卸（数量・単価の編集）,実績入力画面,商品名,,,,,L0,-,【ラクミーアプリ】在庫数量・単価を入力。推奨単価は直近の納品データから表示,-,-,[マスタ]ラベル設定（仕入商品）.商品名,既存(V89/V69),771
1次,店長,棚卸（数量・単価の編集）,実績入力画面,仕入れ先,,,,,L0,-,【ラクミーアプリ】在庫数量・単価を入力。推奨単価は直近の納品データから表示,-,-,[マスタ]ラベル設定（仕入商品）.発注先,既存(V89/V69),772
1次,店長,棚卸（数量・単価の編集）,実績入力画面,在庫数量,,,,,L0,-,【ラクミーアプリ】在庫数量・単価を入力。推奨単価は直近の納品データから表示,-,-,ユーザー入力（棚卸）,既存(V89/V69),773
1次,店長,棚卸（数量・単価の編集）,実績入力画面,単価（税抜）,,,,,L0,-,【ラクミーアプリ】在庫数量・単価を入力。推奨単価は直近の納品データから表示,-,-,ユーザー入力（棚卸）,既存(V89/V69),774
1次,店長,流入分析,分析画面,総卓数,,,,,L0,-,-,マスタ参照,-,[マスタ]shops.total_tables,既存(V89/V69),363
1次,店長,発注先商品管理,設定入力画面,商品名,,,,,L0,-,発注先ごとの商品マスタ。ラクミーアプリの発注書作成で商品選択に使用,入力値,-,-,既存(V89/V69),56
1次,店長,発注先商品管理,設定入力画面,商品コード,,,,,L0,-,発注先ごとの商品マスタ。ラクミーアプリの発注書作成で商品選択に使用,入力値,-,-,既存(V89/V69),57
1次,店長,発注先商品管理,設定入力画面,ステータス,,,,,L0,-,発注先ごとの商品マスタ。ラクミーアプリの発注書作成で商品選択に使用,入力値,-,-,既存(V89/V69),58
1次,店長,発注先商品管理,設定入力画面,単位,,,,,L0,-,発注先ごとの商品マスタ。ラクミーアプリの発注書作成で商品選択に使用,入力値,-,-,既存(V89/V69),59
1次,店長,発注先商品管理,設定入力画面,税区分,,,,,L0,-,発注先ごとの商品マスタ。ラクミーアプリの発注書作成で商品選択に使用,入力値,-,-,既存(V89/V69),60
1次,店長,発注先情報編集,設定入力画面,発注先,,,,,L0,-,-,入力値,-,-,既存(V89/V69),61
1次,店長,発注先情報編集,設定入力画面,表示名,,,,,L0,-,-,入力値,-,-,既存(V89/V69),62
1次,店長,発注先情報編集,設定入力画面,店舗コード,,,,,L0,-,-,入力値,-,-,既存(V89/V69),63
1次,店長,発注先管理,設定入力画面,発注先名,,,,,L0,-,-,入力値,-,-,既存(V89/V69),64
1次,店長,発注先管理,設定入力画面,カテゴリ,,,,,L0,-,-,入力値,-,-,既存(V89/V69),65
1次,店長,発注書作成,設定登録画面,発注ID,,,,,L0,-,【ラクミーアプリ】ラクミーウェブの発注先商品管理で設定した商品を選択し発注書を作成,-,-,ユーザー入力,既存(V89/V69),731
1次,店長,発注書作成,設定登録画面,発注先名,,,,,L0,-,【ラクミーアプリ】ラクミーウェブの発注先商品管理で設定した商品を選択し発注書を作成,-,-,[マスタ]発注先管理,既存(V89/V69),732
1次,店長,発注書作成,設定登録画面,商品コード,,,,,L0,-,【ラクミーアプリ】ラクミーウェブの発注先商品管理で設定した商品を選択し発注書を作成,-,-,[マスタ]発注先商品管理,既存(V89/V69),733
1次,店長,発注書作成,設定登録画面,商品名,,,,,L0,-,【ラクミーアプリ】ラクミーウェブの発注先商品管理で設定した商品を選択し発注書を作成,-,-,[マスタ]発注先商品管理,既存(V89/V69),734
1次,店長,発注書作成,設定登録画面,発注単位,,,,,L0,-,【ラクミーアプリ】ラクミーウェブの発注先商品管理で設定した商品を選択し発注書を作成,-,-,[マスタ]発注先商品管理,既存(V89/V69),735
1次,店長,発注書作成,設定登録画面,税区分,,,,,L0,-,【ラクミーアプリ】ラクミーウェブの発注先商品管理で設定した商品を選択し発注書を作成,-,-,[マスタ]発注先商品管理,既存(V89/V69),736
1次,店長,納品書管理,一覧表示画面,店舗名,,,,,L0,-,ラクミーアプリで撮影・AI読込された納品書データの一覧管理。インフォマート連携データも表示,マスタ参照,-,-,既存(V89/V69),463
1次,店長,費用実績入力,実績入力画面,単月地代家賃,,,,,L0,-,単月ごとの地代家賃実績値。POS売上がない場合の手入力補完,入力値,-,-,既存(V89/V69),R1
1次,店長,費用実績入力,実績入力画面,電気代,,,,,L0,-,月次の電気代実績,入力値,-,-,既存(V89/V69),R10
1次,店長,費用実績入力,実績入力画面,ガス代,,,,,L0,-,月次のガス代実績,入力値,-,-,既存(V89/V69),R11
1次,店長,費用実績入力,実績入力画面,水道代,,,,,L0,-,月次の水道代実績,入力値,-,-,既存(V89/V69),R12
1次,店長,費用実績入力,実績入力画面,消耗品費,,,,,L0,-,月次の消耗品費実績,入力値,-,-,既存(V89/V69),R13
1次,店長,費用実績入力,実績入力画面,保守修繕費,,,,,L0,-,月次の保守修繕費実績,入力値,-,-,既存(V89/V69),R14
1次,店長,費用実績入力,実績入力画面,租税公課,,,,,L0,-,月次の租税公課実績,入力値,-,-,既存(V89/V69),R15
1次,店長,費用実績入力,実績入力画面,接待交際費,,,,,L0,-,月次の接待交際費実績,入力値,-,-,既存(V89/V69),R16
1次,店長,費用実績入力,実績入力画面,旅費交通費,,,,,L0,-,月次の旅費交通費実績,入力値,-,-,既存(V89/V69),R17
