画面タイトル,画面タイプ,次数,指標名,計算レイヤー,依存先指標,用途コメント,V89No
予実対比,分析画面,2次,ドリンク売上ディナー,L1,[外部]TITEM.sales_excluded,-,109
予実対比,分析画面,2次,フード仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,110
予実対比,分析画面,2次,ドリンク仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,111
予実対比,分析画面,2次,固定人件費,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,112
予実対比,分析画面,2次,PA人件費,L1,[外部]head_office_employee_working_records.daily_cost,-,113
予実対比,分析画面,2次,ヘルプ人件費,L1,SUM(紐づく店舗.予実対比.ヘルプ人件費),-,114
予実対比,分析画面,2次,地代家賃,L1,-,-,115
予実対比,分析画面,2次,資材費,L1,-,-,116
予実対比,分析画面,2次,水道光熱費,L1,-,-,117
予実対比,分析画面,2次,減価償却費,L1,-,-,118
予実対比,分析画面,2次,販促費,L1,-,-,119
予実対比,分析画面,3次,営業利益,L2-C,"当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,87
仕入先分析,分析画面,2次,仕入れ先,L1,[外部]member_name_partner.client_name,-,68
仕入先分析,分析画面,2次,金額（税抜）,L1,[外部]infomart_transactions.total_tax_excluded,-,69
仕入先分析,分析画面,2次,比率,L1,-,-,70
仕入費率分析,分析画面,2次,目標仕入費率,L1,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,71
利益率分析,分析画面,2次,目標利益率,L1,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,72
商品別仕入分析,分析画面,2次,商品,L1,[外部]detail_list.item_name,-,73
商品別仕入分析,分析画面,2次,仕入れ先,L1,[外部]member_name_partner.client_name,-,74
商品別仕入分析,分析画面,2次,金額（税抜）,L1,[外部]detail_list.price,-,75
商品別仕入分析,分析画面,2次,比率,L1,-,-,76
商品別売上分析,分析画面,2次,商品単価（税抜）,L1,商品別売上分析.販売数量,-,77
商品別売上分析,分析画面,2次,商品単価（税込）,L1,商品別売上分析.販売数量,-,78
商品別売上分析,分析画面,2次,販売数量,L1,[外部]TITEM.quantity,-,79
客単価分析,分析画面,2次,当月客単価（税抜）,L1,"当月実績.売上（税抜）, 客数.当月客数",-,80
客数分析,分析画面,2次,当月客数,L1,[外部]ZTOTAL.customers,-,81
平均単価推移,分析画面,2次,仕入商品ラベル,L1,[外部]detail_list.item_name,-,82
平均単価推移,分析画面,2次,仕入金額（税抜）,L1,[外部]detail_list.price,-,83
平均単価推移,分析画面,2次,数量,L1,[外部]detail_list.num,-,84
平均単価推移,分析画面,2次,平均単価,L1,平均単価推移.数量,-,85
平均単価推移,分析画面,3次,平均単価推移,L2-C,平均単価推移.平均単価,-,86
年間予実対比,分析画面,2次,月次実績_総売上 計,L1,[外部]ZTOTAL.sales_excluded,-,253
年間予実対比,分析画面,2次,月次実績_フード売上 計,L1,[外部]TITEM.sales_excluded,-,254
年間予実対比,分析画面,2次,月次実績_ドリンク売上 計,L1,[外部]TITEM.sales_excluded,-,255
年間予実対比,分析画面,2次,月次実績_その他売上 計,L1,[外部]ZTOTAL.service_charge_1,-,256
年間予実対比,分析画面,2次,月次実績_FD仕入 計,L1,インフォマート（仕入）,-,258
年間予実対比,分析画面,2次,月次実績_人件費 計,L1,[外部]head_office_employee_working_records.daily_cost,-,259
年間予実対比,分析画面,2次,月次実績_その他経費 計,L1,[入力]monthly_costs.value,-,260
年間予実対比,分析画面,2次,月次予算_総売上 計,L1,月次予算設定.売上（税抜）,-,262
年間予実対比,分析画面,2次,月次予算_フード売上 計,L1,月次予算設定.月次フード売上,-,263
年間予実対比,分析画面,2次,月次予算_ドリンク売上 計,L1,月次予算設定.月次ドリンク売上,-,264
年間予実対比,分析画面,2次,月次予算_その他売上 計,L1,月次予算設定.月次その他売上,-,265
年間予実対比,分析画面,2次,月次予算_FD仕入 計,L1,月次予算設定.月次FD仕入,-,267
年間予実対比,分析画面,2次,月次予算_人件費 計,L1,月次予算設定.月次人件費,-,268
年間予実対比,分析画面,2次,月次予算_その他経費 計,L1,月次予算設定.月次その他経費,-,269
年間予実対比,分析画面,3次,月次実績_FLコスト 計,L2-S,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次実績_人件費 計",-,257
年間予実対比,分析画面,3次,月次実績_営業利益,L2-S,"年間予実対比.月次実績_総売上 計, 年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次実績_その他経費 計",-,261
年間予実対比,分析画面,3次,月次予算_FLコスト 計,L2-S,"年間予実対比.月次予算_FD仕入 計, 年間予実対比.月次予算_人件費 計",-,266
年間予実対比,分析画面,3次,月次予算_営業利益,L2-S,"年間予実対比.月次予算_総売上 計, 年間予実対比.月次予算_FLコスト 計, 年間予実対比.月次予算_その他経費 計",-,270
年間予実対比,分析画面,3次,予算構成比_総売上 計,L2-S,年間予実対比.月次予算_総売上 計,-,271
年間予実対比,分析画面,3次,予算構成比_フード売上 計,L2-S,"年間予実対比.月次予算_フード売上 計, 年間予実対比.月次予算_総売上 計",-,272
年間予実対比,分析画面,3次,予算構成比_ドリンク売上 計,L2-S,"年間予実対比.月次予算_ドリンク売上 計, 年間予実対比.月次予算_総売上 計",-,273
年間予実対比,分析画面,3次,予算構成比_その他売上 計,L2-S,"年間予実対比.月次予算_その他売上 計, 年間予実対比.月次予算_総売上 計",-,274
年間予実対比,分析画面,3次,予算構成比_FLコスト 計,L2-S,"年間予実対比.月次予算_FLコスト 計, 年間予実対比.月次予算_総売上 計",-,275
年間予実対比,分析画面,3次,予算構成比_FD仕入 計,L2-S,"年間予実対比.月次予算_FD仕入 計, 年間予実対比.月次予算_総売上 計",-,276
年間予実対比,分析画面,3次,予算構成比_人件費 計,L2-S,"年間予実対比.月次予算_人件費 計, 年間予実対比.月次予算_総売上 計",-,277
年間予実対比,分析画面,3次,予算構成比_その他経費 計,L2-S,"年間予実対比.月次予算_その他経費 計, 年間予実対比.月次予算_総売上 計",-,278
年間予実対比,分析画面,3次,予算構成比_営業利益,L2-S,"年間予実対比.月次予算_営業利益, 年間予実対比.月次予算_総売上 計",-,279
年間予実対比,分析画面,3次,予実差額_総売上 計,L2-S,"年間予実対比.月次実績_総売上 計, 年間予実対比.月次予算_総売上 計",-,280
年間予実対比,分析画面,3次,予実差額_フード売上 計,L2-S,"年間予実対比.月次実績_フード売上 計, 年間予実対比.月次予算_フード売上 計",-,281
年間予実対比,分析画面,3次,予実差額_ドリンク売上 計,L2-S,"年間予実対比.月次実績_ドリンク売上 計, 年間予実対比.月次予算_ドリンク売上 計",-,282
年間予実対比,分析画面,3次,予実差額_その他売上 計,L2-S,"年間予実対比.月次実績_その他売上 計, 年間予実対比.月次予算_その他売上 計",-,283
年間予実対比,分析画面,3次,予実差額_FLコスト 計,L2-S,"年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次予算_FLコスト 計",-,284
年間予実対比,分析画面,3次,予実差額_FD仕入 計,L2-S,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次予算_FD仕入 計",-,285
年間予実対比,分析画面,3次,予実差額_人件費 計,L2-S,"年間予実対比.月次実績_人件費 計, 年間予実対比.月次予算_人件費 計",-,286
年間予実対比,分析画面,3次,予実差額_その他経費 計,L2-S,"年間予実対比.月次実績_その他経費 計, 年間予実対比.月次予算_その他経費 計",-,287
年間予実対比,分析画面,3次,予実差額_営業利益,L2-S,"年間予実対比.月次実績_営業利益, 年間予実対比.月次予算_営業利益",-,288
年間予実対比,分析画面,3次,予算対比率_総売上 計,L2-S,"年間予実対比.月次実績_総売上 計, 年間予実対比.月次予算_総売上 計",-,289
年間予実対比,分析画面,3次,予算対比率_フード売上 計,L2-S,"年間予実対比.月次実績_フード売上 計, 年間予実対比.月次予算_フード売上 計",-,290
年間予実対比,分析画面,3次,予算対比率_ドリンク売上 計,L2-S,"年間予実対比.月次実績_ドリンク売上 計, 年間予実対比.月次予算_ドリンク売上 計",-,291
年間予実対比,分析画面,3次,予算対比率_その他売上 計,L2-S,"年間予実対比.月次実績_その他売上 計, 年間予実対比.月次予算_その他売上 計",-,292
年間予実対比,分析画面,3次,予算対比率_FLコスト 計,L2-S,"年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次予算_FLコスト 計",-,293
年間予実対比,分析画面,3次,予算対比率_FD仕入 計,L2-S,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次予算_FD仕入 計",-,294
年間予実対比,分析画面,3次,予算対比率_人件費 計,L2-S,"年間予実対比.月次実績_人件費 計, 年間予実対比.月次予算_人件費 計",-,295
年間予実対比,分析画面,3次,予算対比率_その他経費 計,L2-S,"年間予実対比.月次実績_その他経費 計, 年間予実対比.月次予算_その他経費 計",-,296
年間予実対比,分析画面,3次,予算対比率_営業利益,L2-S,"年間予実対比.月次実績_営業利益, 年間予実対比.月次予算_営業利益",-,297
年間予実対比,分析画面,3次,構成比_総売上 計,L2-S,年間予実対比.月次実績_総売上 計,-,298
年間予実対比,分析画面,3次,構成比_フード売上 計,L2-S,"年間予実対比.月次実績_フード売上 計, 年間予実対比.月次実績_総売上 計",-,299
年間予実対比,分析画面,3次,構成比_ドリンク売上 計,L2-S,"年間予実対比.月次実績_ドリンク売上 計, 年間予実対比.月次実績_総売上 計",-,300
年間予実対比,分析画面,3次,構成比_その他売上 計,L2-S,"年間予実対比.月次実績_その他売上 計, 年間予実対比.月次実績_総売上 計",-,301
年間予実対比,分析画面,3次,構成比_FLコスト 計,L2-S,"年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次実績_総売上 計",-,302
年間予実対比,分析画面,3次,構成比_FD仕入 計,L2-S,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次実績_総売上 計",-,303
年間予実対比,分析画面,3次,構成比_人件費 計,L2-S,"年間予実対比.月次実績_人件費 計, 年間予実対比.月次実績_総売上 計",-,304
年間予実対比,分析画面,3次,構成比_その他経費 計,L2-S,"年間予実対比.月次実績_その他経費 計, 年間予実対比.月次実績_総売上 計",-,305
年間予実対比,分析画面,3次,構成比_営業利益,L2-S,"年間予実対比.月次実績_営業利益, 年間予実対比.月次実績_総売上 計",-,306
年間予実対比（予実対比）,分析画面,2次,年間実績_総売上 計,L1,[外部]ZTOTAL.sales_excluded,-,211
年間予実対比（予実対比）,分析画面,2次,年間実績_フード売上 計,L1,[外部]TITEM.sales_excluded,-,212
年間予実対比（予実対比）,分析画面,2次,年間実績_ドリンク売上 計,L1,[外部]TITEM.sales_excluded,-,213
年間予実対比（予実対比）,分析画面,2次,年間実績_その他売上 計,L1,[外部]ZTOTAL.service_charge_1,-,214
年間予実対比（予実対比）,分析画面,2次,年間実績_その他売上ランチ,L1,[外部]TITEM.sales_excluded,-,215
年間予実対比（予実対比）,分析画面,2次,年間実績_その他売上ディナー,L1,[外部]TITEM.sales_excluded,-,216
年間予実対比（予実対比）,分析画面,2次,年間実績_FD仕入 計,L1,[外部]infomart_transactions.total_tax_excluded,-,218
年間予実対比（予実対比）,分析画面,2次,年間実績_人件費 計,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,219
年間予実対比（予実対比）,分析画面,2次,年間実績_その他経費 計,L1,-,-,220
年間予実対比（予実対比）,分析画面,2次,年間実績_ラクミー利用料,L1,-,-,221
年間予実対比（予実対比）,分析画面,2次,年間実績_IT費用,L1,-,-,222
年間予実対比（予実対比）,分析画面,2次,年間実績_お花代,L1,-,-,223
年間予実対比（予実対比）,分析画面,2次,年間実績_ガス代,L1,-,-,224
年間予実対比（予実対比）,分析画面,2次,年間実績_クレジットカード手数料,L1,-,-,225
年間予実対比（予実対比）,分析画面,2次,年間実績_レジ利用料,L1,-,-,226
年間予実対比（予実対比）,分析画面,2次,年間実績_借入金返済,L1,-,-,227
年間予実対比（予実対比）,分析画面,2次,年間実績_家賃（変動分）,L1,-,-,228
年間予実対比（予実対比）,分析画面,2次,年間実績_水道代,L1,-,-,229
年間予実対比（予実対比）,分析画面,2次,年間実績_社員人件費,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,230
年間予実対比（予実対比）,分析画面,2次,年間実績_電気代,L1,-,-,231
年間予実対比（予実対比）,分析画面,2次,年間実績_フード売上ランチ,L1,[外部]TITEM.sales_excluded,-,233
年間予実対比（予実対比）,分析画面,2次,年間実績_フード売上ディナー,L1,[外部]TITEM.sales_excluded,-,234
年間予実対比（予実対比）,分析画面,2次,年間実績_ドリンク売上ランチ,L1,[外部]TITEM.sales_excluded,-,235
年間予実対比（予実対比）,分析画面,2次,年間実績_ドリンク売上ディナー,L1,[外部]TITEM.sales_excluded,-,236
年間予実対比（予実対比）,分析画面,2次,年間実績_フード仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,237
年間予実対比（予実対比）,分析画面,2次,年間実績_ドリンク仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,238
年間予実対比（予実対比）,分析画面,2次,年間実績_固定人件費,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,239
年間予実対比（予実対比）,分析画面,2次,年間実績_PA人件費,L1,[外部]head_office_employee_working_records.daily_cost,-,240
年間予実対比（予実対比）,分析画面,2次,年間実績_地代家賃,L1,-,-,242
年間予実対比（予実対比）,分析画面,2次,年間実績_資材費,L1,-,-,243
年間予実対比（予実対比）,分析画面,2次,年間実績_水道光熱費,L1,-,-,244
年間予実対比（予実対比）,分析画面,2次,年間実績_減価償却費,L1,-,-,245
年間予実対比（予実対比）,分析画面,2次,年間実績_販促費,L1,-,-,246
年間予実対比（予実対比）,分析画面,2次,年間予算_総売上 計,L1,月次予算設定.年間総売上,-,307
年間予実対比（予実対比）,分析画面,2次,年間予算_フード売上 計,L1,月次予算設定.年間フード売上,-,308
年間予実対比（予実対比）,分析画面,2次,年間予算_フード売上ランチ,L1,月次予算設定.年間フード売上ランチ,-,309
年間予実対比（予実対比）,分析画面,2次,年間予算_フード売上ディナー,L1,月次予算設定.年間フード売上ディナー,-,310
年間予実対比（予実対比）,分析画面,2次,年間予算_ドリンク売上 計,L1,月次予算設定.年間ドリンク売上,-,311
年間予実対比（予実対比）,分析画面,2次,年間予算_ドリンク売上ランチ,L1,月次予算設定.年間ドリンク売上ランチ,-,312
年間予実対比（予実対比）,分析画面,2次,年間予算_ドリンク売上ディナー,L1,月次予算設定.年間ドリンク売上ディナー,-,313
年間予実対比（予実対比）,分析画面,2次,年間予算_その他売上 計（サービス料等）,L1,月次予算設定.年間その他売上（サービス料等）,-,314
年間予実対比（予実対比）,分析画面,2次,年間予算_その他売上ランチ,L1,月次予算設定.年間その他売上ランチ,-,315
年間予実対比（予実対比）,分析画面,2次,年間予算_その他売上ディナー,L1,月次予算設定.年間その他売上ディナー,-,316
年間予実対比（予実対比）,分析画面,2次,年間予算_FD仕入 計,L1,月次予算設定.年間FD仕入,-,318
年間予実対比（予実対比）,分析画面,2次,年間予算_フード仕入,L1,月次予算設定.年間フード仕入,-,319
年間予実対比（予実対比）,分析画面,2次,年間予算_ドリンク仕入,L1,月次予算設定.年間ドリンク仕入,-,320
年間予実対比（予実対比）,分析画面,2次,年間予算_人件費 計,L1,月次予算設定.年間人件費,-,321
年間予実対比（予実対比）,分析画面,2次,年間予算_PA人件費,L1,月次予算設定.年間PA人件費,-,323
年間予実対比（予実対比）,分析画面,3次,年間実績_FLコスト 計,L2-S,-,-,217
年間予実対比（予実対比）,分析画面,3次,年間実績_営業利益,L2-S,-,-,232
年間予実対比（予実対比）,分析画面,3次,年間予算_FLコスト 計,L2-S,"年間予実対比（予実対比）.年間予算_FD仕入 計, 年間予実対比（予実対比）.年間予算_人件費 計",-,317
年間予実対比（予実対比）,分析画面,3次,年間予算_営業利益,L2-S,"年間予実対比（予実対比）.年間予算_総売上 計, 年間予実対比（予実対比）.年間予算_FLコスト 計, 年間予実対比（予実対比）.年間予算_その他経費 計",-,342
年間予実対比（予実対比）,分析画面,3次,年間予実差額_総売上 計,L2-S,"年間予実対比（予実対比）.年間実績_総売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,343
年間予実対比（予実対比）,分析画面,3次,年間予実差額_フード売上 計,L2-S,"年間予実対比（予実対比）.年間実績_フード売上 計, 年間予実対比（予実対比）.年間予算_フード売上 計",-,344
年間予実対比（予実対比）,分析画面,3次,年間予実差額_フード売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_フード売上ランチ, 年間予実対比（予実対比）.年間予算_フード売上ランチ",-,345
年間予実対比（予実対比）,分析画面,3次,年間予実差額_フード売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_フード売上ディナー, 年間予実対比（予実対比）.年間予算_フード売上ディナー",-,346
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ドリンク売上 計,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上 計, 年間予実対比（予実対比）.年間予算_ドリンク売上 計",-,347
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ドリンク売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上ランチ, 年間予実対比（予実対比）.年間予算_ドリンク売上ランチ",-,348
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ドリンク売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上ディナー, 年間予実対比（予実対比）.年間予算_ドリンク売上ディナー",-,349
年間予実対比（予実対比）,分析画面,3次,年間予実差額_その他売上 計,L2-S,"年間予実対比（予実対比）.年間実績_その他売上 計, 年間予実対比（予実対比）.年間予算_その他売上 計",-,350
年間予実対比（予実対比）,分析画面,3次,年間予実差額_その他売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_その他売上ランチ, 年間予実対比（予実対比）.年間予算_その他売上ランチ",-,351
年間予実対比（予実対比）,分析画面,3次,年間予実差額_その他売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_その他売上ディナー, 年間予実対比（予実対比）.年間予算_その他売上ディナー",-,352
年間予実対比（予実対比）,分析画面,3次,年間予実差額_FLコスト 計,L2-S,"年間予実対比（予実対比）.年間実績_FLコスト 計, 年間予実対比（予実対比）.年間予算_FLコスト 計",-,353
年間予実対比（予実対比）,分析画面,3次,年間予実差額_FD仕入 計,L2-S,"年間予実対比（予実対比）.年間実績_FD仕入 計, 年間予実対比（予実対比）.年間予算_FD仕入 計",-,354
年間予実対比（予実対比）,分析画面,3次,年間予実差額_フード仕入,L2-S,"年間予実対比（予実対比）.年間実績_フード仕入, 年間予実対比（予実対比）.年間予算_フード仕入",-,355
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ドリンク仕入,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク仕入, 年間予実対比（予実対比）.年間予算_ドリンク仕入",-,356
年間予実対比（予実対比）,分析画面,3次,年間予実差額_人件費 計,L2-S,"年間予実対比（予実対比）.年間実績_人件費 計, 年間予実対比（予実対比）.年間予算_人件費 計",-,357
年間予実対比（予実対比）,分析画面,3次,年間予実差額_固定人件費,L2-S,"年間予実対比（予実対比）.年間実績_固定人件費, 年間予実対比（予実対比）.年間予算_固定人件費",-,358
年間予実対比（予実対比）,分析画面,3次,年間予実差額_PA人件費,L2-S,"年間予実対比（予実対比）.年間実績_PA人件費, 年間予実対比（予実対比）.年間予算_PA人件費",-,359
年間予実対比（予実対比）,分析画面,3次,年間予実差額_社員人件費,L2-S,"年間予実対比（予実対比）.年間実績_社員人件費, 年間予実対比（予実対比）.年間予算_社員人件費",-,360
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ヘルプ人件費,L2-S,"年間予実対比（予実対比）.年間実績_ヘルプ人件費, 年間予実対比（予実対比）.年間予算_ヘルプ人件費",-,361
年間予実対比（予実対比）,分析画面,3次,年間予実差額_その他経費 計,L2-S,"年間予実対比（予実対比）.年間実績_その他経費 計, 年間予実対比（予実対比）.年間予算_その他経費 計",-,362
年間予実対比（予実対比）,分析画面,3次,年間予実差額_地代家賃,L2-S,"年間予実対比（予実対比）.年間実績_地代家賃, 年間予実対比（予実対比）.年間予算_地代家賃",-,363
年間予実対比（予実対比）,分析画面,3次,年間予実差額_家賃（変動分）,L2-S,"年間予実対比（予実対比）.年間実績_家賃（変動分）, 年間予実対比（予実対比）.年間予算_家賃（変動分）",-,364
年間予実対比（予実対比）,分析画面,3次,年間予実差額_水道光熱費,L2-S,"年間予実対比（予実対比）.年間実績_水道光熱費, 年間予実対比（予実対比）.年間予算_水道光熱費",-,365
年間予実対比（予実対比）,分析画面,3次,年間予実差額_電気代,L2-S,"年間予実対比（予実対比）.年間実績_電気代, 年間予実対比（予実対比）.年間予算_電気代",-,366
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ガス代,L2-S,"年間予実対比（予実対比）.年間実績_ガス代, 年間予実対比（予実対比）.年間予算_ガス代",-,367
