画面タイトル,画面タイプ,ターゲット,総指標数,1次指標数,1次指標名(;区切り),2次指標数,2次指標名(;区切り),3次指標数,3次指標名(;区切り),4次指標数,4次指標名(;区切り),5次指標数,5次指標名(;区切り)
FD分析（仕入率/原価率）,分析画面,店長,20,0,,12,フード前月在庫高; フード当月仕入; フード当月在庫高; ドリンク前月在庫高; ドリンク当月仕入; ドリンク当月在庫高; FD前月在庫高; FD当月仕入; FD当月在庫高; 売上; フード売上; ドリンク売上,0,,6,フード仕入率; フード原価率; ドリンク仕入率; ドリンク原価率; FD仕入率; FD原価率,2,売れ筋TOP10(利益ベース); 商品別貢献利益
FD分析（売上構成比）,分析画面,店長,3,0,,2,フード売上合計; ドリンク売上合計,0,,1,FD売上構成比,0,
予実対比,分析画面,店長,108,0,,69,実績_総売上 計; 実績_フード売上 計; 実績_フード売上ランチ; 実績_フード売上ディナー; 実績_ドリンク売上 計; 実績_ドリンク売上ランチ; 実績_ドリンク売上ディナー; 実績_その他売上 計（サービス料等）; 実績_その他売上ランチ; 実績_その他売上ディナー; 実績_FD仕入 計; 実績_フード仕入; 実績_ドリンク仕入; 実績_人件費 計; 実績_固定人件費; 実績_PA人件費; 実績_ヘルプ人件費; 実績_その他経費 計; 実績_地代家賃; 実績_資材費; 実績_ラクミー利用料; 実績_IT費用; 実績_お花代; 実績_ガス代; 実績_クレジットカード手数料; 実績_レジ利用料; 実績_借入金返済; 実績_家賃（変動分）; 実績_水道代; 実績_水道光熱費; 実績_減価償却費; 実績_社員人件費; 実績_販促費; 実績_電気代; 予算_総売上 計; 予算_フード売上 計; 予算_フード売上ランチ; 予算_フード売上ディナー; 予算_ドリンク売上 計; 予算_ドリンク売上ランチ; 予算_ドリンク売上ディナー; 予算_その他売上 計（サービス料等）; 予算_その他売上ランチ; 予算_その他売上ディナー; 予算_FLコスト 計; 予算_FD仕入 計; 予算_フード仕入; 予算_ドリンク仕入; 予算_人件費 計; 予算_固定人件費; 予算_PA人件費; 予算_ヘルプ人件費; 予算_その他経費 計; 予算_地代家賃; 予算_資材費; 予算_ラクミー利用料; 予算_IT費用; 予算_お花代; 予算_ガス代; 予算_クレジットカード手数料; 予算_レジ利用料; 予算_借入金返済; 予算_家賃（変動分）; 予算_水道代; 予算_水道光熱費; 予算_減価償却費; 予算_社員人件費; 予算_販促費; 予算_電気代,39,実績_FLコスト 計; 実績_営業利益; 予算_営業利益; 予算構成比_総売上 計; 予算構成比_フード売上 計; 予算構成比_ドリンク売上 計; 予算構成比_その他売上 計; 予算構成比_FLコスト 計; 予算構成比_FD仕入 計; 予算構成比_人件費 計; 予算構成比_その他経費 計; 予算構成比_営業利益; 予実差額_総売上 計; 予実差額_フード売上 計; 予実差額_ドリンク売上 計; 予実差額_その他売上 計; 予実差額_FLコスト 計; 予実差額_FD仕入 計; 予実差額_人件費 計; 予実差額_その他経費 計; 予実差額_営業利益; 予算対比率_総売上 計; 予算対比率_フード売上 計; 予算対比率_ドリンク売上 計; 予算対比率_その他売上 計; 予算対比率_FLコスト 計; 予算対比率_FD仕入 計; 予算対比率_人件費 計; 予算対比率_その他経費 計; 予算対比率_営業利益; 構成比_総売上 計; 構成比_フード売上 計; 構成比_ドリンク売上 計; 構成比_その他売上 計; 構成比_FLコスト 計; 構成比_FD仕入 計; 構成比_人件費 計; 構成比_その他経費 計; 構成比_営業利益,0,,0,
仕入先分析,分析画面,店長,3,0,,2,仕入れ先; 金額（税抜）,1,比率,0,,0,
利益進捗分析,分析画面,店長,4,0,,0,,0,,4,利益進捗率; 利益進捗率比較（前月）; 利益進捗率比較（前々月）; 利益達成率,0,
商品別仕入分析,分析画面,店長,4,0,,3,商品; 仕入先; 金額（税抜）,1,比率,0,,0,
商品別売上分析,分析画面,店長,5,0,,1,販売数量,2,商品単価（税抜）; 商品単価（税込）,0,,2,商品別価格帯分布; 新メニュー投入効果
売上進捗分析,分析画面,店長,5,0,,0,,0,,4,売上進捗率; 売上進捗率比較（前月）; 売上進捗率比較（前々月）; 売上達成率,1,売上標準偏差(月内変動)
平均単価推移,分析画面,店長,5,0,,3,仕入商品ラベル; 仕入金額（税抜）; 数量,2,平均単価; 平均単価推移,0,,0,
年間予実対比,分析画面,店長,54,0,,14,月次実績_総売上 計; 月次実績_フード売上 計; 月次実績_ドリンク売上 計; 月次実績_その他売上 計; 月次実績_FD仕入 計; 月次実績_人件費 計; 月次実績_その他経費 計; 月次予算_総売上 計; 月次予算_フード売上 計; 月次予算_ドリンク売上 計; 月次予算_その他売上 計; 月次予算_FD仕入 計; 月次予算_人件費 計; 月次予算_その他経費 計,40,月次実績_FLコスト 計; 月次実績_営業利益; 月次予算_FLコスト 計; 月次予算_営業利益; 予算構成比_総売上 計; 予算構成比_フード売上 計; 予算構成比_ドリンク売上 計; 予算構成比_その他売上 計; 予算構成比_FLコスト 計; 予算構成比_FD仕入 計; 予算構成比_人件費 計; 予算構成比_その他経費 計; 予算構成比_営業利益; 予実差額_総売上 計; 予実差額_フード売上 計; 予実差額_ドリンク売上 計; 予実差額_その他売上 計; 予実差額_FLコスト 計; 予実差額_FD仕入 計; 予実差額_人件費 計; 予実差額_その他経費 計; 予実差額_営業利益; 予算対比率_総売上 計; 予算対比率_フード売上 計; 予算対比率_ドリンク売上 計; 予算対比率_その他売上 計; 予算対比率_FLコスト 計; 予算対比率_FD仕入 計; 予算対比率_人件費 計; 予算対比率_その他経費 計; 予算対比率_営業利益; 構成比_総売上 計; 構成比_フード売上 計; 構成比_ドリンク売上 計; 構成比_その他売上 計; 構成比_FLコスト 計; 構成比_FD仕入 計; 構成比_人件費 計; 構成比_その他経費 計; 構成比_営業利益,0,,0,
年間予実対比（予実対比）,分析画面,店長,216,0,,48,年間実績_総売上 計; 年間実績_フード売上 計; 年間実績_ドリンク売上 計; 年間実績_その他売上 計; 年間実績_その他売上ランチ; 年間実績_その他売上ディナー; 年間実績_FD仕入 計; 年間実績_人件費 計; 年間実績_その他経費 計; 年間実績_ラクミー利用料; 年間実績_IT費用; 年間実績_お花代; 年間実績_ガス代; 年間実績_クレジットカード手数料; 年間実績_レジ利用料; 年間実績_借入金返済; 年間実績_家賃（変動分）; 年間実績_水道代; 年間実績_社員人件費; 年間実績_電気代; 年間実績_フード売上ランチ; 年間実績_フード売上ディナー; 年間実績_ドリンク売上ランチ; 年間実績_ドリンク売上ディナー; 年間実績_フード仕入; 年間実績_ドリンク仕入; 年間実績_固定人件費; 年間実績_PA人件費; 年間実績_地代家賃; 年間実績_資材費; 年間実績_水道光熱費; 年間実績_減価償却費; 年間実績_販促費; 年間予算_総売上 計; 年間予算_フード売上 計; 年間予算_フード売上ランチ; 年間予算_フード売上ディナー; 年間予算_ドリンク売上 計; 年間予算_ドリンク売上ランチ; 年間予算_ドリンク売上ディナー; 年間予算_その他売上 計（サービス料等）; 年間予算_その他売上ランチ; 年間予算_その他売上ディナー; 年間予算_FD仕入 計; 年間予算_フード仕入; 年間予算_ドリンク仕入; 年間予算_人件費 計; 年間予算_PA人件費,148,年間実績_FLコスト 計; 年間実績_営業利益; 年間予算_FLコスト 計; 年間予算_営業利益; 年間予実差額_総売上 計; 年間予実差額_フード売上 計; 年間予実差額_フード売上ランチ; 年間予実差額_フード売上ディナー; 年間予実差額_ドリンク売上 計; 年間予実差額_ドリンク売上ランチ; 年間予実差額_ドリンク売上ディナー; 年間予実差額_その他売上 計; 年間予実差額_その他売上ランチ; 年間予実差額_その他売上ディナー; 年間予実差額_FLコスト 計; 年間予実差額_FD仕入 計; 年間予実差額_フード仕入; 年間予実差額_ドリンク仕入; 年間予実差額_人件費 計; 年間予実差額_固定人件費; 年間予実差額_PA人件費; 年間予実差額_社員人件費; 年間予実差額_ヘルプ人件費; 年間予実差額_その他経費 計; 年間予実差額_地代家賃; 年間予実差額_家賃（変動分）; 年間予実差額_水道光熱費; 年間予実差額_電気代; 年間予実差額_ガス代; 年間予実差額_水道代; 年間予実差額_減価償却費; 年間予実差額_販促費; 年間予実差額_資材費; 年間予実差額_借入金返済; 年間予実差額_IT費用; 年間予実差額_ラクミー利用料; 年間予実差額_レジ利用料; 年間予実差額_クレジットカード手数料; 年間予実差額_お花代; 年間予実差額_営業利益; 年間予算対比率_総売上 計; 年間予算対比率_フード売上 計; 年間予算対比率_フード売上ランチ; 年間予算対比率_フード売上ディナー; 年間予算対比率_ドリンク売上 計; 年間予算対比率_ドリンク売上ランチ; 年間予算対比率_ドリンク売上ディナー; 年間予算対比率_その他売上 計; 年間予算対比率_その他売上ランチ; 年間予算対比率_その他売上ディナー; 年間予算対比率_FLコスト 計; 年間予算対比率_FD仕入 計; 年間予算対比率_フード仕入; 年間予算対比率_ドリンク仕入; 年間予算対比率_人件費 計; 年間予算対比率_固定人件費; 年間予算対比率_PA人件費; 年間予算対比率_社員人件費; 年間予算対比率_ヘルプ人件費; 年間予算対比率_その他経費 計; 年間予算対比率_地代家賃; 年間予算対比率_家賃（変動分）; 年間予算対比率_水道光熱費; 年間予算対比率_電気代; 年間予算対比率_ガス代; 年間予算対比率_水道代; 年間予算対比率_減価償却費; 年間予算対比率_販促費; 年間予算対比率_資材費; 年間予算対比率_借入金返済; 年間予算対比率_IT費用; 年間予算対比率_ラクミー利用料; 年間予算対比率_レジ利用料; 年間予算対比率_クレジットカード手数料; 年間予算対比率_お花代; 年間予算対比率_営業利益; 年間予算構成比_総売上 計; 年間予算構成比_フード売上 計; 年間予算構成比_フード売上ランチ; 年間予算構成比_フード売上ディナー; 年間予算構成比_ドリンク売上 計; 年間予算構成比_ドリンク売上ランチ; 年間予算構成比_ドリンク売上ディナー; 年間予算構成比_その他売上 計; 年間予算構成比_その他売上ランチ; 年間予算構成比_その他売上ディナー; 年間予算構成比_FLコスト 計; 年間予算構成比_FD仕入 計; 年間予算構成比_フード仕入; 年間予算構成比_ドリンク仕入; 年間予算構成比_人件費 計; 年間予算構成比_固定人件費; 年間予算構成比_PA人件費; 年間予算構成比_社員人件費; 年間予算構成比_ヘルプ人件費; 年間予算構成比_その他経費 計; 年間予算構成比_地代家賃; 年間予算構成比_家賃（変動分）; 年間予算構成比_水道光熱費; 年間予算構成比_電気代; 年間予算構成比_ガス代; 年間予算構成比_水道代; 年間予算構成比_減価償却費; 年間予算構成比_販促費; 年間予算構成比_資材費; 年間予算構成比_借入金返済; 年間予算構成比_IT費用; 年間予算構成比_ラクミー利用料; 年間予算構成比_レジ利用料; 年間予算構成比_クレジットカード手数料; 年間予算構成比_お花代; 年間予算構成比_営業利益; 年間構成比_総売上 計; 年間構成比_フード売上 計; 年間構成比_フード売上ランチ; 年間構成比_フード売上ディナー; 年間構成比_ドリンク売上 計; 年間構成比_ドリンク売上ランチ; 年間構成比_ドリンク売上ディナー; 年間構成比_その他売上 計; 年間構成比_その他売上ランチ; 年間構成比_その他売上ディナー; 年間構成比_FLコスト 計; 年間構成比_FD仕入 計; 年間構成比_フード仕入; 年間構成比_ドリンク仕入; 年間構成比_人件費 計; 年間構成比_固定人件費; 年間構成比_PA人件費; 年間構成比_社員人件費; 年間構成比_ヘルプ人件費; 年間構成比_その他経費 計; 年間構成比_地代家賃; 年間構成比_家賃（変動分）; 年間構成比_水道光熱費; 年間構成比_電気代; 年間構成比_ガス代; 年間構成比_水道代; 年間構成比_減価償却費; 年間構成比_販促費; 年間構成比_資材費; 年間構成比_借入金返済; 年間構成比_IT費用; 年間構成比_ラクミー利用料; 年間構成比_レジ利用料; 年間構成比_クレジットカード手数料; 年間構成比_お花代; 年間構成比_営業利益,20,年間実績_ヘルプ人件費; 年間予算_固定人件費; 年間予算_社員人件費; 年間予算_ヘルプ人件費; 年間予算_その他経費 計; 年間予算_地代家賃; 年間予算_家賃（変動分）; 年間予算_水道光熱費; 年間予算_電気代; 年間予算_ガス代; 年間予算_水道代; 年間予算_減価償却費; 年間予算_販促費; 年間予算_資材費; 年間予算_借入金返済; 年間予算_IT費用; 年間予算_ラクミー利用料; 年間予算_レジ利用料; 年間予算_クレジットカード手数料; 年間予算_お花代,0,
感度分析,分析画面,店長,10,0,,3,客数; 売上（税抜）; 固定費,1,変動費単価,6,客単価（税抜）; 変動費率; 粗利単価; 粗利率; 変動費; 粗利,0,
支払種別売上分析,分析画面,店長,8,0,,7,支払方法; 売上（税込）; クレジットカード合計売上; QR決済合計売上; MUGENファミリーカード合計売上; 売掛合計売上; 交通系IC合計売上,0,,1,売上比率,0,
日次レポート,分析画面,店長,5,0,,5,売上（税込）; 売上（税抜）; 仕入（税込）; 仕入（税抜）; PA人件費,0,,0,,0,
時間帯別売上分析,分析画面,店長,8,0,,3,ランチ売上（税抜）; ディナー売上（税抜）; 客数,0,,1,客単価（税抜）,4,人時売上高; 時間帯別売上構成比; アイドル時間人件費率; 繁忙時間検出
曜日別売上分析,分析画面,店長,4,0,,1,曜日,0,,3,平均売上（税抜）; 平均客数; 平均客数（税抜）,0,
月次レポート,分析画面,店長,12,0,,9,売上（税抜）; 対象前月在庫; 仕入総額; 対象月在庫; 年月; 売上（税込）; 仕入（税抜）; 仕入（税込）; PA人件費,1,原価（金額）,1,原価率,1,人件費対売上相関
月次集計,分析画面,店長,13,0,,3,固定費; 売上（税抜）; 客数,0,,10,客単価（税抜）; 変動費単価; 変動費率; 仕入費率; PA人件費率; 粗利単価; 粗利率; その他変動費率; 変動費; 粗利,0,
流入分析,分析画面,店長,20,1,総卓数,4,予約客数; 総席数; 総組数; 客数,7,予約客単価; ウォークイン客単価; 回転数; 予約客数トレンド; ウォークイン客数トレンド; 平均回転数; 平均テーブル回転数,7,テーブル回転数; テーブル稼働率; 予約売上; ウォークイン売上; ウォークイン客数; 予約売上合計; ウォークイン売上合計,1,日次客数標準偏差
費目別仕入分析,分析画面,店長,3,1,費目,1,金額（税抜）,1,比率,0,,0,
集計（仕入）税抜,分析画面,店長,1,0,,0,,1,仕入率（％）,0,,0,
集計（仕入）税込,分析画面,店長,1,0,,0,,1,仕入率（％）,0,,0,
集計（売上）税抜,分析画面,店長,4,0,,0,,4,売上総額; 標準税率（額）; 軽減税率（額）; 客数,0,,0,
集計（売上）税込,分析画面,店長,4,0,,0,,4,売上総額; 標準税率（額）; 軽減税率（額）; 客数,0,,0,
集計（費用）税抜,分析画面,店長,3,0,,0,,3,費用総額; 仕入額; 人件費,0,,0,
集計（費用）税込,分析画面,店長,3,0,,0,,3,費用総額; 仕入額; 人件費,0,,0,
ラベル一覧（仕入商品リスト）,一覧表示画面,店長,5,4,商品ID; 商品名; 費目名; ラベル名,1,発注先名,0,,0,,0,
ラベル一覧（売上商品リスト）,一覧表示画面,店長,3,3,発注先ID; 発注先名; ラベル名,0,,0,,0,,0,
ラベル一覧（発注先リスト）,一覧表示画面,店長,3,3,商品ID; 商品名; ラベル名,0,,0,,0,,0,
予実対比（一覧）,一覧表示画面,店長,23,0,,20,その他売上（サービス料等）; その他売上ランチ; その他売上ディナー; 割引･値引等; 総売上; フード売上; フード売上ランチ; フード売上ディナー; ドリンク売上; ドリンク売上ランチ; ドリンク売上ディナー; FD仕入; フード仕入; ドリンク仕入; 人件費; 固定人件費; PA人件費; その他経費; 地代家賃; 資材費,1,営業利益,1,ヘルプ人件費,1,費目別予実差異TOP3
予算一覧（予算構成）,一覧表示画面,店長,48,0,,45,売上 計; フード売上 計; ドリンク売上 計; その他売上 計（サービス料等）; FD仕入 計; 人件費 計; その他経費 計; IT費; ガス代; サービス費; 保守修繕費; 外注費; 支払手数料; 水道代; 消耗品費; 衛生費; 調査費; 諸会費; 警備料; 販売促進費; 販売管理費; 通信費; 雑費; 電気代; フード売上ランチ; フード売上ディナー; ドリンク売上ランチ; ドリンク売上ディナー; フード仕入; ドリンク仕入; 固定人件費; PA人件費; 地代家賃; 資材費; 減価償却費; ｸﾚｼﾞｯﾄ手数料; メニューコピー; 租税公課; 接待交際費; 旅費交通費; 会議費; 図書教育費; 研修費; 業態研究費; 採用費,2,FLコスト 計; 営業利益,1,ヘルプ人件費,0,
予算一覧（予算設定値）,一覧表示画面,店長,4,0,,4,月次目標利益; 目標FD仕入費率; 目標PA人件費率; 目標客単価,0,,0,,0,
商品仕入単価,一覧表示画面,店長,4,0,,3,アイテム; 金額（税抜）; 数量,1,単価,0,,0,
棚卸詳細,一覧表示画面,店長,5,1,カテゴリ,0,,4,実施日; 在庫数量; 商品単価; 小計,0,,0,
発注書一覧,一覧表示画面,店長,6,0,,0,,6,発注ID; 発注日時; ステータス; 発注先; 納品希望日; 発注書画像,0,,0,
納品書一覧,一覧表示画面,店長,4,0,,0,,4,納品書ID; 納品日; 登録状況; 納品書画像,0,,0,
納品書管理,一覧表示画面,店長,6,1,店舗名,0,,5,納品書ID; 受付日時; 納品日; 処理ステータス; 発注先,0,,0,
納品書詳細,一覧表示画面,店長,5,0,,0,,5,納品書ID; 発注者; 受注者; 処理ステータス; 納品日,0,,0,
主要KPI指標,ダッシュボード表示画面,店長,4,0,,0,,0,,4,坪月商; 営業利益率; 家賃比率; ROI,0,
年間予実対比（サマリー）,ダッシュボード表示画面,店長,6,0,,2,FD仕入額; 人件費額,0,,4,客単価（ランチ）; 客単価（ディナー）; 営業利益; 客単価,0,
店舗別サマリー,ダッシュボード表示画面,店長,7,0,,2,売上目標; 売上（税抜）,1,売上進捗率,4,売上達成率; 営業利益; FD仕入率; 人件費率,0,
当月実績,ダッシュボード表示画面,店長,9,0,,3,売上（税抜）; 営業利益予算; 売上予算,0,,6,営業利益; FD仕入率; 人件費率; FL率; 営業利益達成率; 売上達成率,0,
地代家賃設定,設定入力画面,店長,21,20,賃料体系; 条件選択; 段階数; 固定賃料; 歩合率; 売上下限（1段目）; 売上上限（1段目）; 売上歩合率（1段目）; 売上下限（2段目）; 売上上限（2段目）; 売上歩合率（2段目）; 売上下限（3段目）; 売上上限（3段目）; 売上歩合率（3段目）; 上限なし（フラグ）; 最低保証額; 売上閾値; 売上歩合対象率; 適用開始日; 月額売上予算（シミュレーション入力）,1,地代家賃シミュレーション金額,0,,0,,0,
費用実績入力,実績入力画面,店長,29,29,単月地代家賃; 固定人件費; 減価償却費; 資材費; 販売促進費; メニューコピー; 調査費; 衛生費; サービス費; 電気代; ガス代; 水道代; 消耗品費; 保守修繕費; 租税公課; 接待交際費; 旅費交通費; 通信費; ｸﾚｼﾞｯﾄ手数料; 支払手数料; 会議費; 諸会費; 図書教育費; 研修費; 業態研究費; 採用費; IT費; 外注費; 雑費,0,,0,,0,,0,
"棚卸, FD分析（仕入率/原価率）",-,店長,1,0,,0,,0,,0,,1,食材ロス率
"月次集計, 感度分析",-,店長,1,0,,0,,0,,0,,1,人時粗利
"FD分析（仕入率/原価率）, 予実対比",-,店長,1,0,,0,,0,,0,,1,FL率
"時間帯別売上分析, 流入分析",-,店長,1,0,,0,,0,,0,,1,テーブル回転率
ダッシュボード.当月実績,-,店長,1,0,,0,,0,,0,,1,レジ誤差率
"FD分析（仕入率/原価率）, 棚卸",-,店長,1,0,,0,,0,,0,,1,廃棄率
"棚卸, 小口現金管理",-,店長,1,0,,0,,0,,0,,1,賄い比率
-（新規画面）,-,店長,1,0,,0,,0,,0,,1,シフト充足率
"発注書一覧, 納品書管理",-,店長,1,0,,0,,0,,0,,1,発注差異率
"予実対比, 売上進捗分析",-,店長,1,0,,0,,0,,0,,1,客単価変動率
"流入分析, 支払種別売上分析",-,店長,1,0,,0,,0,,0,,1,クーポン利用率
"商品仕入単価, 商品別仕入分析, 平均単価推移",-,店長,1,0,,0,,0,,0,,1,仕入商品単価変動
"ABC分析, 商品別売上分析",-,店長,1,0,,0,,0,,0,,1,売れ筋TOP10(売上ベース)
"商品別仕入分析, FD分析",-,店長,1,0,,0,,0,,0,,1,商品別原価率偏差
"発注書一覧, 商品別仕入分析",-,店長,1,0,,0,,0,,0,,1,商品別発注精度
"客単価分析, 流入分析",-,店長,1,0,,0,,0,,0,,1,客数×客単価4象限
"客単価推移, 流入分析",-,店長,1,0,,0,,0,,0,,1,客単価弾性
"販売促進費(既存), 月次レポート",-,店長,1,0,,0,,0,,0,,1,販促費売上連動性
