ラクミー経営管理 店舗画面 V88差分パッチ（地代家賃設定画面 + 費用実績入力画面）
作成日: 2026-04-20
基準: 画面and指標別データソース定義表 - 店舗V88_画面指標_毎リスト + 費用予算設定データ項目CSV v2 + スクリーンショット
補足: V88定義表に欠落している「地代家賃設定」「費用実績入力」の2画面を追加。賃料体系別アウトプット振分を明記。カラム順はV88店舗画面準拠。
総指標数,50





No,プロダクト区分,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,計算レイヤー,データスコープ,データ負荷レベル,データソース区分,指標タイプ,指標タイプ詳細,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,演算範囲,演算ロジック,演算式詳細,中間画面名.画面指標名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,依存先指標（画面名.指標名）,依存先指標（テーブル名.列名）,被参照指標（画面名.指標名）,依存先指標数,被参照指標数,参照頻度,演算コスト,システム負荷,負荷要因,推奨対応,キャッシュ戦略,スナップショット対象,更新トリガー,画面カテゴリ,指標区分,指標区分の説明,機能説明,判断,AI推測の理由,不明点,改善
P11,ラクミーウェブ,設定入力画面,地代家賃設定,売上歩合率（2段目）,L0,B,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが%入力,rent_settings.tier_rate_2,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 段階別歩合の売上歩合率（2段目）,地代家賃設定.段階数,-; rent_settings.tier_rate_2,月次予算設定.変動費用予算,1,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,段階別歩合の売上歩合率（2段目）,新規追加,スクショ4-5枚目,-,-
P12,ラクミーウェブ,設定入力画面,地代家賃設定,売上下限（3段目）,L0,B,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,自動,rent_settings.sales_lower_3,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 段階別歩合の売上下限（3段目）,地代家賃設定.売上上限（2段目）,-; rent_settings.sales_lower_3,月次予算設定.変動費用予算,1,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,段階別歩合の売上下限（3段目）,新規追加,スクショ4-5枚目,-,-
P13,ラクミーウェブ,設定入力画面,地代家賃設定,売上上限（3段目）,L0,B,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが金額入力,rent_settings.sales_upper_3,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 段階別歩合の売上上限（3段目）,地代家賃設定.上限なし,-; rent_settings.sales_upper_3,月次予算設定.変動費用予算,1,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,段階別歩合の売上上限（3段目）,新規追加,スクショ4-5枚目,-,-
P14,ラクミーウェブ,設定入力画面,地代家賃設定,売上歩合率（3段目）,L0,B,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが%入力,rent_settings.tier_rate_3,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 段階別歩合の売上歩合率（3段目）,地代家賃設定.段階数,-; rent_settings.tier_rate_3,月次予算設定.変動費用予算,1,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,段階別歩合の売上歩合率（3段目）,新規追加,スクショ4-5枚目,-,-
P15,ラクミーウェブ,設定入力画面,地代家賃設定,上限なし（フラグ）,L0,C,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,最終段階の上限なしフラグ,rent_settings.no_upper_limit,-,-,-,フラグ,入力値,-,ユーザー入力（地代家賃設定）,地代家賃設定.売上上限（3段目）,ユーザー入力 → 上限なしフラグ → 最終段階上限を無限扱い,-,-; rent_settings.no_upper_limit,地代家賃設定.売上上限（3段目）,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,段階別歩合の最終段階で上限を設けない場合の制御フラグ,新規追加,スクショ4-5枚目（チェックボックスUI）,-,-
P16,ラクミーウェブ,設定入力画面,地代家賃設定,最低保証額,L0,A,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが金額入力（任意）,rent_settings.min_guarantee,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 地代家賃計算結果が最低保証額を下回る場合は最低保証額を適用,地代家賃設定.賃料体系,-; rent_settings.min_guarantee,月次予算設定.変動費用予算,1,1,中,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,変動賃料・段階別歩合時の最低保証額。POS売上がない/少ない場合に適用,新規追加,スクショ2-5枚目・地代家賃検証プロジェクト（FIX-3）,-,-
P17,ラクミーウェブ,設定入力画面,地代家賃設定,売上閾値,L0,C,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが金額入力（任意）,rent_settings.sales_threshold,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 売上がこの値以上のとき歩合計算を適用,地代家賃設定.賃料体系,-; rent_settings.sales_threshold,月次予算設定.変動費用予算,1,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,変動賃料時の歩合計算適用閾値,新規追加,スクショ2-3枚目,-,-
P18,ラクミーウェブ,設定入力画面,地代家賃設定,売上歩合対象率,L0,C,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが%入力（デフォ100%）,rent_settings.sales_target_ratio,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 総売上に対する歩合計算対象割合を乗じた金額を歩合対象売上とする,地代家賃設定.賃料体系,-; rent_settings.sales_target_ratio,月次予算設定.変動費用予算,1,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,総売上のうち歩合計算対象となる割合（消費税抜き比率など用途想定）,新規追加,スクショ2-5枚目,実際の用途（課税種別との関連など）要確認,-
P19,ラクミーウェブ,設定入力画面,地代家賃設定,適用開始日,L0,S,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが日付入力（同日重複不可）,rent_settings.applied_from,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,賃料設定履歴,ユーザー入力 → 履歴管理のキー,-,-; rent_settings.applied_from,賃料設定履歴,0,1,高,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,この賃料設定が適用される開始日。同じ適用開始日の設定は登録不可（履歴分割保存対応済/FIX-4）,新規追加,スクショ1枚目・地代家賃検証プロジェクト（FIX-4、HS-1～HS-4）,-,-
P20,ラクミーウェブ,設定入力画面,地代家賃設定,月額売上予算（シミュレーション入力）,L0,C,L0,単一レコード,低,シミュレーション入力,ユーザー入力単独,ユーザーが金額入力（シミュ専用・保存されない）,-,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定シミュ）,地代家賃設定.地代家賃シミュレーション金額,ユーザー入力 → シミュレーション計算,-,-,地代家賃設定.地代家賃シミュレーション金額,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,賃料体系に応じた地代家賃の試算用入力（永続化されない）,新規追加,スクショ1枚目,-,-
P21,ラクミーウェブ,設定入力画面,地代家賃設定,地代家賃シミュレーション金額,L2,A,L1,単一レコード,低,計算項目,画面内演算,賃料体系に応じた動的計算,-,-,-,-,"IF(賃料体系=固定賃料) → 固定賃料
IF(変動賃料・合算) → 固定賃料 + 売上×歩合率×売上歩合対象率
IF(変動賃料・最大選択) → MAX(固定賃料, 売上×歩合率×売上歩合対象率)
IF(段階別歩合・合算) → 固定賃料 + Σ段階別歩合額
IF(段階別歩合・最大選択) → MAX(固定賃料, Σ段階別歩合額)
※最低保証額を下回る場合は最低保証額を適用",演算結果,-,"地代家賃設定.賃料体系, 地代家賃設定.固定賃料, 地代家賃設定.歩合率, 地代家賃設定.最低保証額, 地代家賃設定.月額売上予算（シミュレーション入力）",-,ユーザー入力 → 賃料体系判定 → 計算式分岐 → シミュレーション金額,"地代家賃設定.賃料体系, 地代家賃設定.固定賃料, 地代家賃設定.歩合率, 地代家賃設定.最低保証額, 地代家賃設定.月額売上予算（シミュレーション入力）",-,-,5,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,入力変更時,設定入力画面,画面内演算,賃料体系ごとの地代家賃試算,月額売上予算に対する賃料試算結果,新規追加,スクショ1-5枚目・地代家賃検証プロジェクト,-,UI上で計算過程を視覚化する改善要望あり
R1,ラクミーアプリ,実績入力画面,費用実績入力,単月地代家賃,L0,S,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.rent_value,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,"予実対比.実績_地代家賃, 年間予実対比（予実対比）.年間実績_地代家賃, 予実対比（一覧）.地代家賃",ユーザー入力 → 費用実績入力.単月地代家賃 → 分析画面各種,-,-; monthly_costs.rent_value,予実対比.実績_地代家賃; 年間予実対比（予実対比）.年間実績_地代家賃; 予実対比（一覧）.地代家賃,0,3,高,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,単月ごとの地代家賃実績値。POS売上がない場合の手入力補完,新規追加,予算設定CSV v2行87・地代家賃検証プロジェクト,-,-
R2,ラクミーアプリ,実績入力画面,費用実績入力,固定人件費,L0,S,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.fixed_labor,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_固定人件費,ユーザー入力 → 費用実績入力.固定人件費 → 分析画面,-,-; monthly_costs.fixed_labor,予実対比.実績_固定人件費,0,1,高,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の固定人件費実績,新規追加,予算設定CSV v2行88,-,-
R3,ラクミーアプリ,実績入力画面,費用実績入力,減価償却費,L0,A,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.depreciation,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_減価償却費,ユーザー入力 → 費用実績入力.減価償却費 → 分析画面,-,-; monthly_costs.depreciation,予実対比.実績_減価償却費,0,1,中,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の減価償却費実績,新規追加,予算設定CSV v2行89,-,-
R4,ラクミーアプリ,実績入力画面,費用実績入力,資材費,L0,A,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.materials,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_資材費,ユーザー入力 → 費用実績入力.資材費 → 分析画面,-,-; monthly_costs.materials,予実対比.実績_資材費,0,1,中,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の資材費実績,新規追加,予算設定CSV v2行90,-,-
R5,ラクミーアプリ,実績入力画面,費用実績入力,販売促進費,L0,A,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.sales_promotion,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_販促費,ユーザー入力 → 費用実績入力.販売促進費 → 分析画面,-,-; monthly_costs.sales_promotion,予実対比.実績_販促費,0,1,中,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の販売促進費実績,新規追加,予算設定CSV v2行91,-,-
R6,ラクミーアプリ,実績入力画面,費用実績入力,メニューコピー,L0,C,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.menu_copy,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_メニューコピー,ユーザー入力 → 費用実績入力.メニューコピー → 分析画面,-,-; monthly_costs.menu_copy,予実対比.実績_メニューコピー,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次のメニューコピー費実績,新規追加,予算設定CSV v2行92（V88予算一覧に無い9費目の1つ）,V88予算一覧（予算構成）に存在しないため追加要; 予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R7,ラクミーアプリ,実績入力画面,費用実績入力,調査費,L0,C,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.research,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_調査費,ユーザー入力 → 費用実績入力.調査費 → 分析画面,-,-; monthly_costs.research,予実対比.実績_調査費,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の調査費実績,新規追加,予算設定CSV v2行93,予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R8,ラクミーアプリ,実績入力画面,費用実績入力,衛生費,L0,B,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.hygiene,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_衛生費,ユーザー入力 → 費用実績入力.衛生費 → 分析画面,-,-; monthly_costs.hygiene,予実対比.実績_衛生費,0,1,中,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の衛生費実績,新規追加,予算設定CSV v2行94,予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R9,ラクミーアプリ,実績入力画面,費用実績入力,サービス費,L0,B,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.service,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_サービス費,ユーザー入力 → 費用実績入力.サービス費 → 分析画面,-,-; monthly_costs.service,予実対比.実績_サービス費,0,1,中,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次のサービス費実績,新規追加,予算設定CSV v2行95,予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R10,ラクミーアプリ,実績入力画面,費用実績入力,電気代,L0,A,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.electricity,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_電気代,ユーザー入力 → 費用実績入力.電気代 → 分析画面,-,-; monthly_costs.electricity,予実対比.実績_電気代,0,1,高,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の電気代実績,新規追加,予算設定CSV v2行96,-,-
R11,ラクミーアプリ,実績入力画面,費用実績入力,ガス代,L0,A,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.gas,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_ガス代,ユーザー入力 → 費用実績入力.ガス代 → 分析画面,-,-; monthly_costs.gas,予実対比.実績_ガス代,0,1,高,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次のガス代実績,新規追加,予算設定CSV v2行97,-,-
R12,ラクミーアプリ,実績入力画面,費用実績入力,水道代,L0,A,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.water,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_水道代,ユーザー入力 → 費用実績入力.水道代 → 分析画面,-,-; monthly_costs.water,予実対比.実績_水道代,0,1,高,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の水道代実績,新規追加,予算設定CSV v2行98,-,-
R13,ラクミーアプリ,実績入力画面,費用実績入力,消耗品費,L0,B,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.supplies,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_消耗品費,ユーザー入力 → 費用実績入力.消耗品費 → 分析画面,-,-; monthly_costs.supplies,予実対比.実績_消耗品費,0,1,中,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の消耗品費実績,新規追加,予算設定CSV v2行99,予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R14,ラクミーアプリ,実績入力画面,費用実績入力,保守修繕費,L0,B,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.maintenance,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_保守修繕費,ユーザー入力 → 費用実績入力.保守修繕費 → 分析画面,-,-; monthly_costs.maintenance,予実対比.実績_保守修繕費,0,1,中,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の保守修繕費実績,新規追加,予算設定CSV v2行100,予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
