次数,画面タイトル,画面タイプ,指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,依存先指標,被参照指標,V69No
1次,ラベル設定（ラベル）,設定入力画面,棚卸し,L0,-,ユーザー入力単独,ユーザーが設定入力,フラグ,labels.is_inventory,D,ラベルマスタ（設定）,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,labels.is_inventory,-,-,8
1次,ラベル設定（ラベル）,設定入力画面,ステータスフラグ,L0,-,ユーザー入力単独,ユーザーが設定入力,フラグ,labels.status,D,ラベルマスタ（設定）,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,labels.status,-,-,9
1次,ラベル設定（店舗リスト）,設定入力画面,店舗ID,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.id,D,店舗マスタ（設定）,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,shops.id,-,-,10
1次,ラベル設定（店舗リスト）,設定入力画面,店舗名,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.name,D,店舗マスタ（設定）,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,shops.name,-,-,11
1次,ラベル設定（店舗リスト）,設定入力画面,ラベル名,L0,-,ユーザー入力単独,店舗に店舗ラベル（グルーピングタグ）を紐付け。店舗ラベル別サマリーでのグルーピング集計に活用,マスタ参照,shop_labels.label_name,C,ラベルマスタ（設定）,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,shop_labels.label_name,ラベル設定（ラベル）.ラベル名; 店舗管理.店舗名,店舗ラベル別サマリー（売上・営業利益・各種比率のラベル別集計）,12
1次,ラベル設定（店舗リスト）,設定入力画面,ステータスフラグ,L0,-,ユーザー入力単独,ユーザーが設定入力,フラグ,shop_labels.status,D,ラベルマスタ（設定）,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,shop_labels.status,-,-,13
1次,店舗管理,設定入力画面,店舗名,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.name,B,店舗マスタ（設定）,店舗情報の登録・編集,shops.name,-,-,14
1次,店舗管理,設定入力画面,電話番号,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.phone_number,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.phone_number,-,-,15
1次,店舗管理,設定入力画面,郵便番号,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.postal_code,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.postal_code,-,-,16
1次,店舗管理,設定入力画面,都道府県,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.prefecture,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.prefecture,-,-,17
1次,店舗管理,設定入力画面,住所,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.address,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.address,-,-,18
1次,店舗管理,設定入力画面,建物,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.building,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.building,-,-,19
1次,店舗管理,設定入力画面,業種,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.industry_type,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.industry_type,-,-,20
1次,店舗管理,設定入力画面,業態,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.business_type,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.business_type,-,-,21
1次,店舗管理,設定入力画面,総卓数,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.total_table_num,B,店舗マスタ（設定）,店舗情報の登録・編集,shops.total_table_num,-,-,22
1次,店舗管理,設定入力画面,総席数,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.total_seat_num,B,店舗マスタ（設定）,店舗情報の登録・編集,shops.total_seat_num,-,-,23
1次,店舗管理,設定入力画面,坪数,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.total_area_num,B,店舗マスタ（設定）,店舗情報の登録・編集,shops.total_area_num,-,主要KPI指標.坪月商,24
1次,店舗管理,設定入力画面,家賃種別,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.rent_type,C,店舗マスタ（設定）,店舗情報の登録・編集,shops.rent_type,-,-,25
1次,店舗管理,設定入力画面,家賃（金額）,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.rent,B,店舗マスタ（設定）,店舗情報の登録・編集,shops.rent,-,主要KPI指標.家賃比率,26
1次,店舗管理,設定入力画面,初期投資額,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.initial_investment,B,店舗マスタ（設定）,店舗情報の登録・編集,shops.initial_investment,-,主要KPI指標.ROI,27
1次,従業員管理,設定入力画面,従業員コード,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.code,D,従業員マスタ（設定）,従業員情報の登録・編集,employees.code,-,-,28
1次,従業員管理,設定入力画面,所属コード,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.department_code,D,従業員マスタ（設定）,従業員情報の登録・編集,employees.department_code,-,-,29
1次,従業員管理,設定入力画面,店舗ID,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.shop_id,D,店舗マスタ（設定）,従業員情報の登録・編集,employees.shop_id,-,-,30
1次,従業員管理,設定入力画面,店舗名,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.name,D,店舗マスタ（設定）,従業員情報の登録・編集,shops.name,-,-,31
1次,従業員管理,設定入力画面,区分（月給時給）,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.salary_type,C,従業員マスタ（設定）,従業員情報の登録・編集,employees.salary_type,-,-,32
1次,従業員管理,設定入力画面,総支給額,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.total_payment,C,従業員マスタ（設定）,従業員情報の登録・編集,employees.total_payment,-,-,33
1次,従業員管理,設定入力画面,所定労働時間,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.standard_working_hours,C,従業員マスタ（設定）,従業員情報の登録・編集,employees.standard_working_hours,-,-,34
1次,従業員管理,設定入力画面,みなし残業時間,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.deemed_overtime_hours,C,従業員マスタ（設定）,従業員情報の登録・編集,employees.deemed_overtime_hours,-,-,35
1次,月次レポート,分析画面,店舗名,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,shops.name,D,店舗マスタ（設定）,月次の経営レポート,shops.name,[マスタ]shops.name,-,149
1次,棚卸詳細,一覧表示画面,実施日,L0,-,ユーザー入力単独,棚卸画面での直接入力,日付,inventories.date,D,費用・棚卸（入力）,棚卸データの詳細表示,inventories.date,-,-,166
1次,棚卸詳細,一覧表示画面,カテゴリ,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,labels.name,D,ラベルマスタ（設定）,棚卸データの詳細表示,labels.name,-,-,168
1次,棚卸詳細,一覧表示画面,ラベル,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,labels.name,D,ラベルマスタ（設定）,棚卸データの詳細表示,labels.name,-,-,169
1次,棚卸詳細,一覧表示画面,在庫数量,L0,-,ユーザー入力単独,棚卸画面での直接入力,入力値,inventory_items.num,C,費用・棚卸（入力）,棚卸データの詳細表示,inventory_items.num,-,-,170
1次,棚卸詳細,一覧表示画面,商品単価,L0,-,ユーザー入力単独,棚卸画面での直接入力,入力値,inventory_items.price,C,費用・棚卸（入力）,棚卸データの詳細表示,inventory_items.price,-,-,171
1次,納品書管理,一覧表示画面,店舗名,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,shops.name,D,店舗マスタ（設定）,納品書データの管理,shops.name,-,-,176
1次,費用実績入力,実績入力画面,経費項目,L0,-,ユーザー入力単独,小口現金画面での直接入力,入力値,petty_cashes.description,D,費用・棚卸（入力）,費用実績の入力・管理,petty_cashes.description,-,-,36
1次,費用実績入力,実績入力画面,経費コード,L0,-,ユーザー入力単独,小口現金画面での直接入力,入力値,petty_cashes.chart_of_account_id,D,費用・棚卸（入力）,費用実績の入力・管理,petty_cashes.chart_of_account_id,-,-,37
1次,費用実績入力,実績入力画面,税区分,L0,-,ユーザー入力単独,小口現金画面での直接入力,入力値,petty_cashes.tax_type,D,費用・棚卸（入力）,費用実績の入力・管理,petty_cashes.tax_type,-,-,39
1次,費用実績入力,実績入力画面,日付,L0,-,ユーザー入力単独,店舗間商品移動画面での直接入力,日付,stocking_transfers.date,C,費用・棚卸（入力）,費用実績の入力・管理,stocking_transfers.date,-,-,40
1次,費用実績入力,実績入力画面,金額,L0,-,ユーザー入力単独,店舗間商品移動画面での直接入力,入力値,stocking_transfers.price_excluded_tax,C,費用・棚卸（入力）,費用実績の入力・管理,stocking_transfers.price_excluded_tax,-,-,42
1次,費目別仕入分析,分析画面,費目,L0,-,マスタ参照表示,マスタから取得して表示,費目マスタ,monthly_cost_items.name,D,店舗マスタ（設定）,費目別の仕入分析,monthly_cost_items.name,[マスタ]monthly_cost_items.name,-,151
2次,ABC分析,分析画面,商品,L1,同画面内,外部連携単独,POSデータから単独取得,商品マスタ,TITEM.item_name,D,POS（売上・客数）,商品別売上のABC分析,head_office_item_sales_logs.item_name,[外部]TITEM.item_name,商品別仕入分析.商品,44
2次,ABC分析,分析画面,売上（税抜）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.sales_excluded) GROUP BY item_name,A,POS（売上・客数）,商品別売上のABC分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,"ABC分析.価格, ABC分析.売上構成比率, 店舗別サマリー.売上（税抜）, 当月実績.売上（税抜）, 日次レポート.売上（税抜）, 日次推移.売上（税抜）",45
2次,ABC分析,分析画面,売上構成比率,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,商品÷総売上×100,ABC分析.売上（税抜） ÷ 当月実績.売上（税抜） × 100,A,計算項目,商品別売上のABC分析,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","ABC分析.売上（税抜）, 当月実績.売上（税抜）",-,46
2次,ABC分析,分析画面,販売点数,L1,同画面内,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.quantity) GROUP BY item_name,C,POS（売上・客数）,商品別売上のABC分析,head_office_item_sales_logs.quantity,[外部]TITEM.quantity,"ABC分析.価格, ABC分析.販売点数構成比率, 商品別売上分析.販売数量",47
2次,ABC分析,分析画面,販売点数構成比率,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,商品数÷総数×100,ABC分析.販売点数 ÷ SUM(ABC分析.販売点数) × 100,C,計算項目,商品別売上のABC分析,head_office_item_sales_logs.quantity,ABC分析.販売点数,-,48
2次,ABC分析,分析画面,価格,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,ABC分析.売上（税抜） ÷ ABC分析.販売点数,C,計算項目,商品別売上のABC分析,"head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity","ABC分析.売上（税抜）, ABC分析.販売点数",商品別売上分析.商品単価（税抜）,49
2次,PA人件費率分析,分析画面,目標PA人件費率,L1,同画面内,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.ratio,B,予算設定（入力）,PA人件費率の分析,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,50
2次,予実対比,分析画面,FD仕入　計,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM,"SUM(tax_excluded_total) WHERE category IN ('フード', 'ドリンク') GROUP BY year",C,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,100
2次,予実対比,分析画面,人件費　計,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,C,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,101
2次,予実対比,分析画面,その他経費　計,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,SUM,SUM(monthly_costs.value) WHERE cost_type = '経費' GROUP BY year,C,計算項目,予算と実績の対比分析,monthly_costs.value,-,-,102
2次,予実対比,分析画面,ラクミー利用料,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'ラクミー利用料',C,計算項目,予算と実績の対比分析,monthly_costs.value,-,-,103
2次,予実対比,分析画面,レジ利用料,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'レジ利用料',C,計算項目,予算と実績の対比分析,monthly_costs.value,-,-,104
2次,予実対比,分析画面,借入金返済,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '借入金返済',C,計算項目,予算と実績の対比分析,monthly_costs.value,-,-,105
2次,予実対比,分析画面,フード売上ランチ,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,106
2次,予実対比,分析画面,フード売上ディナー,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,107
2次,予実対比,分析画面,ドリンク売上ランチ,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,108
2次,予実対比,分析画面,ドリンク売上ディナー,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,109
2次,予実対比,分析画面,フード仕入,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード' GROUP BY year,C,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,110
2次,予実対比,分析画面,ドリンク仕入,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク' GROUP BY year,C,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,111
2次,予実対比,分析画面,固定人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者' GROUP BY year,C,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,112
2次,予実対比,分析画面,PA人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM年間,SUM(head_office_employee_working_records.daily_cost) GROUP BY year,C,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,-,113
2次,予実対比,分析画面,ヘルプ人件費,L1,同画面内,外部連携×外部連携,KOT内の複数データ組合せ,help_costs-help_costs_minus,店舗別人件費.ヘルプ人件費 - 店舗別人件費.ヘルプ人件費マイナス,C,計算項目,予算と実績の対比分析,"head_office_connected_service_labor_costs_logs.help_costs, head_office_connected_service_labor_costs_logs.help_costs_minus",SUM(紐づく店舗.予実対比.ヘルプ人件費),-,114
2次,予実対比,分析画面,地代家賃,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=家賃,monthly_costs.value WHERE cost_item = '家賃' GROUP BY year,C,計算項目,予算と実績の対比分析,monthly_costs.value,-,-,115
2次,予実対比,分析画面,資材費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=資材費,monthly_costs.value WHERE cost_item = '資材費' GROUP BY year,C,計算項目,予算と実績の対比分析,monthly_costs.value,-,-,116
2次,予実対比,分析画面,水道光熱費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=水道光熱費,monthly_costs.value WHERE cost_item = '水道光熱費' GROUP BY year,C,計算項目,予算と実績の対比分析,monthly_costs.value,-,-,117
2次,予実対比,分析画面,減価償却費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=減価償却費,monthly_costs.value WHERE cost_item = '減価償却費' GROUP BY year,C,計算項目,予算と実績の対比分析,monthly_costs.value,-,-,118
2次,予実対比,分析画面,販促費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=販促費,monthly_costs.value WHERE cost_item = '販促費' GROUP BY year,C,計算項目,予算と実績の対比分析,monthly_costs.value,-,-,119
2次,予実対比,分析画面,総売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),C,POS（売上・客数）,予算と実績の対比分析,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,-,51
2次,予実対比,分析画面,フード売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード',C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,52
2次,予実対比,分析画面,フード売上ランチ,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,53
2次,予実対比,分析画面,フード売上ディナー,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,54
2次,予実対比,分析画面,ドリンク売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,55
2次,予実対比,分析画面,ドリンク売上ランチ,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,56
2次,予実対比,分析画面,ドリンク売上ディナー,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,57
2次,予実対比,分析画面,割引・値引きなど,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.discount),C,POS（売上・客数）,予算と実績の対比分析,z_totals.discount,[外部]ZTOTAL.discount,-,58
2次,予実対比,分析画面,FD仕入,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMFD,"SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード', 'ドリンク')",A,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,"主要KPI指標.営業利益率, 年間予実対比.営業利益, 店舗ラベル別サマリー.FD仕入率, 店舗ラベル別サマリー.営業利益, 店舗別サマリー.FD仕入率, 店舗別サマリー.営業利益, 当月実績.FD仕入率, 当月実績.FL率, 当月実績.営業利益",59
2次,予実対比,分析画面,フード仕入,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード',C,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,60
2次,予実対比,分析画面,ドリンク仕入,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク',C,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,61
2次,予実対比,分析画面,人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs),A,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,"主要KPI指標.営業利益率, 年間予実対比.営業利益, 店舗ラベル別サマリー.人件費率, 店舗ラベル別サマリー.営業利益, 店舗別サマリー.人件費率, 店舗別サマリー.営業利益, 店舗別人件費, 当月実績.FL率, 当月実績.人件費率, 当月実績.営業利益",62
2次,予実対比,分析画面,固定人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者',C,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,63
2次,予実対比,分析画面,PA人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM時給者,SUM(head_office_employee_working_records.daily_cost) WHERE employee_type = '時給者',C,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,"日次推移, 日次レポート",64
2次,予実対比,分析画面,その他売上（サービス料等）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.service_charge_1),C,POS（売上・客数）,予算と実績の対比分析,z_totals.service_charge_1,[外部]ZTOTAL.service_charge_1,-,65
2次,予実対比,分析画面,その他売上ランチ,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,66
2次,予実対比,分析画面,その他売上ディナー,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,67
2次,予実対比,分析画面,FD仕入額,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM年間,SUM(infomart_transactions.total_tax_excluded) GROUP BY year,C,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,88
2次,予実対比,分析画面,人件費額,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM年間,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,C,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,89
2次,予実対比,分析画面,客単価,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数,当月実績.売上（税抜） ÷ 客数.当月客数,A,計算項目,予算と実績の対比分析,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","当月実績.売上（税抜）, 客数.当月客数",-,90
2次,予実対比,分析画面,客単価（ランチ）,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数(11-15時フィルタ),時間帯別売上分析.ランチ売上（税抜） ÷ 時間帯別売上分析.客数,A,計算項目,予算と実績の対比分析,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","時間帯別売上分析.ランチ売上（税抜）, 時間帯別売上分析.客数",-,91
