10,表示画面,店舗別サマリー,売上目標,L3,A,-,予算設定（入力）,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.value,-,monthly_budgets.profit,-,ユーザー入力（予算設定）,[入力]monthly_budgets.profit,"予算設定.売上目標, 店舗別サマリー.売上進捗率, 店舗別サマリー.売上達成率, 進捗分析.売上進捗率",monthly_budgets.profit → 店舗別サマリー.売上目標,スキーマ検証済,-,-,-
11,表示画面,店舗別サマリー,売上達成率,L4a,A,画面内,計算項目,外部連携×ユーザー入力,POS売上と予算設定の組合せ,実績÷目標×100,店舗別サマリー.売上税抜 ÷ 店舗別サマリー.売上目標 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","店舗別サマリー.売上税抜, 店舗別サマリー.売上目標",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 店舗別サマリー.売上達成率,スキーマ検証済,-,-,-
12,表示画面,店舗別サマリー,売上進捗率,L4a,A,画面内,計算項目,外部連携×ユーザー入力,POS売上と予算設定の組合せ,累計÷目標×100,SUM(店舗別サマリー.売上税抜) ÷ 店舗別サマリー.売上目標 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","店舗別サマリー.売上税抜, 店舗別サマリー.売上目標",進捗分析.売上進捗率,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 店舗別サマリー.売上進捗率,スキーマ検証済,-,累計期間(月初〜当日 or 年初〜当月)が不明,累計期間の定義を確認必要
13,表示画面,店舗別サマリー,FD仕入率,L1,S,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,仕入÷売上×100,予実対比.FD仕入 ÷ 店舗別サマリー.売上税抜 × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","tax_excluded_total, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 店舗別サマリー.売上税抜",当月実績.FD仕入率,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → 店舗別サマリー.FD仕入率,スキーマ検証済,-,-,-
14,表示画面,店舗別サマリー,人件費率,L1,S,画面間,計算項目,外部連携×外部連携,KOT人件費とPOS売上の組合せ,人件費÷売上×100,予実対比.人件費 ÷ 店舗別サマリー.売上税抜 × 100,-,"head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded","labor_costs_logs.labor_costs, ZTOTAL.sales_excluded","勤怠（KOT/ジョブカン）, POS売上（日別集計）","予実対比.人件費, 店舗別サマリー.売上税抜",当月実績.人件費率,labor_costs_logs.labor_costs / ZTOTAL.sales_excluded → head_office_connected_service_labor_costs_logs.labor_costs / head_office_connected_service_sales_logs.sales_excluded → 店舗別サマリー.人件費率,スキーマ検証済,-,-,-
15,表示画面,店舗ラベル別サマリー,営業利益,L4a,S,画面間,計算項目,複数種類混在,POS+インフォマート+KOT+費用設定の組合せ,売上-仕入-人件費-経費,店舗ラベル別サマリー.売上税抜 - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,-,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","ZTOTAL.sales_excluded, tax_excluded_total, labor_costs_logs.labor_costs","POS売上（日別集計）, インフォマート（仕入）, 勤怠（KOT/ジョブカン）, ユーザー入力（費用設定）","店舗ラベル別サマリー.売上税抜, 予実対比.FD仕入, 予実対比.人件費, 予実対比.その他経費",-,ZTOTAL.sales_excluded / tax_excluded_total / labor_costs_logs.labor_costs → head_office_connected_service_sales_logs.sales_excluded / infomart_transactions.total_tax_excluded / head_office_connected_service_labor_costs_logs.labor_costs → 店舗ラベル別サマリー.営業利益,スキーマ検証済,-,-,-
16,表示画面,店舗ラベル別サマリー,売上(税抜),L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMラベル別,SUM(ZTOTAL.sales_excluded) GROUP BY shop_label,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 店舗ラベル別サマリー.売上(税抜),スキーマ検証済,-,-,-
17,表示画面,店舗ラベル別サマリー,売上目標,L3,A,-,予算設定（入力）,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.value,-,monthly_budgets.profit,-,ユーザー入力（予算設定）,[入力]monthly_budgets.profit,"店舗ラベル別サマリー.売上進捗率, 店舗ラベル別サマリー.売上達成率",monthly_budgets.profit → 店舗ラベル別サマリー.売上目標,スキーマ検証済,-,-,-
18,表示画面,店舗ラベル別サマリー,売上達成率,L4a,A,画面内,計算項目,外部連携×ユーザー入力,POS売上と予算設定の組合せ,実績÷目標×100,店舗ラベル別サマリー.売上税抜 ÷ 店舗ラベル別サマリー.売上目標 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","店舗ラベル別サマリー.売上税抜, 店舗ラベル別サマリー.売上目標",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 店舗ラベル別サマリー.売上達成率,スキーマ検証済,-,-,-
19,表示画面,店舗ラベル別サマリー,売上進捗率,L4a,A,画面内,計算項目,外部連携×ユーザー入力,POS売上と予算設定の組合せ,累計÷目標×100,SUM(店舗ラベル別サマリー.売上税抜) ÷ 店舗ラベル別サマリー.売上目標 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","店舗ラベル別サマリー.売上税抜, 店舗ラベル別サマリー.売上目標",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 店舗ラベル別サマリー.売上進捗率,スキーマ検証済,-,-,-
20,表示画面,店舗ラベル別サマリー,FD仕入率,L1,S,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,仕入÷売上×100,予実対比.FD仕入 ÷ 店舗ラベル別サマリー.売上税抜 × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","tax_excluded_total, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 店舗ラベル別サマリー.売上税抜",-,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → 店舗ラベル別サマリー.FD仕入率,スキーマ検証済,-,-,-
21,表示画面,店舗ラベル別サマリー,人件費率,L1,S,画面間,計算項目,外部連携×外部連携,KOT人件費とPOS売上の組合せ,人件費÷売上×100,予実対比.人件費 ÷ 店舗ラベル別サマリー.売上税抜 × 100,-,"head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded","labor_costs_logs.labor_costs, ZTOTAL.sales_excluded","勤怠（KOT/ジョブカン）, POS売上（日別集計）","予実対比.人件費, 店舗ラベル別サマリー.売上税抜",-,labor_costs_logs.labor_costs / ZTOTAL.sales_excluded → head_office_connected_service_labor_costs_logs.labor_costs / head_office_connected_service_sales_logs.sales_excluded → 店舗ラベル別サマリー.人件費率,スキーマ検証済,-,-,-
22,表示画面,ABC分析,商品,L0,D,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,商品マスタ,TITEM.item_name,-,head_office_item_sales_logs.item_name,TITEM.item_name,POS売上（商品別）,[外部]TITEM.item_name,商品別仕入分析.商品,TITEM.item_name → head_office_item_sales_logs.item_name → ABC分析.商品,スキーマ検証済,-,-,-
23,表示画面,ABC分析,売上構成比率,L1,A,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,商品÷総売上×100,ABC分析.売上税抜 ÷ 当月実績.売上税抜 × 100,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","TITEM.sales_excluded, ZTOTAL.sales_excluded","POS売上（商品別）, POS売上（日別集計）","ABC分析.売上税抜, 当月実績.売上税抜","商品別売上分析.売上構成比率, 予実対比.売上構成比率",TITEM.sales_excluded / ZTOTAL.sales_excluded → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.sales_excluded → ABC分析.売上構成比率,スキーマ検証済,-,-,-
24,表示画面,ABC分析,販売点数,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.quantity) GROUP BY item_name,-,head_office_item_sales_logs.quantity,TITEM.quantity,POS売上（商品別）,[外部]TITEM.quantity,"ABC分析.価格, ABC分析.販売点数構成比率, 商品別売上分析.販売数量",TITEM.quantity → head_office_item_sales_logs.quantity → ABC分析.販売点数,スキーマ検証済,-,-,-
25,表示画面,ABC分析,販売点数構成比率,L1,C,画面内,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,商品数÷総数×100,ABC分析.販売点数 ÷ SUM(ABC分析.販売点数) × 100,-,head_office_item_sales_logs.quantity,TITEM.quantity,POS売上（商品別）,ABC分析.販売点数,商品別売上分析.販売点数構成比率,TITEM.quantity → head_office_item_sales_logs.quantity → ABC分析.販売点数構成比率,スキーマ検証済,-,-,-
26,表示画面,ABC分析,価格,L1,C,画面内,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,ABC分析.売上税抜 ÷ ABC分析.販売点数,-,"head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity","TITEM.sales_excluded, TITEM.quantity",POS売上（商品別）,"ABC分析.売上税抜, ABC分析.販売点数","商品別売上分析.商品単価(税抜), 予実対比.価格",TITEM.sales_excluded / TITEM.quantity → head_office_item_sales_logs.sales_excluded / head_office_item_sales_logs.quantity → ABC分析.価格,スキーマ検証済,-,-,-
27,表示画面,商品別売上分析,商品単価税込,L1,C,画面内,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,商品別売上分析.売上合計税込 ÷ 商品別売上分析.販売数量,-,"t_items.sales, head_office_item_sales_logs.quantity","TITEM.sales, TITEM.quantity",POS売上（商品別）,"商品別売上分析.売上合計税込, 商品別売上分析.販売数量",-,TITEM.sales / TITEM.quantity → t_items.sales / head_office_item_sales_logs.quantity → 商品別売上分析.商品単価税込,外部連携検証済,TITEM.sales → head_office_item_sales_logs.sales,-,-
28,表示画面,商品別売上分析,販売数量,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.quantity) GROUP BY item_name,-,head_office_item_sales_logs.quantity,TITEM.quantity,POS売上（商品別）,[外部]TITEM.quantity,"ABC分析.販売点数, 商品別売上分析.商品単価(税抜), 商品別売上分析.商品単価税込",TITEM.quantity → head_office_item_sales_logs.quantity → 商品別売上分析.販売数量,スキーマ検証済,-,-,-
29,表示画面,商品別売上分析,売上合計税込,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.sales) GROUP BY item_name,-,t_items.sales,TITEM.sales,POS売上（商品別）,[外部]TITEM.sales,商品別売上分析.商品単価税込,TITEM.sales → t_items.sales → 商品別売上分析.売上合計税込,外部連携検証済,TITEM.sales → head_office_item_sales_logs.sales,-,-
30,表示画面,時間帯別売上分析,客数,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM時間帯別,SUM(ZTOTAL.customers) GROUP BY hour,-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,[外部]ZTOTAL.customers,"客数.当月客数, 年間予実対比.客単価(ディナー), 年間予実対比.客単価(ランチ), 時間帯別売上分析.客単価(税抜), 曜日別売上分析.平均客数, 曜日別売上分析.平均客数(税抜)",ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 時間帯別売上分析.客数,スキーマ検証済,-,-,-
31,表示画面,曜日別売上分析,曜日,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,曜日抽出,DAYOFWEEK(ZTOTAL.date),-,z_totals.date,ZTOTAL.date,POS売上（日別集計）,[外部]ZTOTAL.date,-,ZTOTAL.date → z_totals.date → 曜日別売上分析.曜日,外部連携検証済,ZTOTAL.date → head_office_connected_service_sales_logs.date,曜日の開始(日曜 or 月曜)が不明,曜日番号の定義を確認必要
32,表示画面,曜日別売上分析,平均客数,L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(時間帯別売上分析.客数) GROUP BY dayofweek,-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,時間帯別売上分析.客数,"時間帯別売上分析.客数, 客数.当月客数",ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 曜日別売上分析.平均客数,スキーマ検証済,-,-,-
33,表示画面,曜日別売上分析,平均客数(税抜),L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(時間帯別売上分析.客数) GROUP BY dayofweek,-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,時間帯別売上分析.客数,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 曜日別売上分析.平均客数(税抜),スキーマ検証済,-,指標名「平均客数(税抜)」の意味が不明(客数に税抜の概念はない),指標名の修正を検討
34,表示画面,支払種別売上分析,支払方法,L0,D,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,マスタ参照,TTEND.head_office_payment_method_id,-,t_tends.head_office_payment_method_id,TTEND.head_office_payment_method_id,POS売上（支払方法別）,[外部]TTEND.head_office_payment_method_id,-,TTEND.head_office_payment_method_id → t_tends.head_office_payment_method_id → 支払種別売上分析.支払方法,外部連携検証済,TTEND.head_office_payment_method_id → head_office_payment_method_sales_logs.head_office_payment_method_id,-,-
35,表示画面,支払種別売上分析,売上税込,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM支払別,SUM(TTEND.sales) GROUP BY payment_method_id,-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,"支払種別売上分析.売上比率, 日次レポート",TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.売上税込,スキーマ検証済,-,-,-
36,表示画面,支払種別売上分析,売上比率,L1,A,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,支払÷総売上×100,支払種別売上分析.売上税込 ÷ 当月実績.売上税抜 × 100,-,"head_office_payment_method_sales_logs.sales, head_office_connected_service_sales_logs.sales_excluded","TTEND.sales, ZTOTAL.sales_excluded","POS売上（支払方法別）, POS売上（日別集計）","支払種別売上分析.売上税込, 当月実績.売上税抜",-,TTEND.sales / ZTOTAL.sales_excluded → head_office_payment_method_sales_logs.sales / head_office_connected_service_sales_logs.sales_excluded → 支払種別売上分析.売上比率,スキーマ検証済,-,税込÷税抜の比率計算は正しいか,税込同士または税抜同士で統一すべき
37,表示画面,支払種別売上分析,クレジットカード合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'クレジットカード',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.クレジットカード合計売上,スキーマ検証済,-,支払種別のIDまたは名称での絞り込み方法が不明,支払種別マスタを確認必要
38,表示画面,支払種別売上分析,QR決済合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'QR決済',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.QR決済合計売上,スキーマ検証済,-,-,-
39,表示画面,支払種別売上分析,MUGENファミリーカード合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'MUGENファミリーカード',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.MUGENファミリーカード合計売上,スキーマ検証済,-,-,-
40,表示画面,支払種別売上分析,売掛合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = '売掛',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.売掛合計売上,スキーマ検証済,-,-,-
41,表示画面,支払種別売上分析,交通系IC合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = '交通系IC',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.交通系IC合計売上,スキーマ検証済,-,-,-
42,表示画面,仕入別分析,仕入れ先,L0,D,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,member_name_partner.client_name,-,infomart_orders.client_name,member_name_partner.client_name,-,[外部]member_name_partner.client_name,商品別仕入分析.仕入れ先,member_name_partner.client_name → infomart_orders.client_name → 仕入別分析.仕入れ先,外部連携検証済,member_name_partner.client_name → infomart_transactions.client_name,-,-
43,表示画面,仕入別分析,金額税抜,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM仕入先別,SUM(tax_excluded_total.total_tax_excluded) GROUP BY client_name,-,infomart_orders.total_tax_excluded,tax_excluded_total.total_tax_excluded,インフォマート（仕入）,[外部]tax_excluded_total.total_tax_excluded,"仕入別分析.比率, 商品仕入単価, 商品別仕入分析, 費目別仕入分析",tax_excluded_total.total_tax_excluded → infomart_orders.total_tax_excluded → 仕入別分析.金額税抜,外部連携検証済,tax_excluded_total.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-
44,表示画面,仕入別分析,比率,L1,C,画面内,計算項目,外部連携×外部連携,インフォマート内の複数データ組合せ,仕入先÷総仕入×100,仕入別分析.金額税抜 ÷ SUM(仕入別分析.金額税抜) × 100,-,infomart_orders.total_tax_excluded,tax_excluded_total.total_tax_excluded,インフォマート（仕入）,仕入別分析.金額税抜,"商品別仕入分析.比率, 費目別仕入分析.比率, 月次費用入力.比率",tax_excluded_total.total_tax_excluded → infomart_orders.total_tax_excluded → 仕入別分析.比率,外部連携検証済,tax_excluded_total.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-
45,表示画面,商品別仕入分析,商品,L0,D,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,detail_list.item_name,-,infomart_order_details.item_name,detail_list.item_name,-,[外部]detail_list.item_name,ABC分析.商品,detail_list.item_name → infomart_order_details.item_name → 商品別仕入分析.商品,外部連携検証済,detail_list.item_name → infomart_transactions.item_name,-,-
