UIカスタマイズ指標一覧（店舗画面）V70 詳細版
作成日: 2025-12-12
基準: 店舗画面_データソース定義表_V70

No,カスタマイズレベル,カテゴリ,指標名,演算式詳細,データソース種別,インプット元,アウトプット先,表現提案,必要機能,実現性,優先度,実現に必要なこと・不明点・コスト

57,L5: 期間比較,前年同期比較,全KPI前年同日比較,全KPI[当日] ÷ 全KPI[前年同日] × 100,全種類,全KPIデータ + 前年データ,日次経営レポート/YoY分析,比較表（当日/前年同日/前年比）+ 色分け + アイコン,日次期間切替機能,高,S,【必要】全KPIの前年同日データ保持【コスト】低〜中
58,L5: 期間比較,前年同期比較,全KPI前年同月比較,全KPI[当月] ÷ 全KPI[前年同月] × 100,全種類,全KPIデータ + 前年データ,月次経営レポート/YoY分析,比較表（当月/前年同月/前年比）+ 色分け,月次期間切替,高,S,【必要】全KPIの前年同月データ保持【コスト】低
59,L5: 期間比較,前週比較,全KPI前週比較,全KPI[当週] ÷ 全KPI[前週] × 100,全種類,全KPIデータ + 前週データ,週次レポート/WoW分析,比較表（当週/前週/前週比）+ 色分け,前週同曜日データ取得,高,A,【必要】週次集計【コスト】低
60,L5: 期間比較,前月比較,全KPI前月比較,全KPI[当月] ÷ 全KPI[前月] × 100,全種類,全KPIデータ + 前月データ,月次レポート/MoM分析,比較表（当月/前月/前月比）+ 色分け,前月データ取得,高,A,【必要】前月データ保持【コスト】低
61,L5: 期間比較,累計比較,月次累計売上,SUM(ZTOTAL.sales_excluded) WHERE date >= 月初,外部連携（POS）,日次レポートデータ,日次進捗管理/MTD分析,累計推移グラフ + 目標ライン + 達成率表示,月次累計集計,高,S,【必要】累計集計ロジック【コスト】低
62,L5: 期間比較,累計比較,年度累計KPI,SUM(全KPI) WHERE date >= 年度開始日,全種類,全KPIデータ,年度進捗管理/YTD分析,累計推移グラフ + 年間目標ライン,年度累計集計,高,A,【必要】年度開始日の設定【コスト】低
63,L5: 期間比較,移動平均,7日移動平均売上,AVG(ZTOTAL.sales_excluded) OVER (ORDER BY date ROWS 6 PRECEDING),外部連携（POS）,日次売上データ,日次トレンド平滑化,折れ線グラフ（実績+7日MA）,ウィンドウ関数,高,A,【必要】移動平均計算【コスト】低
64,L5: 期間比較,移動平均,4週移動平均売上,AVG(週次売上) OVER (ORDER BY week ROWS 3 PRECEDING),外部連携（POS）,週次売上データ,週次トレンド平滑化,折れ線グラフ（実績+4週MA）,週次ウィンドウ関数,中,B,【必要】週次集計+移動平均【コスト】低
65,L5: 期間比較,移動平均,12ヶ月移動平均売上,AVG(月次売上) OVER (ORDER BY month ROWS 11 PRECEDING),外部連携（POS）,月次売上データ,年間トレンド分析,折れ線グラフ（実績+12ヶ月MA）,12ヶ月ウィンドウ関数,中,B,【必要】12ヶ月以上のデータ保持【コスト】低

66,L6: 新指標（実現性高）,予測分析,本日売上予測,加重平均(過去同曜日売上[直近4週]),外部連携（POS）,過去同曜日売上データ,日次ダッシュボード/開店時表示,予測値表示 + 信頼区間 + 過去実績との比較,同曜日加重平均計算,中,A,【必要】過去4週の同曜日データ【コスト】低
67,L6: 新指標（実現性高）,予測分析,今週売上予測,線形回帰(過去週売上[直近8週]),外部連携（POS）,過去週売上データ,週次計画,予測値 + 信頼区間 + トレンド方向,線形回帰計算,中,A,【必要】統計ライブラリ【コスト】中
68,L6: 新指標（実現性高）,予測分析,月末着地予測,累計売上 + (日平均売上 × 残日数),外部連携（POS）,当月累計 + 過去パターン,日次ダッシュボード/経営判断,予測値 + 目標との差異 + 達成確率表示,着地見込計算ロジック,中,S,【必要】日平均計算+残日数カウント【コスト】低
69,L6: 新指標（実現性高）,アラート,FL率超過アラート,IF(FL率 > 目標FL率) THEN アラート,画面内演算+ユーザー入力,FL率 + 目標FL率,日次ダッシュボード/コストアラート,アラートカード（赤色）+ 超過幅表示 + 対策リンク,条件判定 + アラート表示,高,S,【必要】目標FL率の設定機能【コスト】低
70,L6: 新指標（実現性高）,アラート,売上進捗遅れアラート,IF(売上進捗率 < 日数進捗率) THEN アラート,画面間参照,売上進捗分析.売上達成率,日次ダッシュボード,アラートカード（黄/赤）+ 遅れ日数換算表示,条件判定 + 進捗計算,高,S,【必要】日次進捗率計算【コスト】低
71,L6: 新指標（実現性高）,アラート,仕入異常アラート,IF(日次仕入 > 過去平均×1.5) THEN アラート,外部連携（インフォマート）,日次仕入 + 過去平均,日次ダッシュボード/仕入管理,アラートカード + 異常値詳細 + 仕入先内訳,条件判定 + 過去平均計算,中,A,【必要】仕入の過去平均計算【コスト】低
72,L6: 新指標（実現性高）,スコアリング,日次総合スコア,加重平均(売上達成率×0.3 + FL率目標達成×0.3 + 客数達成×0.2 + 客単価達成×0.2),画面内演算,主要KPI全体,日次ダッシュボード,レーダーチャート + 総合スコア（100点満点）+ ランク表示,重み付けスコア計算,中,B,【必要】重み付けの設定機能【不明】適切な重み配分【コスト】低

73,L6: 新指標（実現性中）,高度分析,損益分岐点売上,monthly_costs.fixed_costs ÷ (1 - 変動費率),ユーザー入力+画面内演算,費用設定 + 売上データ,損益分析/経営判断,数値表示 + 現在売上との比較ゲージ + 残り必要売上,固定費・変動費の分類,中,B,【必要】固定費/変動費の分類設定【不明】費用の固変分解方法【コスト】中
74,L6: 新指標（実現性中）,高度分析,損益分岐点客数,損益分岐点売上 ÷ 平均客単価,画面内演算,BEP + 客単価,損益分析/集客目標,数値表示（人）+ 現在客数との比較 + 残り必要客数,BEP÷客単価,中,B,【必要】BEP計算済み【コスト】低
75,L6: 新指標（実現性中）,高度分析,安全余裕率,(ZTOTAL.sales_excluded - 損益分岐点売上) ÷ ZTOTAL.sales_excluded × 100,画面内演算,BEP + 売上データ,リスク分析,ゲージチャート（危険/注意/安全ゾーン）+ 数値表示,BEP計算済み,中,B,【必要】BEP計算済み【コスト】低
76,L6: 新指標（実現性中）,シフト最適化,時間帯別必要人数,時間帯別売上予測 ÷ 人時売上目標,画面内演算+ユーザー入力,時間帯別売上 + 目標生産性,シフト計画支援,時間帯別棒グラフ（必要人数）+ 現在シフトとの差異表示,時間帯別売上予測 + 目標設定,中,A,【必要】人時売上目標の設定【不明】必要人数の算出精度【コスト】中
77,L6: 新指標（実現性中）,シフト最適化,曜日別必要人数,曜日別平均売上予測 ÷ 人時売上目標,画面内演算+ユーザー入力,曜日別売上 + 目標生産性,週間シフト計画,曜日別棒グラフ（必要人数）+ 現在シフト比較,曜日別売上予測 + 目標設定,中,A,【必要】曜日別売上予測【コスト】中
78,L6: 新指標（実現性中）,在庫管理,理論在庫,前日在庫 + 仕入 - 理論使用量,外部連携（インフォマート）+ユーザー入力,棚卸 + 仕入 + 売上データ,在庫管理/ロス分析,数値表示 + 実在庫との差異アラート,理論使用量の計算（レシピベース）,中,B,【必要】レシピマスタとの連携【不明】レシピデータの整備状況【コスト】中〜高
79,L6: 新指標（実現性中）,在庫管理,ロス率推定,（理論在庫 - 実在庫）÷ 仕入 × 100,画面内演算+ユーザー入力,理論在庫 + 棚卸データ,ロス管理/コスト削減,数値表示（%）+ アラート（基準超過時）+ 原因分類,理論在庫計算済み + 棚卸データ,中,B,【必要】定期的な棚卸実施【コスト】中

80,L6: 新指標（実現性低）,AI分析,売上異常検知,異常検知モデル(ZTOTAL.sales_excluded[時系列]),外部連携（POS）+ ML,過去売上データ + MLモデル,異常検知ダッシュボード,異常フラグ + 異常スコア + 考えられる原因,機械学習モデル,低,B,【必要】MLモデル開発・学習・運用【コスト】高（ML専門人材/インフラ）
81,L6: 新指標（実現性低）,AI分析,需要予測AI,需要予測モデル(売上+天候+イベント),外部連携（POS）+ 外部API + ML,過去データ + 外部要因 + MLモデル,発注計画/シフト計画,予測値 + 信頼区間 + 影響要因表示,高度なMLモデル + 外部連携,低,A,【必要】外部データAPI + MLモデル【コスト】非常に高
82,L6: 新指標（実現性低）,AI分析,最適シフト提案,シフト最適化AI(需要予測+制約条件),需要予測+ ユーザー入力 + ML,勤怠 + 売上 + 制約条件 + MLモデル,シフト作成支援,推奨シフト表 + コスト比較 + カスタマイズUI,最適化アルゴリズム + UI,低,B,【必要】制約条件の定義 + 最適化エンジン【コスト】非常に高
83,L6: 新指標（実現性低）,AI分析,メニュー価格最適化,価格弾力性モデル(TITEM.price × TITEM.quantity),外部連携（POS）+ ML,販売データ + 価格データ + MLモデル,メニュー改定支援,推奨価格 + 期待売上変化 + シミュレーション,価格弾力性分析,低,C,【必要】価格変更履歴【コスト】非常に高
84,L6: 新指標（実現性低）,外部連携,天候影響予測,相関モデル(ZTOTAL.sales_excluded × 天候予報),外部連携（POS）+ 外部API,売上データ + 天候API,日次予測精度向上,天候予報連動の売上予測 + 過去相関データ,天候API連携 + 相関分析,低,B,【必要】天候API契約【コスト】高（API費用+開発）
85,L6: 新指標（実現性低）,外部連携,近隣イベント影響,相関モデル(ZTOTAL.sales_excluded × イベント情報),外部連携（POS）+ 外部API,売上データ + イベントAPI,マーケティング/予測,イベント連動の売上予測 + 対策提案,イベントAPI連携,低,C,【必要】イベント情報API【コスト】高
86,L6: 新指標（実現性低）,顧客分析,顧客セグメント分析,クラスタリング(予約データ+購買データ),外部連携（予約）+ ML,予約データ + 分析エンジン,マーケティング/CRM,セグメント別プロファイル + 施策提案,予約システム連携 + ML,低,B,【必要】予約システム連携 + MLモデル【コスト】非常に高

凡例:
データソース種別: 外部連携（POS/インフォマート/KOT/予約）/ 設定マスタ / ユーザー入力 / 画面内演算 / 画面間参照
実現性: 高=既存データで即実装可能 / 中=追加開発・設定で実装可能 / 低=外部データや高度な技術が必要
優先度: S=最重要（日次確認必須）/ A=重要（週次確認推奨）/ B=標準（月次確認）/ C=参考（将来対応）
コスト目安: 低=数日〜1週間 / 中=2週間〜1ヶ月 / 高=1ヶ月以上 / 非常に高=3ヶ月以上+専門人材必要
