No,指標名,区分,判定,Phase,必要データ,実装要件,理由・メモ
HB-06,全店人件費率,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,加重平均
HB-07,全店FLR率,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,加重平均
HB-08,全店営業利益率,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,加重平均
HB-09,店舗別売上シェア,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
HB-10,店舗別利益シェア,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
HB-11,売上成長率ランキング,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,前年データあれば
HB-12,利益成長率ランキング,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,前年データあれば
HB-13,客単価ランキング,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
HB-14,客数成長率ランキング,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,前年データあれば
HB-15,FL率効率ランキング,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
HB-17,店舗間売上格差Zスコア,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,統計計算
HB-18,店舗間客単価格差,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,統計計算
HB-19,店舗間FL率分散,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,統計計算
HB-20,店舗間人件費率分散,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,統計計算
HB-21,ラベル内偏差(総合),会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,ラベル機能
HB-22,パレート集中度,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,統計計算
HB-23,上位-下位スプレッド,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,統計計算
HB-24,ラベル別最高最低差,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,ラベル機能
HB-25,ラベル別売上構成比,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,ラベル+売上
HB-26,ラベル別成長率,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,ラベル+売上時系列
HB-27,ラベル別営業利益率,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,ラベル集計
HB-28,ラベル別客単価,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,ラベル集計
HB-29,ラベル別人件費率,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,ラベル集計
HB-30,ラベル別FL率,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,ラベル集計
HB-31,仕入先別全社取引高,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,仕入先集計
HB-32,仕入先別店舗カバー率,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,仕入先+店舗数
HB-33,仕入先別単価変動(全社),会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,仕入単価時系列
HB-34,仕入先集中度(HHI),会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,統計計算
HB-35,食材別全社消費量,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,商品別仕入集計
HB-36,全社月次予算達成率,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,予実
HB-37,店舗別予算超過リスク,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,予実時系列
HB-38,ラベル別予算達成率,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,ラベル+予実
HB-39,費目別全社予算消化率,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,費目+予実
HB-40,年間KGI達成ペース,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,予実累計
HB-41,予算対比率の変動係数(全社),会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,統計計算
HB-42,要改善店舗数,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,複合条件
HB-43,連続未達店舗検出,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,時系列評価
HB-44,売上急落店舗アラート,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,日次売上異常値
HB-45,人件費異常店舗アラート,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,統計値異常
HB-46,在庫過剰店舗アラート,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,在庫残日数
HB-47,費用超過店舗アラート,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,予実差
M-01,店舗間FL率偏差(Zスコア),店長会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
M-02,店舗別営業利益率ランキング,店長会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
M-03,前年同月比客数変動,店長会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,前年データあれば算出可
M-04,店舗別成長率ランキング,店長会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
M-05,店舗別FD原価率ばらつき,店長会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
M-06,ラベル別業績格差スコア,店長会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,ラベル機能で算出可
M-07,ベストプラクティス共有スコア,店長会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,既存KPI複合
S-04,FL率,店長向け戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,FD仕入+人件費+売上で算出可
S-06,時間帯別売上構成比,店長向け戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,POS時間帯別データあり
S-11,発注差異率,店長向け戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,発注書+納品書で算出可
S-12,客単価変動率,店長向け戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,客単価の時系列
S-15,仕入商品単価変動,店長向け戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,商品仕入単価の時系列
ST-01,平日/休日売上比率,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,POS+曜日情報
ST-02,ランチ/ディナー売上比率,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,POS時間帯別
ST-03,フード/ドリンク比率,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,POS既存指標
ST-04,その他売上比率,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,POS既存
ST-05,時間帯別売上構成比,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,既存
ST-06,曜日別売上構成比,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,既存
ST-07,支払方法別構成比,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,POS支払種別
ST-08,客単価帯別構成,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,POS客単価分布
ST-09,売上標準偏差(月内変動),店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,POS日別売上
ST-10,7日移動平均売上,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,POS日別売上
ST-11,売れ筋TOP10(売上ベース),店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,商品別売上
ST-13,死に筋商品検出,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,商品別売上
ST-15,商品ABC分析,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,既存分析
ST-17,商品別価格帯分布,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,商品単価
ST-19,食材別在庫回転率,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,仕入+棚卸
ST-20,食材別在庫残日数,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,仕入+棚卸
ST-21,仕入先別単価変動,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,仕入単価時系列
ST-22,仕入先別取引シェア,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,仕入+仕入先
ST-23,商品別仕入頻度,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,商品別仕入
ST-24,商品別発注精度,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,発注+販売
ST-25,納品リードタイム,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,発注書+納品書
ST-27,客数×客単価4象限,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,客数+客単価
ST-29,曜日別稼働率,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,客数+曜日
ST-30,繁忙時間検出,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,時間帯別客数
ST-31,客単価弾性,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,客数と客単価時系列
ST-32,日次客数標準偏差,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,日次客数
ST-34,PA比率,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,固定/PA人件費データあり
ST-35,ヘルプ依存度,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,ヘルプ人件費あり
ST-38,人件費対売上相関,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,時系列データで算出
ST-39,変動費率推移,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,費用設定+売上
ST-40,固定費率推移,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,同上
ST-41,FLR率,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,FD+人件費+地代家賃+売上
ST-42,水光熱費季節性,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,電気/ガス/水道実績
ST-43,費目別予実差異TOP3,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,予実データ
ST-44,販促費売上連動性,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,販促費+売上
ST-45,月次累計達成率,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,予実
ST-46,予算超過リスク,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,予実
ST-47,費目別達成ペース,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,予実
ST-48,残期間必要達成額,店舗追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,予実
H-01,全店舗日次売上達成率,本部管理者向け戦略指標,△近似,Phase 1 (即時実装・簡易版),既存データで近似可,精緻化時にマスタ追加,日次予算は月次予算の按分で近似可能
H-11,新店vs既存店パフォーマンス,本部管理者向け戦略指標,△近似,Phase 1 (即時実装・簡易版),既存データで近似可,精緻化時にマスタ追加,新店フラグラベルが必要だが既存ラベル機能で対応可
S-01,食材ロス率,店長向け戦略指標,△近似,Phase 1 (即時実装・簡易版),既存データで近似可,精緻化時にマスタ追加,仕入+棚卸から算出可。ただし賄い/廃棄内訳は要追加
ST-12,売れ筋TOP10(利益ベース),店舗追加指標,△近似,Phase 1 (即時実装・簡易版),既存データで近似可,精緻化時にマスタ追加,レシピマスタがあれば正確。なければ理論原価率で近似
ST-14,商品別貢献利益,店舗追加指標,△近似,Phase 1 (即時実装・簡易版),既存データで近似可,精緻化時にマスタ追加,レシピマスタ推奨。簡易版は原価率一律で近似可
ST-18,新メニュー投入効果,店舗追加指標,△近似,Phase 1 (即時実装・簡易版),既存データで近似可,精緻化時にマスタ追加,投入日はマスタに追加必要だがラベル機能で対応可
ST-26,在庫金額月内変動,店舗追加指標,△近似,Phase 1 (即時実装・簡易版),既存データで近似可,精緻化時にマスタ追加,週次棚卸が前提
H-03,人件費日次予実乖離,本部管理者向け戦略指標,✕要追加,Phase 2 (シフト管理連携),シフト管理システム連携,shifts テーブル追加,日次人件費=シフトデータ必要
HB-16,労働生産性ランキング,会社追加指標,✕要追加,Phase 2 (シフト管理連携),シフト管理システム連携,shifts テーブル追加,労働時間必要
M-11,店舗別労働生産性比較,店長会議用戦略指標,✕要追加,Phase 2 (シフト管理連携),シフト管理システム連携,shifts テーブル追加,労働時間必要
S-02,人時売上高,店長向け戦略指標,✕要追加,Phase 2 (シフト管理連携),シフト管理システム連携,shifts テーブル追加,労働時間データ=シフト管理システム連携が必要
S-03,人時粗利,店長向け戦略指標,✕要追加,Phase 2 (シフト管理連携),シフト管理システム連携,shifts テーブル追加,労働時間データ必要
S-10,シフト充足率,店長向け戦略指標,✕要追加,Phase 2 (シフト管理連携),シフト管理システム連携,shifts テーブル追加,シフト管理システム連携が必要
S-14,アイドル時間人件費率,店長向け戦略指標,✕要追加,Phase 2 (シフト管理連携),シフト管理システム連携,shifts テーブル追加,時間帯別人件費=シフトデータ必要
ST-33,時間帯別人件費率,店舗追加指標,✕要追加,Phase 2 (シフト管理連携),シフト管理システム連携,shifts テーブル追加,時間帯別人件費=シフト管理必要
ST-36,人時売上推移,店舗追加指標,✕要追加,Phase 2 (シフト管理連携),シフト管理システム連携,shifts テーブル追加,労働時間=シフト管理必要
ST-37,人時粗利推移,店舗追加指標,✕要追加,Phase 2 (シフト管理連携),シフト管理システム連携,shifts テーブル追加,労働時間=シフト管理必要
H-05,発注遅延店舗数,本部管理者向け戦略指標,✕要追加,Phase 2 (マスタ整備),発注締切マスタ,supplier_deadlines テーブル追加,発注締切マスタが必要
S-05,テーブル回転率,店長向け戦略指標,✕要追加,Phase 2 (マスタ整備),席数マスタ,stores.seat_count カラム追加,席数マスタが必要
ST-16,商品別原価率偏差,店舗追加指標,✕要追加,Phase 2 (マスタ整備),レシピマスタ,menu_recipes テーブル追加,レシピマスタ必須
ST-28,時間帯別テーブル回転率,店舗追加指標,✕要追加,Phase 2 (マスタ整備),席数マスタ,stores.seat_count カラム追加,席数マスタ必要
H-04,実績入力遅延店舗リスト,本部管理者向け戦略指標,✕要追加,Phase 2 (実績入力拡張),入力タイムスタンプ,monthly_costs.submitted_at カラム追加,入力タイムスタンプの記録が必要
S-07,レジ誤差率,店長向け戦略指標,✕要追加,Phase 2 (実績入力拡張),レジ実金入力,cash_reconciliations テーブル追加,レジ実金の入力機能が必要
S-08,廃棄率,店長向け戦略指標,✕要追加,Phase 2 (実績入力拡張),廃棄・賄い記録,waste_logs / staff_meal_logs テーブル追加,廃棄記録の入力機能が必要
S-09,賄い比率,店長向け戦略指標,✕要追加,Phase 2 (実績入力拡張),廃棄・賄い記録,waste_logs / staff_meal_logs テーブル追加,賄い記録の入力機能が必要
M-08,チーム教育効果指標,店長会議用戦略指標,✕要追加,Phase 3 (マーケ連携),クーポン/キャンペーン,"campaigns, coupon_usage テーブル追加",施策実施日データ必要
M-10,販促効果ランキング,店長会議用戦略指標,✕要追加,Phase 3 (マーケ連携),クーポン/キャンペーン,"campaigns, coupon_usage テーブル追加",キャンペーン情報が必要
S-13,クーポン利用率,店長向け戦略指標,✕要追加,Phase 3 (マーケ連携),クーポン/キャンペーン,"campaigns, coupon_usage テーブル追加",クーポン利用データが必要
H-07,店舗監査未実施リスト,本部管理者向け戦略指標,✕要追加,Phase 3 (品質管理連携),監査データ,store_audits テーブル追加,監査データの追加が必要
M-12,店舗監査スコア,店長会議用戦略指標,✕要追加,Phase 3 (品質管理連携),監査データ,store_audits テーブル追加,監査データ必要
M-09,顧客満足度店舗比較,店長会議用戦略指標,✕要追加,Phase 3 (顧客データ連携),CSアンケート,customer_surveys テーブル追加,CSアンケートデータ必要
H-14,本部間接コスト配賦率,本部管理者向け戦略指標,✕要追加,Phase 3 (本部費用管理),本部コスト入力,headquarters_costs テーブル追加,本部コスト入力機能が必要
E-05,ROA,経営会議用戦略指標,✕要追加,Phase 4 (会計システム連携),会計システム連携,外部会計APIまたは月次取込,会計システム連携必要
E-06,ROE,経営会議用戦略指標,✕要追加,Phase 4 (会計システム連携),会計システム連携,外部会計APIまたは月次取込,会計システム連携必要
E-10,キャッシュフロー予測,経営会議用戦略指標,✕要追加,Phase 4 (会計システム連携),会計システム連携,外部会計APIまたは月次取込,会計システム連携必要
E-04,店舗投資回収期間,経営会議用戦略指標,✕要追加,Phase 4 (財務データ整備),借入・初期投資入力,"store_investments, loans テーブル追加",初期投資額マスタ必要
E-13,DSCR,経営会議用戦略指標,✕要追加,Phase 4 (財務データ整備),借入・初期投資入力,"store_investments, loans テーブル追加",借入データ必要
