画面タイトル,画面タイプ,次数,指標名,計算レイヤー,依存先指標,用途コメント,V89No
月次予算設定,設定入力画面,3次,変動費率,L2-S,"月次予算設定.FD仕入比率, 月次予算設定.PA人件費率, 月次予算設定.変動費用予算",-,48
月次予算設定,設定入力画面,3次,変動費単価,L2-S,"画面内計算, 画面内計算",-,49
月次予算設定,設定入力画面,3次,粗利単価,L2-S,"画面内計算, 画面内計算",-,50
月次予算設定,設定入力画面,3次,売上（税抜）,L2-S,-,-,51
月次予算設定,設定入力画面,3次,変動費,L2-S,"月次予算設定.売上（税抜）, 画面内計算",-,52
月次予算設定,設定入力画面,3次,粗利率,L2-S,月次予算設定.変動費率,-,53
月次予算設定,設定入力画面,3次,粗利,L2-S,"月次予算設定.売上（税抜）, 月次予算設定.変動費",-,73b
月次予算設定,設定入力画面,3次,営業利益,L2-S,"月次予算設定.粗利, 月次予算設定.固定費用予算",-,55
月次予算設定,設定入力画面,4次,変動費用予算,L3-S,"費用設定.変動費用予算, 地代家賃設定.固定賃料, 地代家賃設定.歩合率, 地代家賃設定.最低保証額, 地代家賃設定.地代家賃シミュレーション金額, 地代家賃設定.賃料体系, 単月費用設定.単月地代家賃",-,73c
月次予算設定,設定入力画面,4次,固定費用予算,L3-S,"費用設定.固定費用予算, 地代家賃設定.固定賃料, 地代家賃設定.賃料体系, 単月費用設定.単月地代家賃",-,54
発注先商品管理,設定入力画面,1次,商品名,L0,-,-,56
発注先商品管理,設定入力画面,1次,商品コード,L0,-,-,57
発注先商品管理,設定入力画面,1次,ステータス,L0,-,-,58
発注先商品管理,設定入力画面,1次,単位,L0,-,-,59
発注先商品管理,設定入力画面,1次,税区分,L0,-,-,60
発注先情報編集,設定入力画面,1次,発注先,L0,-,-,61
発注先情報編集,設定入力画面,1次,表示名,L0,-,-,62
発注先情報編集,設定入力画面,1次,店舗コード,L0,-,-,63
発注先管理,設定入力画面,1次,発注先名,L0,-,-,64
発注先管理,設定入力画面,1次,カテゴリ,L0,-,-,65
費用設定編集,設定入力画面,1次,費目名,L0,-,-,66
費用設定編集,設定入力画面,1次,設定タイプ（固定費用予算、変動費用予算）,L0,-,-,67
費用設定編集,設定入力画面,1次,固定費用予算デフォルト数値,L0,-,-,68
費用設定（一覧）,設定入力画面,1次,費目,L0,-,-,69
費用設定（一覧）,設定入力画面,1次,設定タイプ,L0,-,-,70
費用設定（一覧）,設定入力画面,1次,デフォルト数値,L0,-,-,71
発注書作成,設定登録画面,1次,発注ID,L0,ユーザー入力,-,731
発注書作成,設定登録画面,1次,発注先名,L0,[マスタ]発注先管理,-,732
発注書作成,設定登録画面,1次,商品コード,L0,[マスタ]発注先商品管理,-,733
発注書作成,設定登録画面,1次,商品名,L0,[マスタ]発注先商品管理,-,734
発注書作成,設定登録画面,1次,発注単位,L0,[マスタ]発注先商品管理,-,735
発注書作成,設定登録画面,1次,税区分,L0,[マスタ]発注先商品管理,-,736
売上経費入力（売上）,実績入力画面,1次,店内売上（標準税率）税抜,L0,ユーザー入力,-,776
売上経費入力（売上）,実績入力画面,1次,店外売上（軽減税率）税抜,L0,ユーザー入力,-,778
売上経費入力（売上）,実績入力画面,1次,客数,L0,ユーザー入力,-,780
売上経費入力（売上）,実績入力画面,3次,店内売上（標準税率）税込,L2-S,店内売上税抜,-,777
売上経費入力（売上）,実績入力画面,3次,店外売上（軽減税率）税込,L2-S,店外売上税抜,-,779
売上経費入力（経費）,実績入力画面,1次,人件費（概算人件費集計）,L0,ユーザー入力,-,781
小口現金管理,実績入力画面,1次,支払先,L0,-,-,82
小口現金管理,実績入力画面,1次,経費項目,L0,-,-,83
小口現金管理,実績入力画面,1次,出勤額,L0,-,-,84
小口現金管理,実績入力画面,1次,入金額,L0,-,-,85
小口現金管理,実績入力画面,1次,内容,L0,-,-,87
小口現金管理,実績入力画面,1次,経費コード,L0,-,-,88
小口現金管理,実績入力画面,1次,税区分,L0,-,-,89
小口現金管理,実績入力画面,3次,残高,L2-S,"小口現金管理.入金額, 小口現金管理.出勤額",-,86
小口現金管理,実績入力画面,3次,費目,L2-S,[マスタ]monthly_cost_items.name,-,90
店舗間商品移動,実績入力画面,1次,相手店舗,L0,-,-,91
店舗間商品移動,実績入力画面,1次,仕入金額（税抜）,L0,-,-,92
店舗間商品移動,実績入力画面,1次,提供金額（税抜）,L0,-,-,93
店舗間商品移動,実績入力画面,1次,商品タイプ,L0,-,-,94
棚卸,実績入力画面,1次,棚卸商品,L0,-,-,95
棚卸,実績入力画面,1次,在庫数量,L0,-,-,96
棚卸,実績入力画面,1次,商品単価,L0,-,-,97
棚卸,実績入力画面,3次,小計,L2-S,-,-,98
棚卸（カテゴリ、タブ選択）,実績入力画面,1次,肉類（カテゴリ１）,L0,[マスタ]カテゴリマスタ,-,756
棚卸（カテゴリ、タブ選択）,実績入力画面,1次,魚介類（カテゴリ２）,L0,[マスタ]カテゴリマスタ,-,757
棚卸（カテゴリ、タブ選択）,実績入力画面,1次,野菜・果物（カテゴリ３）,L0,[マスタ]カテゴリマスタ,-,758
棚卸（カテゴリ、タブ選択）,実績入力画面,1次,加工品（カテゴリ４）,L0,[マスタ]カテゴリマスタ,-,759
棚卸（カテゴリ、タブ選択）,実績入力画面,1次,米・穀物（カテゴリ５）,L0,[マスタ]カテゴリマスタ,-,760
棚卸（カテゴリ、タブ選択）,実績入力画面,1次,麺・パン（カテゴリ６）,L0,[マスタ]カテゴリマスタ,-,761
棚卸（カテゴリ、タブ選択）,実績入力画面,1次,乾物・缶詰（カテゴリ７）,L0,[マスタ]カテゴリマスタ,-,762
棚卸（カテゴリ、タブ選択）,実績入力画面,1次,調味料（カテゴリ８）,L0,[マスタ]カテゴリマスタ,-,763
棚卸（カテゴリ、タブ選択）,実績入力画面,1次,酒・ドリンク（カテゴリ９）,L0,[マスタ]カテゴリマスタ,-,764
棚卸（カテゴリ、タブ選択）,実績入力画面,1次,資材（カテゴリ１０）,L0,[マスタ]カテゴリマスタ,-,765
棚卸（カテゴリ、タブ選択）,実績入力画面,1次,その他（カテゴリ１１）,L0,[マスタ]カテゴリマスタ,-,766
棚卸（ラベル、タブ選択）,実績入力画面,1次,ラベル名１,L0,[マスタ]ラベル設定.ラベル名,-,767
棚卸（ラベル、タブ選択）,実績入力画面,1次,ラベル名２,L0,[マスタ]ラベル設定.ラベル名,-,768
棚卸（ラベル、タブ選択）,実績入力画面,1次,ラベル名３〜１０,L0,[マスタ]ラベル設定.ラベル名,-,769
棚卸（ラベル、タブ選択）,実績入力画面,3次,AIによる費目生成,L2-S,AI生成,-,770
棚卸（数量・単価の編集）,実績入力画面,1次,商品名,L0,[マスタ]ラベル設定（仕入商品）.商品名,-,771
棚卸（数量・単価の編集）,実績入力画面,1次,仕入れ先,L0,[マスタ]ラベル設定（仕入商品）.発注先,-,772
棚卸（数量・単価の編集）,実績入力画面,1次,在庫数量,L0,ユーザー入力（棚卸）,-,773
棚卸（数量・単価の編集）,実績入力画面,1次,単価（税抜）,L0,ユーザー入力（棚卸）,-,774
棚卸（数量・単価の編集）,実績入力画面,3次,推奨単価（税抜）,L2-S,納品書撮影.納品単価,-,775
納品書撮影（登録）,実績入力画面,3次,納品書ID,L2-S,AI読込（納品書画像）,-,743
納品書撮影（登録）,実績入力画面,3次,発注者,L2-S,AI読込（納品書画像）,-,744
納品書撮影（登録）,実績入力画面,3次,納品日,L2-S,AI読込（納品書画像）,-,745
納品書撮影（登録）,実績入力画面,3次,注文数,L2-S,AI読込（納品書画像）,-,746
納品書撮影（登録）,実績入力画面,3次,納品数,L2-S,AI読込（納品書画像）,-,747
納品書撮影（登録）,実績入力画面,3次,納品単価,L2-S,AI読込（納品書画像）,-,748
納品書撮影（登録）,実績入力画面,3次,小計（税抜）,L2-S,"納品数, 納品単価",-,749
納品書撮影（登録）,実績入力画面,3次,小計（税込）,L2-S,小計（税抜）,-,750
納品書撮影（登録）,実績入力画面,3次,納品書画像,L2-S,ユーザー撮影,-,751
ABC分析,分析画面,2次,商品,L1,[外部]TITEM.item_name,-,99
ABC分析,分析画面,2次,売上（税抜）,L1,[外部]TITEM.sales_excluded,-,100
ABC分析,分析画面,2次,販売点数,L1,[外部]TITEM.quantity,-,102
ABC分析,分析画面,3次,販売点数構成比率,L2-S,ABC分析.販売点数,-,103
ABC分析,分析画面,3次,価格,L2-S,"ABC分析.売上（税抜）, ABC分析.販売点数",-,104
ABC分析,分析画面,4次,売上構成比率,L3-S,"ABC分析.売上（税抜）, 当月実績.売上（税抜）",-,101
ABC分析,分析画面,5次,店舗/ラベル間差分スコア,L4(提案),売上構成比率,【店舗比較用】上位と下位の乖離を数値化 / 概念式: MAX - MIN / AVG,提案
ABC分析,分析画面,5次,ランキング変動率,L4(提案),売上構成比率,【異常検知用】順位変動の激しさを検知 / 概念式: 順位差分,提案
FD仕入率トレンド,分析画面,3次,直近6ヶ月,L2-S,FD仕入率トレンド.FD仕入率トレンド,-,106
FD仕入率トレンド,分析画面,3次,直近12ヶ月,L2-S,FD仕入率トレンド.FD仕入率トレンド,-,107
FD仕入率トレンド,分析画面,4次,FD仕入率トレンド,L3-S,"予実対比.FD仕入, 当月実績.売上（税抜）",-,105
FD仕入率トレンド,分析画面,4次,フード仕入比率,L3-S,"予実対比.フード仕入, 予実対比.フード売上",-,108
FD仕入率トレンド,分析画面,4次,ドリンク仕入比率,L3-S,"予実対比.ドリンク仕入, 予実対比.ドリンク売上",-,109
FD仕入率トレンド,分析画面,5次,異常スコア,L4(提案),FD仕入率トレンド; フード仕入比率; ドリンク仕入比率,【異常検知用】標準偏差からの逸脱度 / 概念式: (値 - 平均) / 標準偏差,提案
FD分析（仕入率/原価率）,分析画面,2次,フード前月在庫高,L1,-,-,112
FD分析（仕入率/原価率）,分析画面,2次,フード当月仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,113
FD分析（仕入率/原価率）,分析画面,2次,フード当月在庫高,L1,-,-,114
FD分析（仕入率/原価率）,分析画面,2次,ドリンク前月在庫高,L1,-,-,117
FD分析（仕入率/原価率）,分析画面,2次,ドリンク当月仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,118
FD分析（仕入率/原価率）,分析画面,2次,ドリンク当月在庫高,L1,-,-,119
FD分析（仕入率/原価率）,分析画面,2次,FD前月在庫高,L1,-,-,122
FD分析（仕入率/原価率）,分析画面,2次,FD当月仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,123
FD分析（仕入率/原価率）,分析画面,2次,FD当月在庫高,L1,-,-,124
FD分析（仕入率/原価率）,分析画面,2次,売上,L1,[外部]ZTOTAL.sales_excluded,-,125
FD分析（仕入率/原価率）,分析画面,2次,フード売上,L1,[外部]TITEM.sales_excluded,-,126
FD分析（仕入率/原価率）,分析画面,2次,ドリンク売上,L1,[外部]TITEM.sales_excluded,-,127
FD分析（仕入率/原価率）,分析画面,4次,フード仕入率,L3-S,"予実対比.フード仕入, 予実対比.フード売上",-,110
FD分析（仕入率/原価率）,分析画面,4次,フード原価率,L3-S,予実対比.フード売上,-,111
FD分析（仕入率/原価率）,分析画面,4次,ドリンク仕入率,L3-S,"予実対比.ドリンク仕入, 予実対比.ドリンク売上",-,115
FD分析（仕入率/原価率）,分析画面,4次,ドリンク原価率,L3-S,予実対比.ドリンク売上,-,116
FD分析（仕入率/原価率）,分析画面,4次,FD仕入率,L3-S,"予実対比.FD仕入, 当月実績.売上（税抜）",-,120
FD分析（仕入率/原価率）,分析画面,4次,FD原価率,L3-S,当月実績.売上（税抜）,-,121
FD分析（仕入率/原価率）,分析画面,5次,異常スコア,L4(提案),フード仕入率; フード原価率; ドリンク仕入率,【異常検知用】標準偏差からの逸脱度 / 概念式: (値 - 平均) / 標準偏差,提案
FD分析（売上構成比）,分析画面,2次,フード売上合計,L1,[外部]TITEM.sales_excluded,-,129
FD分析（売上構成比）,分析画面,2次,ドリンク売上合計,L1,[外部]TITEM.sales_excluded,-,130
FD分析（売上構成比）,分析画面,4次,FD売上構成比,L3-S,"予実対比.フード売上, 予実対比.ドリンク売上, 予実対比.総売上",-,128
FD分析（売上構成比）,分析画面,5次,異常スコア,L4(提案),FD売上構成比,【異常検知用】標準偏差からの逸脱度 / 概念式: (値 - 平均) / 標準偏差,提案
予実対比,分析画面,2次,実績_総売上 計,L1,[外部]ZTOTAL.sales_excluded,-,131
予実対比,分析画面,2次,実績_フード売上 計,L1,[外部]TITEM.sales_excluded,-,132
予実対比,分析画面,2次,実績_フード売上ランチ,L1,[外部]TITEM.sales_excluded,-,133
予実対比,分析画面,2次,実績_フード売上ディナー,L1,[外部]TITEM.sales_excluded,-,134
予実対比,分析画面,2次,実績_ドリンク売上 計,L1,[外部]TITEM.sales_excluded,-,135
予実対比,分析画面,2次,実績_ドリンク売上ランチ,L1,[外部]TITEM.sales_excluded,-,136
予実対比,分析画面,2次,実績_ドリンク売上ディナー,L1,[外部]TITEM.sales_excluded,-,137
予実対比,分析画面,2次,実績_その他売上 計（サービス料等）,L1,[外部]ZTOTAL.service_charge_1,-,138
予実対比,分析画面,2次,実績_その他売上ランチ,L1,[外部]TITEM.sales_excluded,-,139
予実対比,分析画面,2次,実績_その他売上ディナー,L1,[外部]TITEM.sales_excluded,-,140
予実対比,分析画面,2次,実績_FD仕入 計,L1,インフォマート（仕入）,-,142
予実対比,分析画面,2次,実績_フード仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,143
予実対比,分析画面,2次,実績_ドリンク仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,144
予実対比,分析画面,2次,実績_人件費 計,L1,[外部]head_office_employee_working_records.daily_cost,-,145
予実対比,分析画面,2次,実績_固定人件費,L1,[外部]head_office_employee_working_records.daily_cost,-,146
予実対比,分析画面,2次,実績_PA人件費,L1,[外部]head_office_employee_working_records.daily_cost,-,147
予実対比,分析画面,2次,実績_ヘルプ人件費,L1,[外部]head_office_employee_working_records.daily_cost,-,148
予実対比,分析画面,2次,実績_その他経費 計,L1,[入力]monthly_costs.value,-,149
予実対比,分析画面,2次,実績_地代家賃,L1,[入力]monthly_costs.value,-,150
予実対比,分析画面,2次,実績_資材費,L1,[入力]monthly_costs.value,-,151
予実対比,分析画面,2次,実績_ラクミー利用料,L1,[入力]monthly_costs.value,-,152
予実対比,分析画面,2次,実績_IT費用,L1,[入力]monthly_costs.value,-,153
予実対比,分析画面,2次,実績_お花代,L1,[入力]monthly_costs.value,-,154
予実対比,分析画面,2次,実績_ガス代,L1,[入力]monthly_costs.value,-,155
予実対比,分析画面,2次,実績_クレジットカード手数料,L1,[入力]monthly_costs.value,-,156
予実対比,分析画面,2次,実績_レジ利用料,L1,[入力]monthly_costs.value,-,157
予実対比,分析画面,2次,実績_借入金返済,L1,[入力]monthly_costs.value,-,158
予実対比,分析画面,2次,実績_家賃（変動分）,L1,[入力]monthly_costs.value,-,159
予実対比,分析画面,2次,実績_水道代,L1,[入力]monthly_costs.value,-,160
予実対比,分析画面,2次,実績_水道光熱費,L1,[入力]monthly_costs.value,-,161
予実対比,分析画面,2次,実績_減価償却費,L1,[入力]monthly_costs.value,-,162
予実対比,分析画面,2次,実績_社員人件費,L1,[入力]monthly_costs.value,-,163
予実対比,分析画面,2次,実績_販促費,L1,[入力]monthly_costs.value,-,164
予実対比,分析画面,2次,実績_電気代,L1,[入力]monthly_costs.value,-,165
予実対比,分析画面,2次,予算_総売上 計,L1,月次予算設定.総売上,-,167
予実対比,分析画面,2次,予算_フード売上 計,L1,月次予算設定.フード売上,-,168
予実対比,分析画面,2次,予算_フード売上ランチ,L1,月次予算設定.フード売上ランチ,-,169
予実対比,分析画面,2次,予算_フード売上ディナー,L1,月次予算設定.フード売上ディナー,-,170
予実対比,分析画面,2次,予算_ドリンク売上 計,L1,月次予算設定.ドリンク売上,-,171
予実対比,分析画面,2次,予算_ドリンク売上ランチ,L1,月次予算設定.ドリンク売上ランチ,-,172
予実対比,分析画面,2次,予算_ドリンク売上ディナー,L1,月次予算設定.ドリンク売上ディナー,-,173
予実対比,分析画面,2次,予算_その他売上 計（サービス料等）,L1,月次予算設定.その他売上（サービス料等）,-,174
予実対比,分析画面,2次,予算_その他売上ランチ,L1,月次予算設定.その他売上ランチ,-,175
予実対比,分析画面,2次,予算_その他売上ディナー,L1,月次予算設定.その他売上ディナー,-,176
予実対比,分析画面,2次,予算_FLコスト 計,L1,"予実対比.予算_FD仕入 計, 予実対比.予算_人件費 計",-,177
予実対比,分析画面,2次,予算_FD仕入 計,L1,月次予算設定.FD仕入,-,178
予実対比,分析画面,2次,予算_フード仕入,L1,月次予算設定.フード仕入,-,179
予実対比,分析画面,2次,予算_ドリンク仕入,L1,月次予算設定.ドリンク仕入,-,180
予実対比,分析画面,2次,予算_人件費 計,L1,月次予算設定.人件費,-,181
予実対比,分析画面,2次,予算_固定人件費,L1,月次予算設定.固定人件費,-,182
予実対比,分析画面,2次,予算_PA人件費,L1,月次予算設定.PA人件費,-,183
予実対比,分析画面,2次,予算_ヘルプ人件費,L1,月次予算設定.ヘルプ人件費,-,184
予実対比,分析画面,2次,予算_その他経費 計,L1,月次予算設定.その他経費,-,185
予実対比,分析画面,2次,予算_地代家賃,L1,月次予算設定.地代家賃,-,186
予実対比,分析画面,2次,予算_資材費,L1,月次予算設定.資材費,-,187
予実対比,分析画面,2次,予算_ラクミー利用料,L1,月次予算設定.ラクミー利用料,-,188
予実対比,分析画面,2次,予算_IT費用,L1,月次予算設定.IT費用,-,189
予実対比,分析画面,2次,予算_お花代,L1,月次予算設定.お花代,-,190
予実対比,分析画面,2次,予算_ガス代,L1,月次予算設定.ガス代,-,191
予実対比,分析画面,2次,予算_クレジットカード手数料,L1,月次予算設定.クレジットカード手数料,-,192
予実対比,分析画面,2次,予算_レジ利用料,L1,月次予算設定.レジ利用料,-,193
予実対比,分析画面,2次,予算_借入金返済,L1,月次予算設定.借入金返済,-,194
予実対比,分析画面,2次,予算_家賃（変動分）,L1,月次予算設定.家賃（変動分）,-,195
予実対比,分析画面,2次,予算_水道代,L1,月次予算設定.水道代,-,196
予実対比,分析画面,2次,予算_水道光熱費,L1,月次予算設定.水道光熱費,-,197
予実対比,分析画面,2次,予算_減価償却費,L1,月次予算設定.減価償却費,-,198
予実対比,分析画面,2次,予算_社員人件費,L1,月次予算設定.社員人件費,-,199
予実対比,分析画面,2次,予算_販促費,L1,月次予算設定.販促費,-,200
予実対比,分析画面,2次,予算_電気代,L1,月次予算設定.電気代,-,201
予実対比,分析画面,3次,実績_FLコスト 計,L2-S,"予実対比.実績_FD仕入 計, 予実対比.実績_人件費 計",-,141
予実対比,分析画面,3次,実績_営業利益,L2-S,"予実対比.実績_総売上 計, 予実対比.実績_FLコスト 計, 予実対比.実績_その他経費 計",-,166
予実対比,分析画面,3次,予算_営業利益,L2-S,"予実対比.予算_総売上 計, 予実対比.予算_FLコスト 計, 予実対比.予算_その他経費 計",-,202
予実対比,分析画面,3次,予算構成比_総売上 計,L2-S,予実対比.予算_総売上 計,-,203
予実対比,分析画面,3次,予算構成比_フード売上 計,L2-S,"予実対比.予算_フード売上 計, 予実対比.予算_総売上 計",-,204
予実対比,分析画面,3次,予算構成比_ドリンク売上 計,L2-S,"予実対比.予算_ドリンク売上 計, 予実対比.予算_総売上 計",-,205
予実対比,分析画面,3次,予算構成比_その他売上 計,L2-S,"予実対比.予算_その他売上 計, 予実対比.予算_総売上 計",-,206
予実対比,分析画面,3次,予算構成比_FLコスト 計,L2-S,"予実対比.予算_FLコスト 計, 予実対比.予算_総売上 計",-,207
予実対比,分析画面,3次,予算構成比_FD仕入 計,L2-S,"予実対比.予算_FD仕入 計, 予実対比.予算_総売上 計",-,208
予実対比,分析画面,3次,予算構成比_人件費 計,L2-S,"予実対比.予算_人件費 計, 予実対比.予算_総売上 計",-,209
予実対比,分析画面,3次,予算構成比_その他経費 計,L2-S,"予実対比.予算_その他経費 計, 予実対比.予算_総売上 計",-,210
予実対比,分析画面,3次,予算構成比_営業利益,L2-S,"予実対比.予算_営業利益, 予実対比.予算_総売上 計",-,211
予実対比,分析画面,3次,予実差額_総売上 計,L2-S,"予実対比.実績_総売上 計, 予実対比.予算_総売上 計",-,212
予実対比,分析画面,3次,予実差額_フード売上 計,L2-S,"予実対比.実績_フード売上 計, 予実対比.予算_フード売上 計",-,213
予実対比,分析画面,3次,予実差額_ドリンク売上 計,L2-S,"予実対比.実績_ドリンク売上 計, 予実対比.予算_ドリンク売上 計",-,214
予実対比,分析画面,3次,予実差額_その他売上 計,L2-S,"予実対比.実績_その他売上 計, 予実対比.予算_その他売上 計",-,215
予実対比,分析画面,3次,予実差額_FLコスト 計,L2-S,"予実対比.実績_FLコスト 計, 予実対比.予算_FLコスト 計",-,216
予実対比,分析画面,3次,予実差額_FD仕入 計,L2-S,"予実対比.実績_FD仕入 計, 予実対比.予算_FD仕入 計",-,217
予実対比,分析画面,3次,予実差額_人件費 計,L2-S,"予実対比.実績_人件費 計, 予実対比.予算_人件費 計",-,218
予実対比,分析画面,3次,予実差額_その他経費 計,L2-S,"予実対比.実績_その他経費 計, 予実対比.予算_その他経費 計",-,219
予実対比,分析画面,3次,予実差額_営業利益,L2-S,"予実対比.実績_営業利益, 予実対比.予算_営業利益",-,220
予実対比,分析画面,3次,予算対比率_総売上 計,L2-S,"予実対比.実績_総売上 計, 予実対比.予算_総売上 計",-,221
予実対比,分析画面,3次,予算対比率_フード売上 計,L2-S,"予実対比.実績_フード売上 計, 予実対比.予算_フード売上 計",-,222
予実対比,分析画面,3次,予算対比率_ドリンク売上 計,L2-S,"予実対比.実績_ドリンク売上 計, 予実対比.予算_ドリンク売上 計",-,223
予実対比,分析画面,3次,予算対比率_その他売上 計,L2-S,"予実対比.実績_その他売上 計, 予実対比.予算_その他売上 計",-,224
予実対比,分析画面,3次,予算対比率_FLコスト 計,L2-S,"予実対比.実績_FLコスト 計, 予実対比.予算_FLコスト 計",-,225
予実対比,分析画面,3次,予算対比率_FD仕入 計,L2-S,"予実対比.実績_FD仕入 計, 予実対比.予算_FD仕入 計",-,226
予実対比,分析画面,3次,予算対比率_人件費 計,L2-S,"予実対比.実績_人件費 計, 予実対比.予算_人件費 計",-,227
予実対比,分析画面,3次,予算対比率_その他経費 計,L2-S,"予実対比.実績_その他経費 計, 予実対比.予算_その他経費 計",-,228
予実対比,分析画面,3次,予算対比率_営業利益,L2-S,"予実対比.実績_営業利益, 予実対比.予算_営業利益",-,229
予実対比,分析画面,3次,構成比_総売上 計,L2-S,予実対比.実績_総売上 計,-,230
予実対比,分析画面,3次,構成比_フード売上 計,L2-S,"予実対比.実績_フード売上 計, 予実対比.実績_総売上 計",-,231
予実対比,分析画面,3次,構成比_ドリンク売上 計,L2-S,"予実対比.実績_ドリンク売上 計, 予実対比.実績_総売上 計",-,232
