UIカスタマイズ指標一覧（店舗画面）V81 詳細版（重複削除版）
作成日: 2025-12-12
基準: 店舗画面_データソース定義表_V81
注意: 既存のラクミー経営管理画面で実現済みの機能は除外しています

No,カスタマイズレベル,カテゴリ,指標名,演算式詳細,データソース種別,インプット元,アウトプット先,データリネージュ（詳細）,表現提案,必要機能,実現性,優先度,実現に必要なこと・不明点・コスト,参照頻度,演算コスト,システム負荷,推奨対応
20,L3: ディメンション,ラベル別分析,仕入商品ラベル別仕入額,infomart_transactions GROUP BY item_labels.label_name,外部連携（インフォマート）+設定マスタ,ラベル一覧（仕入商品）,ラベル別コスト分析,仕入額 → ラベル別集計 → ラベル別仕入額,棒グラフ + 構成比表,ラベル別GROUP BY,高,B,【必要】仕入商品-ラベル紐付け【コスト】低,中,中,低,監視継続

【L4: 多次元分析】※既存画面にない多次元分析

21,L4: 2次元分析,曜日×時間帯,曜日×時間帯別売上マトリクス,AVG(ZTOTAL.sales_excluded) GROUP BY DAYOFWEEK × HOUR,外部連携（POS）,曜日別 + 時間帯別データ,詳細ピーク分析/シフト最適化,売上 → 曜日×時間帯クロス集計 → 平均,ヒートマップ（曜日×時間帯）+ ピーク値ハイライト,2軸GROUP BY + ピボット,中,A,【必要】ピボットテーブル機能【コスト】中,中,中,低,監視継続
22,L4: 2次元分析,曜日×時間帯,曜日×時間帯別客数マトリクス,AVG(ZTOTAL.customers) GROUP BY DAYOFWEEK × HOUR,外部連携（POS）,曜日別 + 時間帯別データ,詳細集客分析/シフト最適化,客数 → 曜日×時間帯クロス集計 → 平均,ヒートマップ（曜日×時間帯）,2軸客数集計,中,A,【必要】ピボットテーブル機能【コスト】中,中,中,低,監視継続
23,L4: 2次元分析,月×曜日,月×曜日別売上マトリクス,AVG(ZTOTAL.sales_excluded) GROUP BY MONTH × DAYOFWEEK,外部連携（POS）,月次 + 曜日別データ,季節×曜日パターン分析,売上 → 月×曜日クロス集計 → 平均,ヒートマップ（月×曜日）+ 季節性ハイライト,2軸平均集計,中,B,【必要】月×曜日のピボット【コスト】中,中,中,低,監視継続
24,L4: 2次元分析,商品×時間帯,商品カテゴリ×時間帯別売上マトリクス,TITEM.sales_excluded GROUP BY item_labels × HOUR,外部連携（POS）+設定マスタ,ABC分析 + 時間帯別データ,時間帯別売れ筋分析,商品売上 → カテゴリ×時間帯クロス集計,ヒートマップ（商品×時間帯）+ 売れ筋ハイライト,2軸商品売上集計,中,B,【必要】商品×時間帯ピボット【コスト】中,中,中,低,監視継続
25,L4: 2次元分析,商品×曜日,商品カテゴリ×曜日別売上マトリクス,TITEM.sales_excluded GROUP BY item_labels × DAYOFWEEK,外部連携（POS）+設定マスタ,ABC分析 + 曜日別データ,曜日別売れ筋分析,商品売上 → カテゴリ×曜日クロス集計,ヒートマップ（商品×曜日）,2軸商品売上集計,中,B,【必要】商品×曜日ピボット【コスト】中,中,中,低,監視継続
26,L4: 2次元分析,費目×月,費目×月別仕入マトリクス,infomart_transactions GROUP BY cost_item × MONTH,外部連携（インフォマート）,費目別仕入分析 + 月次データ,仕入の季節性分析,仕入 → 費目×月クロス集計,ヒートマップ（費目×月）+ 異常値ハイライト,2軸仕入集計,中,B,【必要】費目×月ピボット【コスト】中,中,中,低,監視継続
27,L4: 2次元分析,発注先×月,発注先×月別仕入マトリクス,infomart_transactions GROUP BY vendor × MONTH,外部連携（インフォマート）,仕入 + 月次データ,発注先の季節性分析,仕入 → 発注先×月クロス集計,ヒートマップ（発注先×月）,2軸発注先集計,中,B,【必要】発注先×月ピボット【コスト】中,中,中,低,監視継続

28,L4: 3次元分析,曜日×時間帯×KPI,曜日×時間帯×KPIキューブ,全KPI GROUP BY DAYOFWEEK × HOUR × kpi_type,全種類,全KPIデータ,多角的ピーク分析,全KPI → 3次元キューブ構築,3次元キューブ / スライサー付きダッシュボード,OLAP機能 / BIツール,低,A,【必要】OLAPキューブ or BIツール【コスト】高,中,中,低,監視継続
29,L4: 3次元分析,商品×曜日×時間帯,商品×曜日×時間帯キューブ,TITEM.sales_excluded GROUP BY item × DAYOFWEEK × HOUR,外部連携（POS）+設定マスタ,詳細売上データ,詳細売れ筋パターン分析,商品売上 → 3次元集計,3次元ヒートマップ / ドリルダウンダッシュボード,3軸集計 + 可視化,低,B,【必要】大量データの3軸集計【コスト】高,中,中,低,監視継続

【L5: 期間比較分析】※既存画面にない期間比較分析

30,L5: 期間比較,前年同期比較,全KPI前年同日比較,全KPI[当日] ÷ 全KPI[前年同日] × 100,全種類,全KPIデータ + 前年データ,日次経営レポート/YoY分析,全KPI → 前年同日比較 → 一覧表示,比較表（当日/前年同日/前年比）+ 色分け + アイコン,日次期間切替機能,高,S,【必要】全KPIの前年同日データ保持【コスト】低〜中,中,中,低,監視継続
31,L5: 期間比較,前年同期比較,全KPI前年同月比較,全KPI[当月] ÷ 全KPI[前年同月] × 100,全種類,全KPIデータ + 前年データ,月次経営レポート/YoY分析,全KPI → 前年同月比較 → 一覧表示,比較表（当月/前年同月/前年比）+ 色分け,月次期間切替,高,S,【必要】全KPIの前年同月データ保持【コスト】低,中,中,低,監視継続
32,L5: 期間比較,前週比較,全KPI前週比較,全KPI[当週] ÷ 全KPI[前週] × 100,全種類,全KPIデータ + 前週データ,週次レポート/WoW分析,全KPI → 前週比較 → 一覧表示,比較表（当週/前週/前週比）+ 色分け,前週同曜日データ取得,高,A,【必要】週次集計【コスト】低,中,中,低,監視継続
33,L5: 期間比較,前月比較,全KPI前月比較,全KPI[当月] ÷ 全KPI[前月] × 100,全種類,全KPIデータ + 前月データ,月次レポート/MoM分析,全KPI → 前月比較 → 一覧表示,比較表（当月/前月/前月比）+ 色分け,前月データ取得,高,A,【必要】前月データ保持【コスト】低,中,中,低,監視継続
34,L5: 期間比較,累計比較,月次累計売上,SUM(ZTOTAL.sales_excluded) WHERE date >= 月初,外部連携（POS）,日次レポートデータ,日次進捗管理/MTD分析,売上 → 月初以降フィルタ → 累計,累計推移グラフ + 目標ライン + 達成率表示,月次累計集計,高,S,【必要】累計集計ロジック【コスト】低,中,中,低,監視継続
35,L5: 期間比較,累計比較,年度累計KPI,SUM(全KPI) WHERE date >= 年度開始日,全種類,全KPIデータ,年度進捗管理/YTD分析,全KPI → 年度開始日以降 → 累計,累計推移グラフ + 年間目標ライン,年度累計集計,高,A,【必要】年度開始日の設定【コスト】低,中,中,低,監視継続
36,L5: 期間比較,移動平均,7日移動平均売上,AVG(ZTOTAL.sales_excluded) OVER (ROWS 6 PRECEDING),外部連携（POS）,日次売上データ,日次トレンド平滑化,日別売上 → 7日ウィンドウ平均,折れ線グラフ（実績+7日MA）,ウィンドウ関数,高,A,【必要】移動平均計算【コスト】低,中,中,低,監視継続
37,L5: 期間比較,移動平均,4週移動平均売上,AVG(週次売上) OVER (ROWS 3 PRECEDING),外部連携（POS）,週次売上データ,週次トレンド平滑化,週別売上 → 4週ウィンドウ平均,折れ線グラフ（実績+4週MA）,週次ウィンドウ関数,中,B,【必要】週次集計+移動平均【コスト】低,中,中,低,監視継続
38,L5: 期間比較,移動平均,12ヶ月移動平均売上,AVG(月次売上) OVER (ROWS 11 PRECEDING),外部連携（POS）,月次売上データ,年間トレンド分析,月別売上 → 12ヶ月ウィンドウ平均,折れ線グラフ（実績+12ヶ月MA）,12ヶ月ウィンドウ関数,中,B,【必要】12ヶ月以上のデータ保持【コスト】低,中,中,低,監視継続

【L6: 新指標】※完全に新しい指標

39,L6: 新指標（実現性高）,予測分析,本日売上予測,加重平均(過去同曜日売上[直近4週]),外部連携（POS）,過去同曜日売上データ,日次ダッシュボード/開店時表示,過去4週同曜日売上 → 加重平均 → 本日予測,予測値表示 + 信頼区間 + 過去実績比較,同曜日加重平均計算,中,A,【必要】過去4週の同曜日データ【コスト】低,中,中,低,監視継続
40,L6: 新指標（実現性高）,予測分析,今週売上予測,線形回帰(過去週売上[直近8週]),外部連携（POS）,過去週売上データ,週次計画,過去8週売上 → 線形回帰 → 今週予測,予測値 + 信頼区間 + トレンド方向,線形回帰計算,中,A,【必要】統計ライブラリ【コスト】中,中,中,低,監視継続
41,L6: 新指標（実現性高）,予測分析,月末着地予測,累計売上 + (日平均売上 × 残日数),外部連携（POS）,当月累計 + 過去パターン,日次ダッシュボード/経営判断,累計 + 日平均×残日数 → 月末着地予測,予測値 + 目標との差異 + 達成確率表示,着地見込計算,中,S,【必要】日平均計算+残日数カウント【コスト】低,中,中,低,監視継続
42,L6: 新指標（実現性高）,アラート,FL率超過アラート,IF(FL率 > 目標FL率) THEN アラート,画面内演算+ユーザー入力,FL率 + 目標FL率,日次ダッシュボード/コストアラート,FL率 → 目標比較 → アラートフラグ,アラートカード（赤色）+ 超過幅表示 + 対策リンク,条件判定 + アラート表示,高,S,【必要】目標FL率の設定機能【コスト】低,中,中,低,監視継続
43,L6: 新指標（実現性高）,アラート,売上進捗遅れアラート,IF(売上進捗率 < 日数進捗率) THEN アラート,画面間参照,売上進捗分析.売上達成率,日次ダッシュボード,売上進捗率 < 日数進捗率 → アラートフラグ,アラートカード（黄/赤）+ 遅れ日数換算表示,条件判定 + 進捗計算,高,S,【必要】日次進捗率計算【コスト】低,中,高,高,事前計算・非同期処理
44,L6: 新指標（実現性高）,アラート,仕入異常アラート,IF(日次仕入 > 過去平均×1.5) THEN アラート,外部連携（インフォマート）,日次仕入 + 過去平均,日次ダッシュボード/仕入管理,日次仕入 > 過去平均×1.5 → アラートフラグ,アラートカード + 異常値詳細 + 仕入先内訳,条件判定 + 過去平均計算,中,A,【必要】仕入の過去平均計算【コスト】低,中,中,低,監視継続
45,L6: 新指標（実現性高）,スコアリング,日次総合スコア,加重平均(売上達成率×0.3 + FL率達成×0.3 + 客数達成×0.2 + 客単価達成×0.2),画面内演算,主要KPI全体,日次ダッシュボード,各KPI達成率 × 重み → 加重平均 → 日次総合スコア,レーダーチャート + 総合スコア（100点満点）+ ランク表示,重み付けスコア計算,中,B,【必要】重み付けの設定機能【不明】適切な重み配分【コスト】低,中,中,低,監視継続

46,L6: 新指標（実現性中）,高度分析,損益分岐点売上,固定費 ÷ (1 - 変動費率),ユーザー入力+画面内演算,費用設定 + 売上データ,損益分析/経営判断,固定費 ÷ (1-変動費率) → BEP,数値表示 + 現在売上との比較ゲージ + 残り必要売上,固定費・変動費の分類,中,B,【必要】固定費/変動費の分類設定【不明】費用の固変分解方法【コスト】中,中,中,低,監視継続
47,L6: 新指標（実現性中）,高度分析,損益分岐点客数,損益分岐点売上 ÷ 平均客単価,画面内演算,BEP + 客単価,損益分析/集客目標,BEP ÷ 客単価 → BEP客数,数値表示（人）+ 現在客数との比較 + 残り必要客数,BEP÷客単価,中,B,【必要】BEP計算済み【コスト】低,中,中,低,監視継続
48,L6: 新指標（実現性中）,高度分析,安全余裕率,(売上 - BEP) ÷ 売上 × 100,画面内演算,BEP + 売上データ,リスク分析,売上-BEP → BEP比率 → 安全余裕率,ゲージチャート（危険/注意/安全ゾーン）+ 数値表示,BEP計算済み,中,B,【必要】BEP計算済み【コスト】低,中,中,低,監視継続
49,L6: 新指標（実現性中）,シフト最適化,時間帯別必要人数,時間帯別売上予測 ÷ 人時売上目標,画面内演算+ユーザー入力,時間帯別売上 + 目標生産性,シフト計画支援,時間帯別売上予測 ÷ 人時売上目標 → 必要人数,時間帯別棒グラフ（必要人数）+ 現在シフトとの差異表示,時間帯別売上予測 + 目標設定,中,A,【必要】人時売上目標の設定【不明】必要人数の算出精度【コスト】中,中,中,低,監視継続
50,L6: 新指標（実現性中）,シフト最適化,曜日別必要人数,曜日別平均売上予測 ÷ 人時売上目標,画面内演算+ユーザー入力,曜日別売上 + 目標生産性,週間シフト計画,曜日別売上予測 ÷ 人時売上目標 → 必要人数,曜日別棒グラフ（必要人数）+ 現在シフト比較,曜日別売上予測 + 目標設定,中,A,【必要】曜日別売上予測【コスト】中,中,中,低,監視継続
51,L6: 新指標（実現性中）,在庫管理,理論在庫,前日在庫 + 仕入 - 理論使用量,外部連携（インフォマート）+ユーザー入力,棚卸 + 仕入 + 売上データ,在庫管理/ロス分析,棚卸 + 仕入 - レシピ使用量 → 理論在庫,数値表示 + 実在庫との差異アラート,理論使用量の計算（レシピベース）,中,B,【必要】レシピマスタとの連携【不明】レシピデータの整備状況【コスト】中〜高,中,中,低,監視継続
52,L6: 新指標（実現性中）,在庫管理,ロス率推定,（理論在庫 - 実在庫）÷ 仕入 × 100,画面内演算+ユーザー入力,理論在庫 + 棚卸データ,ロス管理/コスト削減,理論在庫 - 実在庫 → ロス金額 → ロス率,数値表示（%）+ アラート（基準超過時）+ 原因分類,理論在庫計算済み + 棚卸データ,中,B,【必要】定期的な棚卸実施【コスト】中,中,中,低,監視継続

53,L6: 新指標（実現性低）,AI分析,売上異常検知,異常検知モデル(売上時系列),外部連携（POS）+ ML,過去売上データ + MLモデル,異常検知ダッシュボード,売上時系列 → MLモデル → 異常スコア,異常フラグ + 異常スコア + 考えられる原因,機械学習モデル,低,B,【必要】MLモデル開発・学習・運用【コスト】高,中,中,低,監視継続
54,L6: 新指標（実現性低）,AI分析,需要予測AI,需要予測モデル(売上+天候+イベント),外部連携（POS）+ 外部API + ML,過去データ + 外部要因,発注計画/シフト計画,売上+天候+イベント → MLモデル → 需要予測,予測値 + 信頼区間 + 影響要因表示,高度なMLモデル + 外部連携,低,A,【必要】外部データAPI + MLモデル【コスト】非常に高,中,中,低,監視継続
55,L6: 新指標（実現性低）,AI分析,最適シフト提案,シフト最適化AI(需要予測+制約条件),需要予測+ ユーザー入力 + ML,勤怠 + 売上 + 制約条件,シフト作成支援,需要予測 + 制約 → 最適化 → シフト提案,推奨シフト表 + コスト比較 + カスタマイズUI,最適化アルゴリズム + UI,低,B,【必要】制約条件の定義 + 最適化エンジン【コスト】非常に高,中,中,低,監視継続
56,L6: 新指標（実現性低）,外部連携,天候影響予測,相関モデル(売上 × 天候予報),外部連携（POS）+ 外部API,売上データ + 天候API,日次予測精度向上,売上 × 天候 → 相関分析 → 天候影響予測,天候予報連動の売上予測 + 過去相関データ,天候API連携 + 相関分析,低,B,【必要】天候API契約【コスト】高,中,中,低,監視継続
57,L6: 新指標（実現性低）,外部連携,近隣イベント影響,相関モデル(売上 × イベント情報),外部連携（POS）+ 外部API,売上データ + イベントAPI,マーケティング/予測,売上 × イベント → 相関分析 → イベント影響,イベント連動の売上予測 + 対策提案,イベントAPI連携,低,C,【必要】イベント情報API【コスト】高,中,中,低,監視継続

凡例:
データソース種別: 外部連携（POS/インフォマート/KOT/予約）/ 設定マスタ / ユーザー入力 / 画面内演算 / 画面間参照
実現性: 高=既存データで即実装可能 / 中=追加開発・設定で実装可能 / 低=外部データや高度な技術が必要
優先度: S=最重要（日次確認必須）/ A=重要（週次確認推奨）/ B=標準（月次確認）/ C=参考（将来対応）
コスト目安: 低=数日〜1週間 / 中=2週間〜1ヶ月 / 高=1ヶ月以上 / 非常に高=3ヶ月以上+専門人材必要

削除した既存機能（ラクミー経営管理で実現済み）:
- FL率 → 当月実績画面で表示済み
- 粗利益/粗利率 → 感度分析画面で表示済み
- 曜日別平均売上/客数/客単価 → 曜日別売上分析画面で実現済み
- 時間帯別売上（ランチ/ディナー）→ 時間帯別売上分析画面で実現済み
- 商品別売上ランキング/構成比 → ABC分析画面で実現済み
- 商品カテゴリ別売上 → ABC分析+ラベル設定で実現可能
- 仕入先別仕入額/構成比 → 仕入先分析画面で実現済み
- 費目別仕入額 → 費目別仕入分析画面で実現済み
- 売上達成率/進捗率 → 売上進捗分析/店舗別サマリー画面で実現済み
- 日別売上推移 → 日次推移画面で実現済み
- 売上予実差額 → 予実対比画面で実現済み
- FLコスト合計 → 年間予実対比で表示済み
- 席回転率/テーブル回転数/テーブル稼働率 → 流入分析画面で実現済み
- 坪効率 → 店舗管理で坪数設定すれば計算可能
- 予約客比率/ウォークイン比率 → 流入分析画面で実現済み
