画面区分,画面タイトル,指標名,演算式,演算に使用する指標（画面タイトル.指標名）,演算式詳細（テーブル.カラム）,インプット元画面タイトル,インプット元指標名,アウトプット先画面タイトル,アウトプット先指標名
会社,予実対比,固定人件費,SUM月給者,-,SUM(head_office_connected_service_labor_costs_logs.labor_costs),-,-,-,-
会社,予実対比,PA人件費,SUM時給者,-,SUM(head_office_employee_working_records.daily_cost),-,-,-,-
会社,予実対比,ヘルプ人件費,help_costs-help_costs_minus,予実対比.ヘルプ受入人件費; 予実対比.ヘルプ送出人件費,help_costs-help_costs_minus,予実対比; 予実対比,ヘルプ受入人件費; ヘルプ送出人件費,-,-
会社,予実対比,その他経費,SUM経費,-,SUM(monthly_costs.value),-,-,-,-
会社,予実対比,地代家賃,費目=家賃,-,費目=家賃,-,-,-,-
会社,予実対比,資材費,費目=資材費,-,費目=資材費,-,-,-,-
会社,予実対比,水道光熱費,費目=水道光熱費,-,費目=水道光熱費,-,-,-,-
会社,予実対比,減価償却費,費目=減価償却費,-,費目=減価償却費,-,-,-,-
会社,予実対比,販促費,費目=販促費,-,費目=販促費,-,-,-,-
会社,年間予実対比,営業利益,売上-仕入-人件費-経費,当月実績.営業利益; 店舗別サマリー.営業利益,(ZTOTAL.sales_excluded) - (tax_excluded_total.total_tax_excluded) - (head_office_connected_service_labor_costs_logs.labor_costs) - 経費,当月実績; 店舗別サマリー,営業利益; 営業利益,当月実績; 店舗別サマリー,営業利益; 営業利益
会社,年間予実対比,FD仕入額,SUM年間,当月実績.FD仕入額,SUM(tax_excluded_total.total_tax_excluded),当月実績,FD仕入額,-,-
会社,年間予実対比,人件費額,SUM年間,当月実績.人件費,SUM(head_office_connected_service_labor_costs_logs.labor_costs),当月実績,人件費,-,-
会社,年間予実対比,客単価,売上÷客数,年間予実対比.売上税抜; 年間予実対比.客数,(ZTOTAL.sales_excluded) ÷ (ZTOTAL.customers),年間予実対比; 年間予実対比,売上税抜; 客数,-,-
会社,月次レポート,原価金額,前月在庫+仕入-当月在庫,-,前月在庫+仕入-当月在庫,-,-,-,-
会社,月次レポート,原価率,原価÷売上×100,月次レポート.原価金額; 月次レポート.売上合計税抜,(tax_excluded_total.total_tax_excluded) ÷ (ZTOTAL.sales_excluded),月次レポート; 月次レポート,原価金額; 売上合計税抜,-,-
会社,日次レポート,売上税込,日別集計,-,日別集計,-,-,-,-
会社,日次レポート,売上税抜,日別集計,-,日別集計,-,-,-,-
会社,日次レポート,仕入税込,日別集計,-,日別集計,-,-,-,-
会社,日次レポート,仕入税抜,日別集計,-,日別集計,-,-,-,-
会社,日次レポート,PA人件費,日別集計,-,日別集計,-,-,-,-
会社,従業員別勤務実績,従業員名,従業員マスタ参照,-,head_office_employee_working_records.head_office_employee_id,-,-,-,-
会社,従業員別勤務実績,勤務日,日付,-,日付,-,-,-,-
会社,従業員別勤務実績,日別人件費,日別集計,-,日別集計,-,-,-,-
会社,従業員別勤務実績,ヘルプフラグ,フラグ,-,フラグ,-,-,-,-
会社,従業員別勤務実績,勤務先店舗,店舗マスタ参照,-,head_office_employee_working_records.shop_id,-,-,-,-
会社,従業員別勤務実績,勤怠データ,JSON,-,JSON,-,-,-,-
会社,従業員別勤務実績,費用データ,JSON,-,JSON,-,-,-,-
会社,店舗別人件費,日付,日付,-,日付,-,-,-,-
会社,店舗別人件費,人件費,SUM店舗別,-,SUM(head_office_connected_service_labor_costs_logs.labor_costs),-,-,-,-
会社,店舗別人件費,ヘルプ人件費,SUM店舗別,-,SUM(head_office_connected_service_labor_costs_logs.help_costs),-,-,-,-
会社,店舗別人件費,ヘルプ人件費マイナス,SUM店舗別,-,SUM(head_office_connected_service_labor_costs_logs.help_costs_minus),-,-,-,-
会社,予算設定,対象年月,年月,-,年月,-,-,-,-
会社,予算設定,予算金額,入力値,-,入力値,-,-,店舗別サマリー; 進捗分析; 主要KPI指標,売上達成率/売上進捗率の計算に使用; 達成率/進捗率の計算に使用; ROIの計算に使用
会社,予算設定,予算比率,入力値,-,入力値,-,-,-,-
会社,費目マスタ,費目名,入力値,-,入力値,-,-,-,-
会社,費目マスタ,変更不可フラグ,フラグ,-,フラグ,-,-,-,-
会社,月次費用入力,費目,費目マスタ参照,-,monthly_cost_items.name,-,-,-,-
会社,月次費用入力,金額,入力値,-,入力値,-,-,当月実績,その他経費
会社,月次費用入力,比率,自動計算,-,自動計算,-,-,-,-
会社,曜日別売上分析,平均客数（税抜）,-,-,-,-,-,-,-
会社,支払種別売上分析,クレジットカード合計売上,-,-,-,-,-,-,-
会社,支払種別売上分析,QR決済合計売上,-,-,-,-,-,-,-
会社,支払種別売上分析,MUGENファミリーカード合計売上,-,-,-,-,-,-,-
会社,支払種別売上分析,売掛合計売上,-,-,-,-,-,-,-
会社,支払種別売上分析,交通系IC合計売上,-,-,-,-,-,-,-
会社,進捗分析,進捗率比較（前月）,売上/目標 または 前月比計算,-,(当月実績 - 前月実績) / 前月実績 * 100,-,-,-,-
会社,進捗分析,進捗率比較（前々月）,売上/目標 または 前月比計算,-,(当月実績 - 前月実績) / 前月実績 * 100,-,-,-,-
会社,予実対比,その他売上（サービス料等）,-,-,-,-,-,-,-
会社,予実対比,その他売上ランチ,SUM(その他商品かつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 11:00-15:00),-,-,-,-
会社,予実対比,その他売上ディナー,SUM(その他商品かつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 17:00-23:00),-,-,-,-
会社,予実対比,割引・値引きなど,-,-,-,-,-,-,-
会社,年間予実対比,客単価(ランチ),売上÷客数(会計日時11-15時フィルタ),年間予実対比.ランチ売上税抜; 年間予実対比.ランチ客数,SUM(TTOTAL.sales_excluded WHERE settlement_time 11:00-15:00) / SUM(TTOTAL.customers WHERE settlement_time 11:00-15:00),年間予実対比; 年間予実対比,ランチ売上税抜; ランチ客数,-,-
会社,年間予実対比,客単価(ディナー),売上÷客数(会計日時17-23時フィルタ),年間予実対比.ディナー売上税抜; 年間予実対比.ディナー客数,SUM(TTOTAL.sales_excluded WHERE settlement_time 17:00-23:00) / SUM(TTOTAL.customers WHERE settlement_time 17:00-23:00),年間予実対比; 年間予実対比,ディナー売上税抜; ディナー客数,-,-
会社,年間予実対比,総売上　計,-,-,-,-,-,-,-
会社,年間予実対比,フード売上 計,-,-,-,-,-,-,-
会社,年間予実対比,ドリンク売上　計,-,-,-,-,-,-,-
会社,年間予実対比,その他売上 計 （サービス料等）,-,-,-,-,-,-,-
会社,年間予実対比,その他売上ランチ,SUM(その他商品かつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 11:00-15:00),-,-,-,-
会社,年間予実対比,その他売上ディナー,SUM(その他商品かつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 17:00-23:00),-,-,-,-
会社,年間予実対比,FLコスト　計,-,-,-,-,-,-,-
会社,年間予実対比,FD仕入　計,-,-,-,-,-,-,-
会社,年間予実対比,人件費　計,-,-,-,-,-,-,-
会社,年間予実対比,その他経費　計,-,-,-,-,-,-,-
会社,年間予実対比,ラクミー利用料,-,-,-,-,-,-,-
会社,年間予実対比,レジ利用料,-,-,-,-,-,-,-
会社,年間予実対比,借入金返済,-,-,-,-,-,-,-
会社,月次レポート,対象前月在庫（金額）,-,-,-,-,-,-,-
会社,月次レポート,仕入総額,-,-,-,-,-,-,-
会社,月次レポート,対象月在庫（金額）,-,-,-,-,-,-,-
会社,月次レポート,店舗名,-,-,-,-,-,-,-
