画面区分,画面タイトル,指標名,演算式,演算に使用する指標（画面タイトル.指標名）,演算式詳細（テーブル.カラム）,アウトプット先画面タイトル,アウトプット先指標名
会社,ABC分析,販売点数構成比率,商品数÷総数×100,ABC分析.商品別販売点数 ÷ ABC分析.総販売点数 × 100,TITEM.quantity ÷ SUM(TITEM.quantity) × 100,-,-
会社,ABC分析,価格,売上÷数量,ABC分析.売上税抜 ÷ ABC分析.販売点数,TITEM.sales_excluded ÷ TITEM.quantity,-,-
会社,商品別売上分析,商品単価税抜,売上÷数量,-,(TITEM.sales_excluded) ÷ (TITEM.quantity),-,-
会社,商品別売上分析,商品単価税込,売上÷数量,-,(TITEM.sales) ÷ (TITEM.quantity),-,-
会社,商品別売上分析,販売数量,SUM商品別,-,SUM(TITEM.quantity),-,-
会社,商品別売上分析,売上合計税抜,SUM商品別,-,SUM(TITEM.sales_excluded),-,-
会社,商品別売上分析,売上合計税込,SUM商品別,-,SUM(TITEM.sales),-,-
会社,時間帯別売上分析,ランチ売上税抜,SUM(オーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded),-,-
会社,時間帯別売上分析,ディナー売上税抜,SUM(オーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded),-,-
会社,時間帯別売上分析,客数,SUM時間帯別,-,SUM(ZTOTAL.customers),-,-
会社,時間帯別売上分析,客単価税抜,売上÷客数,-,(ZTOTAL.sales_excluded) ÷ (ZTOTAL.customers),-,-
会社,曜日別売上分析,曜日,曜日抽出,-,曜日抽出,-,-
会社,曜日別売上分析,平均売上税抜,AVG曜日別,-,AVG曜日別,-,-
会社,曜日別売上分析,平均客数,AVG曜日別,-,AVG曜日別,-,-
会社,支払種別売上分析,支払方法,マスタ参照,-,TTEND.head_office_payment_method_id,-,-
会社,支払種別売上分析,売上税込,SUM支払別,-,SUM(TTEND.sales),-,-
会社,支払種別売上分析,売上比率,支払÷総売上×100,-,支払÷総売上×100,-,-
会社,仕入別分析,仕入れ先,マスタ参照,-,member_name_partner.client_name,-,-
会社,仕入別分析,金額税抜,SUM仕入先別,-,SUM(tax_excluded_total.total_tax_excluded),-,-
会社,仕入別分析,比率,仕入先÷総仕入×100,-,仕入先÷総仕入×100,-,-
会社,商品別仕入分析,商品,マスタ参照,-,detail_list.item_name,-,-
会社,商品別仕入分析,仕入れ先,マスタ参照,-,member_name_partner.client_name,-,-
会社,商品別仕入分析,金額税抜,SUM商品別,-,SUM(detail_list.price),-,-
会社,商品別仕入分析,比率,商品÷総仕入×100,-,商品÷総仕入×100,-,-
会社,費目別仕入分析,費目,費目マスタ,-,monthly_cost_items.name,-,-
会社,費目別仕入分析,金額税抜,SUM費目別,-,SUM(monthly_costs.value),-,-
会社,費目別仕入分析,比率,費目÷総仕入×100,-,費目÷総仕入×100,-,-
会社,商品仕入単価,アイテム,マスタ参照,-,detail_list.item_name,-,-
会社,商品仕入単価,金額税抜,SUM商品別,-,SUM(detail_list.price),-,-
会社,商品仕入単価,数量,SUM商品別,-,SUM(detail_list.num),-,-
会社,商品仕入単価,単価,金額÷数量,-,金額÷数量,-,-
会社,平均単価推移,仕入商品ラベル,ラベルマスタ,-,detail_list.item_name,-,-
会社,平均単価推移,仕入金額税抜,SUM月別,-,SUM(detail_list.price),-,-
会社,平均単価推移,数量,SUM月別,-,SUM(detail_list.num),-,-
会社,平均単価推移,平均単価,金額÷数量,-,金額÷数量,-,-
会社,平均単価推移,平均単価推移,直近6ヶ月の平均単価推移,-,AVG(detail_list.unit_price) 月別推移,-,-
会社,平均単価推移,平均単価推移,直近12ヶ月の平均単価推移,-,AVG(detail_list.unit_price) 月別推移,-,-
会社,進捗分析,利益進捗率,営業利益累計÷目標利益×100,当月実績.営業利益累計 ÷ 予算設定.月次目標利益 × 100,(営業利益累計) ÷ monthly_budgets.profit_target × 100,-,-
会社,進捗分析,売上進捗率,売上累計÷目標×100,当月実績.売上税抜累計 ÷ 予算設定.売上目標 × 100,SUM(ZTOTAL.sales_excluded) ÷ monthly_budgets.value × 100,-,-
会社,進捗分析,達成率,実績÷目標×100,当月実績.売上税抜 ÷ 予算設定.売上目標 × 100,ZTOTAL.sales_excluded ÷ monthly_budgets.value × 100,-,-
会社,日次推移,売上税抜,日別集計,-,日別集計,-,-
会社,日次推移,仕入費,日別集計,-,日別集計,-,-
会社,日次推移,PA人件費,日別集計,-,日別集計,-,-
会社,利益率,目標利益率,マスタ参照,-,monthly_budgets.ratio,-,-
会社,仕入費率,目標仕入費率,マスタ参照,-,monthly_budgets.ratio,-,-
会社,PA人件費率,目標PA人件費率,マスタ参照,-,monthly_budgets.ratio,-,-
会社,客数,当月客数,SUM月別,-,SUM(ZTOTAL.customers),-,-
会社,客単価,当月客単価税抜,売上÷客数,-,(ZTOTAL.sales_excluded) ÷ (ZTOTAL.customers),-,-
会社,予実対比,総売上,SUM,-,SUM(ZTOTAL.sales_excluded),-,-
会社,予実対比,フード売上,SUMフード,-,SUM(TITEM.sales_excluded),-,-
会社,予実対比,フード売上ランチ,SUM(フードかつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded),-,-
会社,予実対比,フード売上ディナー,SUM(フードかつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded),-,-
会社,予実対比,ドリンク売上,SUMドリンク,-,SUM(TITEM.sales_excluded),-,-
会社,予実対比,ドリンク売上ランチ,SUM(ドリンクかつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded),-,-
会社,予実対比,ドリンク売上ディナー,SUM(ドリンクかつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded),-,-
会社,予実対比,その他売上,SUMその他,-,SUM(TITEM.sales_excluded),-,-
会社,予実対比,割引値引き,SUM,-,SUM(ZTOTAL.discount),-,-
会社,予実対比,FD仕入,SUMFD,-,SUM(tax_excluded_total.total_tax_excluded),-,-
会社,予実対比,フード仕入,SUMフード,-,SUM(tax_excluded_total.total_tax_excluded),-,-
会社,予実対比,ドリンク仕入,SUMドリンク,-,SUM(tax_excluded_total.total_tax_excluded),-,-
会社,予実対比,人件費,SUM,-,SUM(head_office_connected_service_labor_costs_logs.labor_costs),-,-
会社,予実対比,固定人件費,SUM月給者,-,SUM(head_office_connected_service_labor_costs_logs.labor_costs),-,-
会社,予実対比,PA人件費,SUM時給者,-,SUM(head_office_employee_working_records.daily_cost),-,-
会社,予実対比,ヘルプ人件費,help_costs-help_costs_minus,-,help_costs-help_costs_minus,-,-
会社,予実対比,その他経費,SUM経費,-,SUM(monthly_costs.value),-,-
会社,予実対比,地代家賃,費目=家賃,-,費目=家賃,-,-
会社,予実対比,資材費,費目=資材費,-,費目=資材費,-,-
会社,予実対比,水道光熱費,費目=水道光熱費,-,費目=水道光熱費,-,-
会社,予実対比,減価償却費,費目=減価償却費,-,費目=減価償却費,-,-
会社,予実対比,販促費,費目=販促費,-,費目=販促費,-,-
会社,年間予実対比,営業利益,売上-仕入-人件費-経費,年間予実対比.売上税抜 - 年間予実対比.FD仕入額 - 年間予実対比.人件費額 - 年間予実対比.その他経費,ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value,当月実績; 店舗別サマリー,営業利益; 営業利益
会社,年間予実対比,FD仕入額,SUM年間,-,SUM(tax_excluded_total.total_tax_excluded),-,-
会社,年間予実対比,人件費額,SUM年間,-,SUM(head_office_connected_service_labor_costs_logs.labor_costs),-,-
会社,年間予実対比,客単価,売上÷客数,年間予実対比.売上税抜 ÷ 年間予実対比.客数,ZTOTAL.sales_excluded ÷ ZTOTAL.customers,-,-
会社,月次レポート,原価金額,前月在庫+仕入-当月在庫,-,前月在庫+仕入-当月在庫,-,-
会社,月次レポート,原価率,原価÷売上×100,-,(tax_excluded_total.total_tax_excluded) ÷ (ZTOTAL.sales_excluded),-,-
会社,日次レポート,売上税込,日別集計,-,日別集計,-,-
会社,日次レポート,売上税抜,日別集計,-,日別集計,-,-
会社,日次レポート,仕入税込,日別集計,-,日別集計,-,-
会社,日次レポート,仕入税抜,日別集計,-,日別集計,-,-
会社,日次レポート,PA人件費,日別集計,-,日別集計,-,-
会社,従業員別勤務実績,従業員名,従業員マスタ参照,-,head_office_employee_working_records.head_office_employee_id,-,-
会社,従業員別勤務実績,勤務日,日付,-,日付,-,-
会社,従業員別勤務実績,日別人件費,日別集計,-,日別集計,-,-
会社,従業員別勤務実績,ヘルプフラグ,フラグ,-,フラグ,-,-
会社,従業員別勤務実績,勤務先店舗,店舗マスタ参照,-,head_office_employee_working_records.shop_id,-,-
会社,従業員別勤務実績,勤怠データ,JSON,-,JSON,-,-
会社,従業員別勤務実績,費用データ,JSON,-,JSON,-,-
会社,店舗別人件費,日付,日付,-,日付,-,-
会社,店舗別人件費,人件費,SUM店舗別,-,SUM(head_office_connected_service_labor_costs_logs.labor_costs),-,-
会社,店舗別人件費,ヘルプ人件費,SUM店舗別,-,SUM(head_office_connected_service_labor_costs_logs.help_costs),-,-
会社,店舗別人件費,ヘルプ人件費マイナス,SUM店舗別,-,SUM(head_office_connected_service_labor_costs_logs.help_costs_minus),-,-
会社,予算設定,対象年月,年月,-,年月,-,-
会社,予算設定,予算金額,入力値,-,入力値,店舗別サマリー; 進捗分析; 主要KPI指標,売上達成率/売上進捗率の計算に使用; 達成率/進捗率の計算に使用; ROIの計算に使用
会社,予算設定,予算比率,入力値,-,入力値,-,-
会社,費目マスタ,費目名,入力値,-,入力値,-,-
会社,費目マスタ,変更不可フラグ,フラグ,-,フラグ,-,-
会社,月次費用入力,費目,費目マスタ参照,-,monthly_cost_items.name,-,-
会社,月次費用入力,金額,入力値,-,入力値,-,-
会社,月次費用入力,比率,自動計算,-,自動計算,-,-
会社,曜日別売上分析,平均客数（税抜）,-,-,-,-,-
会社,支払種別売上分析,クレジットカード合計売上,-,-,-,-,-
会社,支払種別売上分析,QR決済合計売上,-,-,-,-,-
会社,支払種別売上分析,MUGENファミリーカード合計売上,-,-,-,-,-
会社,支払種別売上分析,売掛合計売上,-,-,-,-,-
会社,支払種別売上分析,交通系IC合計売上,-,-,-,-,-
会社,進捗分析,進捗率比較（前月）,売上/目標 または 前月比計算,-,(当月実績 - 前月実績) / 前月実績 * 100,-,-
会社,進捗分析,進捗率比較（前々月）,売上/目標 または 前月比計算,-,(当月実績 - 前月実績) / 前月実績 * 100,-,-
会社,予実対比,その他売上（サービス料等）,-,-,-,-,-
会社,予実対比,その他売上ランチ,SUM(その他商品かつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 11:00-15:00),-,-
会社,予実対比,その他売上ディナー,SUM(その他商品かつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 17:00-23:00),-,-
会社,予実対比,割引・値引きなど,-,-,-,-,-
会社,年間予実対比,客単価(ランチ),売上÷客数(会計日時11-15時フィルタ),年間予実対比.ランチ売上税抜 ÷ 年間予実対比.ランチ客数,SUM(TTOTAL.sales_excluded WHERE settlement_time 11:00-15:00) / SUM(TTOTAL.customers WHERE settlement_time 11:00-15:00),-,-
会社,年間予実対比,客単価(ディナー),売上÷客数(会計日時17-23時フィルタ),年間予実対比.ディナー売上税抜 ÷ 年間予実対比.ディナー客数,SUM(TTOTAL.sales_excluded WHERE settlement_time 17:00-23:00) / SUM(TTOTAL.customers WHERE settlement_time 17:00-23:00),-,-
会社,年間予実対比,総売上　計,-,-,-,-,-
会社,年間予実対比,フード売上 計,-,-,-,-,-
会社,年間予実対比,ドリンク売上　計,-,-,-,-,-
会社,年間予実対比,その他売上 計 （サービス料等）,-,-,-,-,-
会社,年間予実対比,その他売上ランチ,SUM(その他商品かつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 11:00-15:00),-,-
会社,年間予実対比,その他売上ディナー,SUM(その他商品かつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 17:00-23:00),-,-
会社,年間予実対比,FLコスト　計,-,-,-,-,-
会社,年間予実対比,FD仕入　計,-,-,-,-,-
会社,年間予実対比,人件費　計,-,-,-,-,-
会社,年間予実対比,その他経費　計,-,-,-,-,-
会社,年間予実対比,ラクミー利用料,-,-,-,-,-
会社,年間予実対比,レジ利用料,-,-,-,-,-
会社,年間予実対比,借入金返済,-,-,-,-,-
会社,月次レポート,対象前月在庫（金額）,-,-,-,-,-
会社,月次レポート,仕入総額,-,-,-,-,-
会社,月次レポート,対象月在庫（金額）,-,-,-,-,-
会社,月次レポート,店舗名,-,-,-,-,-
店舗,主要KPI指標,坪月商,売上÷坪数,当月実績.売上税抜 ÷ 店舗マスタ.坪数,ZTOTAL.sales_excluded ÷ shops.floor_area,-,-
店舗,主要KPI指標,営業利益率,営業利益÷売上×100,当月実績.営業利益 ÷ 当月実績.売上税抜 × 100,(営業利益) ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,主要KPI指標,家賃比率,家賃÷売上×100,月次費用入力.地代家賃 ÷ 当月実績.売上税抜 × 100,monthly_costs.value(費目=家賃) ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,主要KPI指標,ROI,営業利益÷投資×100,当月実績.営業利益 ÷ 予算一覧.予算金額 × 100,(営業利益) ÷ monthly_budgets.value × 100,-,-
店舗,当月実績,営業利益,売上-仕入-人件費-経費,当月実績.売上税抜 - 当月実績.FD仕入額 - 当月実績.人件費 - 当月実績.その他経費,ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value,年間予実対比; 利益進捗分析; 主要KPI指標,営業利益; 利益進捗率/利益達成率の計算に使用; 営業利益率/ROIの計算に使用
店舗,当月実績,売上税抜,SUM,-,SUM(ZTOTAL.sales_excluded),ABC分析; 感度分析; 日次レポート; FD分析; 主要KPI指標; 売上進捗分析,売上構成比率の計算に使用; 客単価/粗利率の計算に使用; 売上税抜; FD仕入率の計算に使用; 坪月商の計算に使用; 売上進捗率の計算に使用
店舗,当月実績,FD仕入率,仕入÷売上×100,当月実績.FD仕入額 ÷ 当月実績.売上税抜 × 100,trade_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,当月実績,人件費率,人件費÷売上×100,当月実績.人件費 ÷ 当月実績.売上税抜 × 100,labor_costs_logs.labor_costs ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,当月実績,FL率,(F+L)÷売上×100,(当月実績.FD仕入額 + 当月実績.人件費) ÷ 当月実績.売上税抜 × 100,(trade_total.total_tax_excluded + labor_costs_logs.labor_costs) ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,ABC分析,商品,商品マスタ,-,TITEM.item_name,-,-
店舗,ABC分析,売上税抜,SUM商品別,-,SUM(TITEM.sales_excluded),-,-
店舗,ABC分析,売上構成比率,商品÷総売上×100,-,TITEM.sales_excluded,-,-
店舗,ABC分析,販売点数,SUM商品別,-,SUM(TITEM.quantity),-,-
店舗,ABC分析,販売点数構成比率,商品数÷総数×100,-,TITEM.quantity,-,-
店舗,ABC分析,価格,売上÷数量,-,(TITEM.sales_excluded) ÷ (TITEM.quantity),-,-
店舗,商品別売上分析,商品単価税抜,売上÷数量,-,(TITEM.sales_excluded) ÷ (TITEM.quantity),-,-
店舗,商品別売上分析,商品単価税込,売上÷数量,-,(TITEM.sales) ÷ (TITEM.quantity),-,-
店舗,商品別売上分析,販売数量,SUM商品別,-,SUM(TITEM.quantity),-,-
店舗,商品別売上分析,売上合計税抜,SUM商品別,-,SUM(TITEM.sales_excluded),-,-
店舗,商品別売上分析,売上合計税込,SUM商品別,-,SUM(TITEM.sales),-,-
店舗,時間帯別売上分析,ランチ売上税抜,SUM(オーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded),-,-
店舗,時間帯別売上分析,ディナー売上税抜,SUM(オーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded),-,-
店舗,時間帯別売上分析,客数,SUM時間帯別,-,SUM(ZTOTAL.customers),-,-
店舗,時間帯別売上分析,客単価税抜,売上÷客数,-,(ZTOTAL.sales_excluded) ÷ (ZTOTAL.customers),-,-
店舗,曜日別売上分析,曜日,曜日抽出,-,ZTOTAL.date,-,-
店舗,曜日別売上分析,平均売上税抜,AVG曜日別,-,AVG(ZTOTAL.sales_excluded),-,-
店舗,曜日別売上分析,平均客数,AVG曜日別,-,AVG(ZTOTAL.customers),-,-
店舗,支払種別売上分析,支払方法,マスタ参照,-,TTEND.head_office_payment_method_id,-,-
店舗,支払種別売上分析,売上税込,SUM支払別,-,SUM(TTEND.sales),-,-
店舗,支払種別売上分析,売上比率,支払÷総売上×100,-,TTEND.sales,-,-
店舗,仕入先分析,仕入れ先,マスタ参照,-,member_name_partner.client_name,-,-
店舗,仕入先分析,金額税抜,SUM仕入先別,-,SUM(tax_excluded_total.total_tax_excluded),-,-
店舗,仕入先分析,比率,仕入先÷総仕入×100,-,tax_excluded_total.total_tax_excluded,-,-
店舗,商品別仕入分析,商品,マスタ参照,-,detail_list.item_name,-,-
店舗,商品別仕入分析,仕入先,マスタ参照,-,member_name_partner.client_name,-,-
店舗,商品別仕入分析,金額税抜,SUM商品別,-,SUM(detail_list.price),-,-
店舗,商品別仕入分析,比率,商品÷総仕入×100,-,detail_list.price,-,-
店舗,費目別仕入分析,費目,費目マスタ,-,monthly_cost_items.name,-,-
店舗,費目別仕入分析,金額税抜,SUM費目別,-,SUM(monthly_costs.value),-,-
店舗,費目別仕入分析,比率,費目÷総仕入×100,-,monthly_costs.ratio,-,-
店舗,商品仕入単価,アイテム,マスタ参照,-,detail_list.item_name,-,-
店舗,商品仕入単価,金額税抜,SUM商品別,-,SUM(detail_list.price),-,-
店舗,商品仕入単価,数量,SUM商品別,-,SUM(detail_list.num),-,-
店舗,商品仕入単価,単価,金額÷数量,-,detail_list.unit_price,-,-
店舗,平均単価推移,仕入商品ラベル,ラベルマスタ,-,detail_list.item_name,-,-
店舗,平均単価推移,仕入金額税抜,SUM月別,-,SUM(detail_list.price),-,-
店舗,平均単価推移,数量,SUM月別,-,SUM(detail_list.num),-,-
店舗,平均単価推移,平均単価,金額÷数量,-,detail_list.unit_price,-,-
店舗,利益進捗分析,利益進捗率,営業利益累計÷目標利益×100,当月実績.営業利益累計 ÷ 予算一覧.月次目標利益 × 100,(営業利益累計) ÷ monthly_budgets.profit_target × 100,-,-
店舗,売上進捗分析,売上進捗率,売上累計÷目標×100,当月実績.売上税抜累計 ÷ 予算一覧.売上目標 × 100,ZTOTAL.sales_excluded ÷ monthly_budgets.value × 100,-,-
店舗,感度分析,客単価税抜,売上÷客数,感度分析.売上税抜 ÷ 感度分析.客数,ZTOTAL.sales_excluded ÷ ZTOTAL.customers,時間帯別売上分析; 月次集計,客単価税抜; 客単価税抜
店舗,感度分析,変動費単価,変動費÷客数,感度分析.変動費 ÷ 感度分析.客数,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.customers,月次集計,変動費単価
店舗,感度分析,変動費率,変動費÷売上×100,感度分析.変動費 ÷ 感度分析.売上税抜 × 100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,月次集計,変動費率
店舗,感度分析,粗利単価,(売上-原価)÷客数,(感度分析.売上税抜 - 感度分析.変動費) ÷ 感度分析.客数,(ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded) ÷ ZTOTAL.customers,月次集計,粗利単価
店舗,感度分析,粗利率,(売上-原価)÷売上×100,(感度分析.売上税抜 - 感度分析.変動費) ÷ 感度分析.売上税抜 × 100,(ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded) ÷ ZTOTAL.sales_excluded × 100,月次集計,粗利率
店舗,感度分析,客数,SUM,-,SUM(ZTOTAL.customers),-,-
店舗,感度分析,売上税抜,SUM,-,SUM(ZTOTAL.sales_excluded),-,-
店舗,FD分析,FD仕入率,仕入÷売上×100,FD分析.FD仕入額 ÷ FD分析.売上 × 100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,FD分析,FD原価率,原価÷売上×100,FD分析.FD原価 ÷ FD分析.売上 × 100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,FD分析,FD前月在庫高,前月末在庫,-,前月末在庫,-,-
店舗,FD分析,FD当月仕入,SUM月間,-,SUM(tax_excluded_total.total_tax_excluded),-,-
店舗,FD分析,FD当月在庫高,当月末在庫,-,当月末在庫,-,-
店舗,FD分析,売上,SUM,-,SUM(ZTOTAL.sales_excluded),-,-
店舗,FD売上構成比,FD売上構成比,FD÷総売上×100,-,TITEM.sales_excluded,-,-
店舗,FD売上構成比,フード売上合計,SUMフード,-,SUM(TITEM.sales_excluded),FD仕入率トレンド,フード仕入比率の計算に使用
店舗,FD売上構成比,ドリンク売上合計,SUMドリンク,-,SUM(TITEM.sales_excluded),FD仕入率トレンド,ドリンク仕入比率の計算に使用
店舗,流入分析,テーブル回転数,組数÷総卓数,流入分析.総組数 ÷ 店舗マスタ.総卓数,ZTOTAL.customers ÷ shops.total_tables,-,-
店舗,流入分析,テーブル稼働率,予約卓÷総卓×100,流入分析.予約卓数 ÷ 店舗マスタ.総卓数 × 100,予約卓数 ÷ shops.total_tables × 100,-,-
店舗,流入分析,予約売上,予約客売上,-,ZTOTAL.sales_excluded,流入分析,ウォークイン売上の計算に使用
店舗,流入分析,予約客数,SUM予約,-,SUM予約,流入分析,ウォークイン客数の計算に使用
店舗,流入分析,予約客単価,予約売上÷予約客数,流入分析.予約売上 ÷ 流入分析.予約客数,予約売上 ÷ 予約客数,-,-
店舗,流入分析,ウォークイン売上,総売上-予約売上,流入分析.総売上 - 流入分析.予約売上,ZTOTAL.sales_excluded - 予約売上,-,-
店舗,流入分析,ウォークイン客数,総客数-予約客数,流入分析.客数 - 流入分析.予約客数,ZTOTAL.customers - 予約客数,-,-
店舗,流入分析,ウォークイン客単価,WI売上÷WI客数,流入分析.ウォークイン売上 ÷ 流入分析.ウォークイン客数,ウォークイン売上 ÷ ウォークイン客数,-,-
店舗,予実対比,総売上,SUM,-,SUM(ZTOTAL.sales_excluded),-,-
店舗,予実対比,フード売上,SUMフード,-,SUM(TITEM.sales_excluded),-,-
店舗,予実対比,フード売上ランチ,SUM(フードかつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded),-,-
店舗,予実対比,フード売上ディナー,SUM(フードかつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded),-,-
店舗,予実対比,ドリンク売上,SUMドリンク,-,SUM(TITEM.sales_excluded),-,-
店舗,予実対比,ドリンク売上ランチ,SUM(ドリンクかつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded),-,-
店舗,予実対比,ドリンク売上ディナー,SUM(ドリンクかつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded),-,-
店舗,予実対比,その他売上,SUMその他,-,SUM(TITEM.sales_excluded),-,-
店舗,予実対比,割引値引き,SUM,-,SUM(ZTOTAL.discount),-,-
店舗,予実対比,FD仕入,SUMFD,-,SUM(tax_excluded_total.total_tax_excluded),-,-
店舗,予実対比,フード仕入,SUMフード,-,SUM(tax_excluded_total.total_tax_excluded),-,-
店舗,予実対比,ドリンク仕入,SUMドリンク,-,SUM(tax_excluded_total.total_tax_excluded),-,-
店舗,予実対比,人件費,SUM,-,SUM(head_office_connected_service_labor_costs_logs.labor_costs),店舗別人件費,人件費
店舗,予実対比,固定人件費,SUM月給者,-,SUM(head_office_connected_service_labor_costs_logs.labor_costs),-,-
店舗,予実対比,PA人件費,SUM時給者,-,SUM(head_office_employee_working_records.daily_cost),日次レポート,PA人件費
