画面区分,画面タイトル,指標名,演算式,演算式詳細（テーブル.カラム）,使用する指標1,使用する指標2,使用する指標3,使用する指標4,備考
会社,店舗別サマリー,売上進捗率,累計÷目標×100,SUM(ZTOTAL.sales_excluded) ÷ monthly_budgets.value × 100,売上税抜累計(ZTOTAL.sales_excluded),売上目標(monthly_budgets.value),-,-,月初からの累計
会社,店舗別サマリー,FD仕入率,仕入÷売上×100,trade_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,FD仕入額(trade_total.total_tax_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,-
会社,店舗別サマリー,人件費率,人件費÷売上×100,labor_costs_logs.labor_costs ÷ ZTOTAL.sales_excluded × 100,人件費(labor_costs_logs.labor_costs),売上税抜(ZTOTAL.sales_excluded),-,-,-
会社,年間予実対比,営業利益,売上-仕入-人件費-経費,ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value,売上税抜(ZTOTAL.sales_excluded),FD仕入額(tax_excluded_total.total_tax_excluded),人件費(labor_costs_logs.labor_costs),経費(monthly_costs.value),年間累計
会社,年間予実対比,客単価,売上÷客数,ZTOTAL.sales_excluded ÷ ZTOTAL.customers,売上税抜(ZTOTAL.sales_excluded),客数(ZTOTAL.customers),-,-,-
会社,年間予実対比,客単価(ランチ),売上÷客数(11-15時),SUM(TTOTAL.sales_excluded WHERE settlement_time 11:00-15:00) / SUM(TTOTAL.customers WHERE settlement_time 11:00-15:00),売上税抜(TTOTAL.sales_excluded),客数(TTOTAL.customers),会計日時(TTOTAL.settlement_time),-,伝票単位で時間帯フィルタ
会社,年間予実対比,客単価(ディナー),売上÷客数(17-23時),SUM(TTOTAL.sales_excluded WHERE settlement_time 17:00-23:00) / SUM(TTOTAL.customers WHERE settlement_time 17:00-23:00),売上税抜(TTOTAL.sales_excluded),客数(TTOTAL.customers),会計日時(TTOTAL.settlement_time),-,伝票単位で時間帯フィルタ
会社,進捗分析,利益進捗率,営業利益累計÷目標利益×100,(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ monthly_budgets.profit_target × 100,営業利益,目標利益(monthly_budgets.profit_target),-,-,営業利益を分子に使用
会社,進捗分析,売上進捗率,売上累計÷目標×100,SUM(ZTOTAL.sales_excluded) ÷ monthly_budgets.value × 100,売上税抜累計(ZTOTAL.sales_excluded),売上目標(monthly_budgets.value),-,-,-
会社,ABC分析,売上構成比率,商品÷総売上×100,TITEM.sales_excluded ÷ SUM(TITEM.sales_excluded) × 100,商品別売上(TITEM.sales_excluded),総売上(SUM),-,-,-
会社,ABC分析,販売点数構成比率,商品数÷総数×100,TITEM.quantity ÷ SUM(TITEM.quantity) × 100,商品別数量(TITEM.quantity),総数量(SUM),-,-,-
会社,ABC分析,価格,売上÷数量,TITEM.sales_excluded ÷ TITEM.quantity,売上税抜(TITEM.sales_excluded),数量(TITEM.quantity),-,-,商品単価
会社,時間帯別売上分析,ランチ売上税抜,SUM(11-15時),SUM(TITEM.sales_excluded WHERE order_time 11:00-15:00),売上税抜(TITEM.sales_excluded),オーダー時刻(TITEM.order_time),-,-,オーダー時刻でフィルタ
会社,時間帯別売上分析,ディナー売上税抜,SUM(17-23時),SUM(TITEM.sales_excluded WHERE order_time 17:00-23:00),売上税抜(TITEM.sales_excluded),オーダー時刻(TITEM.order_time),-,-,オーダー時刻でフィルタ
会社,時間帯別売上分析,客単価税抜,売上÷客数,ZTOTAL.sales_excluded ÷ ZTOTAL.customers,売上税抜(ZTOTAL.sales_excluded),客数(ZTOTAL.customers),-,-,-
会社,曜日別売上分析,平均売上税抜,AVG曜日別,AVG(ZTOTAL.sales_excluded) GROUP BY 曜日,売上税抜(ZTOTAL.sales_excluded),曜日(ZTOTAL.date),-,-,曜日別平均
会社,曜日別売上分析,平均客数,AVG曜日別,AVG(ZTOTAL.customers) GROUP BY 曜日,客数(ZTOTAL.customers),曜日(ZTOTAL.date),-,-,曜日別平均
会社,月次レポート,原価率,原価÷売上×100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,原価(tax_excluded_total.total_tax_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,-
会社,仕入別分析,比率,仕入先÷総仕入×100,tax_excluded_total.total_tax_excluded ÷ SUM(tax_excluded_total.total_tax_excluded) × 100,仕入先別金額(tax_excluded_total),総仕入額(SUM),-,-,-
会社,商品仕入単価,単価,金額÷数量,detail_list.price ÷ detail_list.num,金額(detail_list.price),数量(detail_list.num),-,-,-
会社,平均単価推移,平均単価,金額÷数量,SUM(detail_list.price) ÷ SUM(detail_list.num),金額(detail_list.price),数量(detail_list.num),-,-,月別推移
店舗,主要KPI指標,坪月商,売上÷坪数,ZTOTAL.sales_excluded ÷ shops.floor_area,売上税抜(ZTOTAL.sales_excluded),坪数(shops.floor_area),-,-,-
店舗,主要KPI指標,営業利益率,営業利益÷売上×100,(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ ZTOTAL.sales_excluded × 100,売上税抜(ZTOTAL.sales_excluded),FD仕入額(trade_total.total_tax_excluded),人件費(labor_costs_logs.labor_costs),経費(monthly_costs.value),営業利益を分子に使用
店舗,主要KPI指標,家賃比率,家賃÷売上×100,monthly_costs.value(費目=家賃) ÷ ZTOTAL.sales_excluded × 100,家賃(monthly_costs.value),売上税抜(ZTOTAL.sales_excluded),-,-,費目フィルタで家賃を抽出
店舗,主要KPI指標,ROI,営業利益÷投資×100,(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ monthly_budgets.value × 100,営業利益,予算(monthly_budgets.value),-,-,営業利益を分子に使用
店舗,当月実績,営業利益,売上-仕入-人件費-経費,ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value,売上税抜(ZTOTAL.sales_excluded),FD仕入額(trade_total.total_tax_excluded),人件費(labor_costs_logs.labor_costs),経費(monthly_costs.value),最重要指標
店舗,当月実績,売上税抜,SUM,SUM(ZTOTAL.sales_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,-,日別集計の合計
店舗,当月実績,FD仕入率,仕入÷売上×100,trade_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,FD仕入額(trade_total.total_tax_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,-
店舗,当月実績,人件費率,人件費÷売上×100,labor_costs_logs.labor_costs ÷ ZTOTAL.sales_excluded × 100,人件費(labor_costs_logs.labor_costs),売上税抜(ZTOTAL.sales_excluded),-,-,-
店舗,当月実績,FL率,(F+L)÷売上×100,(trade_total.total_tax_excluded + labor_costs_logs.labor_costs) ÷ ZTOTAL.sales_excluded × 100,FD仕入額(trade_total.total_tax_excluded),人件費(labor_costs_logs.labor_costs),売上税抜(ZTOTAL.sales_excluded),-,Food+Labor比率
店舗,感度分析,客単価税抜,売上÷客数,ZTOTAL.sales_excluded ÷ ZTOTAL.customers,売上税抜(ZTOTAL.sales_excluded),客数(ZTOTAL.customers),-,-,-
店舗,感度分析,変動費単価,変動費÷客数,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.customers,変動費(tax_excluded_total.total_tax_excluded),客数(ZTOTAL.customers),-,-,-
店舗,感度分析,変動費率,変動費÷売上×100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,変動費(tax_excluded_total.total_tax_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,-
店舗,感度分析,粗利単価,(売上-原価)÷客数,(ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded) ÷ ZTOTAL.customers,売上税抜(ZTOTAL.sales_excluded),原価(tax_excluded_total.total_tax_excluded),客数(ZTOTAL.customers),-,-
店舗,感度分析,粗利率,(売上-原価)÷売上×100,(ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded) ÷ ZTOTAL.sales_excluded × 100,売上税抜(ZTOTAL.sales_excluded),原価(tax_excluded_total.total_tax_excluded),-,-,-
店舗,利益進捗分析,利益進捗率,営業利益累計÷目標利益×100,(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ monthly_budgets.profit_target × 100,営業利益,目標利益(monthly_budgets.profit_target),-,-,営業利益を分子に使用
店舗,利益進捗分析,利益達成率,営業利益÷目標利益×100,(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ monthly_budgets.profit_target × 100,営業利益,目標利益(monthly_budgets.profit_target),-,-,営業利益を分子に使用
店舗,年間予実対比,営業利益,売上-仕入-人件費-経費,ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value,売上税抜(ZTOTAL.sales_excluded),FD仕入額(tax_excluded_total.total_tax_excluded),人件費(labor_costs_logs.labor_costs),経費(monthly_costs.value),年間累計
店舗,年間予実対比,客単価,売上÷客数,ZTOTAL.sales_excluded ÷ ZTOTAL.customers,売上税抜(ZTOTAL.sales_excluded),客数(ZTOTAL.customers),-,-,-
店舗,年間予実対比（サマリー）,客単価(ランチ),売上÷客数(11-15時),SUM(TTOTAL.sales_excluded WHERE settlement_time 11:00-15:00) / SUM(TTOTAL.customers WHERE settlement_time 11:00-15:00),売上税抜(TTOTAL.sales_excluded),客数(TTOTAL.customers),会計日時(TTOTAL.settlement_time),-,伝票単位で時間帯フィルタ
店舗,年間予実対比（サマリー）,客単価(ディナー),売上÷客数(17-23時),SUM(TTOTAL.sales_excluded WHERE settlement_time 17:00-23:00) / SUM(TTOTAL.customers WHERE settlement_time 17:00-23:00),売上税抜(TTOTAL.sales_excluded),客数(TTOTAL.customers),会計日時(TTOTAL.settlement_time),-,伝票単位で時間帯フィルタ
店舗,売上進捗分析,売上進捗率,売上累計÷目標×100,ZTOTAL.sales_excluded ÷ monthly_budgets.value × 100,売上税抜(ZTOTAL.sales_excluded),売上目標(monthly_budgets.value),-,-,-
店舗,予実対比,ヘルプ人件費,ヘルプ受入-ヘルプ送出,labor_costs_logs.help_costs - labor_costs_logs.help_costs_minus,ヘルプ受入(labor_costs_logs.help_costs),ヘルプ送出(labor_costs_logs.help_costs_minus),-,-,-
店舗,FD分析,FD仕入率,仕入÷売上×100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,FD仕入額(tax_excluded_total.total_tax_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,-
店舗,FD分析,FD原価率,原価÷売上×100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,原価(tax_excluded_total.total_tax_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,-
店舗,FD仕入率トレンド,FD仕入率トレンド,仕入÷売上×100（推移）,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,FD仕入額(tax_excluded_total.total_tax_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,直近6-12ヶ月推移
店舗,FD仕入率トレンド,フード仕入比率,フード仕入÷フード売上×100,tax_excluded_total.total_tax_excluded[フード] ÷ TITEM.sales_excluded[フード] × 100,フード仕入(tax_excluded_total),フード売上(TITEM.sales_excluded),-,-,商品タイプでフィルタ
店舗,FD仕入率トレンド,ドリンク仕入比率,ドリンク仕入÷ドリンク売上×100,tax_excluded_total.total_tax_excluded[ドリンク] ÷ TITEM.sales_excluded[ドリンク] × 100,ドリンク仕入(tax_excluded_total),ドリンク売上(TITEM.sales_excluded),-,-,商品タイプでフィルタ
店舗,FD売上構成比,FD売上構成比,FD÷総売上×100,TITEM.sales_excluded ÷ SUM(TITEM.sales_excluded) × 100,FD売上(TITEM.sales_excluded),総売上(SUM),-,-,-
店舗,ABC分析,売上構成比率,商品÷総売上×100,TITEM.sales_excluded ÷ SUM(TITEM.sales_excluded) × 100,商品別売上(TITEM.sales_excluded),総売上(SUM),-,-,-
店舗,ABC分析,販売点数構成比率,商品数÷総数×100,TITEM.quantity ÷ SUM(TITEM.quantity) × 100,商品別数量(TITEM.quantity),総数量(SUM),-,-,-
店舗,ABC分析,価格,売上÷数量,TITEM.sales_excluded ÷ TITEM.quantity,売上税抜(TITEM.sales_excluded),数量(TITEM.quantity),-,-,商品単価
店舗,時間帯別売上分析,ランチ売上税抜,SUM(11-15時),SUM(TITEM.sales_excluded WHERE order_time 11:00-15:00),売上税抜(TITEM.sales_excluded),オーダー時刻(TITEM.order_time),-,-,オーダー時刻でフィルタ
店舗,時間帯別売上分析,ディナー売上税抜,SUM(17-23時),SUM(TITEM.sales_excluded WHERE order_time 17:00-23:00),売上税抜(TITEM.sales_excluded),オーダー時刻(TITEM.order_time),-,-,オーダー時刻でフィルタ
店舗,時間帯別売上分析,客単価税抜,売上÷客数,ZTOTAL.sales_excluded ÷ ZTOTAL.customers,売上税抜(ZTOTAL.sales_excluded),客数(ZTOTAL.customers),-,-,-
店舗,曜日別売上分析,平均売上税抜,AVG曜日別,AVG(ZTOTAL.sales_excluded) GROUP BY 曜日,売上税抜(ZTOTAL.sales_excluded),曜日(ZTOTAL.date),-,-,曜日別平均
店舗,曜日別売上分析,平均客数,AVG曜日別,AVG(ZTOTAL.customers) GROUP BY 曜日,客数(ZTOTAL.customers),曜日(ZTOTAL.date),-,-,曜日別平均
店舗,月次レポート,原価率,原価÷売上×100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,原価(tax_excluded_total.total_tax_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,-
店舗,月次レポート,原価金額,前月在庫+仕入-当月在庫,前月在庫 + 当月仕入 - 当月在庫,前月在庫,当月仕入(tax_excluded_total),当月在庫,-,棚卸計算
店舗,月次集計,客単価税抜,売上÷客数,ZTOTAL.sales_excluded ÷ ZTOTAL.customers,売上税抜(ZTOTAL.sales_excluded),客数(ZTOTAL.customers),-,-,-
店舗,月次集計,変動費単価,変動費÷客数,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.customers,変動費(tax_excluded_total.total_tax_excluded),客数(ZTOTAL.customers),-,-,-
店舗,月次集計,変動費率,変動費÷売上×100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,変動費(tax_excluded_total.total_tax_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,-
店舗,月次集計,仕入費率,仕入÷売上×100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,仕入額(tax_excluded_total.total_tax_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,-
店舗,月次集計,PA人件費率,PA人件費÷売上×100,head_office_employee_working_records.daily_cost ÷ ZTOTAL.sales_excluded × 100,PA人件費(daily_cost),売上税抜(ZTOTAL.sales_excluded),-,-,-
店舗,月次集計,粗利単価,(売上-原価)÷客数,(ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded) ÷ ZTOTAL.customers,売上税抜(ZTOTAL.sales_excluded),原価(tax_excluded_total.total_tax_excluded),客数(ZTOTAL.customers),-,-
店舗,月次集計,粗利率,(売上-原価)÷売上×100,(ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded) ÷ ZTOTAL.sales_excluded × 100,売上税抜(ZTOTAL.sales_excluded),原価(tax_excluded_total.total_tax_excluded),-,-,-
店舗,仕入先分析,比率,仕入先÷総仕入×100,tax_excluded_total.total_tax_excluded ÷ SUM(tax_excluded_total.total_tax_excluded) × 100,仕入先別金額(tax_excluded_total),総仕入額(SUM),-,-,-
店舗,商品仕入単価,単価,金額÷数量,detail_list.price ÷ detail_list.num,金額(detail_list.price),数量(detail_list.num),-,-,-
店舗,商品別仕入分析,比率,商品÷総仕入×100,detail_list.price ÷ SUM(detail_list.price) × 100,商品別金額(detail_list.price),総仕入額(SUM),-,-,-
店舗,商品別売上分析,商品単価税抜,売上÷数量,TITEM.sales_excluded ÷ TITEM.quantity,売上税抜(TITEM.sales_excluded),数量(TITEM.quantity),-,-,-
店舗,商品別売上分析,商品単価税込,売上÷数量,TITEM.sales ÷ TITEM.quantity,売上税込(TITEM.sales),数量(TITEM.quantity),-,-,-
店舗,平均単価推移,平均単価,金額÷数量,SUM(detail_list.price) ÷ SUM(detail_list.num),金額(detail_list.price),数量(detail_list.num),-,-,月別推移
店舗,流入分析,テーブル回転数,組数÷総卓数,ZTOTAL.customers ÷ shops.total_tables,客数/組数(ZTOTAL.customers),総卓数(shops.total_tables),-,-,-
店舗,流入分析,テーブル稼働率,予約卓÷総卓×100,予約卓数 ÷ shops.total_tables × 100,予約卓数,総卓数(shops.total_tables),-,-,-
店舗,流入分析,予約客単価,予約売上÷予約客数,予約売上 ÷ 予約客数,予約売上,予約客数,-,-,-
店舗,流入分析,ウォークイン売上,総売上-予約売上,ZTOTAL.sales_excluded - 予約売上,売上税抜(ZTOTAL.sales_excluded),予約売上,-,-,-
店舗,流入分析,ウォークイン客数,総客数-予約客数,ZTOTAL.customers - 予約客数,客数(ZTOTAL.customers),予約客数,-,-,-
店舗,流入分析,ウォークイン客単価,WI売上÷WI客数,ウォークイン売上 ÷ ウォークイン客数,ウォークイン売上,ウォークイン客数,-,-,-
店舗,支払種別売上分析,売上比率,支払÷総売上×100,TTEND.sales ÷ SUM(TTEND.sales) × 100,支払別売上(TTEND.sales),総売上(SUM),-,-,-
店舗,小口現金管理,残高,前残高+入金-出金,前残高 + 入金額 - 出勤額,前残高,入金額,出勤額,-,-
店舗,棚卸し,小計,数量×単価,在庫数量 × 商品単価,在庫数量,商品単価,-,-,-
店舗,費目別仕入分析,比率,費目÷総仕入×100,monthly_costs.value ÷ SUM(monthly_costs.value) × 100,費目別金額(monthly_costs.value),総費用(SUM),-,-,-
